run_id,stage,instance,arm,flow_variant,root_model_rows,root_model_columns,root_model_nonzeros,flow_columns,flow_upper_link_rows,flow_lower_link_rows,flow_station_balance_rows,flow_depot_balance_rows,flow_start_upper_rows,flow_start_lower_rows,flow_total_rows,flow_total_nonzeros,presolve_eliminated_rows_total,presolve_eliminated_columns_total,reduced_model_rows,reduced_model_columns,reduced_model_nonzeros,root_lp_time_seconds,root_uncut_relaxation,post_root_cut_relaxation,native_cut_counts
stage2__high_imbalance_seed3201__f0__900s,stage2,high_imbalance_seed3201,F0,round20-current,11916,3376,66725,1260,1260,0,60,3,0,0,1323,5160,4030,120,9853,3292,48804,0.31,2.0445,2.1311,cover=44|gub_cover=5|flow_cover=188|clique=0|fractional=2|mir=41|flow_path=0|disjunctive=0|implied_bound=713|zero_half=25|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__high_imbalance_seed3201__f3__900s,stage2,high_imbalance_seed3201,F3,normalized-start-coupled,13176,3316,71465,1200,1200,1200,60,3,60,60,2583,9900,4186,120,11035,3232,52017,0.42,2.0445,2.1399,cover=46|gub_cover=9|flow_cover=111|clique=0|fractional=3|mir=56|flow_path=0|disjunctive=0|implied_bound=624|zero_half=28|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__high_imbalance_seed3202__f0__900s,stage2,high_imbalance_seed3202,F0,round20-current,11895,3370,66704,1260,1260,0,60,3,0,0,1323,5160,4746,66,9441,3310,48232,0.28,1.3017,1.4488,cover=32|gub_cover=5|flow_cover=343|clique=1|fractional=0|mir=41|flow_path=0|disjunctive=0|implied_bound=859|zero_half=37|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__high_imbalance_seed3202__f3__900s,stage2,high_imbalance_seed3202,F3,normalized-start-coupled,13155,3310,71444,1200,1200,1200,60,3,60,60,2583,9900,5026,66,10585,3250,51478,0.44,1.3018,1.4313,cover=44|gub_cover=5|flow_cover=118|clique=1|fractional=0|mir=51|flow_path=0|disjunctive=0|implied_bound=729|zero_half=29|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__moderate_seed3301__f0__900s,stage2,moderate_seed3301,F0,round20-current,11925,3378,67136,1260,1260,0,60,3,0,0,1323,5160,2258,102,10695,3283,60749,0.28,0.0328,0.0345,cover=46|gub_cover=0|flow_cover=117|clique=0|fractional=2|mir=30|flow_path=0|disjunctive=0|implied_bound=1416|zero_half=11|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__moderate_seed3301__f3__900s,stage2,moderate_seed3301,F3,normalized-start-coupled,13185,3318,71876,1200,1200,1200,60,3,60,60,2583,9900,2390,102,11889,3223,64100,0.47,0.0328,0.0347,cover=24|gub_cover=1|flow_cover=26|clique=0|fractional=6|mir=27|flow_path=0|disjunctive=0|implied_bound=906|zero_half=8|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__moderate_seed3302__f0__900s,stage2,moderate_seed3302,F0,round20-current,11903,3372,67088,1260,1260,0,60,3,0,0,1323,5160,2184,32,10711,3316,63178,0.36,0.1018,0.112,cover=13|gub_cover=13|flow_cover=195|clique=0|fractional=8|mir=44|flow_path=0|disjunctive=0|implied_bound=399|zero_half=20|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__moderate_seed3302__f3__900s,stage2,moderate_seed3302,F3,normalized-start-coupled,13163,3312,71828,1200,1200,1200,60,3,60,60,2583,9900,2184,32,11971,3256,67858,0.59,0.1018,0.1094,cover=21|gub_cover=9|flow_cover=97|clique=0|fractional=4|mir=43|flow_path=0|disjunctive=0|implied_bound=337|zero_half=13|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=1|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__tight_T_seed3101__f0__900s,stage2,tight_T_seed3101,F0,round20-current,11939,3382,67170,1260,1260,0,60,3,0,0,1323,5160,3376,152,10151,3266,59535,0.39,0.0029,0.0146,cover=21|gub_cover=5|flow_cover=266|clique=0|fractional=5|mir=44|flow_path=0|disjunctive=0|implied_bound=580|zero_half=22|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__tight_T_seed3101__f3__900s,stage2,tight_T_seed3101,F3,normalized-start-coupled,13199,3322,71910,1200,1200,1200,60,3,60,60,2583,9900,3416,156,11391,3204,64052,0.75,0.0029,0.0143,cover=10|gub_cover=7|flow_cover=139|clique=0|fractional=1|mir=45|flow_path=0|disjunctive=0|implied_bound=455|zero_half=35|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
