run_id,stage,instance,arm,flow_variant,time_to_gap_20pct_seconds,gap_20pct_observation,time_to_gap_10pct_seconds,gap_10pct_observation,time_to_gap_5pct_seconds,gap_5pct_observation,time_to_gap_1pct_seconds,gap_1pct_observation,time_to_gap_0_seconds,gap_0_observation
stage3__tight_T_seed3101__plain__1800s,stage3,tight_T_seed3101,plain,plain,1770.2149131,observed,,not_observed,,not_observed,,not_observed,,not_observed
stage3__tight_T_seed3102__f0__1800s,stage3,tight_T_seed3102,F0,round20-current,4.8681838,observed,1750.0144659,observed,1750.0144659,observed,,not_observed,,not_observed
stage3__tight_T_seed3102__f3__1800s,stage3,tight_T_seed3102,F3,normalized-start-coupled,5.2053925,observed,1749.9968934,observed,1749.9968934,observed,,not_observed,,not_observed
stage3__tight_T_seed3102__plain__1800s,stage3,tight_T_seed3102,plain,plain,,not_observed,,not_observed,,not_observed,,not_observed,,not_observed
stage4__moderate_seed3301__f0__3600s,stage4,moderate_seed3301,F0,round20-current,0.018093,observed,0.018093,observed,0.018093,observed,3550.1260185,observed,,not_observed
stage4__moderate_seed3301__f3__3600s,stage4,moderate_seed3301,F3,normalized-start-coupled,0.0176889,observed,0.0176889,observed,0.0176889,observed,3549.9999309,observed,,not_observed
stage4__moderate_seed3301__plain__3600s,stage4,moderate_seed3301,plain,plain,3603.4564454,observed,3603.4564454,observed,3603.4564454,observed,,not_observed,,not_observed
stage4__V12_M2__f0__3600s,stage4,V12_M2,F0,round20-current,260.5416957,observed,260.5416957,observed,260.5416957,observed,260.5416957,observed,,not_observed
stage4__V12_M2__f3__3600s,stage4,V12_M2,F3,normalized-start-coupled,648.1037087,observed,648.1037087,observed,648.1037087,observed,648.1037087,observed,687.0672286,observed
stage4__V12_M2__plain__3600s,stage4,V12_M2,plain,plain,3570.7682601,observed,,not_observed,,not_observed,,not_observed,,not_observed
