run_id,instance,arm,flow_variant,checkpoint_seconds,status,observation_elapsed_seconds,lower_bound,upper_bound,gap,nodes,open_nodes,simplex_iterations,event_source,observation_source,not_observed_reason
stage3__moderate_seed3301__plain__1800s,moderate_seed3301,plain,plain,30,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3301__plain__1800s,moderate_seed3301,plain,plain,60,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3301__plain__1800s,moderate_seed3301,plain,plain,120,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3301__plain__1800s,moderate_seed3301,plain,plain,300,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3301__plain__1800s,moderate_seed3301,plain,plain,600,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3301__plain__1800s,moderate_seed3301,plain,plain,900,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3301__plain__1800s,moderate_seed3301,plain,plain,1200,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3301__plain__1800s,moderate_seed3301,plain,plain,1800,observed,1800.5962741,0.040714606912686906,0.05853694752040434,0.01782234060771743,173464,78888,0,solver_final,full_precision_final_json,
stage3__moderate_seed3302__f0__1800s,moderate_seed3302,F0,round20-current,30,observed,6.2181952,0.11195893573207412,0.19563620654901237,0.08367727081693825,0,1,15808,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f0__1800s,moderate_seed3302,F0,round20-current,60,observed,6.2181952,0.11195893573207412,0.19563620654901237,0.08367727081693825,0,1,15808,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f0__1800s,moderate_seed3302,F0,round20-current,120,observed,6.2181952,0.11195893573207412,0.19563620654901237,0.08367727081693825,0,1,15808,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f0__1800s,moderate_seed3302,F0,round20-current,300,observed,6.2181952,0.11195893573207412,0.19563620654901237,0.08367727081693825,0,1,15808,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f0__1800s,moderate_seed3302,F0,round20-current,600,observed,6.2181952,0.11195893573207412,0.19563620654901237,0.08367727081693825,0,1,15808,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f0__1800s,moderate_seed3302,F0,round20-current,900,observed,6.2181952,0.11195893573207412,0.19563620654901237,0.08367727081693825,0,1,15808,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f0__1800s,moderate_seed3302,F0,round20-current,1200,observed,6.2181952,0.11195893573207412,0.19563620654901237,0.08367727081693825,0,1,15808,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f0__1800s,moderate_seed3302,F0,round20-current,1800,observed,1771.2257029,0.14332567877222702,0.19563620654901237,0.052310527776785354,12604,8680,6716079,solver_final,full_precision_final_json,
stage3__moderate_seed3302__f3__1800s,moderate_seed3302,F3,normalized-start-coupled,30,observed,7.319682,0.10941596008621492,0.19563620654901237,0.08622024646279745,0,1,16775,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f3__1800s,moderate_seed3302,F3,normalized-start-coupled,60,observed,7.319682,0.10941596008621492,0.19563620654901237,0.08622024646279745,0,1,16775,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f3__1800s,moderate_seed3302,F3,normalized-start-coupled,120,observed,7.319682,0.10941596008621492,0.19563620654901237,0.08622024646279745,0,1,16775,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f3__1800s,moderate_seed3302,F3,normalized-start-coupled,300,observed,7.319682,0.10941596008621492,0.19563620654901237,0.08622024646279745,0,1,16775,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f3__1800s,moderate_seed3302,F3,normalized-start-coupled,600,observed,7.319682,0.10941596008621492,0.19563620654901237,0.08622024646279745,0,1,16775,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f3__1800s,moderate_seed3302,F3,normalized-start-coupled,900,observed,7.319682,0.10941596008621492,0.19563620654901237,0.08622024646279745,0,1,16775,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f3__1800s,moderate_seed3302,F3,normalized-start-coupled,1200,observed,7.319682,0.10941596008621492,0.19563620654901237,0.08622024646279745,0,1,16775,global_progress,global_bound_trajectory,
stage3__moderate_seed3302__f3__1800s,moderate_seed3302,F3,normalized-start-coupled,1800,observed,1772.0050599,0.14595585402289274,0.19563620654901237,0.04968035252611963,19965,12797,6141044,solver_final,full_precision_final_json,
stage3__moderate_seed3302__plain__1800s,moderate_seed3302,plain,plain,30,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3302__plain__1800s,moderate_seed3302,plain,plain,60,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3302__plain__1800s,moderate_seed3302,plain,plain,120,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3302__plain__1800s,moderate_seed3302,plain,plain,300,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3302__plain__1800s,moderate_seed3302,plain,plain,600,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3302__plain__1800s,moderate_seed3302,plain,plain,900,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3302__plain__1800s,moderate_seed3302,plain,plain,1200,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__moderate_seed3302__plain__1800s,moderate_seed3302,plain,plain,1800,observed,1802.365309,0.12283360303036238,0.24156036798167674,0.11872676495131436,220600,157131,0,solver_final,full_precision_final_json,
stage3__tight_T_seed3101__f0__1800s,tight_T_seed3101,F0,round20-current,30,observed,4.6924635,0.014627354220092537,0.10725273413394144,0.09262537991384891,0,1,11222,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f0__1800s,tight_T_seed3101,F0,round20-current,60,observed,4.6924635,0.014627354220092537,0.10725273413394144,0.09262537991384891,0,1,11222,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f0__1800s,tight_T_seed3101,F0,round20-current,120,observed,4.6924635,0.014627354220092537,0.10725273413394144,0.09262537991384891,0,1,11222,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f0__1800s,tight_T_seed3101,F0,round20-current,300,observed,4.6924635,0.014627354220092537,0.10725273413394144,0.09262537991384891,0,1,11222,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f0__1800s,tight_T_seed3101,F0,round20-current,600,observed,4.6924635,0.014627354220092537,0.10725273413394144,0.09262537991384891,0,1,11222,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f0__1800s,tight_T_seed3101,F0,round20-current,900,observed,4.6924635,0.014627354220092537,0.10725273413394144,0.09262537991384891,0,1,11222,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f0__1800s,tight_T_seed3101,F0,round20-current,1200,observed,4.6924635,0.014627354220092537,0.10725273413394144,0.09262537991384891,0,1,11222,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f0__1800s,tight_T_seed3101,F0,round20-current,1800,observed,1770.3554128,0.04626175555888584,0.10725273413394144,0.0609909785750556,26879,6227,10830184,solver_final,full_precision_final_json,
stage3__tight_T_seed3101__f3__1800s,tight_T_seed3101,F3,normalized-start-coupled,30,observed,6.7923515,0.014290983894609753,0.10725273413394144,0.09296175023933169,0,1,16902,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f3__1800s,tight_T_seed3101,F3,normalized-start-coupled,60,observed,6.7923515,0.014290983894609753,0.10725273413394144,0.09296175023933169,0,1,16902,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f3__1800s,tight_T_seed3101,F3,normalized-start-coupled,120,observed,6.7923515,0.014290983894609753,0.10725273413394144,0.09296175023933169,0,1,16902,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f3__1800s,tight_T_seed3101,F3,normalized-start-coupled,300,observed,6.7923515,0.014290983894609753,0.10725273413394144,0.09296175023933169,0,1,16902,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f3__1800s,tight_T_seed3101,F3,normalized-start-coupled,600,observed,6.7923515,0.014290983894609753,0.10725273413394144,0.09296175023933169,0,1,16902,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f3__1800s,tight_T_seed3101,F3,normalized-start-coupled,900,observed,6.7923515,0.014290983894609753,0.10725273413394144,0.09296175023933169,0,1,16902,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f3__1800s,tight_T_seed3101,F3,normalized-start-coupled,1200,observed,6.7923515,0.014290983894609753,0.10725273413394144,0.09296175023933169,0,1,16902,global_progress,global_bound_trajectory,
stage3__tight_T_seed3101__f3__1800s,tight_T_seed3101,F3,normalized-start-coupled,1800,observed,1770.2625761,0.04575592170701817,0.10725273413394144,0.06149681242692327,18006,3856,9238937,solver_final,full_precision_final_json,
stage3__tight_T_seed3101__plain__1800s,tight_T_seed3101,plain,plain,30,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3101__plain__1800s,tight_T_seed3101,plain,plain,60,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3101__plain__1800s,tight_T_seed3101,plain,plain,120,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3101__plain__1800s,tight_T_seed3101,plain,plain,300,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3101__plain__1800s,tight_T_seed3101,plain,plain,600,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3101__plain__1800s,tight_T_seed3101,plain,plain,900,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3101__plain__1800s,tight_T_seed3101,plain,plain,1200,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3101__plain__1800s,tight_T_seed3101,plain,plain,1800,observed,1770.2149131,0.01619799944130609,0.15724572685216998,0.14104772741086388,518100,354946,0,solver_final,full_precision_final_json,
stage3__tight_T_seed3102__f0__1800s,tight_T_seed3102,F0,round20-current,30,observed,4.8681838,0.4611358565716622,0.6007044366851081,0.13956858011344592,0,1,8510,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f0__1800s,tight_T_seed3102,F0,round20-current,60,observed,4.8681838,0.4611358565716622,0.6007044366851081,0.13956858011344592,0,1,8510,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f0__1800s,tight_T_seed3102,F0,round20-current,120,observed,4.8681838,0.4611358565716622,0.6007044366851081,0.13956858011344592,0,1,8510,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f0__1800s,tight_T_seed3102,F0,round20-current,300,observed,4.8681838,0.4611358565716622,0.6007044366851081,0.13956858011344592,0,1,8510,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f0__1800s,tight_T_seed3102,F0,round20-current,600,observed,4.8681838,0.4611358565716622,0.6007044366851081,0.13956858011344592,0,1,8510,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f0__1800s,tight_T_seed3102,F0,round20-current,900,observed,4.8681838,0.4611358565716622,0.6007044366851081,0.13956858011344592,0,1,8510,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f0__1800s,tight_T_seed3102,F0,round20-current,1200,observed,4.8681838,0.4611358565716622,0.6007044366851081,0.13956858011344592,0,1,8510,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f0__1800s,tight_T_seed3102,F0,round20-current,1800,observed,1770.4246747,0.5620700713857018,0.6007044366851081,0.03863436529940634,17707,7162,8846403,solver_final,full_precision_final_json,
stage3__tight_T_seed3102__f3__1800s,tight_T_seed3102,F3,normalized-start-coupled,30,observed,5.2053925,0.4596778879666658,0.6007044366851081,0.14102654871844228,0,1,8827,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f3__1800s,tight_T_seed3102,F3,normalized-start-coupled,60,observed,5.2053925,0.4596778879666658,0.6007044366851081,0.14102654871844228,0,1,8827,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f3__1800s,tight_T_seed3102,F3,normalized-start-coupled,120,observed,5.2053925,0.4596778879666658,0.6007044366851081,0.14102654871844228,0,1,8827,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f3__1800s,tight_T_seed3102,F3,normalized-start-coupled,300,observed,5.2053925,0.4596778879666658,0.6007044366851081,0.14102654871844228,0,1,8827,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f3__1800s,tight_T_seed3102,F3,normalized-start-coupled,600,observed,5.2053925,0.4596778879666658,0.6007044366851081,0.14102654871844228,0,1,8827,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f3__1800s,tight_T_seed3102,F3,normalized-start-coupled,900,observed,5.2053925,0.4596778879666658,0.6007044366851081,0.14102654871844228,0,1,8827,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f3__1800s,tight_T_seed3102,F3,normalized-start-coupled,1200,observed,5.2053925,0.4596778879666658,0.6007044366851081,0.14102654871844228,0,1,8827,global_progress,global_bound_trajectory,
stage3__tight_T_seed3102__f3__1800s,tight_T_seed3102,F3,normalized-start-coupled,1800,observed,1770.878353,0.5575527917961439,0.6007044366851081,0.04315164488896417,25860,11632,8042337,solver_final,full_precision_final_json,
stage3__tight_T_seed3102__plain__1800s,tight_T_seed3102,plain,plain,30,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3102__plain__1800s,tight_T_seed3102,plain,plain,60,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3102__plain__1800s,tight_T_seed3102,plain,plain,120,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3102__plain__1800s,tight_T_seed3102,plain,plain,300,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3102__plain__1800s,tight_T_seed3102,plain,plain,600,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3102__plain__1800s,tight_T_seed3102,plain,plain,900,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3102__plain__1800s,tight_T_seed3102,plain,plain,1200,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__tight_T_seed3102__plain__1800s,tight_T_seed3102,plain,plain,1800,observed,1770.1043635,0.3298305812746467,0.6007044366851081,0.2708738554104614,295900,150526,0,solver_final,full_precision_final_json,
