size,station,relation,z_scale,gini_coefficient,vd_reconstruction,status
V50,26,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/8,sum_y y*q_i_y,pass
V50,27,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/20,sum_y y*q_i_y,pass
V50,28,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/11,sum_y y*q_i_y,pass
V50,29,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/15,sum_y y*q_i_y,pass
V50,30,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/26,sum_y y*q_i_y,pass
V50,31,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/11,sum_y y*q_i_y,pass
V50,32,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/10,sum_y y*q_i_y,pass
V50,33,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/6,sum_y y*q_i_y,pass
V50,34,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/17,sum_y y*q_i_y,pass
V50,35,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/25,sum_y y*q_i_y,pass
V50,36,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/23,sum_y y*q_i_y,pass
V50,37,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/16,sum_y y*q_i_y,pass
V50,38,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/21,sum_y y*q_i_y,pass
V50,39,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/33,sum_y y*q_i_y,pass
V50,40,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/25,sum_y y*q_i_y,pass
V50,41,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/14,sum_y y*q_i_y,pass
V50,42,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/7,sum_y y*q_i_y,pass
V50,43,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/32,sum_y y*q_i_y,pass
V50,44,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/20,sum_y y*q_i_y,pass
V50,45,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/1,sum_y y*q_i_y,pass
V50,46,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/14,sum_y y*q_i_y,pass
V50,47,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/34,sum_y y*q_i_y,pass
V50,48,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/25,sum_y y*q_i_y,pass
V50,49,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/12,sum_y y*q_i_y,pass
V50,50,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/15,sum_y y*q_i_y,pass
