stage,state_or_instance,arm,cap_seconds,certificate,correctness_gate,false_certificate,source_file
fixed_interval_development_300s,D3,VD-P,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D4,VD-P,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D5,VD-P,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D6,VD-P,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D7,VD-P,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D8,VD-P,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D9,VD-P,300,False,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D10,VD-P,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D11,VD-P,300,False,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D12,VD-P,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D13,VD-P,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D14,VD-P,300,False,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D1,VD-J,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D2,VD-J,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D3,VD-J,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D4,VD-J,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D5,VD-J,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D6,VD-J,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D7,VD-J,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D8,VD-J,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D9,VD-J,300,False,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D10,VD-J,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D11,VD-J,300,False,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D12,VD-J,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D13,VD-J,300,False,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D14,VD-J,300,False,True,False,fixed_interval_development_300s.csv
revision_1_development_300s,D1,F0-CLEAN,300,False,True,False,revision_1_results.csv
revision_1_development_300s,D2,F0-CLEAN,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D3,F0-CLEAN,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D4,F0-CLEAN,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D5,F0-CLEAN,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D6,F0-CLEAN,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D7,F0-CLEAN,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D8,F0-CLEAN,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D9,F0-CLEAN,300,False,True,False,revision_1_results.csv
revision_1_development_300s,D10,F0-CLEAN,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D11,F0-CLEAN,300,False,True,False,revision_1_results.csv
revision_1_development_300s,D12,F0-CLEAN,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D13,F0-CLEAN,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D14,F0-CLEAN,300,False,True,False,revision_1_results.csv
revision_1_development_300s,D1,SF-R1,300,False,True,False,revision_1_results.csv
revision_1_development_300s,D2,SF-R1,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D3,SF-R1,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D4,SF-R1,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D5,SF-R1,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D6,SF-R1,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D7,SF-R1,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D8,SF-R1,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D9,SF-R1,300,False,True,False,revision_1_results.csv
revision_1_development_300s,D10,SF-R1,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D11,SF-R1,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D12,SF-R1,300,False,True,False,revision_1_results.csv
revision_1_development_300s,D13,SF-R1,300,True,True,False,revision_1_results.csv
revision_1_development_300s,D14,SF-R1,300,False,True,False,revision_1_results.csv
fixed_interval_confirmation_1200s,C1,F0-CLEAN,1200,False,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C2,F0-CLEAN,1200,True,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C3,F0-CLEAN,1200,False,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C4,F0-CLEAN,1200,True,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C5,F0-CLEAN,1200,False,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C6,F0-CLEAN,1200,True,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C7,F0-CLEAN,1200,True,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C8,F0-CLEAN,1200,True,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C9,F0-CLEAN,1200,True,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C1,VD-P,1200,True,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C2,VD-P,1200,True,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C3,VD-P,1200,False,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C4,VD-P,1200,True,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C5,VD-P,1200,False,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C6,VD-P,1200,True,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C7,VD-P,1200,True,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C8,VD-P,1200,True,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1200s,C9,VD-P,1200,True,True,False,fixed_interval_confirmation_1200s.csv
fixed_interval_confirmation_1800s,D1,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,E_MAJOR_L,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,E_MAJOR_R,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D3,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D4,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D5,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D6,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D7,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D8,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D9,F0-CLEAN,1800,False,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D10,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D11,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D12,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,C1,F0-CLEAN,1800,False,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,C2,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D13,F0-CLEAN,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D14,F0-CLEAN,1800,False,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,V50_MODERATE,F0-CLEAN,1800,False,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,V50_TIGHT2400,F0-CLEAN,1800,False,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D1,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,E_MAJOR_L,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,E_MAJOR_R,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D3,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D4,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D5,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D6,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D7,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D8,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D9,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D10,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D11,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D12,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,C1,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,C2,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D13,VD-P,1800,True,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,D14,VD-P,1800,False,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,V50_MODERATE,VD-P,1800,False,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_confirmation_1800s,V50_TIGHT2400,VD-P,1800,False,True,False,fixed_interval_confirmation_1800s.csv
fixed_interval_key_long_3600s,D1,F0-CLEAN,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D3,F0-CLEAN,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D4,F0-CLEAN,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D12,F0-CLEAN,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D5,F0-CLEAN,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D6,F0-CLEAN,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D9,F0-CLEAN,3600,False,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D13,F0-CLEAN,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D14,F0-CLEAN,3600,False,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,KL_V20,F0-CLEAN,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,KL_V50,F0-CLEAN,3600,False,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D1,VD-P,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D3,VD-P,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D4,VD-P,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D12,VD-P,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D5,VD-P,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D6,VD-P,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D9,VD-P,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D13,VD-P,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,D14,VD-P,3600,False,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,KL_V20,VD-P,3600,True,True,False,fixed_interval_key_long_3600s.csv
fixed_interval_key_long_3600s,KL_V50,VD-P,3600,False,True,False,fixed_interval_key_long_3600s.csv
k1_integration_1800s,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K1-AM-SF,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K1-AM-SF-CANDIDATE,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K1-AM-SF,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K1-AM-SF-CANDIDATE,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K1-AM-SF,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K1-AM-SF-CANDIDATE,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round39_small_hard_V12_M3_Q20_slot07_seed621538683,K1-AM-SF,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round39_small_hard_V12_M3_Q20_slot07_seed621538683,K1-AM-SF-CANDIDATE,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round39_small_hard_V12_M2_Q20_slot06_seed258908503,K1-AM-SF,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round39_small_hard_V12_M2_Q20_slot06_seed258908503,K1-AM-SF-CANDIDATE,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,K1-AM-SF,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,K1-AM-SF-CANDIDATE,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,tight_T_seed3102,K1-AM-SF,1800,False,True,False,k1_integration_1800s.csv
k1_integration_1800s,tight_T_seed3102,K1-AM-SF-CANDIDATE,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,tight_T_seed3101,K1-AM-SF,1800,False,True,False,k1_integration_1800s.csv
k1_integration_1800s,tight_T_seed3101,K1-AM-SF-CANDIDATE,1800,False,True,False,k1_integration_1800s.csv
k1_integration_1800s,high_imbalance_seed3201,K1-AM-SF,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,high_imbalance_seed3201,K1-AM-SF-CANDIDATE,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,high_imbalance_seed3202,K1-AM-SF,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,high_imbalance_seed3202,K1-AM-SF-CANDIDATE,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,moderate_seed3301,K1-AM-SF,1800,False,True,False,k1_integration_1800s.csv
k1_integration_1800s,moderate_seed3301,K1-AM-SF-CANDIDATE,1800,False,True,False,k1_integration_1800s.csv
k1_integration_1800s,moderate_seed3302,K1-AM-SF,1800,False,True,False,k1_integration_1800s.csv
k1_integration_1800s,moderate_seed3302,K1-AM-SF-CANDIDATE,1800,False,True,False,k1_integration_1800s.csv
k1_integration_1800s,round54_generalization_high_imbalance_3600_V20_M2_Q20_seed1146056210,K1-AM-SF,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round54_generalization_high_imbalance_3600_V20_M2_Q20_seed1146056210,K1-AM-SF-CANDIDATE,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round54_generalization_moderate_3600_V20_M2_Q30_seed1642261739,K1-AM-SF,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round54_generalization_moderate_3600_V20_M2_Q30_seed1642261739,K1-AM-SF-CANDIDATE,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round54_generalization_tight_T_2400_V20_M3_Q20_seed694334990,K1-AM-SF,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round54_generalization_tight_T_2400_V20_M3_Q20_seed694334990,K1-AM-SF-CANDIDATE,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round54_generalization_moderate_3600_V50_M2_Q20_seed1123418787,K1-AM-SF,1800,False,True,False,k1_integration_1800s.csv
k1_integration_1800s,round54_generalization_moderate_3600_V50_M2_Q20_seed1123418787,K1-AM-SF-CANDIDATE,1800,False,True,False,k1_integration_1800s.csv
k1_integration_1800s,round54_generalization_tight_T_2400_V50_M2_Q30_seed554739910,K1-AM-SF,1800,True,True,False,k1_integration_1800s.csv
k1_integration_1800s,round54_generalization_tight_T_2400_V50_M2_Q30_seed554739910,K1-AM-SF-CANDIDATE,1800,True,True,False,k1_integration_1800s.csv
k1_integration_3600s,tight_T_seed3102,K1-AM-SF,3600,False,True,False,k1_integration_3600s.csv
k1_integration_3600s,tight_T_seed3102,K1-AM-SF-CANDIDATE,3600,True,True,False,k1_integration_3600s.csv
k1_integration_3600s,tight_T_seed3101,K1-AM-SF,3600,False,True,False,k1_integration_3600s.csv
k1_integration_3600s,tight_T_seed3101,K1-AM-SF-CANDIDATE,3600,True,True,False,k1_integration_3600s.csv
k1_integration_3600s,moderate_seed3301,K1-AM-SF,3600,False,True,False,k1_integration_3600s.csv
k1_integration_3600s,moderate_seed3301,K1-AM-SF-CANDIDATE,3600,False,True,False,k1_integration_3600s.csv
k1_integration_3600s,moderate_seed3302,K1-AM-SF,3600,False,True,False,k1_integration_3600s.csv
k1_integration_3600s,moderate_seed3302,K1-AM-SF-CANDIDATE,3600,False,True,False,k1_integration_3600s.csv
k1_integration_3600s,round54_generalization_moderate_3600_V50_M2_Q20_seed1123418787,K1-AM-SF,3600,False,True,False,k1_integration_3600s.csv
k1_integration_3600s,round54_generalization_moderate_3600_V50_M2_Q20_seed1123418787,K1-AM-SF-CANDIDATE,3600,False,True,False,k1_integration_3600s.csv
