state_id,station,propagated_lower,propagated_upper,selector_state_count,selector_min,selector_max,domain_contiguous_complete,old_product_bit_count,old_binary_code_count,invalid_or_unreachable_codes_excluded
D5,11,3,23,21,3,23,True,6,64,43
D5,12,2,21,20,2,21,True,5,32,12
D6,1,5,27,23,5,27,True,6,64,41
D6,2,6,34,29,6,34,True,6,64,35
D6,3,18,31,14,18,31,True,5,32,18
D6,4,14,27,14,14,27,True,5,32,18
D6,5,0,11,12,0,11,True,5,32,20
D6,6,0,8,9,0,8,True,5,32,23
D6,7,0,15,16,0,15,True,5,32,16
D6,8,11,37,27,11,37,True,6,64,37
D6,9,0,16,17,0,16,True,5,32,15
D6,10,3,29,27,3,29,True,6,64,37
D6,11,11,33,23,11,33,True,6,64,41
D6,12,17,25,9,17,25,True,5,32,23
D7,1,5,27,23,5,27,True,6,64,41
D7,2,6,34,29,6,34,True,6,64,35
D7,3,18,31,14,18,31,True,5,32,18
D7,4,14,27,14,14,27,True,5,32,18
D7,5,0,11,12,0,11,True,5,32,20
D7,6,0,8,9,0,8,True,5,32,23
D7,7,0,15,16,0,15,True,5,32,16
D7,8,11,37,27,11,37,True,6,64,37
D7,9,0,16,17,0,16,True,5,32,15
D7,10,3,29,27,3,29,True,6,64,37
D7,11,11,33,23,11,33,True,6,64,41
D7,12,17,25,9,17,25,True,5,32,23
D8,1,5,27,23,5,27,True,6,64,41
D8,2,6,34,29,6,34,True,6,64,35
D8,3,18,31,14,18,31,True,5,32,18
D8,4,14,27,14,14,27,True,5,32,18
D8,5,0,11,12,0,11,True,5,32,20
D8,6,0,8,9,0,8,True,5,32,23
D8,7,0,15,16,0,15,True,5,32,16
D8,8,11,37,27,11,37,True,6,64,37
D8,9,0,16,17,0,16,True,5,32,15
D8,10,3,29,27,3,29,True,6,64,37
D8,11,11,33,23,11,33,True,6,64,41
D8,12,17,25,9,17,25,True,5,32,23
D9,1,4,28,25,4,28,True,5,32,7
D9,2,0,20,21,0,20,True,5,32,11
D9,3,0,20,21,0,20,True,5,32,11
D9,4,12,40,29,12,40,True,6,64,35
D9,5,0,41,42,0,41,True,6,64,22
D9,6,0,32,33,0,32,True,6,64,31
D9,7,5,44,40,5,44,True,6,64,24
D9,8,6,40,35,6,40,True,6,64,29
D9,9,1,43,43,1,43,True,6,64,21
D9,10,0,24,25,0,24,True,5,32,7
D9,11,10,39,30,10,39,True,6,64,34
D9,12,0,27,28,0,27,True,5,32,4
D9,13,0,23,24,0,23,True,5,32,8
D9,14,0,29,30,0,29,True,5,32,2
D9,15,0,29,30,0,29,True,5,32,2
D9,16,0,29,30,0,29,True,5,32,2
D9,17,0,26,27,0,26,True,6,64,37
D9,18,0,27,28,0,27,True,5,32,4
D9,19,7,40,34,7,40,True,6,64,30
D9,20,6,33,28,6,33,True,6,64,36
D10,1,4,28,25,4,28,True,5,32,7
D10,2,0,20,21,0,20,True,5,32,11
D10,3,0,20,21,0,20,True,5,32,11
D10,4,12,40,29,12,40,True,6,64,35
D10,5,0,41,42,0,41,True,6,64,22
D10,6,0,32,33,0,32,True,6,64,31
D10,7,5,44,40,5,44,True,6,64,24
D10,8,6,40,35,6,40,True,6,64,29
D10,9,1,43,43,1,43,True,6,64,21
D10,10,0,24,25,0,24,True,5,32,7
D10,11,10,39,30,10,39,True,6,64,34
D10,12,0,27,28,0,27,True,5,32,4
D10,13,0,23,24,0,23,True,5,32,8
D10,14,0,29,30,0,29,True,5,32,2
D10,15,0,29,30,0,29,True,5,32,2
D10,16,0,29,30,0,29,True,5,32,2
D10,17,0,26,27,0,26,True,6,64,37
D10,18,0,27,28,0,27,True,5,32,4
D10,19,7,40,34,7,40,True,6,64,30
D10,20,6,33,28,6,33,True,6,64,36
D11,1,4,28,25,4,28,True,5,32,7
D11,2,0,20,21,0,20,True,5,32,11
D11,3,0,20,21,0,20,True,5,32,11
D11,4,12,40,29,12,40,True,6,64,35
D11,5,0,41,42,0,41,True,6,64,22
D11,6,0,32,33,0,32,True,6,64,31
D11,7,5,44,40,5,44,True,6,64,24
D11,8,6,40,35,6,40,True,6,64,29
D11,9,1,43,43,1,43,True,6,64,21
D11,10,0,24,25,0,24,True,5,32,7
D11,11,10,39,30,10,39,True,6,64,34
D11,12,0,27,28,0,27,True,5,32,4
D11,13,0,23,24,0,23,True,5,32,8
D11,14,0,29,30,0,29,True,5,32,2
D11,15,0,29,30,0,29,True,5,32,2
D11,16,0,29,30,0,29,True,5,32,2
D11,17,0,26,27,0,26,True,6,64,37
D11,18,0,27,28,0,27,True,5,32,4
D11,19,7,40,34,7,40,True,6,64,30
D11,20,6,33,28,6,33,True,6,64,36
D12,1,0,15,16,0,15,True,5,32,16
D12,2,19,31,13,19,31,True,5,32,19
D12,3,16,36,21,16,36,True,6,64,43
D12,4,0,15,16,0,15,True,6,64,48
D12,5,11,27,17,11,27,True,5,32,15
D12,6,9,21,13,9,21,True,5,32,19
D12,7,1,25,25,1,25,True,6,64,39
D12,8,12,23,12,12,23,True,5,32,20
D12,9,8,32,25,8,32,True,6,64,39
D12,10,0,17,18,0,17,True,6,64,46
D12,11,15,37,23,15,37,True,6,64,41
D12,12,0,17,18,0,17,True,6,64,46
D13,1,0,20,21,0,20,True,5,32,11
D13,2,0,21,22,0,21,True,5,32,10
D13,3,0,27,28,0,27,True,5,32,4
D13,4,18,44,27,18,44,True,6,64,37
D13,5,0,32,33,0,32,True,6,64,31
D13,6,21,48,28,21,48,True,6,64,36
D13,7,0,24,25,0,24,True,5,32,7
D13,8,1,30,30,1,30,True,5,32,2
D13,9,0,34,35,0,34,True,6,64,29
D13,10,0,35,36,0,35,True,6,64,28
D13,11,6,37,32,6,37,True,6,64,32
D13,12,0,25,26,0,25,True,6,64,38
D13,13,0,25,26,0,25,True,5,32,6
D13,14,18,45,28,18,45,True,6,64,36
D13,15,0,35,36,0,35,True,6,64,28
D13,16,0,23,24,0,23,True,5,32,8
D13,17,0,33,34,0,33,True,6,64,30
D13,18,0,25,26,0,25,True,6,64,38
D13,19,0,25,26,0,25,True,5,32,6
D13,20,14,43,30,14,43,True,6,64,34
D14,1,0,27,28,0,27,True,5,32,4
D14,2,0,32,33,0,32,True,6,64,31
D14,3,0,23,24,0,23,True,5,32,8
D14,4,0,24,25,0,24,True,5,32,7
D14,5,0,37,38,0,37,True,6,64,26
D14,6,0,29,30,0,29,True,5,32,2
D14,7,3,49,47,3,49,True,6,64,17
D14,8,0,35,36,0,35,True,6,64,28
D14,9,0,31,32,0,31,True,5,32,0
D14,10,0,36,37,0,36,True,6,64,27
D14,11,0,27,28,0,27,True,5,32,4
D14,12,2,38,37,2,38,True,6,64,27
D14,13,0,44,45,0,44,True,6,64,19
D14,14,0,45,46,0,45,True,6,64,18
D14,15,0,38,39,0,38,True,6,64,25
D14,16,3,37,35,3,37,True,6,64,29
D14,17,0,34,35,0,34,True,6,64,29
D14,18,0,34,35,0,34,True,6,64,29
D14,19,0,21,22,0,21,True,5,32,10
D14,20,0,34,35,0,34,True,6,64,29
C1,1,0,15,16,0,15,True,5,32,16
C1,2,19,31,13,19,31,True,5,32,19
C1,3,16,36,21,16,36,True,6,64,43
C1,4,0,15,16,0,15,True,6,64,48
C1,5,11,27,17,11,27,True,5,32,15
C1,6,9,21,13,9,21,True,5,32,19
C1,7,1,25,25,1,25,True,6,64,39
C1,8,12,23,12,12,23,True,5,32,20
C1,9,8,32,25,8,32,True,6,64,39
C1,10,0,17,18,0,17,True,6,64,46
C1,11,15,37,23,15,37,True,6,64,41
C1,12,0,17,18,0,17,True,6,64,46
C2,1,0,15,16,0,15,True,5,32,16
C2,2,19,31,13,19,31,True,5,32,19
C2,3,16,36,21,16,36,True,6,64,43
C2,4,0,15,16,0,15,True,6,64,48
C2,5,11,27,17,11,27,True,5,32,15
C2,6,9,21,13,9,21,True,5,32,19
C2,7,1,25,25,1,25,True,6,64,39
C2,8,12,23,12,12,23,True,5,32,20
C2,9,8,32,25,8,32,True,6,64,39
C2,10,0,17,18,0,17,True,6,64,46
C2,11,15,37,23,15,37,True,6,64,41
C2,12,0,17,18,0,17,True,6,64,46
C3,1,13,43,31,13,43,True,6,64,33
C3,2,0,30,31,0,30,True,6,64,33
C3,3,0,30,31,0,30,True,5,32,1
C3,4,0,27,28,0,27,True,6,64,36
C3,5,0,28,29,0,28,True,5,32,3
C3,6,0,24,25,0,24,True,6,64,39
C3,7,0,30,31,0,30,True,5,32,1
C3,8,0,25,26,0,25,True,5,32,6
C3,9,5,39,35,5,39,True,6,64,29
C3,10,0,43,44,0,43,True,6,64,20
C3,11,0,31,32,0,31,True,6,64,32
C3,12,0,34,35,0,34,True,6,64,29
C3,13,2,32,31,2,32,True,6,64,33
C3,14,0,41,42,0,41,True,6,64,22
C3,15,0,28,29,0,28,True,6,64,35
C3,16,2,40,39,2,40,True,6,64,25
C3,17,0,32,33,0,32,True,6,64,31
C3,18,0,28,29,0,28,True,6,64,35
C3,19,1,39,39,1,39,True,6,64,25
C3,20,0,21,22,0,21,True,5,32,10
C4,1,7,36,30,7,36,True,6,64,34
C4,2,0,30,31,0,30,True,5,32,1
C4,3,0,33,34,0,33,True,6,64,30
C4,4,0,20,21,0,20,True,5,32,11
C4,5,0,28,29,0,28,True,6,64,35
C4,6,0,29,30,0,29,True,6,64,34
C4,7,0,25,26,0,25,True,6,64,38
C4,8,11,45,35,11,45,True,6,64,29
C4,9,0,23,24,0,23,True,5,32,8
C4,10,0,20,21,0,20,True,5,32,11
C4,11,1,29,29,1,29,True,5,32,3
C4,12,0,27,28,0,27,True,5,32,4
C4,13,16,46,31,16,46,True,6,64,33
C4,14,0,30,31,0,30,True,5,32,1
C4,15,0,27,28,0,27,True,5,32,4
C4,16,12,43,32,12,43,True,6,64,32
C4,17,0,35,36,0,35,True,6,64,28
C4,18,0,27,28,0,27,True,5,32,4
C4,19,7,31,25,7,31,True,5,32,7
C4,20,0,24,25,0,24,True,5,32,7
C5,1,0,44,45,0,44,True,6,64,19
C5,2,0,35,36,0,35,True,6,64,28
C5,3,0,41,42,0,41,True,6,64,22
C5,4,0,30,31,0,30,True,5,32,1
C5,5,0,20,21,0,20,True,5,32,11
C5,6,0,25,26,0,25,True,5,32,6
C5,7,0,30,31,0,30,True,6,64,33
C5,8,0,20,21,0,20,True,5,32,11
C5,9,0,35,36,0,35,True,6,64,28
C5,10,6,47,42,6,47,True,6,64,22
C5,11,0,49,50,0,49,True,6,64,14
C5,12,0,31,32,0,31,True,5,32,0
C5,13,4,38,35,4,38,True,6,64,29
C5,14,0,30,31,0,30,True,5,32,1
C5,15,0,28,29,0,28,True,5,32,3
C5,16,0,26,27,0,26,True,5,32,5
C5,17,0,46,47,0,46,True,6,64,17
C5,18,0,27,28,0,27,True,5,32,4
C5,19,0,21,22,0,21,True,5,32,10
C5,20,0,37,38,0,37,True,6,64,26
C6,1,0,20,21,0,20,True,6,64,43
C6,2,15,23,9,15,23,True,5,32,23
C6,3,16,37,22,16,37,True,6,64,42
C6,4,24,36,13,24,36,True,6,64,51
C6,5,0,10,11,0,10,True,6,64,53
C6,6,13,25,13,13,25,True,5,32,19
C6,7,0,22,23,0,22,True,5,32,9
C6,8,18,38,21,18,38,True,6,64,43
C6,9,0,20,21,0,20,True,6,64,43
C6,10,0,13,14,0,13,True,5,32,18
C7,1,0,22,23,0,22,True,6,64,41
C7,2,0,18,19,0,18,True,6,64,45
C7,3,0,12,13,0,12,True,5,32,19
C7,4,23,44,22,23,44,True,6,64,42
C7,5,0,22,23,0,22,True,6,64,41
C7,6,11,33,23,11,33,True,6,64,41
C7,7,12,29,18,12,29,True,5,32,14
C7,8,1,23,23,1,23,True,5,32,9
C7,9,10,26,17,10,26,True,5,32,15
C7,10,17,41,25,17,41,True,6,64,39
C7,11,2,24,23,2,24,True,6,64,41
C7,12,6,32,27,6,32,True,6,64,37
C8,1,0,28,29,0,28,True,6,64,35
C8,2,0,29,30,0,29,True,6,64,34
C8,3,0,20,21,0,20,True,5,32,11
C8,4,0,32,33,0,32,True,6,64,31
C8,5,5,41,37,5,41,True,6,64,27
C8,6,8,42,35,8,42,True,6,64,29
C8,7,11,32,22,11,32,True,6,64,42
C8,8,5,26,22,5,26,True,5,32,10
C8,9,0,30,31,0,30,True,6,64,33
C8,10,9,40,32,9,40,True,6,64,32
C9,1,0,24,25,0,24,True,5,32,7
C9,2,0,29,30,0,29,True,6,64,34
C9,3,0,20,21,0,20,True,5,32,11
C9,4,0,34,35,0,34,True,6,64,29
C9,5,4,28,25,4,28,True,5,32,7
C9,6,0,19,20,0,19,True,5,32,12
C9,7,8,44,37,8,44,True,6,64,27
C9,8,9,37,29,9,37,True,6,64,35
V50_HIGH,1,0,29,30,0,29,True,6,64,34
V50_HIGH,2,0,26,27,0,26,True,5,32,5
V50_HIGH,3,0,22,23,0,22,True,5,32,9
V50_HIGH,4,22,50,29,22,50,True,6,64,35
V50_HIGH,5,0,32,33,0,32,True,6,64,31
V50_HIGH,6,0,21,22,0,21,True,5,32,10
V50_HIGH,7,0,20,21,0,20,True,5,32,11
V50_HIGH,8,0,25,26,0,25,True,5,32,6
V50_HIGH,9,0,31,32,0,31,True,6,64,32
V50_HIGH,10,14,43,30,14,43,True,6,64,34
V50_HIGH,11,0,28,29,0,28,True,5,32,3
V50_HIGH,12,0,34,35,0,34,True,6,64,29
V50_HIGH,13,0,31,32,0,31,True,6,64,32
V50_HIGH,14,0,36,37,0,36,True,6,64,27
V50_HIGH,15,6,39,34,6,39,True,6,64,30
V50_HIGH,16,0,31,32,0,31,True,6,64,32
V50_HIGH,17,2,32,31,2,32,True,6,64,33
V50_HIGH,18,9,34,26,9,34,True,6,64,38
V50_HIGH,19,0,21,22,0,21,True,5,32,10
V50_HIGH,20,0,26,27,0,26,True,5,32,5
V50_HIGH,21,15,47,33,15,47,True,6,64,31
V50_HIGH,22,18,43,26,18,43,True,6,64,38
V50_HIGH,23,0,28,29,0,28,True,6,64,35
V50_HIGH,24,0,30,31,0,30,True,6,64,33
V50_HIGH,25,0,22,23,0,22,True,5,32,9
V50_HIGH,26,0,34,35,0,34,True,6,64,29
V50_HIGH,27,0,27,28,0,27,True,6,64,36
V50_HIGH,28,11,39,29,11,39,True,6,64,35
V50_HIGH,29,0,32,33,0,32,True,6,64,31
V50_HIGH,30,0,26,27,0,26,True,6,64,37
V50_HIGH,31,14,44,31,14,44,True,6,64,33
V50_HIGH,32,14,44,31,14,44,True,6,64,33
V50_HIGH,33,1,29,29,1,29,True,5,32,3
V50_HIGH,34,10,37,28,10,37,True,6,64,36
V50_HIGH,35,0,28,29,0,28,True,6,64,35
V50_HIGH,36,0,25,26,0,25,True,6,64,38
V50_HIGH,37,14,47,34,14,47,True,6,64,30
V50_HIGH,38,0,27,28,0,27,True,6,64,36
V50_HIGH,39,11,41,31,11,41,True,6,64,33
V50_HIGH,40,0,27,28,0,27,True,5,32,4
V50_HIGH,41,0,32,33,0,32,True,6,64,31
V50_HIGH,42,16,48,33,16,48,True,6,64,31
V50_HIGH,43,0,20,21,0,20,True,5,32,11
V50_HIGH,44,0,32,33,0,32,True,6,64,31
V50_HIGH,45,15,41,27,15,41,True,6,64,37
V50_HIGH,46,0,30,31,0,30,True,6,64,33
V50_HIGH,47,0,34,35,0,34,True,6,64,29
V50_HIGH,48,0,30,31,0,30,True,6,64,33
V50_HIGH,49,0,35,36,0,35,True,6,64,28
V50_HIGH,50,0,26,27,0,26,True,5,32,5
V50_MODERATE,1,4,42,39,4,42,True,6,64,25
V50_MODERATE,2,0,22,23,0,22,True,5,32,9
V50_MODERATE,3,6,47,42,6,47,True,6,64,22
V50_MODERATE,4,0,20,21,0,20,True,5,32,11
V50_MODERATE,5,2,45,44,2,45,True,6,64,20
V50_MODERATE,6,0,29,30,0,29,True,5,32,2
V50_MODERATE,7,0,26,27,0,26,True,5,32,5
V50_MODERATE,8,0,24,25,0,24,True,5,32,7
V50_MODERATE,9,0,21,22,0,21,True,5,32,10
V50_MODERATE,10,0,22,23,0,22,True,5,32,9
V50_MODERATE,11,6,43,38,6,43,True,6,64,26
V50_MODERATE,12,0,24,25,0,24,True,5,32,7
V50_MODERATE,13,0,32,33,0,32,True,6,64,31
V50_MODERATE,14,0,39,40,0,39,True,6,64,24
V50_MODERATE,15,3,36,34,3,36,True,6,64,30
V50_MODERATE,16,0,27,28,0,27,True,5,32,4
V50_MODERATE,17,0,20,21,0,20,True,5,32,11
V50_MODERATE,18,8,49,42,8,49,True,6,64,22
V50_MODERATE,19,2,45,44,2,45,True,6,64,20
V50_MODERATE,20,0,22,23,0,22,True,5,32,9
V50_MODERATE,21,0,32,33,0,32,True,6,64,31
V50_MODERATE,22,0,20,21,0,20,True,5,32,11
V50_MODERATE,23,2,43,42,2,43,True,6,64,22
V50_MODERATE,24,2,39,38,2,39,True,6,64,26
V50_MODERATE,25,0,25,26,0,25,True,5,32,6
V50_MODERATE,26,0,21,22,0,21,True,5,32,10
V50_MODERATE,27,0,37,38,0,37,True,6,64,26
V50_MODERATE,28,0,26,27,0,26,True,5,32,5
V50_MODERATE,29,6,46,41,6,46,True,6,64,23
V50_MODERATE,30,0,41,42,0,41,True,6,64,22
V50_MODERATE,31,0,41,42,0,41,True,6,64,22
V50_MODERATE,32,0,22,23,0,22,True,5,32,9
V50_MODERATE,33,0,22,23,0,22,True,5,32,9
V50_MODERATE,34,0,21,22,0,21,True,5,32,10
V50_MODERATE,35,0,26,27,0,26,True,5,32,5
V50_MODERATE,36,0,27,28,0,27,True,5,32,4
V50_MODERATE,37,0,42,43,0,42,True,6,64,21
V50_MODERATE,38,0,38,39,0,38,True,6,64,25
V50_MODERATE,39,0,43,44,0,43,True,6,64,20
V50_MODERATE,40,0,27,28,0,27,True,5,32,4
V50_MODERATE,41,7,47,41,7,47,True,6,64,23
V50_MODERATE,42,0,29,30,0,29,True,5,32,2
V50_MODERATE,43,0,35,36,0,35,True,6,64,28
V50_MODERATE,44,7,48,42,7,48,True,6,64,22
V50_MODERATE,45,0,21,22,0,21,True,5,32,10
V50_MODERATE,46,0,21,22,0,21,True,5,32,10
V50_MODERATE,47,0,44,45,0,44,True,6,64,19
V50_MODERATE,48,0,41,42,0,41,True,6,64,22
V50_MODERATE,49,0,30,31,0,30,True,5,32,1
V50_MODERATE,50,0,25,26,0,25,True,5,32,6
V50_TIGHT2400,1,5,28,24,5,28,True,5,32,8
V50_TIGHT2400,2,3,29,27,3,29,True,5,32,5
V50_TIGHT2400,3,2,30,29,2,30,True,5,32,3
V50_TIGHT2400,4,10,42,33,10,42,True,6,64,31
V50_TIGHT2400,5,12,31,20,12,31,True,5,32,12
V50_TIGHT2400,6,0,27,28,0,27,True,6,64,36
V50_TIGHT2400,7,0,20,21,0,20,True,5,32,11
V50_TIGHT2400,8,16,50,35,16,50,True,6,64,29
V50_TIGHT2400,9,0,29,30,0,29,True,5,32,2
V50_TIGHT2400,10,9,25,17,9,25,True,5,32,15
V50_TIGHT2400,11,33,48,16,33,48,True,6,64,48
V50_TIGHT2400,12,0,21,22,0,21,True,5,32,10
V50_TIGHT2400,13,0,21,22,0,21,True,5,32,10
V50_TIGHT2400,14,4,34,31,4,34,True,6,64,33
V50_TIGHT2400,15,0,15,16,0,15,True,5,32,16
V50_TIGHT2400,16,3,31,29,3,31,True,6,64,35
V50_TIGHT2400,17,0,24,25,0,24,True,6,64,39
V50_TIGHT2400,18,0,16,17,0,16,True,5,32,15
V50_TIGHT2400,19,0,20,21,0,20,True,6,64,43
V50_TIGHT2400,20,9,26,18,9,26,True,5,32,14
V50_TIGHT2400,21,0,26,27,0,26,True,5,32,5
V50_TIGHT2400,22,11,40,30,11,40,True,6,64,34
V50_TIGHT2400,23,9,35,27,9,35,True,6,64,37
V50_TIGHT2400,24,0,23,24,0,23,True,5,32,8
V50_TIGHT2400,25,13,43,31,13,43,True,6,64,33
V50_TIGHT2400,26,3,21,19,3,21,True,5,32,13
V50_TIGHT2400,27,0,15,16,0,15,True,5,32,16
V50_TIGHT2400,28,0,26,27,0,26,True,5,32,5
V50_TIGHT2400,29,16,46,31,16,46,True,6,64,33
V50_TIGHT2400,30,23,42,20,23,42,True,6,64,44
V50_TIGHT2400,31,3,21,19,3,21,True,5,32,13
V50_TIGHT2400,32,11,43,33,11,43,True,6,64,31
V50_TIGHT2400,33,2,27,26,2,27,True,5,32,6
V50_TIGHT2400,34,1,33,33,1,33,True,6,64,31
V50_TIGHT2400,35,0,20,21,0,20,True,5,32,11
V50_TIGHT2400,36,3,34,32,3,34,True,6,64,32
V50_TIGHT2400,37,0,17,18,0,17,True,5,32,14
V50_TIGHT2400,38,24,44,21,24,44,True,6,64,43
V50_TIGHT2400,39,8,38,31,8,38,True,6,64,33
V50_TIGHT2400,40,1,25,25,1,25,True,5,32,7
V50_TIGHT2400,41,0,21,22,0,21,True,5,32,10
V50_TIGHT2400,42,7,37,31,7,37,True,6,64,33
V50_TIGHT2400,43,6,24,19,6,24,True,5,32,13
V50_TIGHT2400,44,20,38,19,20,38,True,6,64,45
V50_TIGHT2400,45,0,17,18,0,17,True,6,64,46
V50_TIGHT2400,46,18,47,30,18,47,True,6,64,34
V50_TIGHT2400,47,0,19,20,0,19,True,6,64,44
V50_TIGHT2400,48,0,18,19,0,18,True,6,64,45
V50_TIGHT2400,49,7,23,17,7,23,True,5,32,15
V50_TIGHT2400,50,0,27,28,0,27,True,6,64,36
V50_TIGHT2550,1,15,34,20,15,34,True,6,64,44
V50_TIGHT2550,2,0,25,26,0,25,True,6,64,38
V50_TIGHT2550,3,1,28,28,1,28,True,5,32,4
V50_TIGHT2550,4,30,50,21,30,50,True,6,64,43
V50_TIGHT2550,5,11,44,34,11,44,True,6,64,30
V50_TIGHT2550,6,1,23,23,1,23,True,5,32,9
V50_TIGHT2550,7,0,20,21,0,20,True,5,32,11
V50_TIGHT2550,8,0,24,25,0,24,True,5,32,7
V50_TIGHT2550,9,0,32,33,0,32,True,6,64,31
V50_TIGHT2550,10,6,42,37,6,42,True,6,64,27
V50_TIGHT2550,11,0,29,30,0,29,True,6,64,34
V50_TIGHT2550,12,0,18,19,0,18,True,6,64,45
V50_TIGHT2550,13,0,26,27,0,26,True,6,64,37
V50_TIGHT2550,14,6,34,29,6,34,True,6,64,35
V50_TIGHT2550,15,18,50,33,18,50,True,6,64,31
V50_TIGHT2550,16,9,41,33,9,41,True,6,64,31
V50_TIGHT2550,17,33,49,17,33,49,True,6,64,47
V50_TIGHT2550,18,0,21,22,0,21,True,5,32,10
V50_TIGHT2550,19,11,43,33,11,43,True,6,64,31
V50_TIGHT2550,20,0,26,27,0,26,True,5,32,5
V50_TIGHT2550,21,0,25,26,0,25,True,6,64,38
V50_TIGHT2550,22,14,38,25,14,38,True,6,64,39
V50_TIGHT2550,23,6,25,20,6,25,True,5,32,12
V50_TIGHT2550,24,0,26,27,0,26,True,5,32,5
V50_TIGHT2550,25,7,34,28,7,34,True,6,64,36
V50_TIGHT2550,26,0,26,27,0,26,True,6,64,37
V50_TIGHT2550,27,0,20,21,0,20,True,5,32,11
V50_TIGHT2550,28,0,27,28,0,27,True,6,64,36
V50_TIGHT2550,29,26,45,20,26,45,True,6,64,44
V50_TIGHT2550,30,0,19,20,0,19,True,6,64,44
V50_TIGHT2550,31,15,30,16,15,30,True,5,32,16
V50_TIGHT2550,32,6,34,29,6,34,True,6,64,35
V50_TIGHT2550,33,4,23,20,4,23,True,5,32,12
V50_TIGHT2550,34,5,37,33,5,37,True,6,64,31
V50_TIGHT2550,35,0,20,21,0,20,True,5,32,11
V50_TIGHT2550,36,13,42,30,13,42,True,6,64,34
V50_TIGHT2550,37,0,31,32,0,31,True,6,64,32
V50_TIGHT2550,38,0,22,23,0,22,True,5,32,9
V50_TIGHT2550,39,0,23,24,0,23,True,5,32,8
V50_TIGHT2550,40,23,45,23,23,45,True,6,64,41
V50_TIGHT2550,41,0,23,24,0,23,True,6,64,40
V50_TIGHT2550,42,3,31,29,3,31,True,5,32,3
V50_TIGHT2550,43,5,20,16,5,20,True,5,32,16
V50_TIGHT2550,44,0,33,34,0,33,True,6,64,30
V50_TIGHT2550,45,0,22,23,0,22,True,5,32,9
V50_TIGHT2550,46,0,16,17,0,16,True,6,64,47
V50_TIGHT2550,47,0,28,29,0,28,True,6,64,35
V50_TIGHT2550,48,3,33,31,3,33,True,6,64,33
V50_TIGHT2550,49,25,44,20,25,44,True,6,64,44
V50_TIGHT2550,50,11,42,32,11,42,True,6,64,32
