leaf_id,gamma_L,gamma_U,factory_version,factory_signature,canonical_row_signature,model_sha256,global_family_count,interval_family_count,selector_variable_count,contract_valid
R.1.0.0.0.0.0.1.0.1.1,0.18243740724414192,0.18278623593868137,round19_v2_projected_centering,56ea7d46063e6eeb,cb1cf96b017c9a3333fa4083c3e26fc085d31da82a4966abf739c13cd4b4c036,cb1cf96b017c9a3333fa4083c3e26fc085d31da82a4966abf739c13cd4b4c036,6,9,0,1
R.1.0.0.0.0.0.1.0.1.0,0.18208857854960245,0.18243740724414192,round19_v2_projected_centering,248105084a1a3c30,48eea5aa2b2d37a8900b59263508d5cd2436a005378a1d83bddc8e481c9e053a,48eea5aa2b2d37a8900b59263508d5cd2436a005378a1d83bddc8e481c9e053a,6,9,0,1
R.1.0.0.0.0.1.0.0.0,0.18418155071683925,0.18487920810591818,round19_v2_projected_centering,18659e14e91dc037,1eafedec200b740302c99ca94316db69d785869bc98c62f53137f3b30ef48234,1eafedec200b740302c99ca94316db69d785869bc98c62f53137f3b30ef48234,6,9,0,1
R.1.0.0.0.0.1.0.0.1,0.18487920810591818,0.18557686549499713,round19_v2_projected_centering,df4ae68aae57f026,d6d098f98d59e9dbcb856238eaccf69ec728387db0284977847f9915a331d337,d6d098f98d59e9dbcb856238eaccf69ec728387db0284977847f9915a331d337,6,9,0,1
R.1.0.0.0.0.0.1.1.0.0,0.18278623593868137,0.18313506463322085,round19_v2_projected_centering,41dd71ea8c8ec0af,2f6a40744dac2a26e93fbf44f08161fd04a52595d4a96bd5228162a077839b03,2f6a40744dac2a26e93fbf44f08161fd04a52595d4a96bd5228162a077839b03,6,9,0,1
R.1.0.0.0.0.0.1.1.0.1,0.18313506463322085,0.18348389332776033,round19_v2_projected_centering,3372d2893993a654,21962c2d3ff67df66f157cb67695457efd51beb5b07364e36b202e433729102f,21962c2d3ff67df66f157cb67695457efd51beb5b07364e36b202e433729102f,6,9,0,1
R.1.0.0.0.0.0.1.1.1.0,0.18348389332776033,0.18383272202229978,round19_v2_projected_centering,ce7ba1015e497e65,05967ed07c3ee372a7c92f0a98806743d0b14b57a327ce49e63e242fd69f6909,05967ed07c3ee372a7c92f0a98806743d0b14b57a327ce49e63e242fd69f6909,6,9,0,1
R.1.0.0.0.0.0.1.1.1.1,0.18383272202229978,0.18418155071683925,round19_v2_projected_centering,f2521ad18cca199b,d54ddda1c7bf6662a7ab3c7d0ba77bf11978e5ed313baed3ed57c6bf3723e4f9,d54ddda1c7bf6662a7ab3c7d0ba77bf11978e5ed313baed3ed57c6bf3723e4f9,6,9,0,1
R.1.0.0.0.0.1.1.0,0.18697218027315499,0.18836749505131287,round19_v2_projected_centering,32f1818fa0d93625,166f83830ce2f9e5509455e4fdb9473993fa971014ae9ba096da0e831774a668,166f83830ce2f9e5509455e4fdb9473993fa971014ae9ba096da0e831774a668,6,9,0,1
R.1.0.0.0.0.1.1.1,0.18836749505131287,0.18976280982947075,round19_v2_projected_centering,d462a967e01364c4,5cc3b98e65bec05123e58c1a4e63ed415093d4bfdc3c8c67d9cdacabb81c57c2,5cc3b98e65bec05123e58c1a4e63ed415093d4bfdc3c8c67d9cdacabb81c57c2,6,9,0,1
R.1.0.0.0.0.1.0.0.0.1,0.18453037941137873,0.18487920810591818,round19_v2_projected_centering,76cb8fcd8796203e,06e052b1e9571eafd23da20935f05c1aee5bbf3edeb779d645a6c141dff37e91,06e052b1e9571eafd23da20935f05c1aee5bbf3edeb779d645a6c141dff37e91,6,9,0,1
R.1.0.0.0.0.1.0.0.0.0,0.18418155071683925,0.18453037941137873,round19_v2_projected_centering,40da5990ae845003,72aafa0ceefaf5b8486f80900a2202ccb44aa6ea14e39e159cc1fb29a92a6ce1,72aafa0ceefaf5b8486f80900a2202ccb44aa6ea14e39e159cc1fb29a92a6ce1,6,9,0,1
R.1.0.0.0.0.0.1.0.0.0,0.18139092116052352,0.18173974985506297,round19_v2_projected_centering,8f60a2d3acc6b6bb,426dff8b1f358fa70c30a87e9eaf6cbb781de468ed6f816efa998506da770912,426dff8b1f358fa70c30a87e9eaf6cbb781de468ed6f816efa998506da770912,6,9,0,1
R.1.0.0.0.0.0.1.0.0.1,0.18173974985506297,0.18208857854960245,round19_v2_projected_centering,f6bd3af38a5cec18,88e6c6ddf6ffcb9654386074f66c3e223d8c965043576470a326d70abedecbd4,88e6c6ddf6ffcb9654386074f66c3e223d8c965043576470a326d70abedecbd4,6,9,0,1
R.1.0.0.0.0.1.0.1.0,0.18557686549499713,0.18627452288407606,round19_v2_projected_centering,796cdcb36de84694,3d9e80b92a7d8c0c6580fedc6ac3312f1843aa42089ca0e4818ca5f569125906,3d9e80b92a7d8c0c6580fedc6ac3312f1843aa42089ca0e4818ca5f569125906,6,9,0,1
R.1.0.0.0.0.1.0.1.1,0.18627452288407606,0.18697218027315499,round19_v2_projected_centering,fc87ba1c41e3a3d2,a031939e27e1772e09136c75dd9d45839cea7b4044ba86ef1cb8fefc50780cb8,a031939e27e1772e09136c75dd9d45839cea7b4044ba86ef1cb8fefc50780cb8,6,9,0,1
R.1.0.0.0.0.0.0.1.0,0.17999560638236564,0.18069326377144457,round19_v2_projected_centering,d38269bc25240299,bec7a9b38659fec8ee20e5d2ee8f09666fc656623300b1c818cd1f54db81e143,bec7a9b38659fec8ee20e5d2ee8f09666fc656623300b1c818cd1f54db81e143,6,9,0,1
R.1.0.0.0.0.0.0.1.1,0.18069326377144457,0.18139092116052352,round19_v2_projected_centering,2190755d15abacb5,0c201cec9fe35b35d2cd9ba1ef0475e3ea1724d53adf75c5362ecd584d1ed667,0c201cec9fe35b35d2cd9ba1ef0475e3ea1724d53adf75c5362ecd584d1ed667,6,9,0,1
R.1.0.0.0.0.1.0.0.1.0,0.18487920810591818,0.18522803680045766,round19_v2_projected_centering,32a72412a98b7c7f,a7e73c2e6bb3959e48c81b2d1ce12613f3c8d689336925dd6dd0ff1f0cfdc240,a7e73c2e6bb3959e48c81b2d1ce12613f3c8d689336925dd6dd0ff1f0cfdc240,6,9,0,1
R.1.0.0.0.0.1.0.0.1.1,0.18522803680045766,0.18557686549499713,round19_v2_projected_centering,fcaa162fd3404b09,2a63926c2ea0697959c2ddd7adf13a1d60d610973a7001cb7b503b1e4e1f4920,2a63926c2ea0697959c2ddd7adf13a1d60d610973a7001cb7b503b1e4e1f4920,6,9,0,1
R.1.0.0.0.1.0.1,0.19255343938578651,0.19534406894210224,round19_v2_projected_centering,54bab9ddbc3a6442,4d04e3d1ce48cb09f0267a05afd9a158990227744ec7ffe3d8d31127afa90c64,4d04e3d1ce48cb09f0267a05afd9a158990227744ec7ffe3d8d31127afa90c64,6,9,0,1
R.1.0.0.0.1.0.0,0.18976280982947075,0.19255343938578651,round19_v2_projected_centering,ed45f0e96fe94f52,697dd8b6e17185634778a6d68a40ef4b3f169494b454a564bf8ca931137a126e,697dd8b6e17185634778a6d68a40ef4b3f169494b454a564bf8ca931137a126e,6,9,0,1
R.1.0.0.0.0.1.0.1.0.0,0.18557686549499713,0.18592569418953658,round19_v2_projected_centering,53d2209a10ed4b56,98f88b9325f459419c5bef334ba905987f15b4d361436c9186af00c755d7911b,98f88b9325f459419c5bef334ba905987f15b4d361436c9186af00c755d7911b,6,9,0,1
R.1.0.0.0.0.1.0.1.0.1,0.18592569418953658,0.18627452288407606,round19_v2_projected_centering,1c329875a6a4ec2d,9b618bd575553a3f8c1903bce92ca817fc7de6b62bf4dc541470bfbc255443ad,9b618bd575553a3f8c1903bce92ca817fc7de6b62bf4dc541470bfbc255443ad,6,9,0,1
R.1.0.0.0.0.1.1.0.1,0.18766983766223394,0.18836749505131287,round19_v2_projected_centering,9f1de5df04753df2,ab5d883d07e34238f3685d102c2db18aa36db82fc085fdc2b5650b6dc9120e3d,ab5d883d07e34238f3685d102c2db18aa36db82fc085fdc2b5650b6dc9120e3d,6,9,0,1
R.1.0.0.0.0.1.1.0.0,0.18697218027315499,0.18766983766223394,round19_v2_projected_centering,71500fd358ff0225,292b65173f61af4fe4b323c69fcf3164193e00408ca229f415b153793948c288,292b65173f61af4fe4b323c69fcf3164193e00408ca229f415b153793948c288,6,9,0,1
R.1.0.0.0.0.0.0.1.1.0,0.18069326377144457,0.18104209246598404,round19_v2_projected_centering,b60ad5bbbc8ba5e2,8899e5a8a4fad52eeef0ed66b025e0e2dfd960bc7d8233f981ac8e82f27963a0,8899e5a8a4fad52eeef0ed66b025e0e2dfd960bc7d8233f981ac8e82f27963a0,6,9,0,1
R.1.0.0.0.0.0.0.1.1.1,0.18104209246598404,0.18139092116052352,round19_v2_projected_centering,eddda024b4d7e098,7eaf1e01ceed12ec8a8d3e395a9bde0888ce9525c6296a1ff7471a1999b73877,7eaf1e01ceed12ec8a8d3e395a9bde0888ce9525c6296a1ff7471a1999b73877,6,9,0,1
R.1.0.0.0.0.1.0.1.1.1,0.18662335157861554,0.18697218027315499,round19_v2_projected_centering,219df54805b5409d,1a612f586d496a792b3c3a423c7b8281f01585a41e868805b82e1c8b58402262,1a612f586d496a792b3c3a423c7b8281f01585a41e868805b82e1c8b58402262,6,9,0,1
R.1.0.0.0.0.1.0.1.1.0,0.18627452288407606,0.18662335157861554,round19_v2_projected_centering,19c5b8a0eb01702e,a8850b40cf44a42357f5d9ee343cd71d01c13dff80b4e2afac35ee13f0846466,a8850b40cf44a42357f5d9ee343cd71d01c13dff80b4e2afac35ee13f0846466,6,9,0,1
