stage,suite,instance,budget_seconds,arm,run_id,ub_view,comparison_ub,observed_horizon_seconds,normalized_bound_progress_auc,observation_count,performance_eligible
stage2,existing,tight_T_seed3101,900,plain,stage2__tight_T_seed3101__plain__900s__dense_on,plain_ub,0.1722565765191228,882.0039129,0.07635755687162012,4653,True
stage2,existing,tight_T_seed3101,900,plain,stage2__tight_T_seed3101__plain__900s__dense_on,frozen_common_ub,0.10725273413394144,882.0039129,0.12263641989437192,4653,True
stage2,existing,tight_T_seed3102,900,S0,stage2__tight_T_seed3102__s0__900s__dense_on,plain_ub,0.6083914942609021,861.9810227,0.8963215898840673,6009,True
stage2,existing,tight_T_seed3102,900,S0,stage2__tight_T_seed3102__s0__900s__dense_on,frozen_common_ub,0.6007044366851081,861.9810227,0.9077915828574595,6009,True
stage2,existing,tight_T_seed3102,900,plain,stage2__tight_T_seed3102__plain__900s__dense_on,plain_ub,0.6083914942609021,882.0125209,0.5047836469717469,9305,True
stage2,existing,tight_T_seed3102,900,plain,stage2__tight_T_seed3102__plain__900s__dense_on,frozen_common_ub,0.6007044366851081,882.0125209,0.5112432312874601,9305,True
stage3,existing,V12_M1,1800,S0,stage3__V12_M1__s0__1800s__dense_on,plain_ub,0.3572005832084155,110.1415497,0.9596845104692221,7682,True
stage3,existing,V12_M1,1800,S0,stage3__V12_M1__s0__1800s__dense_on,frozen_common_ub,0.3572005832084155,110.1415497,0.9596845104692221,7682,True
stage3,existing,V12_M1,1800,plain,stage3__V12_M1__plain__1800s__dense_on,plain_ub,0.3572005832084155,617.2102573000001,0.9618065597251314,391418,True
stage3,existing,V12_M1,1800,plain,stage3__V12_M1__plain__1800s__dense_on,frozen_common_ub,0.3572005832084155,617.2102573000001,0.9618065597251314,391418,True
stage3,existing,V12_M2,1800,S0,stage3__V12_M2__s0__1800s__dense_on,plain_ub,0.7243949354801448,267.55017139999995,0.9604278831030424,12742,True
stage3,existing,V12_M2,1800,S0,stage3__V12_M2__s0__1800s__dense_on,frozen_common_ub,0.7185040707549709,267.55017139999995,0.9683022306090986,12742,True
stage3,existing,V12_M2,1800,plain,stage3__V12_M2__plain__1800s__dense_on,plain_ub,0.7243949354801448,1770.0096714000001,0.8044973408012972,128411,True
stage3,existing,V12_M2,1800,plain,stage3__V12_M2__plain__1800s__dense_on,frozen_common_ub,0.7185040707549709,1770.0096714000001,0.8110932463769654,128411,True
stage3,existing,high_imbalance_seed3201,1800,S0,stage3__high_imbalance_seed3201__s0__1800s__dense_on,plain_ub,2.4436931141192626,1750.7666457999999,0.9619702232528914,18302,True
stage3,existing,high_imbalance_seed3201,1800,S0,stage3__high_imbalance_seed3201__s0__1800s__dense_on,frozen_common_ub,2.4434031919432,1750.7666457999999,0.9620843658967846,18302,True
stage3,existing,high_imbalance_seed3201,1800,plain,stage3__high_imbalance_seed3201__plain__1800s__dense_on,plain_ub,2.4436931141192626,1770.0090434,0.8333063472621685,4670,True
stage3,existing,high_imbalance_seed3201,1800,plain,stage3__high_imbalance_seed3201__plain__1800s__dense_on,frozen_common_ub,2.4434031919432,1770.0090434,0.8334052232848942,4670,True
stage3,existing,high_imbalance_seed3202,1800,S0,stage3__high_imbalance_seed3202__s0__1800s__dense_on,plain_ub,1.8353905679342581,1750.0464367,0.9297896534990316,7648,True
stage3,existing,high_imbalance_seed3202,1800,S0,stage3__high_imbalance_seed3202__s0__1800s__dense_on,frozen_common_ub,1.7493134520506337,1750.0464367,0.9755410948189466,7648,True
stage3,existing,high_imbalance_seed3202,1800,plain,stage3__high_imbalance_seed3202__plain__1800s__dense_on,plain_ub,1.8353905679342581,1770.0251844000002,0.5911922195291713,8205,True
stage3,existing,high_imbalance_seed3202,1800,plain,stage3__high_imbalance_seed3202__plain__1800s__dense_on,frozen_common_ub,1.7493134520506337,1770.0251844000002,0.6202825584448552,8205,True
stage3,existing,moderate_seed3301,1800,S0,stage3__moderate_seed3301__s0__1800s__dense_on,plain_ub,0.058884174969223976,1749.9956131000001,0.7729546189844373,7878,True
stage3,existing,moderate_seed3301,1800,S0,stage3__moderate_seed3301__s0__1800s__dense_on,frozen_common_ub,0.04915255266474515,1749.9956131000001,0.9259904635674229,7878,True
stage3,existing,moderate_seed3301,1800,plain,stage3__moderate_seed3301__plain__1800s__dense_on,plain_ub,0.058884174969223976,1770.1378424,0.6880976040727848,2547,True
stage3,existing,moderate_seed3301,1800,plain,stage3__moderate_seed3301__plain__1800s__dense_on,frozen_common_ub,0.04915255266474515,1770.1378424,0.8243327664076222,2547,True
stage3,existing,moderate_seed3302,1800,S0,stage3__moderate_seed3302__s0__1800s__dense_on,plain_ub,0.2525257855687099,1749.9794067999999,0.5615918184439446,10711,True
stage3,existing,moderate_seed3302,1800,S0,stage3__moderate_seed3302__s0__1800s__dense_on,frozen_common_ub,0.19563620654901237,1749.9794067999999,0.7248986147458747,10711,True
stage3,existing,moderate_seed3302,1800,plain,stage3__moderate_seed3302__plain__1800s__dense_on,plain_ub,0.2525257855687099,1770.1385292,0.48382456830385523,3767,True
stage3,existing,moderate_seed3302,1800,plain,stage3__moderate_seed3302__plain__1800s__dense_on,frozen_common_ub,0.19563620654901237,1770.1385292,0.6245172166419191,3767,True
stage3,existing,tight_T_seed3101,1800,S0,stage3__tight_T_seed3101__s0__1800s__dense_on,plain_ub,0.14687567304238552,1749.9934238,0.2924237898024257,16460,True
stage3,existing,tight_T_seed3101,1800,S0,stage3__tight_T_seed3101__s0__1800s__dense_on,frozen_common_ub,0.10725273413394144,1749.9934238,0.4004554409512648,16460,True
stage3,existing,tight_T_seed3101,1800,plain,stage3__tight_T_seed3101__plain__1800s__dense_on,plain_ub,0.14687567304238552,1770.007425,0.097811023231543,10605,True
stage3,existing,tight_T_seed3101,1800,plain,stage3__tight_T_seed3101__plain__1800s__dense_on,frozen_common_ub,0.10725273413394144,1770.007425,0.13394586146546555,10605,True
stage3,existing,tight_T_seed3102,1800,S0,stage3__tight_T_seed3102__s0__1800s__dense_on,plain_ub,0.6007044366851081,1749.9975121,0.9185713777488443,12425,True
stage3,existing,tight_T_seed3102,1800,S0,stage3__tight_T_seed3102__s0__1800s__dense_on,frozen_common_ub,0.6007044366851081,1749.9975121,0.9185713777488443,12425,True
stage3,existing,tight_T_seed3102,1800,plain,stage3__tight_T_seed3102__plain__1800s__dense_on,plain_ub,0.6007044366851081,1770.0067345,0.5280311504459861,20297,True
stage3,existing,tight_T_seed3102,1800,plain,stage3__tight_T_seed3102__plain__1800s__dense_on,frozen_common_ub,0.6007044366851081,1770.0067345,0.5280311504459861,20297,True
stage4,heldout,high_imbalance_seed4201,900,S0,stage4__high_imbalance_seed4201__s0__900s__dense_on,plain_ub,2.7846302751762,861.980001,0.979883863429457,8796,True
stage4,heldout,high_imbalance_seed4201,900,S0,stage4__high_imbalance_seed4201__s0__900s__dense_on,frozen_common_ub,2.784107571242904,861.980001,0.9800678323087065,8796,True
stage4,heldout,high_imbalance_seed4201,900,plain,stage4__high_imbalance_seed4201__plain__900s__dense_on,plain_ub,2.7846302751762,882.0054227,0.7072742114219641,4331,True
stage4,heldout,high_imbalance_seed4201,900,plain,stage4__high_imbalance_seed4201__plain__900s__dense_on,frozen_common_ub,2.784107571242904,882.0054227,0.7074069990398165,4331,True
stage4,heldout,high_imbalance_seed4202,900,S0,stage4__high_imbalance_seed4202__s0__900s__dense_on,plain_ub,2.229746745951722,862.0048748,0.9606493342034115,3140,True
stage4,heldout,high_imbalance_seed4202,900,S0,stage4__high_imbalance_seed4202__s0__900s__dense_on,frozen_common_ub,2.2297090832281636,862.0048748,0.9606655608361073,3140,True
stage4,heldout,high_imbalance_seed4202,900,plain,stage4__high_imbalance_seed4202__plain__900s__dense_on,plain_ub,2.229746745951722,882.0122663,0.7099341557637172,9378,True
stage4,heldout,high_imbalance_seed4202,900,plain,stage4__high_imbalance_seed4202__plain__900s__dense_on,frozen_common_ub,2.2297090832281636,882.0122663,0.7099461474867814,9378,True
stage4,heldout,moderate_seed4301,900,S0,stage4__moderate_seed4301__s0__900s__dense_on,plain_ub,0.04865896849455246,2.3816875,0.06656337788401928,8,False
stage4,heldout,moderate_seed4301,900,S0,stage4__moderate_seed4301__s0__900s__dense_on,frozen_common_ub,0.019278051143257303,2.3816875,0.168009996616402,8,False
stage4,heldout,moderate_seed4301,900,plain,stage4__moderate_seed4301__plain__900s__dense_on,plain_ub,0.04865896849455246,882.1258616,0.08718468437258972,1620,False
stage4,heldout,moderate_seed4301,900,plain,stage4__moderate_seed4301__plain__900s__dense_on,frozen_common_ub,0.019278051143257303,882.1258616,0.22005942294520445,1620,False
stage4,heldout,moderate_seed4302,900,S0,stage4__moderate_seed4302__s0__900s__dense_on,plain_ub,0.053796641523224026,861.9885055000001,0.052823568403363164,2141,True
stage4,heldout,moderate_seed4302,900,S0,stage4__moderate_seed4302__s0__900s__dense_on,frozen_common_ub,0.04854285887126694,861.9885055000001,0.05854065128115659,2141,True
stage4,heldout,moderate_seed4302,900,plain,stage4__moderate_seed4302__plain__900s__dense_on,plain_ub,0.053796641523224026,882.2607370000001,0.0,1654,True
stage4,heldout,moderate_seed4302,900,plain,stage4__moderate_seed4302__plain__900s__dense_on,frozen_common_ub,0.04854285887126694,882.2607370000001,0.0,1654,True
stage4,heldout,tight_T_seed4101,900,S0,stage4__tight_T_seed4101__s0__900s__dense_on,plain_ub,0.5965870204927315,861.9945823,0.7897911732670031,7065,True
stage4,heldout,tight_T_seed4101,900,S0,stage4__tight_T_seed4101__s0__900s__dense_on,frozen_common_ub,0.562981400559009,861.9945823,0.8369355762072532,7065,True
stage4,heldout,tight_T_seed4101,900,plain,stage4__tight_T_seed4101__plain__900s__dense_on,plain_ub,0.5965870204927315,882.0158760999999,0.571950735714204,8959,True
stage4,heldout,tight_T_seed4101,900,plain,stage4__tight_T_seed4101__plain__900s__dense_on,frozen_common_ub,0.562981400559009,882.0158760999999,0.6060917553396086,8959,True
stage4,heldout,tight_T_seed4102,900,S0,stage4__tight_T_seed4102__s0__900s__dense_on,plain_ub,0.2485776842856502,861.9899677,0.72390738596622,9312,True
stage4,heldout,tight_T_seed4102,900,S0,stage4__tight_T_seed4102__s0__900s__dense_on,frozen_common_ub,0.24331429587887546,861.9899677,0.7395669908780923,9312,True
stage4,heldout,tight_T_seed4102,900,plain,stage4__tight_T_seed4102__plain__900s__dense_on,plain_ub,0.2485776842856502,882.0057873,0.5117323635223058,4893,True
stage4,heldout,tight_T_seed4102,900,plain,stage4__tight_T_seed4102__plain__900s__dense_on,frozen_common_ub,0.24331429587887546,882.0057873,0.5228021865255358,4893,True
stage5,existing,high_imbalance_seed3202,3600,S0,stage5__high_imbalance_seed3202__s0__3600s__dense_on,plain_ub,1.7493134520506337,3265.593232,0.9845444240381624,13616,True
stage5,existing,high_imbalance_seed3202,3600,S0,stage5__high_imbalance_seed3202__s0__3600s__dense_on,frozen_common_ub,1.7493134520506337,3265.593232,0.9845444240381624,13616,True
stage5,existing,high_imbalance_seed3202,3600,plain,stage5__high_imbalance_seed3202__plain__3600s__dense_on,plain_ub,1.7493134520506337,3570.0603690000003,0.636371592727007,14394,True
stage5,existing,high_imbalance_seed3202,3600,plain,stage5__high_imbalance_seed3202__plain__3600s__dense_on,frozen_common_ub,1.7493134520506337,3570.0603690000003,0.636371592727007,14394,True
stage5,heldout,high_imbalance_seed4201,3600,S0,stage5__high_imbalance_seed4201__s0__3600s__dense_on,plain_ub,2.784107571242904,3550.0162505000003,0.984280565929766,27611,True
stage5,heldout,high_imbalance_seed4201,3600,S0,stage5__high_imbalance_seed4201__s0__3600s__dense_on,frozen_common_ub,2.784107571242904,3550.0162505000003,0.984280565929766,27611,True
stage5,heldout,high_imbalance_seed4201,3600,plain,stage5__high_imbalance_seed4201__plain__3600s__dense_on,plain_ub,2.784107571242904,3570.0083713999998,0.7404845684263823,24712,True
stage5,heldout,high_imbalance_seed4201,3600,plain,stage5__high_imbalance_seed4201__plain__3600s__dense_on,frozen_common_ub,2.784107571242904,3570.0083713999998,0.7404845684263823,24712,True
