run_id,instance,arm,observed_first_touch_count,delay_seconds_median,delay_seconds_p90,delay_seconds_p95,delay_seconds_max,delay_nodes_median,delay_nodes_p95,delay_nodes_max,delays_over_300_seconds,delays_over_900_seconds,positive_node_delay_count
stage3__tight_T_seed3101__s1__1800s__dense_on,tight_T_seed3101,S1,355,0.10797839999997905,83.08826059999996,204.6374421,838.5918133,2.0,2701.0,9644.0,13,0,355
stage3__tight_T_seed3102__s0__1800s__dense_on,tight_T_seed3102,S0,235,0.14296119999999846,139.48337859999998,282.31090539999997,1619.2453791,2.0,2734.0,16303.0,11,2,235
stage3__tight_T_seed3102__s1__1800s__dense_on,tight_T_seed3102,S1,239,0.1403762999999998,114.1492955,219.2620012,1009.4276227999999,2.0,3326.0,14018.0,8,2,239
stage3__V12_M1__s0__1800s__dense_on,V12_M1,S0,442,0.036937599999999904,6.347129300000001,13.732179499999994,53.4324976,2.0,1385.0,8444.0,0,0,442
stage3__V12_M1__s1__1800s__dense_on,V12_M1,S1,439,0.05013940000000083,8.078980299999998,15.996853500000002,47.5017155,2.0,1517.0,4495.0,0,0,439
stage3__V12_M2__s0__1800s__dense_on,V12_M2,S0,275,0.06544890000000692,13.055738199999993,50.979582699999995,135.1106766,2.0,3923.0,14923.0,0,0,275
stage3__V12_M2__s1__1800s__dense_on,V12_M2,S1,276,0.053932700000004274,30.305373600000024,56.52299319999997,448.4604204,2.0,6123.0,45220.0,2,0,276
stage4__high_imbalance_seed4201__s0__900s__dense_on,high_imbalance_seed4201,S0,101,0.16917630000000372,102.3010935,170.3704795,577.7674814,2.0,2231.0,7361.0,3,0,101
stage4__high_imbalance_seed4201__s1__900s__dense_on,high_imbalance_seed4201,S1,145,0.17483810000000233,70.2271178,268.41147409999996,844.3812632,2.0,3577.0,10227.0,6,0,145
stage4__high_imbalance_seed4202__s0__900s__dense_on,high_imbalance_seed4202,S0,127,0.2030188000000095,249.2317022,367.49024430000003,559.8817602,2.0,1983.0,2881.0,8,0,127
stage4__high_imbalance_seed4202__s1__900s__dense_on,high_imbalance_seed4202,S1,129,0.187631200000002,200.7213375,385.5252628,762.2250498,2.0,2571.0,4164.0,8,0,129
stage4__moderate_seed4302__s0__900s__dense_on,moderate_seed4302,S0,99,0.19669130000000035,106.18215479999998,236.6169529,385.5744306,2.0,1016.0,1619.0,4,0,99
stage4__moderate_seed4302__s1__900s__dense_on,moderate_seed4302,S1,101,0.21973020000007182,83.8651,284.1412225,623.79738,2.0,886.0,1948.0,5,0,101
stage4__tight_T_seed4101__s0__900s__dense_on,tight_T_seed4101,S0,230,0.16825259999995978,93.5778432,186.26943159999996,682.6644157999999,2.0,2264.0,7420.0,5,0,230
stage4__tight_T_seed4101__s1__900s__dense_on,tight_T_seed4101,S1,244,0.1649678999999935,72.2587738,170.18010130000005,651.6173246999999,2.0,2069.0,8997.0,6,0,244
stage4__tight_T_seed4102__s0__900s__dense_on,tight_T_seed4102,S0,212,0.16064649999999858,116.09817620000001,175.7291173,552.4843932,2.0,2721.0,8275.0,1,0,212
stage4__tight_T_seed4102__s1__900s__dense_on,tight_T_seed4102,S1,245,0.1629771000000062,57.150078699999995,136.4757864,621.2544171,2.0,1258.0,5983.0,4,0,245
stage5__high_imbalance_seed3202__s0__3600s__dense_on,high_imbalance_seed3202,S0,255,0.20192919999999503,320.74822389999986,635.8316302,2940.0933434,2.0,4769.0,22710.0,28,7,255
stage5__high_imbalance_seed3202__s1__3600s__dense_on,high_imbalance_seed3202,S1,265,0.26258110000000023,301.05724389999995,500.8058707,2590.3511253,2.0,3065.0,17409.0,27,9,265
stage5__high_imbalance_seed4201__s0__3600s__dense_on,high_imbalance_seed4201,S0,151,0.13995870000007926,205.1420546999998,577.9762315,1687.1643967,2.0,7361.0,16134.0,12,4,151
stage5__high_imbalance_seed4201__s1__3600s__dense_on,high_imbalance_seed4201,S1,198,0.22570370000016737,525.7274302999999,842.1077728,1500.8954806,2.0,10240.0,26635.0,23,8,198
