column,mapped,value,lower_bound,upper_bound,integer,lower_bound_satisfied,upper_bound_satisfied,integrality_satisfied
bit_5_3,True,0.0,0.0,1.0,True,True,True,True
bit_5_4,True,0.0,0.0,1.0,True,True,True,True
bit_6_0,True,1.0,0.0,1.0,True,True,True,True
bit_6_1,True,0.0,0.0,1.0,True,True,True,True
bit_6_2,True,1.0,0.0,1.0,True,True,True,True
bit_6_3,True,0.0,0.0,1.0,True,True,True,True
bit_6_4,True,1.0,0.0,1.0,True,True,True,True
bit_6_5,True,0.0,0.0,1.0,True,True,True,True
bit_7_0,True,0.0,0.0,1.0,True,True,True,True
bit_7_1,True,0.0,0.0,1.0,True,True,True,True
bit_7_2,True,1.0,0.0,1.0,True,True,True,True
bit_7_3,True,0.0,0.0,1.0,True,True,True,True
bit_7_4,True,0.0,0.0,1.0,True,True,True,True
bit_7_5,True,1.0,0.0,1.0,True,True,True,True
bit_8_0,True,0.0,0.0,1.0,True,True,True,True
bit_8_1,True,1.0,0.0,1.0,True,True,True,True
bit_8_2,True,1.0,0.0,1.0,True,True,True,True
bit_8_3,True,1.0,0.0,1.0,True,True,True,True
bit_8_4,True,1.0,0.0,1.0,True,True,True,True
bit_8_5,True,0.0,0.0,1.0,True,True,True,True
bit_9_0,True,1.0,0.0,1.0,True,True,True,True
bit_9_1,True,0.0,0.0,1.0,True,True,True,True
bit_9_2,True,1.0,0.0,1.0,True,True,True,True
bit_9_3,True,1.0,0.0,1.0,True,True,True,True
bit_9_4,True,0.0,0.0,1.0,True,True,True,True
conn_0_0_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_10,True,8.0,0.0,20.0,False,True,True,True
conn_0_0_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_0_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_1,True,7.0,0.0,20.0,False,True,True,True
conn_0_10_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_10_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_11_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_12_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_16,True,5.0,0.0,20.0,False,True,True,True
conn_0_13_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_13_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_14_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_15_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_19,True,4.0,0.0,20.0,False,True,True,True
conn_0_16_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_16_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_17_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_18_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_4,True,3.0,0.0,20.0,False,True,True,True
conn_0_19_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_19_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_13,True,6.0,0.0,20.0,False,True,True,True
conn_0_1_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_1_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_20_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_17,True,1.0,0.0,20.0,False,True,True,True
conn_0_2_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_2_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_2,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_4,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_3_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_11,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_12,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_13,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_14,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_15,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_16,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_17,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_18,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_19,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_2,True,2.0,0.0,20.0,False,True,True,True
conn_0_4_20,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_3,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_5,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_6,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_7,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_8,True,0.0,0.0,20.0,False,True,True,True
conn_0_4_9,True,0.0,0.0,20.0,False,True,True,True
conn_0_5_0,True,0.0,0.0,20.0,False,True,True,True
conn_0_5_1,True,0.0,0.0,20.0,False,True,True,True
conn_0_5_10,True,0.0,0.0,20.0,False,True,True,True
conn_0_5_11,True,0.0,0.0,20.0,False,True,True,True
