fixation_case,column,fixed_value,fixation_scope
retained_labels,Y_19,12.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_19,12.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_2,23.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_2,23.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_20,13.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_20,13.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_3,1.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_3,1.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_4,29.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_4,29.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_5,4.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_5,4.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_6,21.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_6,21.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_7,36.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_7,36.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_8,30.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_8,30.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,Y_9,13.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,Y_9,13.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_1,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_1,8.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_10,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_10,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_11,15.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_11,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_12,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_12,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_13,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_13,1.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_14,6.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_14,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_15,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_15,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_16,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_16,1.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_17,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_17,3.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_18,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_18,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_19,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_19,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_2,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_2,3.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_20,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_20,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_3,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_3,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_4,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_4,5.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_5,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_5,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_6,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_6,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_7,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_7,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_8,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_8,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_0_9,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_0_9,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_1,8.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_1,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_10,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_10,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_11,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_11,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_12,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_12,10.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_13,1.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_13,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_14,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_14,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_15,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_15,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_16,1.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_16,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_17,3.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_17,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_18,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_18,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_19,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_19,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_2,3.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_2,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_20,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_20,11.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_3,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_3,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_4,5.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_4,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_5,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_5,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_6,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_6,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_7,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_7,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_8,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_8,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_1_9,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_1_9,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_1,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_1,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_10,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_10,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_11,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_11,15.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_12,10.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_12,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_13,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_13,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_14,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_14,6.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_15,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_15,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_16,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_16,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_17,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_17,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_18,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_18,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_19,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_19,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_2,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_2,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_20,11.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_20,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_3,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_3,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_4,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_4,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_5,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_5,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_6,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_6,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_7,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_7,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_8,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_8,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,d_2_9,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,d_2_9,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_1,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_1,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_10,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_10,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_11,0.17142857142857137,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_11,0.17142857142857137,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_12,0.0357142857142857,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_12,0.0357142857142857,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_13,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_13,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_14,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_14,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_15,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_15,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_16,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_16,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_17,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_17,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_18,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_18,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_19,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_19,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_2,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_2,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_20,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_20,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_3,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_3,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_4,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_4,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_5,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_5,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_6,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_6,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_7,0.09090909090909083,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_7,0.09090909090909083,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_8,0.032258064516129004,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_8,0.032258064516129004,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,e_9,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,e_9,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_10_11,0.17142857142857137,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_10_11,0.17142857142857137,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_10_12,0.0357142857142857,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_10_12,0.0357142857142857,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_10_13,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_10_13,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_10_14,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_10_14,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_10_15,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_10_15,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_10_16,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_10_16,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_10_17,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_10_17,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_10_18,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_10_18,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_10_19,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_10_19,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_10_20,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_10_20,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_11_12,0.13571428571428568,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_11_12,0.13571428571428568,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_11_13,0.17142857142857137,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_11_13,0.17142857142857137,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_11_14,0.17142857142857137,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_11_14,0.17142857142857137,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_11_15,0.17142857142857137,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_11_15,0.17142857142857137,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_11_16,0.17142857142857137,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_11_16,0.17142857142857137,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_11_17,0.17142857142857137,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_11_17,0.17142857142857137,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_11_18,0.17142857142857137,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_11_18,0.17142857142857137,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_11_19,0.17142857142857137,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_11_19,0.17142857142857137,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_11_20,0.17142857142857137,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_11_20,0.17142857142857137,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_12_13,0.0357142857142857,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_12_13,0.0357142857142857,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_12_14,0.0357142857142857,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_12_14,0.0357142857142857,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_12_15,0.0357142857142857,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_12_15,0.0357142857142857,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_12_16,0.0357142857142857,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_12_16,0.0357142857142857,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_12_17,0.0357142857142857,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_12_17,0.0357142857142857,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_12_18,0.0357142857142857,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_12_18,0.0357142857142857,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_12_19,0.0357142857142857,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_12_19,0.0357142857142857,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_12_20,0.0357142857142857,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_12_20,0.0357142857142857,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_13_14,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_13_14,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_13_15,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_13_15,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_13_16,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_13_16,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_13_17,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_13_17,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_13_18,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_13_18,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_13_19,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_13_19,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_13_20,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_13_20,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_14_15,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_14_15,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_14_16,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_14_16,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_14_17,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_14_17,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_14_18,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_14_18,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_14_19,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_14_19,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_14_20,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_14_20,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_15_16,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_15_16,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_15_17,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_15_17,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_15_18,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_15_18,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_15_19,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_15_19,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_15_20,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_15_20,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_16_17,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_16_17,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_16_18,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_16_18,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_16_19,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_16_19,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_16_20,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_16_20,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_17_18,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_17_18,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_17_19,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_17_19,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_17_20,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_17_20,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_18_19,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_18_19,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_18_20,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_18_20,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_19_20,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_19_20,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_1_10,0.0,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_1_10,0.0,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_1_11,0.17142857142857137,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_1_11,0.17142857142857137,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_1_12,0.0357142857142857,unambiguous_original_semantics
symmetry_canonical_equal_capacity_labels,h_1_12,0.0357142857142857,unambiguous_original_semantics_modulo_valid_vehicle_symmetry
retained_labels,h_1_13,0.0,unambiguous_original_semantics
