phase,instance_id,configuration,run_id,correctness,certified,right_censored,false_certificate,verified_incumbent,parameter_roundtrip_valid,root_coverage_valid,global_bound_monotone,failure_reason
development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,veto-f05,stage3-development__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__veto-f05,True,True,False,,,,,,none
development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,veto-f05,stage3-development__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__veto-f05,True,True,False,,,,,,none
validation,round39_small_easy_V8_M1_Q30_slot01_seed432322553,noadaptive,validation__round39_small_easy_V8_M1_Q30_slot01_seed432322553__final,True,True,False,False,True,True,True,True,none
validation,round39_small_easy_V10_M3_Q20_slot06_seed1178207568,noadaptive,validation__round39_small_easy_V10_M3_Q20_slot06_seed1178207568__final,True,True,False,False,True,True,True,True,none
validation,round39_small_easy_V12_M2_Q30_slot07_seed1210444511,noadaptive,validation__round39_small_easy_V12_M2_Q30_slot07_seed1210444511__final,True,True,False,False,True,True,True,True,none
validation,round39_small_medium_V8_M2_Q20_slot02_seed890603285,noadaptive,validation__round39_small_medium_V8_M2_Q20_slot02_seed890603285__final,True,True,False,False,True,True,True,True,none
validation,round39_small_medium_V12_M1_Q30_slot07_seed907224013,noadaptive,validation__round39_small_medium_V12_M1_Q30_slot07_seed907224013__final,True,True,False,False,True,True,True,True,none
validation,round39_small_hard_V12_M1_Q20_slot05_seed180890838,noadaptive,validation__round39_small_hard_V12_M1_Q20_slot05_seed180890838__final,True,True,False,False,True,True,True,True,none
validation,round39_small_hard_V10_M2_Q20_slot03_seed490008310,noadaptive,validation__round39_small_hard_V10_M2_Q20_slot03_seed490008310__final,True,True,False,False,True,True,True,True,none
validation_fallback,round39_small_easy_V8_M1_Q30_slot01_seed432322553,veto-f05,validation-fallback__round39_small_easy_V8_M1_Q30_slot01_seed432322553__veto-f05,True,True,False,False,True,True,True,True,none
validation_fallback,round39_small_easy_V10_M3_Q20_slot06_seed1178207568,veto-f05,validation-fallback__round39_small_easy_V10_M3_Q20_slot06_seed1178207568__veto-f05,True,True,False,False,True,True,True,True,none
validation_fallback,round39_small_easy_V12_M2_Q30_slot07_seed1210444511,veto-f05,validation-fallback__round39_small_easy_V12_M2_Q30_slot07_seed1210444511__veto-f05,True,True,False,False,True,True,True,True,none
validation_fallback,round39_small_medium_V8_M2_Q20_slot02_seed890603285,veto-f05,validation-fallback__round39_small_medium_V8_M2_Q20_slot02_seed890603285__veto-f05,True,True,False,False,True,True,True,True,none
validation_fallback,round39_small_medium_V12_M1_Q30_slot07_seed907224013,veto-f05,validation-fallback__round39_small_medium_V12_M1_Q30_slot07_seed907224013__veto-f05,True,True,False,False,True,True,True,True,none
validation_fallback,round39_small_hard_V12_M1_Q20_slot05_seed180890838,veto-f05,validation-fallback__round39_small_hard_V12_M1_Q20_slot05_seed180890838__veto-f05,True,True,False,False,True,True,True,True,none
validation_fallback,round39_small_hard_V10_M2_Q20_slot03_seed490008310,veto-f05,validation-fallback__round39_small_hard_V10_M2_Q20_slot03_seed490008310__veto-f05,True,True,False,False,True,True,True,True,none
