instance_id,lookahead_policy,injection_policy,parent_decisions,lookahead_lp_jobs,depth2_lp_jobs,fixed_d2_reference_jobs,lp_jobs_avoided_vs_fixed_d2,complete_gap_free_profiles
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,fixed-d1,all,4,8,0,24,16,4
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,fixed-d1,violated,4,8,0,24,16,4
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,fixed-d1,active-one,4,8,0,24,16,4
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,fixed-d2,none,4,24,16,24,0,4
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,fixed-d2,all,4,24,16,24,0,4
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,fixed-d2,violated,4,24,16,24,0,4
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,fixed-d2,active-one,4,24,16,24,0,4
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,frontier-d2,none,4,22,14,24,2,4
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,frontier-d2,all,4,22,14,24,2,4
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,frontier-d2,violated,4,22,14,24,2,4
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,frontier-d2,active-one,4,22,14,24,2,4
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fixed-d1,none,4,8,0,24,16,4
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fixed-d1,all,4,8,0,24,16,4
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fixed-d1,violated,4,8,0,24,16,4
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fixed-d1,active-one,4,8,0,24,16,4
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fixed-d2,none,4,24,16,24,0,4
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fixed-d2,all,4,24,16,24,0,4
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fixed-d2,violated,4,24,16,24,0,4
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fixed-d2,active-one,4,24,16,24,0,4
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,frontier-d2,none,4,18,10,24,6,4
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,frontier-d2,all,4,18,10,24,6,4
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,frontier-d2,violated,4,18,10,24,6,4
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,frontier-d2,active-one,4,18,10,24,6,4
round39_small_medium_V10_M2_Q20_slot05_seed968549317,fixed-d1,none,4,8,0,24,16,4
round39_small_medium_V10_M2_Q20_slot05_seed968549317,fixed-d1,all,4,8,0,24,16,4
round39_small_medium_V10_M2_Q20_slot05_seed968549317,fixed-d1,violated,4,8,0,24,16,4
round39_small_medium_V10_M2_Q20_slot05_seed968549317,fixed-d1,active-one,4,8,0,24,16,4
round39_small_medium_V10_M2_Q20_slot05_seed968549317,fixed-d2,none,4,24,16,24,0,4
round39_small_medium_V10_M2_Q20_slot05_seed968549317,fixed-d2,all,4,24,16,24,0,4
round39_small_medium_V10_M2_Q20_slot05_seed968549317,fixed-d2,violated,4,24,16,24,0,4
round39_small_medium_V10_M2_Q20_slot05_seed968549317,fixed-d2,active-one,4,24,16,24,0,4
round39_small_medium_V10_M2_Q20_slot05_seed968549317,frontier-d2,none,4,22,14,24,2,4
round39_small_medium_V10_M2_Q20_slot05_seed968549317,frontier-d2,all,4,22,14,24,2,4
round39_small_medium_V10_M2_Q20_slot05_seed968549317,frontier-d2,violated,4,22,14,24,2,4
round39_small_medium_V10_M2_Q20_slot05_seed968549317,frontier-d2,active-one,4,22,14,24,2,4
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,fixed-d1,none,2,4,0,12,8,2
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,fixed-d1,all,2,4,0,12,8,2
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,fixed-d1,violated,2,4,0,12,8,2
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,fixed-d1,active-one,2,4,0,12,8,2
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,fixed-d2,none,2,12,8,12,0,2
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,fixed-d2,all,2,12,8,12,0,2
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,fixed-d2,violated,2,12,8,12,0,2
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,fixed-d2,active-one,2,12,8,12,0,2
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,frontier-d2,none,2,8,4,12,4,2
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,frontier-d2,all,2,8,4,12,4,2
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,frontier-d2,violated,2,8,4,12,4,2
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,frontier-d2,active-one,2,8,4,12,4,2
round39_small_hard_V10_M1_Q20_slot01_seed561355351,fixed-d1,none,2,4,0,12,8,2
round39_small_hard_V10_M1_Q20_slot01_seed561355351,fixed-d1,all,2,4,0,12,8,2
round39_small_hard_V10_M1_Q20_slot01_seed561355351,fixed-d1,violated,2,4,0,12,8,2
round39_small_hard_V10_M1_Q20_slot01_seed561355351,fixed-d1,active-one,2,4,0,12,8,2
round39_small_hard_V10_M1_Q20_slot01_seed561355351,fixed-d2,none,2,12,8,12,0,2
round39_small_hard_V10_M1_Q20_slot01_seed561355351,fixed-d2,all,2,12,8,12,0,2
round39_small_hard_V10_M1_Q20_slot01_seed561355351,fixed-d2,violated,2,12,8,12,0,2
round39_small_hard_V10_M1_Q20_slot01_seed561355351,fixed-d2,active-one,2,12,8,12,0,2
round39_small_hard_V10_M1_Q20_slot01_seed561355351,frontier-d2,none,2,8,4,12,4,2
round39_small_hard_V10_M1_Q20_slot01_seed561355351,frontier-d2,all,2,8,4,12,4,2
round39_small_hard_V10_M1_Q20_slot01_seed561355351,frontier-d2,violated,2,8,4,12,4,2
round39_small_hard_V10_M1_Q20_slot01_seed561355351,frontier-d2,active-one,2,8,4,12,4,2
round39_small_hard_V12_M3_Q20_slot07_seed621538683,fixed-d1,none,4,8,0,24,16,4
round39_small_hard_V12_M3_Q20_slot07_seed621538683,fixed-d1,all,4,8,0,24,16,4
round39_small_hard_V12_M3_Q20_slot07_seed621538683,fixed-d1,violated,4,8,0,24,16,4
round39_small_hard_V12_M3_Q20_slot07_seed621538683,fixed-d1,active-one,4,8,0,24,16,4
round39_small_hard_V12_M3_Q20_slot07_seed621538683,fixed-d2,none,4,24,16,24,0,4
round39_small_hard_V12_M3_Q20_slot07_seed621538683,fixed-d2,all,4,24,16,24,0,4
round39_small_hard_V12_M3_Q20_slot07_seed621538683,fixed-d2,violated,4,24,16,24,0,4
round39_small_hard_V12_M3_Q20_slot07_seed621538683,fixed-d2,active-one,4,24,16,24,0,4
round39_small_hard_V12_M3_Q20_slot07_seed621538683,frontier-d2,none,4,24,16,24,0,4
round39_small_hard_V12_M3_Q20_slot07_seed621538683,frontier-d2,all,4,24,16,24,0,4
round39_small_hard_V12_M3_Q20_slot07_seed621538683,frontier-d2,violated,4,24,16,24,0,4
round39_small_hard_V12_M3_Q20_slot07_seed621538683,frontier-d2,active-one,4,24,16,24,0,4
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,fixed-d1,none,4,8,0,24,16,4
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,fixed-d1,all,4,8,0,24,16,4
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,fixed-d1,violated,4,8,0,24,16,4
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,fixed-d1,active-one,4,8,0,24,16,4
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,fixed-d2,none,4,24,16,24,0,4
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,fixed-d2,all,4,24,16,24,0,4
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,fixed-d2,violated,4,24,16,24,0,4
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,fixed-d2,active-one,4,24,16,24,0,4
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,frontier-d2,none,4,16,8,24,8,4
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,frontier-d2,all,4,16,8,24,8,4
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,frontier-d2,violated,4,16,8,24,8,4
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,frontier-d2,active-one,4,16,8,24,8,4
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,fixed-d1,none,4,8,0,24,16,4
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,fixed-d1,all,4,8,0,24,16,4
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,fixed-d1,violated,4,8,0,24,16,4
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,fixed-d1,active-one,4,8,0,24,16,4
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,fixed-d2,none,4,24,16,24,0,4
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,fixed-d2,all,4,24,16,24,0,4
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,fixed-d2,violated,4,24,16,24,0,4
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,fixed-d2,active-one,4,24,16,24,0,4
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,frontier-d2,none,4,16,8,24,8,4
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,frontier-d2,all,4,16,8,24,8,4
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,frontier-d2,violated,4,16,8,24,8,4
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,frontier-d2,active-one,4,16,8,24,8,4
