"file","elapsed_seconds","event","incumbent_UB","global_LB","gap","unresolved_intervals","open_nodes","bound_time_seconds","pricing_time_seconds"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_native_300s.csv","185.8492091","adaptive_split_child_4","0.0491525526647","0.0427477151184","0.130305288314","3","3","165.8415528","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_native_300s.csv","224.6874095","adaptive_split_child_5","0.0491525526647","0.0427477151184","0.130305288314","3","3","204.6797005","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_native_300s.csv","263.5213634","adaptive_split_child_6","0.0491525526647","0.0427477151184","0.130305288314","4","4","243.5136015","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_native_300s.csv","302.3074667","adaptive_split_child_7","0.0491525526647","0.0430233632327","0.124697276129","4","4","282.2996527","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_native_300s.csv","302.3074952","adaptive_split_child_8","0.0491525526647","0.0427477151184","0.130305288314","5","5","282.2996527","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_native_300s.csv","302.3075496","route_pool_before_final_summary","0.0491525526647","0.0427477151184","0.130305288314","5","5","282.2996527","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_native_300s.csv","302.3075973","final_summary","0.0491525526647","0.0427477151184","0.130305288314","5","5","282.2996527","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","0.0003298","initial_empty_incumbent","1.27708196677","0","1","0","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","40.0131632","initial_after_seed","0.0491525526647","0","1","3","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","79.559504","interval_relaxation_0","0.0491525526647","0.0163841842216","0.666666666667","3","0","39.546153","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","118.2199285","interval_relaxation_1","0.0491525526647","0.0327683684432","0.333333333333","3","1","78.2065351","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","127.7992707","interval_relaxation_2","0.0491525526647","0.0426751738296","0.131781128019","2","2","87.785839","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","167.3971485","adaptive_split_child_3","0.0491525526647","0.0440604552058","0.103597823163","2","2","127.3836571","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","206.3899859","adaptive_split_child_4","0.0491525526647","0.0427477151184","0.130305288314","3","3","166.376453","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","245.1427348","adaptive_split_child_5","0.0491525526647","0.0427477151184","0.130305288314","3","3","205.1291554","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","283.9284413","adaptive_split_child_6","0.0491525526647","0.0427477151184","0.130305288314","4","4","243.9148159","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","303.3982721","adaptive_split_child_7","0.0491525526647","0.0430233632327","0.124697276129","4","4","263.384601","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","303.3983021","adaptive_split_child_8","0.0491525526647","0.0427477151184","0.130305288314","5","5","263.384601","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","303.3983569","route_pool_before_final_summary","0.0491525526647","0.0427477151184","0.130305288314","5","5","263.384601","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3301_core_repair_300s.csv","303.3984032","final_summary","0.0491525526647","0.0427477151184","0.130305288314","5","5","263.384601","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3302_core_native_300s.csv","0.0002436","initial_empty_incumbent","1.35527730796","0","1","0","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3302_core_native_300s.csv","20.0101878","initial_after_seed","0.196836224675","0","1","3","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3302_core_native_300s.csv","63.4672827","interval_relaxation_0","0.196836224675","0.0656120748918","0.666666666667","3","0","43.4569837","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3302_core_native_300s.csv","103.9538591","interval_relaxation_1","0.196836224675","0.129258044578","0.343321866737","3","1","83.9435168","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3302_core_native_300s.csv","142.5214091","interval_relaxation_2","0.196836224675","0.129258044578","0.343321866737","3","2","122.5110236","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3302_core_native_300s.csv","185.6139227","adaptive_split_child_3","0.196836224675","0.131752930863","0.330646932085","3","3","165.603472","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3302_core_native_300s.csv","227.2638115","adaptive_split_child_4","0.196836224675","0.129928167661","0.339917396426","4","4","207.2533185","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3302_core_native_300s.csv","268.7753548","adaptive_split_child_5","0.196836224675","0.129928167661","0.339917396426","4","4","248.7647936","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3302_core_native_300s.csv","309.4354287","adaptive_split_child_6","0.196836224675","0.129928167661","0.339917396426","5","5","289.4248207","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3302_core_native_300s.csv","309.4354938","route_pool_before_final_summary","0.196836224675","0.129928167661","0.339917396426","5","5","289.4248207","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\moderate_seed3302_core_native_300s.csv","309.4355375","final_summary","0.196836224675","0.129928167661","0.339917396426","5","5","289.4248207","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3101_core_native_300s.csv","0.0002119","initial_empty_incumbent","3.08221203056","0","1","0","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3101_core_native_300s.csv","5.7695218","initial_after_seed","0.617830412041","0.155896060446","0.747671760068","3","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3101_core_native_300s.csv","72.7614543","interval_relaxation_0","0.617830412041","0.233473335501","0.622107732234","3","0","66.9916051","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3101_core_native_300s.csv","134.9788736","interval_relaxation_1","0.617830412041","0.233473335501","0.622107732234","3","1","129.2089813","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3101_core_native_300s.csv","185.8418594","interval_relaxation_2","0.617830412041","0.233473335501","0.622107732234","3","2","180.0719164","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3101_core_native_300s.csv","202.5572811","adaptive_split_child_3","0.617830412041","0.387573796559","0.372685790461","2","2","196.7872781","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3101_core_native_300s.csv","267.4606934","adaptive_split_child_4","0.617830412041","0.284602061219","0.539352457127","3","3","261.6906454","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3101_core_native_300s.csv","332.1939178","adaptive_split_child_5","0.617830412041","0.284602061219","0.539352457127","3","3","326.4238208","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3101_core_native_300s.csv","332.1939456","adaptive_split_child_6","0.617830412041","0.284602061219","0.539352457127","4","4","326.4238208","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3101_core_native_300s.csv","332.1939944","route_pool_before_final_summary","0.617830412041","0.284602061219","0.539352457127","4","4","326.4238208","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3101_core_native_300s.csv","332.194038","final_summary","0.617830412041","0.284602061219","0.539352457127","4","4","326.4238208","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_native_300s.csv","0.0002409","initial_empty_incumbent","4.01813657439","0","1","0","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_native_300s.csv","9.9795491","initial_after_seed","1.57552584458","0.633333333333","0.598017807506","3","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_native_300s.csv","9.9807056","interval_relaxation_2","1.57552584458","1.19257605441","0.243061573049","2","0","0.0009046","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_native_300s.csv","113.5452412","interval_relaxation_0","1.57552584458","1.38494952823","0.120960450761","2","0","103.565383","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_native_300s.csv","206.8235764","interval_relaxation_1","1.57552584458","1.38494952823","0.120960450761","2","1","196.8436769","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_native_300s.csv","233.9777676","adaptive_split_child_3","1.57552584458","1.49436243824","0.0515151221508","1","1","223.9978116","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_native_300s.csv","332.302282","adaptive_split_child_4","1.57552584458","1.39118663149","0.117001706903","2","2","322.3222832","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_native_300s.csv","332.3023469","route_pool_before_final_summary","1.57552584458","1.39118663149","0.117001706903","2","2","322.3222832","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_native_300s.csv","332.3023857","final_summary","1.57552584458","1.39118663149","0.117001706903","2","2","322.3222832","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_repair_300s.csv","0.0002335","initial_empty_incumbent","4.01813657439","0","1","0","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_repair_300s.csv","18.598636","initial_after_seed","1.57552584458","0.633333333333","0.598017807506","3","0","0","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_repair_300s.csv","18.5992048","interval_relaxation_2","1.57552584458","1.19257605441","0.243061573049","2","0","0.0003724","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_repair_300s.csv","122.8459591","interval_relaxation_0","1.57552584458","1.38494952823","0.120960450761","2","0","104.246957","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_repair_300s.csv","216.5634447","interval_relaxation_1","1.57552584458","1.38494952823","0.120960450761","2","1","197.9643993","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_repair_300s.csv","243.8651438","adaptive_split_child_3","1.57552584458","1.49436243824","0.0515151221508","1","1","225.2660396","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_repair_300s.csv","342.6166247","adaptive_split_child_4","1.57552584458","1.39118663149","0.117001706903","2","2","324.0174684","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_repair_300s.csv","342.6166884","route_pool_before_final_summary","1.57552584458","1.39118663149","0.117001706903","2","2","324.0174684","0"
"E:\codes\ExactEBRP\results\exact_primal_stress_round\progress\tight_T_seed3102_core_repair_300s.csv","342.6167263","final_summary","1.57552584458","1.39118663149","0.117001706903","2","2","324.0174684","0"
