leaf_id,parent_id,child_index,depth,gamma_L,gamma_U,base_lower_bound,current_lower_bound,cutoff,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,lp_native_status,terminal_mip_started,terminal_native_status,closure_source,model_sha256,row_signature,parent_child_coverage_valid,parent_replaced,lower_bound_sources
R.0.0.0.1.1.1,"R.0.0.0.1.1",1,6,0.018468771190288856,0.021107167074615834,0.075370071051892418,0.076906847952109503,0.16885733659692667,replaced,1,1,0,0.076906847952109503,"OPTIMAL",0,"not_run","",b9f543474d0b3bdd27a75c3aa03389cb00ef3dc1c524df710a02a38bc3328c6b,b9f543474d0b3bdd27a75c3aa03389cb00ef3dc1c524df710a02a38bc3328c6b,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.1.0,"R.0.0.1.0.1",0,6,0.026383958843269793,0.029022354727596771,0.076745667296396036,0.077635752760442878,0.16885733659692667,replaced,1,1,0,0.077635752760442878,"OPTIMAL",0,"not_run","",1dccbdc1dbe9ddd1768ba6a97971c9b5c38a3b1995c44366be6d8ecd7380fda0,1dccbdc1dbe9ddd1768ba6a97971c9b5c38a3b1995c44366be6d8ecd7380fda0,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.1.1,"R.0.0.1.0.1",1,6,0.029022354727596771,0.031660750611923749,0.076745667296396036,0.078387315040601799,0.16885733659692667,replaced,1,1,0,0.078387315040601799,"OPTIMAL",0,"not_run","",9f774a204fb038731ff79297b93a49d89caef7545f7b9d58492263a58961a10a,9f774a204fb038731ff79297b93a49d89caef7545f7b9d58492263a58961a10a,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.0.0,"R.0.0.1.0.0",0,6,0.021107167074615834,0.023745562958942812,0.075336913314521844,0.076635237383435764,0.16885733659692667,replaced,1,1,0,0.076635237383435764,"OPTIMAL",0,"not_run","",4d7dcd92c45aa796902501b6321b50289f4188fc4cdbc83d4c65453800cffa35,4d7dcd92c45aa796902501b6321b50289f4188fc4cdbc83d4c65453800cffa35,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.0.1,"R.0.0.1.0.0",1,6,0.023745562958942812,0.026383958843269793,0.075336913314521844,0.076939951743901433,0.16885733659692667,replaced,1,1,0,0.076939951743901433,"OPTIMAL",0,"not_run","",e7ebadedb742a721cfda6c9c475f7fc47e0fdddac4af956a19c88649ac23165a,e7ebadedb742a721cfda6c9c475f7fc47e0fdddac4af956a19c88649ac23165a,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.0.0.0,"R.0.0.1.0.0.0",0,7,0.021107167074615834,0.022426365016779325,0.076635237383435764,0.077542638851551382,0.16885733659692667,replaced,1,1,0,0.077542638851551382,"OPTIMAL",0,"not_run","",f36e0932b25465b1ffa2363682fcb97c3667cc5644df426e7fdbbe2ed34a2858,f36e0932b25465b1ffa2363682fcb97c3667cc5644df426e7fdbbe2ed34a2858,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.0.0.1,"R.0.0.1.0.0.0",1,7,0.022426365016779325,0.023745562958942812,0.076635237383435764,0.077407115176950231,0.16885733659692667,replaced,1,1,0,0.077407115176950231,"OPTIMAL",0,"not_run","",1cfbc05fcabe4c74bddb352825a75b59def9dd97a695a0f90f41261307825449,1cfbc05fcabe4c74bddb352825a75b59def9dd97a695a0f90f41261307825449,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.0.1.0,"R.0.0.1.0.0.1",0,7,0.023745562958942812,0.025064760901106303,0.076939951743901433,0.07753809298846269,0.16885733659692667,replaced,1,1,0,0.07753809298846269,"OPTIMAL",0,"not_run","",2bc8d60e40746cbc9c8643a134b83f0d29546a96c83f80119094a1f8def5a347,2bc8d60e40746cbc9c8643a134b83f0d29546a96c83f80119094a1f8def5a347,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.0.1.1,"R.0.0.1.0.0.1",1,7,0.025064760901106303,0.026383958843269793,0.076939951743901433,0.07774236397175685,0.16885733659692667,replaced,1,1,0,0.07774236397175685,"OPTIMAL",0,"not_run","",26dedf8b10ff7e8c11ce4ccdef76d00f5cff4fd7b65b8219f05a07dbfc82dcf3,26dedf8b10ff7e8c11ce4ccdef76d00f5cff4fd7b65b8219f05a07dbfc82dcf3,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.0.1.1.1.0,"R.0.0.0.1.1.1",0,7,0.018468771190288856,0.019787969132452343,0.076906847952109503,0.077837407767670577,0.16885733659692667,replaced,1,1,0,0.077837407767670577,"OPTIMAL",0,"not_run","",68b6d42a6e8a5dbd92854c9c720ead4820d595c57e209769fce99dff6a7f80d2,68b6d42a6e8a5dbd92854c9c720ead4820d595c57e209769fce99dff6a7f80d2,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
