stage,run_id,passed,result_hash_valid,runner_lifecycle_valid,structural_exactness_valid,environment_model_lifecycle_balanced,work_components_exact,nodes_reconstruct_from_ledger,target_count_valid,target_reached_count_valid,requeue_count_valid,split_count_valid,terminal_count_valid,leaf_partition_valid,timestamps_monotone,certificate_or_deadline_endpoint_valid,optimize_rows,target_rows,split_rows,work_ledger_absolute_delta,work_ledger_relative_delta,old_six_digit_work_reconstruction_exact_at_1e_7
C,r36c_26_round32_multi_m_moderate_V20_M2_seed479269984__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,16,4,3,0.0003133938247117385,1.243798048134341e-06,False
C,r36c_27_round32_multi_m_moderate_V20_M4_seed822125155__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2,1,0,0.0016482481146340433,4.435193264189357e-07,False
C,r36c_28_round32_multi_m_tight_T_V20_M2_seed89001413__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,2,2,2.483398520780611e-05,4.270863688575713e-08,True
C,r36c_29_round32_multi_m_tight_T_V20_M4_seed2095231402__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,7,0,1,0.0046554898135582334,1.3220436686687827e-06,False
C,r36c_30_round32_multi_m_high_imbalance_V50_M2_seed910922492__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,2,2,0.00011192043064056634,1.2310732472691992e-07,False
C,r36c_31_round32_multi_m_high_imbalance_V50_M4_seed163456187__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.003798374707912444,8.034990319842137e-07,False
C,r36c_32_round32_multi_m_moderate_V50_M2_seed254020866__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,3,2,0.002063315672785393,4.6698109683727605e-07,False
C,r36c_33_round32_multi_m_moderate_V50_M4_seed721910669__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.0016839194113345002,3.6168515147781016e-07,False
C,r36c_34_round32_multi_m_tight_T_V50_M2_seed104207248__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,2,2,0.00012148404843514982,5.911387974603056e-07,False
C,r36c_35_round32_multi_m_tight_T_V50_M4_seed1562257203__bw_p__1800s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,5,1,0,0.0032713619757487322,6.674471420779295e-07,False
C,r36c_36_high_imbalance_seed6202__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.0006494058015960036,7.459432608067893e-08,True
C,r36c_37_moderate_seed6301__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17,5,4,0.00037904017699474934,3.869738230257435e-08,True
C,r36c_38_tight_T_seed6102__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4,1,0,0.03014003198950377,2.733884105184324e-06,False
C,r36c_39_round31_sealed_high_imbalance_V50_seed802548647__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,2,2,0.0018556626787358255,6.889044137419218e-07,False
C,r36c_40_round31_sealed_moderate_V50_seed1112848618__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.048879686703003244,4.612609486402933e-06,False
C,r36c_41_round31_sealed_tight_T_V50_seed1973327304__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,14,4,3,0.0006407811870303703,7.372457335183176e-08,True
C,r36c_42_round32_multi_m_high_imbalance_V50_M2_seed910922492__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,2,2,0.00011192043064056634,1.2310732472691992e-07,False
C,r36c_43_round32_multi_m_high_imbalance_V50_M4_seed163456187__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.00494694508597604,4.997135791641447e-07,False
C,r36c_44_round32_multi_m_moderate_V50_M2_seed254020866__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,3,2,0.0007569936569780111,8.487788277548333e-08,True
C,r36c_45_round32_multi_m_moderate_V50_M4_seed721910669__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,3,2,0.002700955408727168,2.6476360429754705e-07,False
C,r36c_46_round32_multi_m_tight_T_V50_M2_seed104207248__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,2,2,0.00012148404843514982,5.911387974603056e-07,False
C,r36c_47_round32_multi_m_tight_T_V50_M4_seed1562257203__bw_p__3600s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2,1,0.00601852383260848,6.217936088818049e-07,False
