stage,relative_path,frozen_sha256,current_sha256,current_hash_matches,postfreeze_update_class,executable_or_runner_source
diagnostic,scripts/round37_diagnostic_common.py,f27aa633276834d4a64ddf86c0b64177331fa166a5b4c02ca4c871df11ded21b,f27aa633276834d4a64ddf86c0b64177331fa166a5b4c02ca4c871df11ded21b,True,none,True
diagnostic,scripts/round37_experiment_common.py,0653250b3e7c1918e59d45b2a9caf59924117ca5af3bb02c6f632040af5b7aa3,0653250b3e7c1918e59d45b2a9caf59924117ca5af3bb02c6f632040af5b7aa3,True,none,True
diagnostic,scripts/run_round37_frozen_stage.py,47cf9ebd419e57a06e4464d6e4a4ac60745cd0c7c34278ea7c1002c605a22aac,47cf9ebd419e57a06e4464d6e4a4ac60745cd0c7c34278ea7c1002c605a22aac,True,none,True
diagnostic,src/GiniFrontierGeometry.cpp,fdf8ed5c9254036bd11bbfcb913fc7eb02a51f577b370faead02d3bce04c2ef3,fdf8ed5c9254036bd11bbfcb913fc7eb02a51f577b370faead02d3bce04c2ef3,True,none,True
diagnostic,src/PaperExternalGiniTree.cpp,06b1562d689169706eb1b6bae4ac02acade2dfed770b54f3a9bca7f03a438bc8,06b1562d689169706eb1b6bae4ac02acade2dfed770b54f3a9bca7f03a438bc8,True,none,True
diagnostic,src/Result.cpp,9577d4460334929dce1a13fc362c5dde0d3c6df4a1c381b87d3533712fe544c0,9577d4460334929dce1a13fc362c5dde0d3c6df4a1c381b87d3533712fe544c0,True,none,True
diagnostic,src/main.cpp,d4a715cc8823cd2366484efc4d4fae375beeda581a1764b806fae53020fcf6b7,d4a715cc8823cd2366484efc4d4fae375beeda581a1764b806fae53020fcf6b7,True,none,True
confirmation,include/GiniFrontierGeometry.hpp,e5940ad3d5664e14c61223583094a442d5585c9db9afcb6e8725d17341b8bbcd,e5940ad3d5664e14c61223583094a442d5585c9db9afcb6e8725d17341b8bbcd,True,none,True
confirmation,include/Instance.hpp,d0db3f11b12a6b9c12b2347f340963f2da2c3f892e68b321d1015573d7e223a3,d0db3f11b12a6b9c12b2347f340963f2da2c3f892e68b321d1015573d7e223a3,True,none,True
confirmation,include/Result.hpp,ad1a0af840627eb89389519d4bf9f3b32c183199a589bc9e2aa1b82f6af439f3,ad1a0af840627eb89389519d4bf9f3b32c183199a589bc9e2aa1b82f6af439f3,True,none,True
confirmation,results/gf_gini_geometry_mechanism_round37/confirmation_selection_predeclaration.md,95e3d81a214f8c456cb4786b93a4775335ba49c427fb85591250af2f3845c1cd,95e3d81a214f8c456cb4786b93a4775335ba49c427fb85591250af2f3845c1cd,True,none,True
confirmation,results/gf_gini_geometry_mechanism_round37/diagnostic_analysis.json,8be9a2e533c118cbf09d118bcf4ab9995eaa8fff0488716104d096cc1322b899,8be9a2e533c118cbf09d118bcf4ab9995eaa8fff0488716104d096cc1322b899,True,none,True
confirmation,results/gf_gini_geometry_mechanism_round37/diagnostic_analysis.md,0e830f5d373672fad96f2cdcf01842f547dd394713f5ce032e470c53bea469af,0e830f5d373672fad96f2cdcf01842f547dd394713f5ce032e470c53bea469af,True,none,True
confirmation,results/gf_gini_geometry_mechanism_round37/hypothesis_register.json,a9d4023db739a7bce2e701467cb94a0b40a73ef8ed7c70e3edd5cfa97f5308c8,e03b3502355dd1746cf8aa484fea8f4a3fb6ed00fa963f5d69d4b4d140d0826d,False,final_hypothesis_status_update,False
confirmation,results/gf_gini_geometry_mechanism_round37/research_protocol.md,19952553350f89357383d4738d5528d2f2c1c7fe99e5d9b27eabd45fa4f9a77c,d40625890c4727f0f7e10229dddc3016101331f4435d011663cc208f72fb14c5,False,rendering_only_character_repair,False
confirmation,scripts/analyze_round37_stage.py,41e15b391656b8a6f0287340e5f0db8d78426399b7330f15710c29ba6a57e671,41e15b391656b8a6f0287340e5f0db8d78426399b7330f15710c29ba6a57e671,True,none,True
confirmation,scripts/round37_confirmation_common.py,c51973bea2a7b7ccb96ab4b14b0df4fadedd2d47accf06a769ab1a20f414480f,c51973bea2a7b7ccb96ab4b14b0df4fadedd2d47accf06a769ab1a20f414480f,True,none,True
confirmation,scripts/round37_experiment_common.py,0653250b3e7c1918e59d45b2a9caf59924117ca5af3bb02c6f632040af5b7aa3,0653250b3e7c1918e59d45b2a9caf59924117ca5af3bb02c6f632040af5b7aa3,True,none,True
confirmation,scripts/run_round37_frozen_stage.py,47cf9ebd419e57a06e4464d6e4a4ac60745cd0c7c34278ea7c1002c605a22aac,47cf9ebd419e57a06e4464d6e4a4ac60745cd0c7c34278ea7c1002c605a22aac,True,none,True
confirmation,src/GiniFrontierGeometry.cpp,fdf8ed5c9254036bd11bbfcb913fc7eb02a51f577b370faead02d3bce04c2ef3,fdf8ed5c9254036bd11bbfcb913fc7eb02a51f577b370faead02d3bce04c2ef3,True,none,True
confirmation,src/PaperExternalGiniTree.cpp,06b1562d689169706eb1b6bae4ac02acade2dfed770b54f3a9bca7f03a438bc8,06b1562d689169706eb1b6bae4ac02acade2dfed770b54f3a9bca7f03a438bc8,True,none,True
confirmation,src/Result.cpp,9577d4460334929dce1a13fc362c5dde0d3c6df4a1c381b87d3533712fe544c0,9577d4460334929dce1a13fc362c5dde0d3c6df4a1c381b87d3533712fe544c0,True,none,True
confirmation,src/main.cpp,d4a715cc8823cd2366484efc4d4fae375beeda581a1764b806fae53020fcf6b7,d4a715cc8823cd2366484efc4d4fae375beeda581a1764b806fae53020fcf6b7,True,none,True
