comparison_group,row_type,variant,budget_seconds,status,lower_bound,upper_bound,gap,gap_to_cutoff,nodes,json,gini_branch_mode,branch_callback_calls,gini_branches_created,plain_cplex_role,tailored_bc_role,diagnostic_only
generated_diag_V20_M2_high_transfer_leaf1_60s,generated_hard_interval_current_callback_round,plain,60,interval_unresolved_timeout,0.45299123606,0.585219086017,0.225945894651,0.132227849957,3690,results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M2_high_transfer_leaf1_plain_60s.json,off,0,0,benchmark_only,plain,True
generated_diag_V20_M2_high_transfer_leaf1_60s,generated_hard_interval_current_callback_round,static_tailored,60,interval_unresolved_timeout,0.45463860023,0.585219086017,0.22313094174,0.130580485787,1461,results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M2_high_transfer_leaf1_static_tailored_60s.json,off,0,0,not_plain_cplex,static_tailored,True
generated_diag_V20_M2_high_transfer_leaf1_60s,generated_hard_interval_current_callback_round,callback_basic,60,interval_unresolved_timeout,0.429366783479,0.585219086017,0.266314456007,0.15585230253800003,6661,results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M2_high_transfer_leaf1_callback_basic_60s.json,branch_callback,6253,2,not_plain_cplex,callback_basic,True
generated_diag_V20_M2_high_transfer_leaf1_60s,generated_hard_interval_current_callback_round,callback_gini_auto,60,interval_unresolved_timeout,0.429369941187,0.585219086017,0.266309060238,0.15584914483,6693,results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M2_high_transfer_leaf1_callback_gini_auto_60s.json,branch_callback,6282,2,not_plain_cplex,callback_gini_auto,True
generated_diag_V20_M3_dense_duration_leaf0_60s,generated_hard_interval_current_callback_round,plain,60,interval_unresolved_timeout,0.018301355333,0.082560868562,0.778328938978,0.064259513229,1266,results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M3_dense_duration_leaf0_plain_60s.json,off,0,0,benchmark_only,plain,True
generated_diag_V20_M3_dense_duration_leaf0_60s,generated_hard_interval_current_callback_round,static_tailored,60,interval_unresolved_timeout,0.01651425999,0.082560868562,0.799974730431,0.066046608572,1416,results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M3_dense_duration_leaf0_static_tailored_60s.json,off,0,0,not_plain_cplex,static_tailored,True
generated_diag_V20_M3_dense_duration_leaf0_60s,generated_hard_interval_current_callback_round,callback_basic,60,interval_unresolved_timeout,0.0170335418569,0.082560868562,0.793685045306,0.0655273267051,1230,results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M3_dense_duration_leaf0_callback_basic_60s.json,branch_callback,986,2,not_plain_cplex,callback_basic,True
generated_diag_V20_M3_dense_duration_leaf0_60s,generated_hard_interval_current_callback_round,callback_gini_auto,60,interval_unresolved_timeout,0.0170335418569,0.082560868562,0.793685045306,0.0655273267051,1236,results\gf_tailored_bc_callback_round\raw\generated_diag_V20_M3_dense_duration_leaf0_callback_gini_auto_60s.json,branch_callback,991,2,not_plain_cplex,callback_gini_auto,True
moderate_seed3301_low_gini2_60s,callback_tailored_bc_current_round,moderate_seed3301_low_gini2_callback_gini_off_60s,60,interval_unresolved_timeout,0.0489209015481,0.0491525526647,0.00471290104119,0.00023165111659999987,3437,results\gf_tailored_bc_callback_round\raw\moderate_seed3301_low_gini2_callback_gini_off_60s.json,off,2064,0,not_plain_cplex,callback_tailored_bc_diagnostic,True
moderate_seed3301_low_gini2_60s,callback_tailored_bc_current_round,moderate_seed3301_low_gini2_callback_gini_auto_60s,60,interval_unresolved_timeout,0.0489209015481,0.0491525526647,0.00471290104112,0.00023165111659999987,4051,results\gf_tailored_bc_callback_round\raw\moderate_seed3301_low_gini2_callback_gini_auto_60s.json,branch_callback,2371,2,not_plain_cplex,callback_tailored_bc_diagnostic,True
moderate_seed3301_low_gini2_60s,callback_tailored_bc_current_round,moderate_seed3301_low_gini2_callback_gini_selector_60s,60,interval_unresolved_timeout,0.0489209015481,0.0491525526647,0.00471290104119,0.00023165111659999987,3437,results\gf_tailored_bc_callback_round\raw\moderate_seed3301_low_gini2_callback_gini_selector_60s.json,selector_binary,2064,0,not_plain_cplex,callback_tailored_bc_diagnostic,True
moderate_seed3301_low_gini1_60s,callback_tailored_bc_current_round,moderate_seed3301_low_gini1_callback_gini_auto_60s,60,interval_unresolved_timeout,0.0471644619378,0.0491525526647,0.0404473545953,0.0019880907268999964,6621,results\gf_tailored_bc_callback_round\raw\moderate_seed3301_low_gini1_callback_gini_auto_60s.json,branch_callback,4688,2,not_plain_cplex,callback_tailored_bc_diagnostic,True
moderate_seed3301_low_gini1_60s,callback_tailored_bc_current_round,moderate_seed3301_low_gini1_callback_gini_selector_60s,60,interval_unresolved_timeout,0.0450833900626,0.0491525526647,0.082786394225,0.004069162602099996,2540,results\gf_tailored_bc_callback_round\raw\moderate_seed3301_low_gini1_callback_gini_selector_60s.json,selector_binary,1934,0,not_plain_cplex,callback_tailored_bc_diagnostic,True
moderate_seed3301_low_gini1_300s,callback_tailored_bc_current_round,moderate_seed3301_low_gini1_callback_gini_auto_300s,300,interval_unresolved_timeout,0.048388162834,0.0491525526647,0.0155513760578,0.0007643898306999991,20552,results\gf_tailored_bc_callback_round\raw\moderate_seed3301_low_gini1_callback_gini_auto_300s.json,branch_callback,12412,2,not_plain_cplex,callback_tailored_bc_diagnostic,True
moderate_seed3301_low_gini1_1200s,callback_tailored_bc_current_round,moderate_seed3301_low_gini1_callback_gini_auto_1200s,1200,interval_unresolved_timeout,0.048388162834,0.0491525526647,0.0155513760578,0.0007643898306999991,42384,results\gf_tailored_bc_callback_round\raw\moderate_seed3301_low_gini1_callback_gini_auto_1200s.json,branch_callback,23288,2,not_plain_cplex,callback_tailored_bc_diagnostic,True
moderate_seed3301_low_gini2_300s,callback_tailored_bc_current_round,moderate_seed3301_low_gini2_callback_gini_auto_300s,300,interval_closed,0.0491525526647,0.0491525526647,0,0.0,13034,results\gf_tailored_bc_callback_round\raw\moderate_seed3301_low_gini2_callback_gini_auto_300s.json,branch_callback,6570,2,not_plain_cplex,callback_tailored_bc_diagnostic,True
moderate_seed3301_low_gini2_300s,callback_tailored_bc_current_round,moderate_seed3301_low_gini2_callback_gini_selector_300s,300,interval_unresolved_timeout,0.0489209015481,0.0491525526647,0.00471290104119,0.00023165111659999987,9779,results\gf_tailored_bc_callback_round\raw\moderate_seed3301_low_gini2_callback_gini_selector_300s.json,selector_binary,5642,0,not_plain_cplex,callback_tailored_bc_diagnostic,True
high_imbalance_seed3201_hard_60s,callback_tailored_bc_current_round,high_imbalance_seed3201_hard_callback_gini_off_60s,60,interval_unresolved_timeout,2.28263540029,2.44340319194,0.0657966692429,0.1607677916500001,2088,results\gf_tailored_bc_callback_round\raw\high_imbalance_seed3201_hard_callback_gini_off_60s.json,off,1881,0,not_plain_cplex,callback_tailored_bc_diagnostic,True
high_imbalance_seed3201_hard_60s,callback_tailored_bc_current_round,high_imbalance_seed3201_hard_callback_gini_auto_60s,60,interval_unresolved_timeout,2.28218996882,2.44340319194,0.0659789688622,0.16121322311999986,3903,results\gf_tailored_bc_callback_round\raw\high_imbalance_seed3201_hard_callback_gini_auto_60s.json,branch_callback,3690,2,not_plain_cplex,callback_tailored_bc_diagnostic,True
high_imbalance_seed3201_hard_300s,callback_tailored_bc_current_round,high_imbalance_seed3201_hard_callback_gini_auto_300s,300,interval_unresolved_timeout,2.28363862222,2.44340319194,0.0653860853774,0.15976456972000008,18146,results\gf_tailored_bc_callback_round\raw\high_imbalance_seed3201_hard_callback_gini_auto_300s.json,branch_callback,17238,2,not_plain_cplex,callback_tailored_bc_diagnostic,True
tight_T_seed3102_hard_60s,callback_tailored_bc_current_round,tight_T_seed3102_hard_callback_gini_off_60s,60,interval_unresolved_timeout,0.519519662471,0.600704436685,0.135149283501,0.08118477421399994,1767,results\gf_tailored_bc_callback_round\raw\tight_T_seed3102_hard_callback_gini_off_60s.json,off,1662,0,not_plain_cplex,callback_tailored_bc_diagnostic,True
tight_T_seed3102_hard_60s,callback_tailored_bc_current_round,tight_T_seed3102_hard_callback_gini_auto_60s,60,interval_unresolved_timeout,0.519879197593,0.600704436685,0.134550761,0.0808252390919999,4391,results\gf_tailored_bc_callback_round\raw\tight_T_seed3102_hard_callback_gini_auto_60s.json,branch_callback,4183,2,not_plain_cplex,callback_tailored_bc_diagnostic,True
tight_T_seed3102_hard_300s,callback_tailored_bc_current_round,tight_T_seed3102_hard_callback_gini_auto_300s,300,interval_unresolved_timeout,0.520586359695,0.600704436685,0.133373539627,0.08011807698999995,19563,results\gf_tailored_bc_callback_round\raw\tight_T_seed3102_hard_callback_gini_auto_300s.json,branch_callback,18512,2,not_plain_cplex,callback_tailored_bc_diagnostic,True
moderate_seed3302_hard_60s,callback_tailored_bc_current_round,moderate_seed3302_hard_callback_gini_off_60s,60,interval_unresolved_timeout,0.143019401103,0.195636206549,0.268952288404,0.052616805446,2474,results\gf_tailored_bc_callback_round\raw\moderate_seed3302_hard_callback_gini_off_60s.json,off,2287,0,not_plain_cplex,callback_tailored_bc_diagnostic,True
moderate_seed3302_hard_60s,callback_tailored_bc_current_round,moderate_seed3302_hard_callback_gini_auto_60s,60,interval_unresolved_timeout,0.142523297512,0.195636206549,0.271488135931,0.053112909037,2549,results\gf_tailored_bc_callback_round\raw\moderate_seed3302_hard_callback_gini_auto_60s.json,branch_callback,2280,2,not_plain_cplex,callback_tailored_bc_diagnostic,True
moderate_seed3302_hard_300s,callback_tailored_bc_current_round,moderate_seed3302_hard_callback_gini_auto_300s,300,interval_unresolved_timeout,0.144943633094,0.195636206549,0.259116522188,0.050692573455,13179,results\gf_tailored_bc_callback_round\raw\moderate_seed3302_hard_callback_gini_auto_300s.json,branch_callback,12207,2,not_plain_cplex,callback_tailored_bc_diagnostic,True
