file,method,algorithm_preset,status,thread_fairness_class,compact_bc_enabled_families_effective,audit_passed,failures
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat|receiver_source_cover,True,
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_1.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_2.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_3.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_5.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,none,True,
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_2.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_3.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_4.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_5.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_dynamic_root_60s.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,True,
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_dynamic_root_60s_auto_oracle\interval_2.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_dynamic_root_60s_auto_oracle\interval_5.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_no_new_cuts_60s.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,none,True,
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_no_new_cuts_60s_auto_oracle\interval_2.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_no_new_cuts_60s_auto_oracle\interval_5.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\certificate_basis_test.json,certificate-basis-test,custom,diagnostic_passed,unknown_not_paper,,True,
results\gf_compact_bc_strengthening_round\raw\cplex1_high_imbalance_seed3201_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\cplex1_high_imbalance_seed3202_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\cplex1_large_v100_moderate_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\cplex1_large_v50_moderate_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\cplex1_moderate_seed3301_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\cplex1_tight_T_seed3101_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\cplex1_tight_T_seed3102_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\cplex1_v12_m1_300s.json,cplex,custom,optimal,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\cplex1_v12_m2_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,True,
results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s_auto_oracle\interval_6.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s_auto_oracle\interval_7.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3202_300s.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,True,
results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3202_300s_auto_oracle\interval_9.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\large_v100_moderate_300s.json,gcap-frontier,paper-gf-compact-bc,error_noncertified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\large_v50_moderate_300s.json,gcap-frontier,paper-gf-compact-bc,error_noncertified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,True,
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_10.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_11.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_2.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_3.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_7.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_9.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,True,
results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s_auto_oracle\interval_1.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s_auto_oracle\interval_10.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s_auto_oracle\interval_11.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s_auto_oracle\interval_2.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\moderate_seed3302_300s_auto_oracle\interval_7.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\option_consistency_test.json,option-consistency-test,paper-gf-compact-bc,diagnostic_complete,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\smoke_cplex_threads.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\smoke_no_new_cuts.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,none,True,
results\gf_compact_bc_strengthening_round\raw\smoke_no_new_cuts_auto_oracle\interval_1.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\smoke_no_new_cuts_auto_oracle\interval_2.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\smoke_no_new_cuts_auto_oracle\interval_3.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,True,
results\gf_compact_bc_strengthening_round\raw\tight_T_seed3101_300s.json,gcap-frontier,paper-gf-compact-bc,optimal,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round\raw\tight_T_seed3102_300s.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,True,
results\gf_compact_bc_strengthening_round\raw\tight_T_seed3102_300s_auto_oracle\interval_1.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\tight_T_seed3102_300s_auto_oracle\interval_10.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\tight_T_seed3102_300s_auto_oracle\interval_11.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\v12_m1_600s.json,gcap-frontier,paper-gf-compact-bc,optimal,one_thread_fair,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,True,
results\gf_compact_bc_strengthening_round\raw\v12_m1_600s_auto_oracle\interval_13.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\v12_m1_600s_auto_oracle\interval_15.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\v12_m1_600s_auto_oracle\interval_18.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\v12_m1_600s_auto_oracle\interval_21.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round\raw\v12_m2_300s.json,gcap-frontier,paper-gf-compact-bc,optimal,one_thread_fair,,True,
