file,instance_name,algorithm_preset,method,status,certified_original_problem,objective,lower_bound,upper_bound,gap,runtime_seconds,unresolved_intervals,invalid_bound_intervals,open_nodes,compact_interval_bc_enabled,compact_interval_bc_closed_leaves,compact_interval_bc_timed_out_leaves,compact_bc_bound_valid,compact_bc_bound_scope,compact_bc_certificate_valid,compact_bc_enabled_families_requested,compact_bc_enabled_families_effective,compact_bc_total_cuts_added_by_family,compact_bc_total_domains_tightened_by_family,compact_bc_total_root_cut_rounds,compact_bc_total_leaf_nodes,compact_bc_total_solver_time,cplex_threads,mip_threads,compact_bc_solver_threads,solver_thread_policy,thread_fairness_class,ablation_variant_semantics,certificate_uses_bpc_tree,no_archive_scanning,no_external_known_ub
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s.json,moderate_seed3301.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,0.0491525526647,0.043381,0.0491525526647,0.117421219283,67.6855649,2,0,1,True,2,2,True,original_fixed_interval,False,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat|receiver_source_cover,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat|receiver_source_cover,direct_gini_cap=4;direct_gini_floor=4;tight_mccormick=1808;inventory_conservation=8;visit_inventory_linking=160;objective_estimator_cutoff=4;penalty_lb=4;gini_spread=760;required_movement=20;global_handling_capacity=4;support_duration_pair=2280;support_duration_triple=13680;transfer_compat=240;receiver_source_cover=9,movement_reachability=17;low_gini_ratio_band_domains=52,0,604,12.6680869,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_1.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.043381101964,0.0491525526647,0.117419144843,5.1233966,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=3;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=1,penalty_domains=10;movement_reachability=5;domain_width_before=684;domain_width_after=557,0,0,5.1233966,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_2.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.047738460017,0.0491525526647,0.0287694650854,5.1135362,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=5;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=2,penalty_domains=17;movement_reachability=4;domain_width_before=684;domain_width_after=518,0,0,5.1135362,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_3.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.0491525526647,0.0491525526647,0,0.5031552,0,0,0,True,1,0,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=9;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=5,penalty_domains=27;movement_reachability=3;domain_width_before=684;domain_width_after=379,0,0,0.5031552,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_5.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.0491525526647,0.0491525526647,0,1.9279989,0,0,0,True,1,0,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=3;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=1,penalty_domains=9;movement_reachability=5;domain_width_before=684;domain_width_after=566,0,0,1.9279989,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s.json,tight_T_seed3101.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,0.107252734134,0.029473,0.107252734134,0.725200478683,69.3332869,4,0,2,True,0,4,True,original_fixed_interval,False,none,none,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,movement_reachability=0;low_gini_ratio_band_domains=36,0,3548,20.2677837,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_2.json,tight_T_seed3101.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.056485161254,0.107252734134,0.473345255857,5.0608615,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,penalty_domains=11;movement_reachability=0;domain_width_before=713;domain_width_after=562,0,0,5.0608615,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_3.json,tight_T_seed3101.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.084719414818,0.107252734134,0.210095523419,5.0579893,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,penalty_domains=17;movement_reachability=0;domain_width_before=713;domain_width_after=466,0,0,5.0579893,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_4.json,tight_T_seed3101.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.02947334056,0.107252734134,0.725197303379,5.060421,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,penalty_domains=8;movement_reachability=0;domain_width_before=713;domain_width_after=609,0,0,5.060421,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_5.json,tight_T_seed3101.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.044168607301,0.107252734134,0.588181992211,5.0885119,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,penalty_domains=10;movement_reachability=0;domain_width_before=713;domain_width_after=589,0,0,5.0885119,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_dynamic_root_60s.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,0.718504070755,0.653506,0.718504070755,0.090463051499,60.4957513,1,0,2,True,1,1,True,original_fixed_interval,False,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap=2;direct_gini_floor=2;tight_mccormick=592;inventory_conservation=4;visit_inventory_linking=48;objective_estimator_cutoff=2;penalty_lb=2;gini_spread=132;required_movement=0;global_handling_capacity=2;support_duration_pair=264;support_duration_triple=880;transfer_compat=48;receiver_source_cover=0,movement_reachability=23;low_gini_ratio_band_domains=22,2,525,5.6689488,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_dynamic_root_60s_auto_oracle\interval_2.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.65350619175,0.718504070755,0.0904627846251,5.1660998,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=296;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=132;support_duration_triple=440;transfer_compat=24;receiver_source_cover=0,penalty_domains=0;movement_reachability=12;domain_width_before=656;domain_width_after=472,1,0,5.1660998,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_dynamic_root_60s_auto_oracle\interval_5.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.718504070755,0.718504070755,0,0.502849,0,0,0,True,1,0,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=296;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=66;required_movement=0;global_handling_capacity=1;support_duration_pair=132;support_duration_triple=440;transfer_compat=24;receiver_source_cover=0,penalty_domains=2;movement_reachability=11;domain_width_before=656;domain_width_after=450,1,0,0.502849,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_no_new_cuts_60s.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,0.718504070755,0.649065,0.718504070755,0.0966439489786,60.7050625,1,0,2,True,1,1,True,original_fixed_interval,False,none,none,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,movement_reachability=0;low_gini_ratio_band_domains=1,0,600,5.6687303,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_no_new_cuts_60s_auto_oracle\interval_2.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.64906534091,0.718504070755,0.0966434745067,5.1625795,0,0,0,True,0,1,True,original_fixed_interval,False,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,direct_gini_cap=0;direct_gini_floor=0;tight_mccormick=0;inventory_conservation=0;visit_inventory_linking=0;objective_estimator_cutoff=0;penalty_lb=0;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0,penalty_domains=0;movement_reachability=0;domain_width_before=656;domain_width_after=656,0,0,5.1625795,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
