source_csv,interval_id,gamma_L,gamma_U,status,certificate_basis,solver_status,proven_infeasible,feasible_improving,timeout,best_bound,objective,runtime_seconds,depth,parent_id,time_limit_used,budget_policy,model_type,bound_valid,bound_scope,can_merge_bound,gap_to_cutoff,bound_used_for_merge,closed_by_bound,gini_spread_cuts_added,required_movement_lb,required_movement_cuts_added,global_handling_capacity_lb,global_handling_capacity_cuts_added,transfer_subset_capacity_cuts_added,low_gini_ratio_band_domains_tightened,direct_gini_cap_rows,tight_mccormick_rows,inventory_conservation_rows,movement_reachability_domains,visit_inventory_linking_rows,objective_estimator_cutoff_rows,penalty_lb,support_duration_pair_cuts,support_duration_triple_cuts,transfer_compatibility_cuts,receiver_source_cover_cuts,oracle_strengthening_families_enabled,json_path,lp_path,log_path
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s.auto_oracle.csv,3,0.0368644144986,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.5031552,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,50,9,4200,1,0,18,1,452,2,3,40,1,0,570,3420,60,5,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_3.json,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_3.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_36864414_49152553_1074243194\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s.auto_oracle.csv,5,0.00614406908309,0.0122881381662,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,1.9279989,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,23,3,2640,1,0,10,1,452,2,5,40,1,0,570,3420,60,1,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_5.json,results\gf_compact_bc_strengthening_round\raw\ablation_moderate_seed3301_receiver_singleton_60s_auto_oracle\interval_5.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_6144069_12288138_1074243703\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s.auto_oracle.csv,2,0.053626367067,0.0804395506005,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.056485161254,0,5.0608615,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.0507675628799,0.056485161254,false,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_2.json,results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_2.lp,results\interval_cutoff_work\tight_T_seed3101_interval_cutoff_53626367_80439551_1074025970\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s.auto_oracle.csv,3,0.0804395506005,0.107252734134,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.084719414818,0,5.0579893,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.0225333093159,0.084719414818,false,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_3.json,results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_3.lp,results\interval_cutoff_work\tight_T_seed3101_interval_cutoff_80439551_107252734_1074031037\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s.auto_oracle.csv,4,0.0268131835335,0.0402197753002,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.02947334056,0,5.060421,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.0777793835739,0.02947334056,false,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_4.json,results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_4.lp,results\interval_cutoff_work\tight_T_seed3101_interval_cutoff_26813184_40219775_1074036099\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s.auto_oracle.csv,5,0.0402197753002,0.053626367067,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.044168607301,0,5.0885119,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.0630841168329,0.044168607301,false,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_5.json,results\gf_compact_bc_strengthening_round\raw\ablation_tight_T_seed3101_no_new_cuts_60s_auto_oracle\interval_5.lp,results\interval_cutoff_work\tight_T_seed3101_interval_cutoff_40219775_53626367_1074041164\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_dynamic_root_60s.auto_oracle.csv,2,0.359252035377,0.538878053066,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.65350619175,0,5.1660998,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.064997869005,0.65350619175,false,66,0,0,0,1,0,11,1,296,2,12,24,1,0.207141831111,132,440,24,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_dynamic_root_60s_auto_oracle\interval_2.json,results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_dynamic_root_60s_auto_oracle\interval_2.lp,results\interval_cutoff_work\regen_candidate_V12_M2_average_interval_cutoff_359252035_538878053_1074121789\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_dynamic_root_60s.auto_oracle.csv,5,0.628691061911,0.718504070755,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.502849,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.718504070755,true,66,0,0,0,1,0,11,1,296,2,11,24,1,0.207141831111,132,440,24,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_dynamic_root_60s_auto_oracle\interval_5.json,results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_dynamic_root_60s_auto_oracle\interval_5.lp,results\interval_cutoff_work\regen_candidate_V12_M2_average_interval_cutoff_628691062_718504071_1074126963\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_no_new_cuts_60s.auto_oracle.csv,2,0.359252035377,0.538878053066,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.64906534091,0,5.1625795,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.069438719845,0.64906534091,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_no_new_cuts_60s_auto_oracle\interval_2.json,results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_no_new_cuts_60s_auto_oracle\interval_2.lp,results\interval_cutoff_work\regen_candidate_V12_M2_average_interval_cutoff_359252035_538878053_1074017342\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_no_new_cuts_60s.auto_oracle.csv,5,0.628691061911,0.718504070755,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.5061508,0,root,5,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.718504070755,true,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,penalty_final_inventory_domain|duration_compatibility_singleton_transfer,results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_no_new_cuts_60s_auto_oracle\interval_5.json,results\gf_compact_bc_strengthening_round\raw\ablation_v12_m2_no_new_cuts_60s_auto_oracle\interval_5.lp,results\interval_cutoff_work\regen_candidate_V12_M2_average_interval_cutoff_628691062_718504071_1074022514\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s.auto_oracle.csv,6,0.475,0.59375,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,2.3074208821,0,20.0925297,0,root,20,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.135982299843,2.3074208821,false,190,16,1,1920,1,0,12,1,448,2,12,40,1,8.44738686667,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s_auto_oracle\interval_6.json,results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s_auto_oracle\interval_6.lp,results\interval_cutoff_work\high_imbalance_seed3201_interval_cutoff_475000000_593750000_1072140770\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s.auto_oracle.csv,7,0.59375,0.7125,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,5.8511934,0,root,20,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,2.44340319194,true,190,18,1,2160,1,0,12,1,448,2,12,40,1,8.44738686667,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s_auto_oracle\interval_7.json,results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3201_300s_auto_oracle\interval_7.lp,results\interval_cutoff_work\high_imbalance_seed3201_interval_cutoff_593750000_712500000_1072160869\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3202_300s.auto_oracle.csv,9,0.5046875,0.534375,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,1.6199114099,0,20.1244988,0,root,20,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.129402032151,1.6199114099,false,190,13,1,1560,1,0,13,1,436,2,13,40,1,3.92809856027,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3202_300s_auto_oracle\interval_9.json,results\gf_compact_bc_strengthening_round\raw\high_imbalance_seed3202_300s_auto_oracle\interval_9.lp,results\interval_cutoff_work\high_imbalance_seed3202_interval_cutoff_504687500_534375000_1071412990\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s.auto_oracle.csv,2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048809709088,0,60.1185461,0,root,60,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.000342833576745,0.048809709088,false,190,31,5,3360,1,0,13,1,452,2,4,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_2.json,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_2.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_36864414_1070629587\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s.auto_oracle.csv,3,0.0368644144986,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.5274211,0,root,60,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0,0.0491525526647,true,190,50,9,4200,1,0,18,1,452,2,3,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_3.json,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_3.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_36864414_49152553_1070689711\interval_cutoff.cplex.log
results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s.auto_oracle.csv,7,0.0184322072493,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.046284985002,0,60.1191069,0,root,60,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.00286755766275,0.046284985002,false,190,26,4,3000,1,0,11,1,452,2,5,40,1,0,570,3420,60,0,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_7.json,results\gf_compact_bc_strengthening_round\raw\moderate_seed3301_baseline_300s_auto_oracle\interval_7.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_18432207_24576276_1070690244\interval_cutoff.cplex.log
