round_id,instance_id,instance_sha256,intended_stratum,V,M,Q,T,capacity_min,capacity_max,capacity_mean,total_initial,total_target,active_station_count,active_fraction,surplus_count,deficit_count,neutral_count,sign_balance,total_surplus,total_deficit,imbalance_l1,imbalance_mean_active,imbalance_max,imbalance_cv,imbalance_hhi,fleet_capacity,fleet_capacity_pressure,handling_lower_bound_seconds,active_support_mst_seconds,support_duration_pressure,max_single_station_tightness,plausible_ordered_pair_count,plausible_ordered_pair_density,full_service_pair_density,mean_depot_distance_seconds,max_depot_distance_seconds,station_distance_cv,initial_gini,initial_penalty,initial_objective_lambda_0_15,difficulty_score,difficulty_stratum,structurally_nontrivial,structural_rejection_reasons
39,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fcbe294480dcacf0303cc2dc12c948335d8d8c8f4f875de2feb58ae21ed83bbb,small-medium,8,3,30,2850.0,22,49,33.5,109,111,6,0.75,3,3,2,1.0,19,21,40,6.666666666666667,8,0.1414213562373095,0.16999999999999998,90,0.4444444444444444,2400.0,1460.9721466399844,0.4515756896654952,0.4942359291227252,30,1.0,1.0,399.24915639956146,554.2861989998834,0.4847173123183024,0.2880891790219075,2.440038206349206,0.6540949099742884,60.25883214885914,small-medium,True,
39,round39_small_medium_V10_M1_Q20_slot04_seed1035775879,57b3218f569c53d905efec2feada1bbfa870d7a689cf65c728ece40d8a99c898,small-medium,10,1,20,2850.0,25,50,37.7,178,184,7,0.7,3,4,3,0.75,23,29,52,7.428571428571429,9,0.12162606385262997,0.14497041420118342,20,2.6,3120.0,1511.5016829670112,1.6250883098129865,0.522516712589015,42,1.0,1.0,404.74200026037477,504.5863154393464,0.5102898237542869,0.22362193018968898,2.3686988997114,0.578926765146399,72.39309145337904,small-medium,True,
39,round39_small_medium_V10_M2_Q20_slot05_seed968549317,26d880932532ff3cff9602b44f5451acc7c47d6642a0faa5c23392bc77c83e4a,small-medium,10,2,20,2850.0,22,47,37.4,170,187,7,0.7,3,4,3,0.75,17,34,51,7.285714285714286,9,0.21657570621935807,0.14955786236063054,40,1.275,3060.0,1237.9354794265685,0.7540237683204506,0.48418325056720307,42,1.0,1.0,335.23343393291196,419.96113205826435,0.5238207854929233,0.2479058202745788,2.410139384834972,0.6094267279998246,74.8999217119245,small-medium,True,
39,round39_small_medium_V10_M3_Q30_slot06_seed2147082032,85271db3767b6dfd1075dec56270090beea61b5ace971845bca6ed75e5e0b6dd,small-medium,10,3,30,2850.0,21,50,35.1,194,191,8,0.8,4,4,2,1.0,27,24,51,6.375,9,0.2472454943709508,0.132641291810842,90,0.5666666666666667,3060.0,2213.762941203743,0.6168143790881571,0.6105090040795252,56,1.0,0.8571428571428571,490.67641877645644,689.9753308133235,0.484072627884923,0.19990130003669374,1.9722586004678926,0.4957400901068776,71.24059757333272,small-medium,True,
39,round39_small_medium_V12_M1_Q30_slot07_seed907224013,7e7420c416b21367353d44ba384092d0c3639c7c99366ae8b5b822637b711001,small-medium,12,1,30,2850.0,31,50,40.083333333333336,228,228,8,0.6666666666666666,4,4,4,1.0,28,28,56,7.0,9,0.17496355305594127,0.1288265306122449,30,1.8666666666666667,3360.0,1351.0137867840274,1.6529872936084307,0.4962421824450668,56,1.0,1.0,394.2701550067973,574.4802643865886,0.5575228817685283,0.1827050439191425,2.242907974807039,0.5191412401401982,77.36357740553096,small-medium,True,
39,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,small-medium,12,3,30,2850.0,20,49,35.25,197,204,9,0.75,4,5,3,0.8,25,32,57,6.333333333333333,9,0.2232968782694361,0.11665127731609726,90,0.6333333333333333,3420.0,1513.823103647854,0.5770553337599829,0.515112563452638,72,1.0,1.0,373.59919527811303,464.0354029200092,0.5095190778806661,0.1907305255382665,2.4012476477557527,0.5509176727016294,75.6793370631889,small-medium,True,
39,round39_small_hard_V10_M1_Q20_slot01_seed561355351,08cc363f365dec28647189686a8f1d7081f922d88e40c1ccac9c42e1b696893c,small-hard,10,1,20,2400.0,21,45,30.3,167,156,10,1.0,5,5,0,1.0,55,44,99,9.9,12,0.19922305983147495,0.10396898275686155,20,4.95,5940.0,2574.9240946522646,3.5478850394384436,0.9290726801617438,80,0.8888888888888888,0.15555555555555556,537.6646322411843,784.8872161940925,0.4904620437024098,0.4191903903025691,5.222633976334777,1.2025854867527856,82.2315951328257,small-hard,True,
39,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,065d0f472f63fb8fe2f6e82c0834e9622db12c64af879f96bd576660c39272c9,small-hard,10,1,30,2400.0,23,50,33.9,165,169,10,1.0,5,5,0,1.0,54,58,112,11.2,13,0.1587177574520641,0.10251913265306123,30,3.7333333333333334,6720.0,2253.0239360603737,3.738759973358489,0.9136928100113153,72,0.8,0.044444444444444446,568.3850422652059,795.582035888467,0.4889142610259839,0.398899775251093,5.143511929982138,1.1704265647484138,82.21508545094382,small-hard,True,
39,round39_small_hard_V10_M2_Q20_slot03_seed490008310,dbebfddba913f84028ddd0320c4981c67f861590b1acd1cd9bd443a6988226e7,small-hard,10,2,20,2400.0,20,50,37.1,213,211,10,1.0,5,5,0,1.0,54,52,106,10.6,13,0.1589839579844596,0.10252758988964045,40,2.65,6360.0,1705.815159240363,1.6803781581750756,0.7906310920199919,90,1.0,0.2222222222222222,457.380494550624,588.7573104239904,0.5386384372500211,0.3231183489704193,3.9380617037895336,0.9138276045388494,87.24547666400022,small-hard,True,
39,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,7c4b46a1932e53e6ae193d01085bcc226236ffdc01c03a27bdbb6ebb483455a8,small-hard,10,3,20,2400.0,20,48,34.6,154,171,9,0.9,4,5,1,0.8,41,58,99,11.0,13,0.18680042433239324,0.11498826650341804,60,1.65,5940.0,2409.3299092701764,1.1596291540653023,0.9589866341680852,42,0.5833333333333334,0.0,622.5089530807882,804.4468654919178,0.5140005083875935,0.4277663446084499,4.202751876427179,1.0581791260725268,87.44517208946766,small-hard,True,
39,round39_small_hard_V12_M1_Q20_slot05_seed180890838,397a0b3d7ac964f3f24356e64ba9b75b4cfa04febcbd869a1195bc26166f5feb,small-hard,12,1,20,2400.0,22,50,37.5,209,211,11,0.9166666666666666,5,6,1,0.8333333333333334,53,55,108,9.818181818181818,13,0.22067361644098119,0.09533607681755829,20,5.4,6480.0,1922.8203648309468,3.501175152012894,0.7705042993761816,110,1.0,0.2545454545454545,454.8949507003584,594.605159251418,0.507593683907112,0.3181033990977091,4.857041029442195,1.0466595535140384,87.08099929500919,small-hard,True,
39,round39_small_hard_V12_M2_Q20_slot06_seed258908503,efb62df9be5433dfb5d2def59ee52399bfe10fb2bcc652954892def33e38b2fd,small-hard,12,2,20,2400.0,22,47,31.75,185,179,10,0.8333333333333334,5,5,2,1.0,49,43,92,9.2,11,0.1669814293014915,0.10278827977315691,40,2.3,5520.0,2077.8370918336745,1.582882727465349,0.8683592864773543,72,0.8,0.15555555555555556,535.9388371341566,742.0311437728252,0.5186613063670452,0.3619753131382902,5.817634766573282,1.2346205281242826,89.74072060124848,small-hard,True,
39,round39_small_hard_V12_M3_Q20_slot07_seed621538683,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,small-hard,12,3,20,2400.0,21,47,33.25,200,203,10,0.8333333333333334,5,5,2,1.0,54,57,111,11.1,13,0.11711711711711713,0.10137164191218245,60,1.85,6660.0,2020.6173069123345,1.205641292626713,0.7985571362040587,88,0.9777777777777777,0.022222222222222223,520.9169906956403,688.2685634448704,0.5278307630955227,0.36957951481872436,5.343156978061799,1.1710530615279942,94.96352813968556,small-hard,True,
39,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,small-hard,12,3,30,2400.0,21,49,33.416666666666664,207,217,11,0.9166666666666666,5,6,1,0.8333333333333334,53,63,116,10.545454545454545,13,0.19544455256473509,0.09438168846611178,90,1.288888888888889,6960.0,1902.7427847511917,1.23093649788211,0.7672344836993787,110,1.0,0.14545454545454545,514.3260195452971,545.2869954304375,0.540812970256509,0.3371062061365604,5.467853162424404,1.1572841805002207,94.60570871977312,small-hard,True,
