run_id,instance_id,difficulty_stratum,arm,metric,threshold,first_observed_process_seconds,convention
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.0,1.9608531,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.5,1.3534796,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.25,1.3534796,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.1,1.3534796,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.05,1.3534796,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.01,1.3534796,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.001,1.3534796,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_light_1000,round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.0,1.3534796,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,proof_gap,0.5,0.0369508,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,proof_gap,0.25,0.1622768,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,proof_gap,0.1,0.30908800000000003,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,proof_gap,0.05,0.3995046,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,proof_gap,0.02,0.4159989,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,proof_gap,0.01,0.4171703,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,proof_gap,0.005,0.41887590844726563,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,proof_gap,0.001,0.41887590844726563,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,proof_gap,0.0,0.41887590844726563,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,incumbent_gap,0.5,0.15214740000000002,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,incumbent_gap,0.25,0.2706152,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,incumbent_gap,0.1,0.4150922,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,incumbent_gap,0.05,0.4150922,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,incumbent_gap,0.01,0.4150922,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,incumbent_gap,0.001,0.4150922,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,P-GRB,incumbent_gap,0.0,0.4150922,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.5,1.4940213,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.25,1.5587274,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.1,1.9002322,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.05,2.2737160000000003,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.02,2.3719361,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.01,2.3719361,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.005,2.3719361,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.001,2.3723171,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.0,2.3809066,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.5,1.4053867,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.25,1.4053867,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.1,1.4053867,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.05,1.4053867,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.01,1.4053867,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.001,1.4053867,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_light_1000,round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.0,1.4053867,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,proof_gap,0.5,0.0403878,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,proof_gap,0.25,0.3047452,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,proof_gap,0.1,0.4332186,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,proof_gap,0.05,0.4376068,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,proof_gap,0.02,0.4379164408721924,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,proof_gap,0.01,0.4379164408721924,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,proof_gap,0.005,0.4379164408721924,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,proof_gap,0.001,0.4379164408721924,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,proof_gap,0.0,0.4379164408721924,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,incumbent_gap,0.5,0.2620764,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,incumbent_gap,0.25,0.2620764,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,incumbent_gap,0.1,0.2620764,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,incumbent_gap,0.05,0.2620764,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,incumbent_gap,0.01,0.2620764,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,incumbent_gap,0.001,0.2620764,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,P-GRB,incumbent_gap,0.0,0.2620764,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.5,1.2387213,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.25,1.3131364,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.1,1.3923095,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.05,1.544945,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.02,1.567853,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.01,1.7570951,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.005,1.7570951,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.001,1.8582605,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,proof_gap,0.0,1.8582605,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.5,1.151713,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.25,1.151713,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.1,1.151713,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.05,1.151713,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.01,1.151713,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.001,1.151713,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_light_1000,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,C6-HGA-LIGHT-1000,incumbent_gap,0.0,1.151713,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,proof_gap,0.5,0.030586799999999997,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,proof_gap,0.25,0.030586799999999997,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,proof_gap,0.1,0.030586799999999997,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,proof_gap,0.05,0.030586799999999997,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,proof_gap,0.02,0.030586799999999997,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,proof_gap,0.01,0.030586799999999997,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,proof_gap,0.005,0.030586799999999997,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,proof_gap,0.001,0.030586799999999997,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,proof_gap,0.0,0.030586799999999997,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,incumbent_gap,0.5,0.04544230190734863,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,incumbent_gap,0.25,0.04544230190734863,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,incumbent_gap,0.1,0.04544230190734863,left_continuous_observed_events_no_interpolation_no_post_final_extension
primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,incumbent_gap,0.05,0.04544230190734863,left_continuous_observed_events_no_interpolation_no_post_final_extension
