name,group,method,requested_time_limit,actual_time_limit,exit_code,start_time,end_time,result_file,log_file,progress_log
"v4_pricing-verifier-test","smoke-diagnostic","pricing-verifier-test",60,60,0,"2026-06-23T15:10:26.5898588+08:00","2026-06-23T15:10:26.6061040+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_pricing-verifier-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_pricing-verifier-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_pricing-verifier-test.csv"
"v4_iterative-closure-test","smoke-diagnostic","iterative-closure-test",60,60,0,"2026-06-23T15:10:26.6313420+08:00","2026-06-23T15:10:26.6497506+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_iterative-closure-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_iterative-closure-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_iterative-closure-test.csv"
"v4_certificate-basis-test","smoke-diagnostic","certificate-basis-test",60,60,0,"2026-06-23T15:10:26.6751727+08:00","2026-06-23T15:10:26.6922896+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_certificate-basis-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_certificate-basis-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_certificate-basis-test.csv"
"v4_option-consistency-test","smoke-diagnostic","option-consistency-test",60,60,0,"2026-06-23T15:10:26.7185793+08:00","2026-06-23T15:10:26.7360139+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_option-consistency-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_option-consistency-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_option-consistency-test.csv"
"v4_station-set-test","smoke-diagnostic","station-set-test",60,60,0,"2026-06-23T15:10:26.7617545+08:00","2026-06-23T15:10:26.7788565+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_station-set-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_station-set-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_station-set-test.csv"
"v4_ng-dssr-pricing-test","smoke-diagnostic","ng-dssr-pricing-test",60,60,0,"2026-06-23T15:10:26.8054623+08:00","2026-06-23T15:10:26.8225624+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_ng-dssr-pricing-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_ng-dssr-pricing-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_ng-dssr-pricing-test.csv"
"v4_dssr-exactness-test","smoke-diagnostic","dssr-exactness-test",60,60,0,"2026-06-23T15:10:26.8484867+08:00","2026-06-23T15:10:26.8667587+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_dssr-exactness-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_dssr-exactness-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_dssr-exactness-test.csv"
"v4_dual-stabilization-test","smoke-diagnostic","dual-stabilization-test",60,60,0,"2026-06-23T15:10:26.8920174+08:00","2026-06-23T15:10:26.9102765+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_dual-stabilization-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_dual-stabilization-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_dual-stabilization-test.csv"
"v4_bpc-hybrid-pricing-test","smoke-diagnostic","bpc-hybrid-pricing-test",60,60,0,"2026-06-23T15:10:26.9356766+08:00","2026-06-23T15:10:27.1738407+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_bpc-hybrid-pricing-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_bpc-hybrid-pricing-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_bpc-hybrid-pricing-test.csv"
"v4_two-track-column-test","smoke-diagnostic","two-track-column-test",60,60,0,"2026-06-23T15:10:27.1994579+08:00","2026-06-23T15:10:27.2166962+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_two-track-column-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_two-track-column-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_two-track-column-test.csv"
"v4_projection-safe-relaxed-column-test","smoke-diagnostic","projection-safe-relaxed-column-test",60,60,0,"2026-06-23T15:10:27.2436956+08:00","2026-06-23T15:10:27.2618255+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_projection-safe-relaxed-column-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_projection-safe-relaxed-column-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_projection-safe-relaxed-column-test.csv"
"v4_non-elementary-relaxed-column-test","smoke-diagnostic","non-elementary-relaxed-column-test",60,60,0,"2026-06-23T15:10:27.2882415+08:00","2026-06-23T15:10:27.3055161+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_non-elementary-relaxed-column-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_non-elementary-relaxed-column-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_non-elementary-relaxed-column-test.csv"
"v4_ng-relaxed-closure-test","smoke-diagnostic","ng-relaxed-closure-test",60,60,0,"2026-06-23T15:10:27.3307443+08:00","2026-06-23T15:10:27.3487366+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_ng-relaxed-closure-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_ng-relaxed-closure-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_ng-relaxed-closure-test.csv"
"v4_relaxed-rmp-cg-test","smoke-diagnostic","relaxed-rmp-cg-test",60,60,0,"2026-06-23T15:10:27.3749984+08:00","2026-06-23T15:10:27.3922298+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_relaxed-rmp-cg-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_relaxed-rmp-cg-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_relaxed-rmp-cg-test.csv"
"v4_frontier-relaxed-rmp-cg-test","smoke-diagnostic","frontier-relaxed-rmp-cg-test",60,60,0,"2026-06-23T15:10:27.4185621+08:00","2026-06-23T15:10:34.5508486+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_frontier-relaxed-rmp-cg-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_frontier-relaxed-rmp-cg-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_frontier-relaxed-rmp-cg-test.csv"
"v4_relaxed-rmp-test","smoke-diagnostic","relaxed-rmp-test",60,60,0,"2026-06-23T15:10:34.5801700+08:00","2026-06-23T15:10:34.8277121+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_relaxed-rmp-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_relaxed-rmp-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_relaxed-rmp-test.csv"
"v4_relaxed-pricing-closure-test","smoke-diagnostic","relaxed-pricing-closure-test",60,60,0,"2026-06-23T15:10:34.8556625+08:00","2026-06-23T15:10:34.8734385+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_relaxed-pricing-closure-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_relaxed-pricing-closure-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_relaxed-pricing-closure-test.csv"
"v4_relaxed-column-incumbent-safety-test","smoke-diagnostic","relaxed-column-incumbent-safety-test",60,60,0,"2026-06-23T15:10:34.9006705+08:00","2026-06-23T15:10:34.9186700+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_relaxed-column-incumbent-safety-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_relaxed-column-incumbent-safety-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_relaxed-column-incumbent-safety-test.csv"
"v4_large-relaxed-rmp-test","smoke-diagnostic","large-relaxed-rmp-test",60,60,0,"2026-06-23T15:10:34.9456710+08:00","2026-06-23T15:10:34.9627834+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_large-relaxed-rmp-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_large-relaxed-rmp-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_large-relaxed-rmp-test.csv"
"v4_large-relaxed-rmp-cg-test","smoke-diagnostic","large-relaxed-rmp-cg-test",60,60,0,"2026-06-23T15:10:34.9910473+08:00","2026-06-23T15:10:35.0098024+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_large-relaxed-rmp-cg-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_large-relaxed-rmp-cg-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_large-relaxed-rmp-cg-test.csv"
"v4_external-incumbent-test","smoke-diagnostic","external-incumbent-test",60,60,0,"2026-06-23T15:10:35.0372582+08:00","2026-06-23T15:10:35.0564066+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_external-incumbent-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_external-incumbent-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_external-incumbent-test.csv"
"v4_large-instance-mode-test","smoke-diagnostic","large-instance-mode-test",60,60,0,"2026-06-23T15:10:35.0833845+08:00","2026-06-23T15:10:35.1013845+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_large-instance-mode-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_large-instance-mode-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_large-instance-mode-test.csv"
"v4_large-lb-test","smoke-diagnostic","large-lb-test",60,60,0,"2026-06-23T15:10:35.1274932+08:00","2026-06-23T15:10:35.1466208+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_large-lb-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_large-lb-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_large-lb-test.csv"
"v4_incumbent-import-test","smoke-diagnostic","incumbent-import-test",60,60,0,"2026-06-23T15:10:35.1722410+08:00","2026-06-23T15:10:35.1902402+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_incumbent-import-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_incumbent-import-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_incumbent-import-test.csv"
"v4_route-pool-incumbent-test","smoke-diagnostic","route-pool-incumbent-test",60,60,0,"2026-06-23T15:10:35.2178870+08:00","2026-06-23T15:10:35.2348869+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_route-pool-incumbent-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_route-pool-incumbent-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_route-pool-incumbent-test.csv"
"v4_pickup-drop-compat-flow-test","smoke-diagnostic","pickup-drop-compat-flow-test",60,60,0,"2026-06-23T15:10:35.2618869+08:00","2026-06-23T15:10:35.4365009+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_pickup-drop-compat-flow-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_pickup-drop-compat-flow-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_pickup-drop-compat-flow-test.csv"
"v4_pickup-drop-transfer-cap-test","smoke-diagnostic","pickup-drop-transfer-cap-test",60,60,0,"2026-06-23T15:10:35.4618288+08:00","2026-06-23T15:10:35.6374356+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_pickup-drop-transfer-cap-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_pickup-drop-transfer-cap-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_pickup-drop-transfer-cap-test.csv"
"v4_vehicle-indexed-relaxation-test","smoke-diagnostic","vehicle-indexed-relaxation-test",60,60,0,"2026-06-23T15:10:35.6640307+08:00","2026-06-23T15:10:35.8374804+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_vehicle-indexed-relaxation-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_vehicle-indexed-relaxation-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_vehicle-indexed-relaxation-test.csv"
"v4_vehicle-indexed-transfer-flow-test","smoke-diagnostic","vehicle-indexed-transfer-flow-test",60,60,0,"2026-06-23T15:10:35.8644496+08:00","2026-06-23T15:10:36.0338573+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v4_vehicle-indexed-transfer-flow-test.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v4_vehicle-indexed-transfer-flow-test.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v4_vehicle-indexed-transfer-flow-test.csv"
"v12_m2_paper_bpc_core_3600s","main-longrun","gcap-frontier",3600,3600,0,"2026-06-23T15:10:36.3626427+08:00","2026-06-23T16:10:40.9997442+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v12_m2_paper_bpc_core_3600s.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v12_m2_paper_bpc_core_3600s.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_paper_bpc_core_3600s.csv"
"v12_m2_paper_exact_portfolio_3600s","main-longrun","gcap-frontier",3600,3600,0,"2026-06-23T16:10:41.2359735+08:00","2026-06-23T17:10:47.6768618+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\portfolio\v12_m2_paper_exact_portfolio_3600s.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v12_m2_paper_exact_portfolio_3600s.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_paper_exact_portfolio_3600s.csv"
"v12_m1_paper_bpc_core_3600s","main-longrun","gcap-frontier",3600,3600,0,"2026-06-23T17:10:47.8655879+08:00","2026-06-23T18:10:50.0398786+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\raw\v12_m1_paper_bpc_core_3600s.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v12_m1_paper_bpc_core_3600s.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m1_paper_bpc_core_3600s.csv"
"v12_m1_paper_exact_portfolio_3600s","main-longrun","gcap-frontier",3600,3600,0,"2026-06-23T18:10:50.2842868+08:00","2026-06-23T19:10:56.6434320+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\portfolio\v12_m1_paper_exact_portfolio_3600s.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v12_m1_paper_exact_portfolio_3600s.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m1_paper_exact_portfolio_3600s.csv"
"v12_m2_ablation_base_bpc_1200s","ablation","gcap-frontier",1200,1200,0,"2026-06-23T19:10:56.8732070+08:00","2026-06-23T19:30:53.2180002+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\ablation\v12_m2_ablation_base_bpc_1200s.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v12_m2_ablation_base_bpc_1200s.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_ablation_base_bpc_1200s.csv"
"v12_m2_ablation_plus_dominance_1200s","ablation","gcap-frontier",1200,1200,0,"2026-06-23T19:30:53.4581554+08:00","2026-06-23T19:50:44.0878514+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\ablation\v12_m2_ablation_plus_dominance_1200s.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v12_m2_ablation_plus_dominance_1200s.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_ablation_plus_dominance_1200s.csv"
"v12_m2_ablation_plus_movement_projection_1200s","ablation","gcap-frontier",1200,1200,0,"2026-06-23T19:50:44.3558748+08:00","2026-06-23T20:10:14.1333263+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\ablation\v12_m2_ablation_plus_movement_projection_1200s.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v12_m2_ablation_plus_movement_projection_1200s.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_ablation_plus_movement_projection_1200s.csv"
"v12_m2_ablation_plus_vehicle_relaxation_1200s","ablation","gcap-frontier",1200,1200,0,"2026-06-23T20:10:14.4024856+08:00","2026-06-23T20:21:17.1121052+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\ablation\v12_m2_ablation_plus_vehicle_relaxation_1200s.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v12_m2_ablation_plus_vehicle_relaxation_1200s.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_ablation_plus_vehicle_relaxation_1200s.csv"
"v12_m2_ablation_plus_operation_budget_1200s","ablation","gcap-frontier",1200,1200,0,"2026-06-23T20:21:17.4025144+08:00","2026-06-23T20:40:57.8838530+08:00","E:\codes\ExactEBRP\results\longrun_round17_local\ablation\v12_m2_ablation_plus_operation_budget_1200s.json","E:\codes\ExactEBRP\results\longrun_round17_local\logs\v12_m2_ablation_plus_operation_budget_1200s.log","E:\codes\ExactEBRP\results\longrun_round17_local\progress\v12_m2_ablation_plus_operation_budget_1200s.csv"
