round_id,stage_id,run_id,instance_id,V,M,Q,scenario,arm,nominal_process_cap_seconds,actual_process_cap_seconds,shutdown_margin_seconds,emergency_watchdog_seconds,repetition,serial_order,frozen_before_stage1_results
33,stage1,stage1__round33_v10_high_imbalance_M2_Q20_seed1719879984__p_grb__3600s,round33_v10_high_imbalance_M2_Q20_seed1719879984,10,2,20,high_imbalance,P-GRB,3600,3600,15,3690,primary,13,True
33,stage1,stage1__round33_v10_high_imbalance_M2_Q20_seed1719879984__c6_frozen__3600s,round33_v10_high_imbalance_M2_Q20_seed1719879984,10,2,20,high_imbalance,C6-FROZEN,3600,3600,15,3690,primary,14,True
33,stage1,stage1__round33_v10_moderate_M2_Q20_seed1118884127__p_grb__3600s,round33_v10_moderate_M2_Q20_seed1118884127,10,2,20,moderate,P-GRB,3600,3600,15,3690,primary,15,True
33,stage1,stage1__round33_v10_moderate_M2_Q20_seed1118884127__c6_frozen__3600s,round33_v10_moderate_M2_Q20_seed1118884127,10,2,20,moderate,C6-FROZEN,3600,3600,15,3690,primary,16,True
33,stage1,stage1__round33_v10_tight_T_M2_Q20_seed2085634706__p_grb__3600s,round33_v10_tight_T_M2_Q20_seed2085634706,10,2,20,tight_T,P-GRB,3600,3600,15,3690,primary,17,True
33,stage1,stage1__round33_v10_tight_T_M2_Q20_seed2085634706__c6_frozen__3600s,round33_v10_tight_T_M2_Q20_seed2085634706,10,2,20,tight_T,C6-FROZEN,3600,3600,15,3690,primary,18,True
33,stage1,stage1__round33_v10_high_imbalance_M2_Q30_seed1244253498__p_grb__3600s,round33_v10_high_imbalance_M2_Q30_seed1244253498,10,2,30,high_imbalance,P-GRB,3600,3600,15,3690,primary,19,True
33,stage1,stage1__round33_v10_high_imbalance_M2_Q30_seed1244253498__c6_frozen__3600s,round33_v10_high_imbalance_M2_Q30_seed1244253498,10,2,30,high_imbalance,C6-FROZEN,3600,3600,15,3690,primary,20,True
33,stage1,stage1__round33_v10_moderate_M2_Q30_seed763364383__p_grb__3600s,round33_v10_moderate_M2_Q30_seed763364383,10,2,30,moderate,P-GRB,3600,3600,15,3690,primary,21,True
33,stage1,stage1__round33_v10_moderate_M2_Q30_seed763364383__c6_frozen__3600s,round33_v10_moderate_M2_Q30_seed763364383,10,2,30,moderate,C6-FROZEN,3600,3600,15,3690,primary,22,True
33,stage1,stage1__round33_v10_tight_T_M2_Q30_seed1783646009__p_grb__3600s,round33_v10_tight_T_M2_Q30_seed1783646009,10,2,30,tight_T,P-GRB,3600,3600,15,3690,primary,23,True
33,stage1,stage1__round33_v10_tight_T_M2_Q30_seed1783646009__c6_frozen__3600s,round33_v10_tight_T_M2_Q30_seed1783646009,10,2,30,tight_T,C6-FROZEN,3600,3600,15,3690,primary,24,True
33,stage1,stage1__round33_v10_high_imbalance_M3_Q20_seed434104496__p_grb__3600s,round33_v10_high_imbalance_M3_Q20_seed434104496,10,3,20,high_imbalance,P-GRB,3600,3600,15,3690,primary,25,True
33,stage1,stage1__round33_v10_high_imbalance_M3_Q20_seed434104496__c6_frozen__3600s,round33_v10_high_imbalance_M3_Q20_seed434104496,10,3,20,high_imbalance,C6-FROZEN,3600,3600,15,3690,primary,26,True
33,stage1,stage1__round33_v10_moderate_M3_Q20_seed935682861__p_grb__3600s,round33_v10_moderate_M3_Q20_seed935682861,10,3,20,moderate,P-GRB,3600,3600,15,3690,primary,27,True
33,stage1,stage1__round33_v10_moderate_M3_Q20_seed935682861__c6_frozen__3600s,round33_v10_moderate_M3_Q20_seed935682861,10,3,20,moderate,C6-FROZEN,3600,3600,15,3690,primary,28,True
33,stage1,stage1__round33_v10_tight_T_M3_Q20_seed284843780__p_grb__3600s,round33_v10_tight_T_M3_Q20_seed284843780,10,3,20,tight_T,P-GRB,3600,3600,15,3690,primary,29,True
33,stage1,stage1__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__3600s,round33_v10_tight_T_M3_Q20_seed284843780,10,3,20,tight_T,C6-FROZEN,3600,3600,15,3690,primary,30,True
33,stage1,stage1__round33_v10_high_imbalance_M3_Q30_seed1765289896__p_grb__3600s,round33_v10_high_imbalance_M3_Q30_seed1765289896,10,3,30,high_imbalance,P-GRB,3600,3600,15,3690,primary,31,True
33,stage1,stage1__round33_v10_high_imbalance_M3_Q30_seed1765289896__c6_frozen__3600s,round33_v10_high_imbalance_M3_Q30_seed1765289896,10,3,30,high_imbalance,C6-FROZEN,3600,3600,15,3690,primary,32,True
33,stage1,stage1__round33_v10_moderate_M3_Q30_seed2031960658__p_grb__3600s,round33_v10_moderate_M3_Q30_seed2031960658,10,3,30,moderate,P-GRB,3600,3600,15,3690,primary,33,True
33,stage1,stage1__round33_v10_moderate_M3_Q30_seed2031960658__c6_frozen__3600s,round33_v10_moderate_M3_Q30_seed2031960658,10,3,30,moderate,C6-FROZEN,3600,3600,15,3690,primary,34,True
33,stage1,stage1__round33_v10_tight_T_M3_Q30_seed1796239044__p_grb__3600s,round33_v10_tight_T_M3_Q30_seed1796239044,10,3,30,tight_T,P-GRB,3600,3600,15,3690,primary,35,True
33,stage1,stage1__round33_v10_tight_T_M3_Q30_seed1796239044__c6_frozen__3600s,round33_v10_tight_T_M3_Q30_seed1796239044,10,3,30,tight_T,C6-FROZEN,3600,3600,15,3690,primary,36,True
33,stage2,stage2__V12_M1__p_grb__3600s,V12_M1,12,1,30,v12_anchor,P-GRB,3600,3600,15,3690,primary,37,True
33,stage2,stage2__V12_M1__c6_frozen__3600s,V12_M1,12,1,30,v12_anchor,C6-FROZEN,3600,3600,15,3690,primary,38,True
33,stage2,stage2__V12_M2__p_grb__3600s,V12_M2,12,2,30,v12_anchor,P-GRB,3600,3600,15,3690,primary,39,True
33,stage2,stage2__V12_M2__c6_frozen__3600s,V12_M2,12,2,30,v12_anchor,C6-FROZEN,3600,3600,15,3690,primary,40,True
33,stage3,stage3__round33_v10_high_imbalance_M1_Q20_seed2098545008__p_grb__repeat1__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,P-GRB,3600,3600,15,3690,repeat1,41,True
33,stage3,stage3__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__repeat1__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,C6-FROZEN,3600,3600,15,3690,repeat1,42,True
33,stage3,stage3__round33_v10_moderate_M1_Q30_seed82526096__p_grb__repeat1__3600s,round33_v10_moderate_M1_Q30_seed82526096,10,1,30,moderate,P-GRB,3600,3600,15,3690,repeat1,43,True
33,stage3,stage3__round33_v10_moderate_M1_Q30_seed82526096__c6_frozen__repeat1__3600s,round33_v10_moderate_M1_Q30_seed82526096,10,1,30,moderate,C6-FROZEN,3600,3600,15,3690,repeat1,44,True
33,stage3,stage3__round33_v10_moderate_M2_Q20_seed1118884127__p_grb__repeat1__3600s,round33_v10_moderate_M2_Q20_seed1118884127,10,2,20,moderate,P-GRB,3600,3600,15,3690,repeat1,45,True
33,stage3,stage3__round33_v10_moderate_M2_Q20_seed1118884127__c6_frozen__repeat1__3600s,round33_v10_moderate_M2_Q20_seed1118884127,10,2,20,moderate,C6-FROZEN,3600,3600,15,3690,repeat1,46,True
33,stage3,stage3__round33_v10_tight_T_M2_Q30_seed1783646009__p_grb__repeat1__3600s,round33_v10_tight_T_M2_Q30_seed1783646009,10,2,30,tight_T,P-GRB,3600,3600,15,3690,repeat1,47,True
33,stage3,stage3__round33_v10_tight_T_M2_Q30_seed1783646009__c6_frozen__repeat1__3600s,round33_v10_tight_T_M2_Q30_seed1783646009,10,2,30,tight_T,C6-FROZEN,3600,3600,15,3690,repeat1,48,True
33,stage3,stage3__round33_v10_high_imbalance_M3_Q30_seed1765289896__p_grb__repeat1__3600s,round33_v10_high_imbalance_M3_Q30_seed1765289896,10,3,30,high_imbalance,P-GRB,3600,3600,15,3690,repeat1,49,True
33,stage3,stage3__round33_v10_high_imbalance_M3_Q30_seed1765289896__c6_frozen__repeat1__3600s,round33_v10_high_imbalance_M3_Q30_seed1765289896,10,3,30,high_imbalance,C6-FROZEN,3600,3600,15,3690,repeat1,50,True
33,stage3,stage3__round33_v10_tight_T_M3_Q20_seed284843780__p_grb__repeat1__3600s,round33_v10_tight_T_M3_Q20_seed284843780,10,3,20,tight_T,P-GRB,3600,3600,15,3690,repeat1,51,True
33,stage3,stage3__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__repeat1__3600s,round33_v10_tight_T_M3_Q20_seed284843780,10,3,20,tight_T,C6-FROZEN,3600,3600,15,3690,repeat1,52,True
