round_id,stage_id,instance_id,V,M,Q,scenario,p_grb_strict_certificate,c6_strict_certificate,p_grb_certificate_time_seconds,c6_certificate_time_seconds,speedup_p_grb_over_c6,certificate_time_materiality_tolerance_seconds,certificate_time_outcome,p_grb_verified_objective,c6_verified_objective,verified_objective_equal,common_verified_ub,p_grb_final_lb,c6_final_lb,p_grb_common_gap,c6_common_gap,p_grb_work,c6_work,p_grb_nodes,c6_nodes,p_grb_peak_memory_gb,c6_peak_memory_gb,auc_status,auc_reason,common_window_start_process_seconds,common_window_end_process_seconds,common_window_duration_seconds,left_mean_valid_lower_bound,right_mean_valid_lower_bound,left_normalized_proof_auc,right_normalized_proof_auc,normalized_proof_auc_delta_right_minus_left,left_normalized_gap_auc,right_normalized_gap_auc
33,stage1,round33_v10_moderate_M3_Q20_seed935682861,10,3,20,moderate,True,True,0.1206353,2.0289281,0.05945765155502554,0.05,P_GRB_win,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.11036814848022891,0.0,1.0,0.0,nan,0.0,auc_unavailable,no_positive_common_observed_window,,,,,,,,,,
33,stage1,round33_v10_moderate_M3_Q30_seed2031960658,10,3,30,moderate,True,True,7.0121911,16.4498531,0.4262768218884581,0.05,P_GRB_win,0.15394046200793743,0.15394046200793743,True,0.15394046200793743,0.15394046200793737,0.1539404620079374,3.606014332242005e-16,1.8030071661210026e-16,9.814181761845083,17.881566848390783,2048.0,291.0,nan,0.048172838,observed_common_window,no_interpolation_no_post_last_event_extension,3.4011599,7.0121911,3.6110311999999998,0.13339906325121811,0.12794189578724552,0.8665627055500186,0.8311128479051118,-0.03544985764490678,0.13343729444998062,0.16888715209488836
33,stage1,round33_v10_tight_T_M1_Q20_seed1215342007,10,1,20,tight_T,True,True,0.9529064,1.8727237,0.5088344853007414,0.05,P_GRB_win,0.9281961668453516,0.9281961668453516,True,0.9281961668453516,0.9281961668453508,0.9281961668453516,8.372757235993768e-16,0.0,1.1601747558809365,0.41163342076378295,850.0,2.0,nan,0.008044274,auc_unavailable,no_positive_common_observed_window,,,,,,,,,,
33,stage1,round33_v10_tight_T_M1_Q30_seed1122319721,10,1,30,tight_T,True,True,0.368721,1.709274,0.21571790128440496,0.05,P_GRB_win,1.811523354904172,1.811523354904172,True,1.811523354904172,1.8115233549041716,1.811523354904172,2.4514683106227716e-16,0.0,0.36260797106119397,0.3278702025933903,233.0,1.0,nan,0.007550905,auc_unavailable,no_positive_common_observed_window,,,,,,,,,,
33,stage1,round33_v10_tight_T_M2_Q20_seed2085634706,10,2,20,tight_T,True,True,92.9915173,33.0482499,2.813810642965393,0.05,C6_win,0.719445291153844,0.719445291153844,True,0.719445291153844,0.719445286392715,0.719445291153844,6.6177777589385794e-09,0.0,151.48210022663966,56.00511350241628,54362.0,2203.0,nan,0.049825897,observed_common_window,no_interpolation_no_post_last_event_extension,1.5169348,33.0442152,31.527280399999995,0.5161566216965121,0.6072332902071992,0.7174369309842881,0.8440298347541055,0.1265929037698174,0.28256306901571243,0.15597016524589385
33,stage1,round33_v10_tight_T_M2_Q30_seed1783646009,10,2,30,tight_T,True,True,21.6237976,9.9449315,2.1743535991172993,0.05,C6_win,0.5536761744384507,0.5536761744384507,True,0.5536761744384507,0.5536761744384504,0.5536761744384507,6.015554267354017e-16,0.0,31.903393917007364,12.484572065419147,12209.0,647.0,nan,0.033976207,observed_common_window,no_interpolation_no_post_last_event_extension,1.4694234,9.9414349,8.4720115,0.4306150812521066,0.5132923105717698,0.7777381457470974,0.9270623051323468,0.14932415938524932,0.22226185425290276,0.07293769486765325
33,stage1,round33_v10_tight_T_M3_Q20_seed284843780,10,3,20,tight_T,True,True,223.5160808,11.8910776,18.79695754403285,0.05,C6_win,1.2467213755892614,1.2467213755892614,True,1.2467213755892614,1.2467213755892605,1.2467213755892608,7.124113190730597e-16,5.343084893047948e-16,379.15405513889505,16.528954100150106,72716.0,714.0,nan,0.039186508,observed_common_window,no_interpolation_no_post_last_event_extension,2.0862224,11.8830494,9.796827,0.926393600901141,1.1502289204486813,0.7430638625757766,0.9226030314151207,0.179539168839344,0.2569361374242237,0.07739696858487985
33,stage1,round33_v10_tight_T_M3_Q30_seed1796239044,10,3,30,tight_T,True,True,8.1121065,4.1443564,1.9573863145553791,0.05,C6_win,0.023441363480885304,0.023441363480885304,True,0.023441363480885304,0.02344136337854116,0.02344136348088534,4.365963765718047e-09,0.0,10.619301891667847,3.4477539403661686,2072.0,5.0,nan,0.023353456,observed_common_window,no_interpolation_no_post_last_event_extension,1.4361123,4.1379086,2.7017963000000003,0.0,0.012554403415749494,0.0,0.5355662620046263,0.5355662620046263,1.0,0.46443373799537346
33,stage2,V12_M1,12,1,30,v12_anchor,True,True,34.9921775,29.6779628,1.1790626511601394,0.05,C6_win,0.3572005832084155,0.3572005832084155,True,0.3572005832084155,0.3572005832084151,0.3572005832084145,1.2432488375612486e-15,2.797309884512809e-15,53.573278258640755,35.46318543974309,26343.0,5867.0,nan,0.068509549,observed_common_window,no_interpolation_no_post_last_event_extension,6.3014349,29.6737114,23.372276499999998,0.3364222263885333,0.33132008471009067,0.9418300030944843,0.927546315109949,-0.014283687984535288,0.05816999690551541,0.07245368489004946
33,stage2,V12_M2,12,2,30,v12_anchor,True,True,171.9641289,122.9698336,1.3984253199802654,0.12296983360000001,C6_win,0.7185040707549709,0.7185040707549709,True,0.7185040707549709,0.7185040707549712,0.7185040707549673,0.0,5.099116526108658e-15,282.0967431295214,219.71345731112058,85427.0,2107.0,nan,0.158732416,observed_common_window,no_interpolation_no_post_last_event_extension,6.8901309,122.9638885,116.0737576,0.6881170017487722,0.6569104722124232,0.9577078679954185,0.9142752267529581,-0.04343264124246033,0.042292132004581665,0.08572477324703952
