round_id,stage_id,run_id,instance_id,V,M,Q,scenario,atomic_splits,native_targets,exact_closures,child_lookahead_pairs,requeues,total_work,native_nodes,peak_memory_gb,strict_certificate,lifecycle_valid
33,stage1,stage1__round33_v10_moderate_M3_Q20_seed935682861__c6_frozen__3600s,round33_v10_moderate_M3_Q20_seed935682861,10,3,20,moderate,0,0,0,0,0,0.0,0.0,0.0,True,True
33,stage1,stage1__round33_v10_moderate_M3_Q30_seed2031960658__c6_frozen__3600s,round33_v10_moderate_M3_Q30_seed2031960658,10,3,30,moderate,3,6,1,4,4,17.881566848390783,291.0,0.048172838,True,True
33,stage1,stage1__round33_v10_tight_T_M1_Q20_seed1215342007__c6_frozen__3600s,round33_v10_tight_T_M1_Q20_seed1215342007,10,1,20,tight_T,3,1,1,4,0,0.41163342076378295,2.0,0.008044274,True,True
33,stage1,stage1__round33_v10_tight_T_M1_Q30_seed1122319721__c6_frozen__3600s,round33_v10_tight_T_M1_Q30_seed1122319721,10,1,30,tight_T,2,0,1,3,0,0.3278702025933903,1.0,0.007550905,True,True
33,stage1,stage1__round33_v10_tight_T_M2_Q20_seed2085634706__c6_frozen__3600s,round33_v10_tight_T_M2_Q20_seed2085634706,10,2,20,tight_T,1,1,2,3,1,56.00511350241628,2203.0,0.049825897,True,True
33,stage1,stage1__round33_v10_tight_T_M2_Q30_seed1783646009__c6_frozen__3600s,round33_v10_tight_T_M2_Q30_seed1783646009,10,2,30,tight_T,2,2,2,4,2,12.484572065419147,647.0,0.033976207,True,True
33,stage1,stage1__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__3600s,round33_v10_tight_T_M3_Q20_seed284843780,10,3,20,tight_T,1,1,1,2,0,16.528954100150106,714.0,0.039186508,True,True
33,stage1,stage1__round33_v10_tight_T_M3_Q30_seed1796239044__c6_frozen__3600s,round33_v10_tight_T_M3_Q30_seed1796239044,10,3,30,tight_T,0,4,1,1,1,3.4477539403661686,5.0,0.023353456,True,True
33,stage2,stage2__V12_M1__c6_frozen__3600s,V12_M1,12,1,30,v12_anchor,0,3,1,1,1,35.46318543974309,5867.0,0.068509549,True,True
33,stage2,stage2__V12_M2__c6_frozen__3600s,V12_M2,12,2,30,v12_anchor,2,3,2,4,3,219.71345731112058,2107.0,0.158732416,True,True
33,stage3,stage3__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__repeat1__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,1,2,1,2,1,1.1997266723761215,94.0,0.011461377,True,True
33,stage3,stage3__round33_v10_high_imbalance_M3_Q30_seed1765289896__c6_frozen__repeat1__3600s,round33_v10_high_imbalance_M3_Q30_seed1765289896,10,3,30,high_imbalance,1,3,1,2,2,140.86603909164785,8964.0,0.066543776,True,True
33,stage3,stage3__round33_v10_moderate_M1_Q30_seed82526096__c6_frozen__repeat1__3600s,round33_v10_moderate_M1_Q30_seed82526096,10,1,30,moderate,2,2,2,4,1,0.5300196170250036,2.0,0.008685606,True,True
33,stage3,stage3__round33_v10_moderate_M2_Q20_seed1118884127__c6_frozen__repeat1__3600s,round33_v10_moderate_M2_Q20_seed1118884127,10,2,20,moderate,0,4,2,2,2,2.393012442697036,68.0,0.020945525,True,True
33,stage3,stage3__round33_v10_tight_T_M2_Q30_seed1783646009__c6_frozen__repeat1__3600s,round33_v10_tight_T_M2_Q30_seed1783646009,10,2,30,tight_T,2,2,2,4,2,12.484572065419147,647.0,0.033976225,True,True
33,stage3,stage3__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__repeat1__3600s,round33_v10_tight_T_M3_Q20_seed284843780,10,3,20,tight_T,1,1,1,2,0,16.528954100150106,714.0,0.039186526,True,True
