file,row_class,active,gamma_U,s_bucket_L,s_bucket_U,s_range_refinement_enabled,compact_bc_s_range_refinement,s_range_certificate_valid,compact_bc_s_range_rows_added,bucket_ratio_domain_rows_added,bucket_ratio_domain_bounds_tightened,bucket_subset_ratio_domain_cuts_added,bucket_subset_ratio_domain_max_size,bucket_h_cap_rows_added,audit_passed,failures
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_300s.json,benchmark_only_plain_fixed_interval_mip,False,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_static_tailored_compact_bc_1200s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_static_tailored_compact_bc_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_targeted_low_gini_centering_1200s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_targeted_low_gini_centering_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_transfer_inventory_cuts_1200s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_transfer_inventory_cuts_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,18.2648010723,19.9341411092,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_best_combined_paper_safe_1200s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_best_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_best_new_combined_paper_safe_10800s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_best_new_combined_paper_safe_10s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_best_new_combined_paper_safe_1200s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_best_new_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_best_new_combined_paper_safe_3600s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,2700,3,1,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_bucket_ratio_domain_tightening_1200s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,0,2,1,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_bucket_ratio_domain_tightening_300s.json,paper_safe_fixed_interval_tailored_bc,True,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,40,22,0,2,1,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_denominator_estimator_strengthening_1200s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_denominator_estimator_strengthening_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_10s.json,benchmark_only_plain_fixed_interval_mip,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_1200s.json,benchmark_only_plain_fixed_interval_mip,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_300s.json,benchmark_only_plain_fixed_interval_mip,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_1200s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_targeted_low_gini_centering_1200s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_targeted_low_gini_centering_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_transfer_inventory_cuts_1200s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\dominant_k4_low_gini_1_transfer_inventory_cuts_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0245762763324,16.5954610355,23.2728211828,True,paper-safe,True,2,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\high_imbalance_seed3201_hard_best_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.59375,14.5666666667,78.1355729679,False,off,False,0,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\high_imbalance_seed3201_hard_best_new_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.59375,14.5666666667,78.1355729679,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\high_imbalance_seed3201_hard_plain_fixed_interval_mip_300s.json,benchmark_only_plain_fixed_interval_mip,False,0.59375,0.0,88.192425813,False,off,False,0,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\low_gini_2_best_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0368644144986,4.6455026455,28.7993876794,False,off,False,0,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\low_gini_2_best_new_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0368644144986,4.6455026455,28.7993876794,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\low_gini_2_plain_fixed_interval_mip_300s.json,benchmark_only_plain_fixed_interval_mip,False,0.0368644144986,0.0,66.9085786677,False,off,False,0,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\moderate_seed3302_hard_best_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0978181032745,0.611413043478,38.4503018346,False,off,False,0,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\moderate_seed3302_hard_best_new_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0978181032745,0.611413043478,38.4503018346,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\moderate_seed3302_hard_bucket_ratio_domain_tightening_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.0978181032745,0.611413043478,38.4503018346,False,off,False,0,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\moderate_seed3302_hard_plain_fixed_interval_mip_300s.json,benchmark_only_plain_fixed_interval_mip,False,0.0978181032745,0.0,45.2857559372,False,off,False,0,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\tight_T_seed3102_hard_best_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.300352218343,5.50586593258,50.5248237629,False,off,False,0,0,0,0,2,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\tight_T_seed3102_hard_best_new_combined_paper_safe_300s.json,paper_safe_fixed_interval_tailored_bc,False,0.300352218343,5.50586593258,50.5248237629,False,off,False,0,0,0,0,3,0,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\tight_T_seed3102_hard_plain_fixed_interval_mip_300s.json,benchmark_only_plain_fixed_interval_mip,False,0.300352218343,0.0,73.0065087446,False,off,False,0,0,0,0,2,0,True,
