run_id,stage,arm,instance,coverage_valid,initial_intervals,final_intervals,binary_splits,single_child_contractions,contraction_model_reuses,contraction_basis_reuses,contraction_not_counted_as_binary_split,strict_certificate_safe
stage3_300s__tight_T_seed3101__K1-AM,stage3_300s,K1-AM,tight_T_seed3101,True,1,1,0,0,0,0,True,True
stage3_300s__tight_T_seed3101__K1-AMC,stage3_300s,K1-AMC,tight_T_seed3101,True,1,1,0,0,0,0,True,True
stage3_300s__tight_T_seed3101__K4-AM,stage3_300s,K4-AM,tight_T_seed3101,True,4,4,0,0,0,0,True,True
stage3_300s__tight_T_seed3101__K4-AMC,stage3_300s,K4-AMC,tight_T_seed3101,True,4,4,0,0,0,0,True,True
stage4_1200s__high_imbalance_seed3201__K1-AM,stage4_1200s,K1-AM,high_imbalance_seed3201,True,1,5,4,0,3,0,True,True
stage4_1200s__high_imbalance_seed3201__K1-AMC,stage4_1200s,K1-AMC,high_imbalance_seed3201,True,1,2,1,3,3,0,True,True
stage4_1200s__high_imbalance_seed3201__K4-AM,stage4_1200s,K4-AM,high_imbalance_seed3201,True,4,5,1,0,1,0,True,True
stage4_1200s__high_imbalance_seed3201__K4-AMC,stage4_1200s,K4-AMC,high_imbalance_seed3201,True,4,4,0,1,1,0,True,True
stage4_1200s__moderate_seed3301__K1-AM,stage4_1200s,K1-AM,moderate_seed3301,True,1,2,1,0,0,0,True,True
stage4_1200s__moderate_seed3301__K1-AMC,stage4_1200s,K1-AMC,moderate_seed3301,True,1,2,1,0,0,0,True,True
stage4_1200s__moderate_seed3301__K4-AM,stage4_1200s,K4-AM,moderate_seed3301,True,4,5,1,0,1,0,True,True
stage4_1200s__moderate_seed3301__K4-AMC,stage4_1200s,K4-AMC,moderate_seed3301,True,4,4,0,1,1,0,True,True
stage4_1200s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AM,stage4_1200s,K1-AM,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AMC,stage4_1200s,K1-AMC,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-AM,stage4_1200s,K4-AM,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,4,4,0,0,0,0,True,True
stage4_1200s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-AMC,stage4_1200s,K4-AMC,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,4,4,0,0,0,0,True,True
stage4_1200s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-AM,stage4_1200s,K1-AM,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-AMC,stage4_1200s,K1-AMC,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-AM,stage4_1200s,K4-AM,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,4,7,3,0,3,0,True,True
stage4_1200s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-AMC,stage4_1200s,K4-AMC,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,4,4,0,3,3,0,True,True
stage4_1200s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM,stage4_1200s,K1-AM,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMC,stage4_1200s,K1-AMC,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AM,stage4_1200s,K4-AM,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,4,10,6,0,6,0,True,True
stage4_1200s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AMC,stage4_1200s,K4-AMC,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,4,4,0,6,6,0,True,True
stage4_1200s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM,stage4_1200s,K1-AM,round39_small_hard_V12_M3_Q20_slot07_seed621538683,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AMC,stage4_1200s,K1-AMC,round39_small_hard_V12_M3_Q20_slot07_seed621538683,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AM,stage4_1200s,K4-AM,round39_small_hard_V12_M3_Q20_slot07_seed621538683,True,4,4,0,0,0,0,True,True
stage4_1200s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AMC,stage4_1200s,K4-AMC,round39_small_hard_V12_M3_Q20_slot07_seed621538683,True,4,4,0,0,0,0,True,True
stage4_1200s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM,stage4_1200s,K1-AM,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMC,stage4_1200s,K1-AMC,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-AM,stage4_1200s,K4-AM,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,4,4,0,0,0,0,True,True
stage4_1200s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-AMC,stage4_1200s,K4-AMC,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,4,4,0,0,0,0,True,True
stage4_1200s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K1-AM,stage4_1200s,K1-AM,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K1-AMC,stage4_1200s,K1-AMC,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K4-AM,stage4_1200s,K4-AM,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,4,4,0,0,0,0,True,True
stage4_1200s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K4-AMC,stage4_1200s,K4-AMC,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,4,4,0,0,0,0,True,True
stage4_1200s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM,stage4_1200s,K1-AM,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AMC,stage4_1200s,K1-AMC,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,1,1,0,0,0,0,True,True
stage4_1200s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-AM,stage4_1200s,K4-AM,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,4,4,0,0,0,0,True,True
stage4_1200s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-AMC,stage4_1200s,K4-AMC,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,4,4,0,0,0,0,True,True
stage4_1200s__tight_T_seed3101__K1-AM,stage4_1200s,K1-AM,tight_T_seed3101,True,1,1,0,0,0,0,True,True
stage4_1200s__tight_T_seed3101__K1-AMC,stage4_1200s,K1-AMC,tight_T_seed3101,True,1,1,0,0,0,0,True,True
stage4_1200s__tight_T_seed3101__K4-AM,stage4_1200s,K4-AM,tight_T_seed3101,True,4,4,0,0,0,0,True,True
stage4_1200s__tight_T_seed3101__K4-AMC,stage4_1200s,K4-AMC,tight_T_seed3101,True,4,4,0,0,0,0,True,True
stage5_1800s__high_imbalance_seed3201__K1-AM,stage5_1800s,K1-AM,high_imbalance_seed3201,True,1,5,4,0,3,0,True,True
stage5_1800s__high_imbalance_seed3201__K4-AMC,stage5_1800s,K4-AMC,high_imbalance_seed3201,True,4,4,0,1,1,0,True,True
stage5_1800s__high_imbalance_seed3202__K1-AM,stage5_1800s,K1-AM,high_imbalance_seed3202,True,1,4,3,0,2,0,True,True
stage5_1800s__high_imbalance_seed3202__K4-AMC,stage5_1800s,K4-AMC,high_imbalance_seed3202,True,4,4,0,0,0,0,True,True
stage5_1800s__moderate_seed3301__K1-AM,stage5_1800s,K1-AM,moderate_seed3301,True,1,2,1,0,0,0,True,True
stage5_1800s__moderate_seed3301__K4-AMC,stage5_1800s,K4-AMC,moderate_seed3301,True,4,4,0,1,1,0,True,True
stage5_1800s__moderate_seed3302__K1-AM,stage5_1800s,K1-AM,moderate_seed3302,True,1,1,0,0,0,0,True,True
stage5_1800s__moderate_seed3302__K4-AMC,stage5_1800s,K4-AMC,moderate_seed3302,True,4,4,0,0,0,0,True,True
stage5_1800s__round39_small_hard_V10_M2_Q20_slot03_seed490008310__K1-AM,stage5_1800s,K1-AM,round39_small_hard_V10_M2_Q20_slot03_seed490008310,True,1,1,0,0,0,0,True,True
stage5_1800s__round39_small_hard_V10_M2_Q20_slot03_seed490008310__K4-AMC,stage5_1800s,K4-AMC,round39_small_hard_V10_M2_Q20_slot03_seed490008310,True,4,4,0,1,1,0,True,True
stage5_1800s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM,stage5_1800s,K1-AM,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,1,1,0,0,0,0,True,True
stage5_1800s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AMC,stage5_1800s,K4-AMC,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,4,4,0,6,6,0,True,True
stage5_1800s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM,stage5_1800s,K1-AM,round39_small_hard_V12_M2_Q20_slot06_seed258908503,True,1,1,0,0,0,0,True,True
stage5_1800s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K4-AMC,stage5_1800s,K4-AMC,round39_small_hard_V12_M2_Q20_slot06_seed258908503,True,4,4,0,6,6,0,True,True
stage5_1800s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM,stage5_1800s,K1-AM,round39_small_hard_V12_M3_Q20_slot07_seed621538683,True,1,1,0,0,0,0,True,True
stage5_1800s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AMC,stage5_1800s,K4-AMC,round39_small_hard_V12_M3_Q20_slot07_seed621538683,True,4,4,0,0,0,0,True,True
stage5_1800s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM,stage5_1800s,K1-AM,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,1,1,0,0,0,0,True,True
stage5_1800s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-AMC,stage5_1800s,K4-AMC,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,4,4,0,0,0,0,True,True
stage5_1800s__round39_small_medium_V10_M3_Q30_slot06_seed2147082032__K1-AM,stage5_1800s,K1-AM,round39_small_medium_V10_M3_Q30_slot06_seed2147082032,True,1,1,0,0,0,0,True,True
stage5_1800s__round39_small_medium_V10_M3_Q30_slot06_seed2147082032__K4-AMC,stage5_1800s,K4-AMC,round39_small_medium_V10_M3_Q30_slot06_seed2147082032,True,4,4,0,0,0,0,True,True
stage5_1800s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM,stage5_1800s,K1-AM,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,1,1,0,0,0,0,True,True
stage5_1800s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-AMC,stage5_1800s,K4-AMC,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,4,4,0,0,0,0,True,True
stage5_1800s__round39_small_medium_V8_M2_Q20_slot02_seed890603285__K1-AM,stage5_1800s,K1-AM,round39_small_medium_V8_M2_Q20_slot02_seed890603285,True,1,1,0,0,0,0,True,True
stage5_1800s__round39_small_medium_V8_M2_Q20_slot02_seed890603285__K4-AMC,stage5_1800s,K4-AMC,round39_small_medium_V8_M2_Q20_slot02_seed890603285,True,4,4,0,0,0,0,True,True
stage5_1800s__tight_T_seed3101__K1-AM,stage5_1800s,K1-AM,tight_T_seed3101,True,1,1,0,0,0,0,True,True
stage5_1800s__tight_T_seed3101__K4-AMC,stage5_1800s,K4-AMC,tight_T_seed3101,True,4,4,0,0,0,0,True,True
stage5_1800s__tight_T_seed3102__K1-AM,stage5_1800s,K1-AM,tight_T_seed3102,True,1,2,1,0,1,0,True,True
stage5_1800s__tight_T_seed3102__K4-AMC,stage5_1800s,K4-AMC,tight_T_seed3102,True,4,4,0,1,1,0,True,True
