run_id,stage,arm,instance,certificate,false_certificate,coverage_valid,bound_order_valid,completion_marker,lower_bound,verified_upper_bound,rejection_reason
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-AM,stage3_300s,K4-AM,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,False,True,True,True,0.8585174613256055,0.8585174613256055,none
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-AMC,stage3_300s,K4-AMC,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,False,True,True,True,0.8585174613256055,0.8585174613256055,none
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM,stage3_300s,K1-AM,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,False,True,True,True,0.5045438521642072,0.5045438521642074,none
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMC,stage3_300s,K1-AMC,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,False,True,True,True,0.5045438521642072,0.5045438521642074,none
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AM,stage3_300s,K4-AM,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,False,True,True,True,0.5045438521642074,0.5045438521642074,none
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AMC,stage3_300s,K4-AMC,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,False,True,True,True,0.5045438521642075,0.5045438521642074,none
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM,stage3_300s,K1-AM,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,False,True,True,True,0.6471163029866588,0.6471164334555021,global_bound_gap_not_closed
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AMC,stage3_300s,K1-AMC,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,False,True,True,True,0.6471163029866588,0.6471164334555021,global_bound_gap_not_closed
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AM,stage3_300s,K4-AM,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,False,True,True,True,0.6471162753807069,0.6471164334555021,global_bound_gap_not_closed
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AMC,stage3_300s,K4-AMC,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,False,True,True,True,0.6471162753807069,0.6471164334555021,global_bound_gap_not_closed
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM,stage3_300s,K1-AM,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,False,False,True,True,True,0.4252011336837254,0.506343307565206,relevant_leaf_open
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMC,stage3_300s,K1-AMC,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,False,False,True,True,True,0.4252011336837254,0.506343307565206,relevant_leaf_open
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-AM,stage3_300s,K4-AM,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,False,True,True,True,0.5063433075652044,0.506343307565206,none
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-AMC,stage3_300s,K4-AMC,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,False,True,True,True,0.5063433075652044,0.506343307565206,none
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K1-AM,stage3_300s,K1-AM,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,False,True,True,True,0.12152565367470163,0.1215256536747018,none
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K1-AMC,stage3_300s,K1-AMC,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,False,True,True,True,0.12152565367470163,0.1215256536747018,none
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K4-AM,stage3_300s,K4-AM,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,False,True,True,True,0.12152565367470176,0.1215256536747018,none
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K4-AMC,stage3_300s,K4-AMC,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,False,True,True,True,0.12152565367470176,0.1215256536747018,none
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM,stage3_300s,K1-AM,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,False,True,True,True,0.04224579640184012,0.04500155005562836,relevant_leaf_open
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AMC,stage3_300s,K1-AMC,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,False,True,True,True,0.04224579640184012,0.04500155005562836,relevant_leaf_open
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-AM,stage3_300s,K4-AM,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,False,True,True,True,0.037101511960814584,0.04500155005562836,relevant_leaf_open
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-AMC,stage3_300s,K4-AMC,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,False,True,True,True,0.037101511960814584,0.04500155005562836,relevant_leaf_open
stage3_300s__tight_T_seed3101__K1-AM,stage3_300s,K1-AM,tight_T_seed3101,False,False,True,True,True,0.05212369656726143,0.10725273413394144,relevant_leaf_open
stage3_300s__tight_T_seed3101__K1-AMC,stage3_300s,K1-AMC,tight_T_seed3101,False,False,True,True,True,0.05212369656726143,0.10725273413394144,relevant_leaf_open
stage3_300s__tight_T_seed3101__K4-AM,stage3_300s,K4-AM,tight_T_seed3101,False,False,True,True,True,0.05474819668481515,0.10725273413394144,relevant_leaf_open
stage3_300s__tight_T_seed3101__K4-AMC,stage3_300s,K4-AMC,tight_T_seed3101,False,False,True,True,True,0.05474819668481515,0.10725273413394144,relevant_leaf_open
stage4_1200s__high_imbalance_seed3201__K1-AM,stage4_1200s,K1-AM,high_imbalance_seed3201,True,False,True,True,True,2.443403191943199,2.4434031919432,none
stage4_1200s__high_imbalance_seed3201__K1-AMC,stage4_1200s,K1-AMC,high_imbalance_seed3201,True,False,True,True,True,2.443403191943199,2.4434031919432,none
stage4_1200s__high_imbalance_seed3201__K4-AM,stage4_1200s,K4-AM,high_imbalance_seed3201,True,False,True,True,True,2.4434031905083478,2.4434031919432,none
stage4_1200s__high_imbalance_seed3201__K4-AMC,stage4_1200s,K4-AMC,high_imbalance_seed3201,True,False,True,True,True,2.4434031905083478,2.4434031919432,none
stage4_1200s__moderate_seed3301__K1-AM,stage4_1200s,K1-AM,moderate_seed3301,False,False,True,True,True,0.04796472692368177,0.04915255266474515,relevant_leaf_open
stage4_1200s__moderate_seed3301__K1-AMC,stage4_1200s,K1-AMC,moderate_seed3301,False,False,True,True,True,0.04796472692368177,0.04915255266474515,relevant_leaf_open
stage4_1200s__moderate_seed3301__K4-AM,stage4_1200s,K4-AM,moderate_seed3301,False,False,True,True,True,0.04363065333581688,0.04915255266474515,relevant_leaf_open
stage4_1200s__moderate_seed3301__K4-AMC,stage4_1200s,K4-AMC,moderate_seed3301,False,False,True,True,True,0.04363065333581688,0.04915255266474515,relevant_leaf_open
stage4_1200s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AM,stage4_1200s,K1-AM,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,False,True,True,True,0.02133700603978056,0.021337006039780566,none
stage4_1200s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AMC,stage4_1200s,K1-AMC,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,False,True,True,True,0.02133700603978056,0.021337006039780566,none
stage4_1200s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-AM,stage4_1200s,K4-AM,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,False,True,True,True,0.021337006039780566,0.021337006039780566,none
stage4_1200s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-AMC,stage4_1200s,K4-AMC,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,False,True,True,True,0.021337006039780566,0.021337006039780566,none
stage4_1200s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-AM,stage4_1200s,K1-AM,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,False,True,True,True,0.8585174613256094,0.8585174613256055,none
stage4_1200s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-AMC,stage4_1200s,K1-AMC,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,False,True,True,True,0.8585174613256094,0.8585174613256055,none
stage4_1200s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-AM,stage4_1200s,K4-AM,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,False,True,True,True,0.8585174613256055,0.8585174613256055,none
stage4_1200s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-AMC,stage4_1200s,K4-AMC,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,False,True,True,True,0.8585174613256055,0.8585174613256055,none
stage4_1200s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM,stage4_1200s,K1-AM,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,False,True,True,True,0.5045438521642072,0.5045438521642074,none
stage4_1200s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMC,stage4_1200s,K1-AMC,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,False,True,True,True,0.5045438521642072,0.5045438521642074,none
stage4_1200s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AM,stage4_1200s,K4-AM,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,False,True,True,True,0.5045438521642074,0.5045438521642074,none
stage4_1200s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AMC,stage4_1200s,K4-AMC,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,False,True,True,True,0.5045438521642075,0.5045438521642074,none
stage4_1200s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM,stage4_1200s,K1-AM,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,False,True,True,True,0.6471163029866588,0.6471164334555021,global_bound_gap_not_closed
stage4_1200s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AMC,stage4_1200s,K1-AMC,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,False,True,True,True,0.6471163029866588,0.6471164334555021,global_bound_gap_not_closed
stage4_1200s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AM,stage4_1200s,K4-AM,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,False,True,True,True,0.6471162753807069,0.6471164334555021,global_bound_gap_not_closed
stage4_1200s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AMC,stage4_1200s,K4-AMC,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,False,True,True,True,0.6471162753807069,0.6471164334555021,global_bound_gap_not_closed
stage4_1200s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM,stage4_1200s,K1-AM,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,False,True,True,True,0.5063432868918758,0.506343307565206,none
stage4_1200s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMC,stage4_1200s,K1-AMC,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,False,True,True,True,0.5063432868918758,0.506343307565206,none
stage4_1200s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-AM,stage4_1200s,K4-AM,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,False,True,True,True,0.5063433075652044,0.506343307565206,none
stage4_1200s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-AMC,stage4_1200s,K4-AMC,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,False,True,True,True,0.5063433075652044,0.506343307565206,none
stage4_1200s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K1-AM,stage4_1200s,K1-AM,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,False,True,True,True,0.12152565367470163,0.1215256536747018,none
stage4_1200s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K1-AMC,stage4_1200s,K1-AMC,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,False,True,True,True,0.12152565367470163,0.1215256536747018,none
stage4_1200s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K4-AM,stage4_1200s,K4-AM,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,False,True,True,True,0.12152565367470176,0.1215256536747018,none
stage4_1200s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K4-AMC,stage4_1200s,K4-AMC,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,False,True,True,True,0.12152565367470176,0.1215256536747018,none
stage4_1200s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM,stage4_1200s,K1-AM,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,False,True,True,True,0.04500155005562829,0.04500155005562836,none
stage4_1200s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AMC,stage4_1200s,K1-AMC,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,False,True,True,True,0.04500155005562829,0.04500155005562836,none
stage4_1200s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-AM,stage4_1200s,K4-AM,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,False,True,True,True,0.04500155005562773,0.04500155005562836,none
stage4_1200s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-AMC,stage4_1200s,K4-AMC,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,False,True,True,True,0.04500155005562773,0.04500155005562836,none
stage4_1200s__tight_T_seed3101__K1-AM,stage4_1200s,K1-AM,tight_T_seed3101,False,False,True,True,True,0.06260464330364945,0.10725273413394144,relevant_leaf_open
stage4_1200s__tight_T_seed3101__K1-AMC,stage4_1200s,K1-AMC,tight_T_seed3101,False,False,True,True,True,0.06260464330364945,0.10725273413394144,relevant_leaf_open
stage4_1200s__tight_T_seed3101__K4-AM,stage4_1200s,K4-AM,tight_T_seed3101,False,False,True,True,True,0.06815724277229124,0.10725273413394144,relevant_leaf_open
stage4_1200s__tight_T_seed3101__K4-AMC,stage4_1200s,K4-AMC,tight_T_seed3101,False,False,True,True,True,0.06887205003931879,0.10725273413394144,relevant_leaf_open
stage5_1800s__high_imbalance_seed3201__K1-AM,stage5_1800s,K1-AM,high_imbalance_seed3201,True,False,True,True,True,2.443403191943199,2.4434031919432,none
stage5_1800s__high_imbalance_seed3201__K4-AMC,stage5_1800s,K4-AMC,high_imbalance_seed3201,True,False,True,True,True,2.4434031905083478,2.4434031919432,none
stage5_1800s__high_imbalance_seed3202__K1-AM,stage5_1800s,K1-AM,high_imbalance_seed3202,True,False,True,True,True,1.7493134517141697,1.7493134520506337,none
stage5_1800s__high_imbalance_seed3202__K4-AMC,stage5_1800s,K4-AMC,high_imbalance_seed3202,True,False,True,True,True,1.7493134520506324,1.7493134520506337,none
stage5_1800s__moderate_seed3301__K1-AM,stage5_1800s,K1-AM,moderate_seed3301,False,False,True,True,True,0.04796472692368177,0.04915255266474515,relevant_leaf_open
stage5_1800s__moderate_seed3301__K4-AMC,stage5_1800s,K4-AMC,moderate_seed3301,False,False,True,True,True,0.04363065333581688,0.04915255266474515,relevant_leaf_open
stage5_1800s__moderate_seed3302__K1-AM,stage5_1800s,K1-AM,moderate_seed3302,False,False,True,True,True,0.14698630979072957,0.19563620654901237,relevant_leaf_open
stage5_1800s__moderate_seed3302__K4-AMC,stage5_1800s,K4-AMC,moderate_seed3302,False,False,True,True,True,0.14946819954967203,0.19563620654901237,relevant_leaf_open
stage5_1800s__round39_small_hard_V10_M2_Q20_slot03_seed490008310__K1-AM,stage5_1800s,K1-AM,round39_small_hard_V10_M2_Q20_slot03_seed490008310,True,False,True,True,True,0.5364414700250418,0.5364414700250417,none
stage5_1800s__round39_small_hard_V10_M2_Q20_slot03_seed490008310__K4-AMC,stage5_1800s,K4-AMC,round39_small_hard_V10_M2_Q20_slot03_seed490008310,True,False,True,True,True,0.5364414700250419,0.5364414700250417,none
stage5_1800s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM,stage5_1800s,K1-AM,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,False,True,True,True,0.5045438521642072,0.5045438521642074,none
stage5_1800s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AMC,stage5_1800s,K4-AMC,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,False,True,True,True,0.5045438521642075,0.5045438521642074,none
stage5_1800s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM,stage5_1800s,K1-AM,round39_small_hard_V12_M2_Q20_slot06_seed258908503,True,False,True,True,True,0.7062530985290736,0.7062530985290749,none
stage5_1800s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K4-AMC,stage5_1800s,K4-AMC,round39_small_hard_V12_M2_Q20_slot06_seed258908503,True,False,True,True,True,0.7062530985290749,0.7062530985290749,none
stage5_1800s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM,stage5_1800s,K1-AM,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,False,True,True,True,0.6471163029866588,0.6471164334555021,global_bound_gap_not_closed
stage5_1800s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AMC,stage5_1800s,K4-AMC,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,False,True,True,True,0.6471162753807069,0.6471164334555021,global_bound_gap_not_closed
stage5_1800s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM,stage5_1800s,K1-AM,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,False,True,True,True,0.5063432868918758,0.506343307565206,none
stage5_1800s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-AMC,stage5_1800s,K4-AMC,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,False,True,True,True,0.5063433075652044,0.506343307565206,none
stage5_1800s__round39_small_medium_V10_M3_Q30_slot06_seed2147082032__K1-AM,stage5_1800s,K1-AM,round39_small_medium_V10_M3_Q30_slot06_seed2147082032,True,False,True,True,True,0.05842218740424499,0.05842218740424529,none
stage5_1800s__round39_small_medium_V10_M3_Q30_slot06_seed2147082032__K4-AMC,stage5_1800s,K4-AMC,round39_small_medium_V10_M3_Q30_slot06_seed2147082032,True,False,True,True,True,0.05842218740424529,0.05842218740424529,none
stage5_1800s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM,stage5_1800s,K1-AM,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,False,True,True,True,0.04500155005562829,0.04500155005562836,none
stage5_1800s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-AMC,stage5_1800s,K4-AMC,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,False,True,True,True,0.04500155005562773,0.04500155005562836,none
stage5_1800s__round39_small_medium_V8_M2_Q20_slot02_seed890603285__K1-AM,stage5_1800s,K1-AM,round39_small_medium_V8_M2_Q20_slot02_seed890603285,True,False,True,True,True,0.06925116214905465,0.06925116214905465,none
stage5_1800s__round39_small_medium_V8_M2_Q20_slot02_seed890603285__K4-AMC,stage5_1800s,K4-AMC,round39_small_medium_V8_M2_Q20_slot02_seed890603285,True,False,True,True,True,0.06925116214905465,0.06925116214905465,none
stage5_1800s__tight_T_seed3101__K1-AM,stage5_1800s,K1-AM,tight_T_seed3101,False,False,True,True,True,0.06650660295091272,0.10725273413394144,relevant_leaf_open
stage5_1800s__tight_T_seed3101__K4-AMC,stage5_1800s,K4-AMC,tight_T_seed3101,False,False,True,True,True,0.07973225198018855,0.10725273413394144,relevant_leaf_open
stage5_1800s__tight_T_seed3102__K1-AM,stage5_1800s,K1-AM,tight_T_seed3102,False,False,True,True,True,0.5615483617116342,0.6007044366851081,relevant_leaf_open
stage5_1800s__tight_T_seed3102__K4-AMC,stage5_1800s,K4-AMC,tight_T_seed3102,True,False,True,True,True,0.6007044366851081,0.6007044366851081,none
