run_id,node_uid,parent_uid,native_depth,gini_generation,relaxation_pass,gamma_L,gamma_U,pre_local_row_relaxation,post_local_row_relaxation,delta_rows_attached,duplicates_omitted,row_factory_seconds,row_api_seconds,status
stage1__tight_T_seed3101__factory_full__300s,560,557,9,9,2,0.0094265098359909479,0.0096359878323463016,0.016859173210529849,0.016941529435452036,,,0.0150145,0.00037379999999999998,passed
stage1__tight_T_seed3101__factory_full__300s,563,560,10,10,1,0.0094265098359909479,0.0095312488341686256,0.016941529435452088,,1442,0,0.0145089,0.00036670000000000002,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,563,560,10,10,2,0.0094265098359909479,0.0095312488341686256,0.016941529435452088,0.017026243144824663,,,0.0145089,0.00036670000000000002,passed
stage1__tight_T_seed3101__factory_full__300s,564,560,10,10,1,0.0095312488341686256,0.0096359878323463016,0.016943350297550716,,1442,0,0.014822,0.00037720000000000001,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,564,560,10,10,2,0.0095312488341686256,0.0096359878323463016,0.016943350297550716,0.016984529871850666,,,0.014822,0.00037720000000000001,passed
stage1__tight_T_seed3101__factory_full__300s,16,12,6,6,1,0.011730767795899846,0.01340659176674268,0.015607393099091489,,1442,0,0.015864900000000001,0.00039149999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,16,12,6,6,2,0.011730767795899846,0.01340659176674268,0.015607393099091489,0.016314989353377621,,,0.015864900000000001,0.00039149999999999998,passed
stage1__tight_T_seed3101__factory_full__300s,641,16,7,7,1,0.011730767795899846,0.012568679781321264,0.016314989353377669,,1442,0,0.014541999999999999,0.0003994,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,641,16,7,7,2,0.011730767795899846,0.012568679781321264,0.016314989353377669,0.01663223842797696,,,0.014541999999999999,0.0003994,passed
stage1__tight_T_seed3101__factory_full__300s,643,641,8,8,1,0.011730767795899846,0.012149723788610555,0.016632238427959762,,1442,0,0.014646299999999999,0.00036820000000000001,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,643,641,8,8,2,0.011730767795899846,0.012149723788610555,0.016632238427959762,0.016783791045467705,,,0.014646299999999999,0.00036820000000000001,passed
stage1__tight_T_seed3101__factory_full__300s,645,643,9,9,1,0.011730767795899846,0.011940245792255201,0.01678379104546799,,1442,0,0.0140667,0.00036230000000000002,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,645,643,9,9,2,0.011730767795899846,0.011940245792255201,0.01678379104546799,0.01685956170596406,,,0.0140667,0.00036230000000000002,passed
stage1__tight_T_seed3101__factory_full__300s,646,643,9,9,1,0.011940245792255201,0.012149723788610555,0.016799732955077206,,1442,0,0.014265699999999999,0.00038610000000000001,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,646,643,9,9,2,0.011940245792255201,0.012149723788610555,0.016799732955077206,0.016883697298876718,,,0.014265699999999999,0.00038610000000000001,passed
stage1__tight_T_seed3101__factory_full__300s,647,645,10,10,1,0.011730767795899846,0.011835506794077523,0.01685956170596406,,1442,0,0.014357200000000001,0.0003724,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,647,645,10,10,2,0.011730767795899846,0.011835506794077523,0.01685956170596406,0.016897445626928125,,,0.014357200000000001,0.0003724,passed
stage1__tight_T_seed3101__factory_full__300s,648,645,10,10,1,0.011835506794077523,0.011940245792255201,0.016867554804435261,,1442,0,0.014287299999999999,0.00037310000000000002,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,648,645,10,10,2,0.011835506794077523,0.011940245792255201,0.016867554804435261,0.016909518220510643,,,0.014287299999999999,0.00037310000000000002,passed
stage1__tight_T_seed3101__factory_full__300s,18,15,7,7,1,0.010892855810478427,0.011730767795899846,0.016188935686979034,,1442,0,0.015061099999999999,0.00041859999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,18,15,7,7,2,0.010892855810478427,0.011730767795899846,0.016188935686979034,0.016535629729371927,,,0.015061099999999999,0.00041859999999999998,passed
stage1__tight_T_seed3101__factory_full__300s,745,18,8,8,1,0.010892855810478427,0.011311811803189136,0.016535629729371892,,1442,0,0.0143988,0.00036650000000000002,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,745,18,8,8,2,0.010892855810478427,0.011311811803189136,0.016535629729371892,0.016688479977060491,,,0.0143988,0.00036650000000000002,passed
stage1__tight_T_seed3101__factory_full__300s,747,745,9,9,1,0.010892855810478427,0.011102333806833783,0.016688479977060546,,1442,0,0.014575299999999999,0.00034969999999999999,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,747,745,9,9,2,0.010892855810478427,0.011102333806833783,0.016688479977060546,0.016779083905123001,,,0.014575299999999999,0.00034969999999999999,passed
stage1__tight_T_seed3101__factory_full__300s,749,747,10,10,1,0.010892855810478427,0.010997594808656105,0.016779083905123001,,1442,0,0.014424299999999999,0.00036089999999999999,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,749,747,10,10,2,0.010892855810478427,0.010997594808656105,0.016779083905123001,0.016824378203190205,,,0.014424299999999999,0.00036089999999999999,passed
stage1__tight_T_seed3101__factory_full__300s,642,16,7,7,1,0.012568679781321264,0.01340659176674268,0.016380547219398526,,1442,0,0.0146134,0.00037849999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,642,16,7,7,2,0.012568679781321264,0.01340659176674268,0.016380547219398526,0.016728550038876043,,,0.0146134,0.00037849999999999998,passed
stage1__tight_T_seed3101__factory_full__300s,823,642,8,8,1,0.012568679781321264,0.012987635774031971,0.016728550038869288,,1442,0,0.0143844,0.0003658,awaiting_reoptimization
