number,id,arm,run_cap,checkpoint,conservative_overhead_shift,trace_event_count,trace_last_time,final_witness_backdated,certificate,verified_retained_UB,comparison_UB,LB,UB_scope,LB_scope,signed_gap,relative_gap,completed_wall,algorithm_reported_verified_UB,initial_witness_available_by,hga_full_route_hash
13,D6,VD-S,3600,300,0.10300600029449924,0,,False,False,0.15708313110317407,0.15708313110317407,0.0,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.15708313110317407,1.0,,,21.378648700294487,b22331e7663cc630a7413ae81c8fa43ec166241a5a109520fd9bd5bda6b7e26c
13,D6,VD-S,3600,600,0.10300600029449924,40,585.3573895002945,False,False,0.15708313110317407,0.15708313110317407,0.14196626386459918,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.015116867238574888,0.09623482249437688,,0.15708313110317415,21.378648700294487,b22331e7663cc630a7413ae81c8fa43ec166241a5a109520fd9bd5bda6b7e26c
13,D6,VD-S,3600,1200,0.10300600029449924,84,1192.0471901002945,False,False,0.15708313110317407,0.15708313110317407,0.1490234212432519,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.00805970985992216,0.05130856383699435,,0.15708313110317415,21.378648700294487,b22331e7663cc630a7413ae81c8fa43ec166241a5a109520fd9bd5bda6b7e26c
13,D6,VD-S,3600,1800,0.10300600029449924,156,1787.7192239002945,False,False,0.15708313110317407,0.15708313110317407,0.15066818197701648,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.0064149491261575875,0.04083792499618672,,0.15708313110317415,21.378648700294487,b22331e7663cc630a7413ae81c8fa43ec166241a5a109520fd9bd5bda6b7e26c
13,D6,VD-S,3600,2400,0.10300600029449924,273,2393.665320700294,False,False,0.15708313110317407,0.15708313110317407,0.15172818238717503,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.005354948715999036,0.034089903087568596,,0.15708313110317415,21.378648700294487,b22331e7663cc630a7413ae81c8fa43ec166241a5a109520fd9bd5bda6b7e26c
13,D6,VD-S,3600,3600,0.10300600029449924,644,3597.1336962002947,False,False,0.15708313110317415,0.15708313110317415,0.1531074523719963,Completed run: independently checked final routes,Completed full original-problem bound,0.003975678731177851,0.025309393206369026,3597.1410000002943,,,
14,D7,P-GRB,1200,300,0.05029399970567283,221,293.75606369970563,False,False,,0.33391683958210283,0.19433346213470226,Native incumbent telemetry; no complete intermediate vector retained,Original compact MIP callback bound,0.13958337744740057,0.4180183833258882,,,,
14,D7,P-GRB,1200,600,0.05029399970567283,612,599.9204382997057,False,False,,0.2901862462958125,0.19695492691463842,Native incumbent telemetry; no complete intermediate vector retained,Original compact MIP callback bound,0.0932313193811741,0.321280972379839,,,,
14,D7,P-GRB,1200,1200,0.05029399970567283,1635,1197.0558877997057,False,False,0.27732086593398886,0.27732086593398886,0.1972864787145512,Completed run: independently checked final routes,Completed full original-problem bound,0.08003438721943765,0.2885985046595389,1197.1089999997057,,,
15,D7,K1-R,1200,300,0.035782600294396616,0,,False,False,0.21564407531579494,0.21564407531579494,0.0,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.21564407531579494,1.0,,,161.14734930029442,356124388ee9c761491b4bf926abb98c21b41fdeff8f76b6e388b33af2287170
15,D7,K1-R,1200,600,0.035782600294396616,8,583.2067671002944,False,False,0.21564407531579494,0.21564407531579494,0.18248480099596887,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.03315927431982607,0.15376853860356118,,0.21564407531579505,161.14734930029442,356124388ee9c761491b4bf926abb98c21b41fdeff8f76b6e388b33af2287170
15,D7,K1-R,1200,1200,0.035782600294396616,51,1197.1108973002945,False,False,0.21564407531579505,0.21564407531579505,0.19772972251984766,Completed run: independently checked final routes,Completed full original-problem bound,0.017914352795947386,0.08307370731012721,1197.1410000002943,,,
16,D7,VD-S,1200,300,0.031793400212336564,0,,False,False,0.21564407531579494,0.21564407531579494,0.0,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.21564407531579494,1.0,,,153.79417640021236,356124388ee9c761491b4bf926abb98c21b41fdeff8f76b6e388b33af2287170
16,D7,VD-S,1200,600,0.031793400212336564,13,599.8892599002123,False,False,0.21564407531579494,0.21564407531579494,0.1902337965695171,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.025410278746277826,0.1178343467543281,,0.21564407531579505,153.79417640021236,356124388ee9c761491b4bf926abb98c21b41fdeff8f76b6e388b33af2287170
16,D7,VD-S,1200,1200,0.031793400212336564,53,1197.0708428002124,False,False,0.21564407531579505,0.21564407531579505,0.20388009914243493,Completed run: independently checked final routes,Completed full original-problem bound,0.011763976173360113,0.05455274463781408,1197.0780000002123,,,
