row,variant,json,status,classification,time_budget_seconds,runtime_seconds,lower_bound,upper_bound,gap,best_bound_available,compact_bc_bound_valid,best_bound_fail_reason,native_time_limit_param_id,native_time_limit_seconds,native_time_limit_set_rc,callback_abort_requests,progress_checkpoints,relaxation_callbacks,branch_callbacks,gini_branches_created,cuts_added_by_family,violations_by_family,paper_certificate_contamination
control_tight_T_seed3101_cplex_60s,cplex,results\gf_tailored_bc_finalization_round\raw\control_tight_T_seed3101_cplex_60s.json,not_certified,solver_final_no_bound_available,60,60.1239601,0.013330322812,1.12858569854,0.988188470907,False,False,,0,0,0,0,0,0,0,0,,,False
moderate_low_gini1_plain_60s,plain_fixed_interval,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini1_plain_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,150.11568760871887,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
moderate_low_gini1_static_60s,static_tailored,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini1_static_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,150.11793112754822,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
moderate_low_gini1_callback_off_60s,callback_no_gini,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini1_callback_off_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,150.1261122226715,0.0,0.0491525426647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,10,11027,5426,2,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,False
moderate_low_gini1_callback_auto_60s,callback_auto,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini1_callback_auto_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,6.196984529495239,0.0,0.0491525426647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,1,0,0,0,gini_interval=0;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,False
moderate_low_gini1_plain_300s,plain_fixed_interval,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini1_plain_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
moderate_low_gini1_static_300s,static_tailored,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini1_static_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
moderate_low_gini1_callback_off_300s,callback_no_gini,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini1_callback_off_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
moderate_low_gini1_callback_auto_300s,callback_auto,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini1_callback_auto_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
moderate_low_gini1_callback_auto_1200s,callback_auto,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini1_callback_auto_1200s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,1200,0.0,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,1200,0,0,0,0,0,0,,,False
moderate_low_gini2_plain_60s,plain_fixed_interval,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini2_plain_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,1.0639467239379883,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
moderate_low_gini2_static_60s,static_tailored,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini2_static_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,0.0,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
moderate_low_gini2_callback_off_60s,callback_no_gini,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini2_callback_off_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,0.0,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
moderate_low_gini2_callback_auto_60s,callback_auto,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini2_callback_auto_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,0.0,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
moderate_low_gini2_plain_300s,plain_fixed_interval,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini2_plain_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
moderate_low_gini2_static_300s,static_tailored,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini2_static_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
moderate_low_gini2_callback_off_300s,callback_no_gini,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini2_callback_off_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
moderate_low_gini2_callback_auto_300s,callback_auto,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini2_callback_auto_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
moderate_low_gini2_callback_auto_1200s,callback_auto,results\gf_tailored_bc_finalization_round\raw\moderate_low_gini2_callback_auto_1200s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,1200,0.0,0.0,0.0491525526647,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,1200,0,0,0,0,0,0,,,False
high_imbalance_seed3201_hard_plain_60s,plain_fixed_interval,results\gf_tailored_bc_finalization_round\raw\high_imbalance_seed3201_hard_plain_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,0.0,0.0,2.44340319194,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
high_imbalance_seed3201_hard_static_60s,static_tailored,results\gf_tailored_bc_finalization_round\raw\high_imbalance_seed3201_hard_static_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,0.0,0.0,2.44340319194,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
high_imbalance_seed3201_hard_callback_off_60s,callback_no_gini,results\gf_tailored_bc_finalization_round\raw\high_imbalance_seed3201_hard_callback_off_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,0.0,0.0,2.44340319194,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
high_imbalance_seed3201_hard_callback_auto_60s,callback_auto,results\gf_tailored_bc_finalization_round\raw\high_imbalance_seed3201_hard_callback_auto_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,0.0,0.0,2.44340319194,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
high_imbalance_seed3201_hard_plain_300s,plain_fixed_interval,results\gf_tailored_bc_finalization_round\raw\high_imbalance_seed3201_hard_plain_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,2.44340319194,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
high_imbalance_seed3201_hard_static_300s,static_tailored,results\gf_tailored_bc_finalization_round\raw\high_imbalance_seed3201_hard_static_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,2.44340319194,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
high_imbalance_seed3201_hard_callback_off_300s,callback_no_gini,results\gf_tailored_bc_finalization_round\raw\high_imbalance_seed3201_hard_callback_off_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,2.44340319194,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
high_imbalance_seed3201_hard_callback_auto_300s,callback_auto,results\gf_tailored_bc_finalization_round\raw\high_imbalance_seed3201_hard_callback_auto_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,2.44340319194,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
tight_T_seed3102_hard_plain_60s,plain_fixed_interval,results\gf_tailored_bc_finalization_round\raw\tight_T_seed3102_hard_plain_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,0.0,0.0,0.600704436685,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
tight_T_seed3102_hard_static_60s,static_tailored,results\gf_tailored_bc_finalization_round\raw\tight_T_seed3102_hard_static_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,0.0,0.0,0.600704436685,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
tight_T_seed3102_hard_callback_off_60s,callback_no_gini,results\gf_tailored_bc_finalization_round\raw\tight_T_seed3102_hard_callback_off_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,0.0,0.0,0.600704436685,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
tight_T_seed3102_hard_callback_auto_60s,callback_auto,results\gf_tailored_bc_finalization_round\raw\tight_T_seed3102_hard_callback_auto_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,0.0,0.0,0.600704436685,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,0,0,0,0,,,False
tight_T_seed3102_hard_plain_300s,plain_fixed_interval,results\gf_tailored_bc_finalization_round\raw\tight_T_seed3102_hard_plain_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,0.600704436685,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
tight_T_seed3102_hard_static_300s,static_tailored,results\gf_tailored_bc_finalization_round\raw\tight_T_seed3102_hard_static_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,0.600704436685,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
tight_T_seed3102_hard_callback_off_300s,callback_no_gini,results\gf_tailored_bc_finalization_round\raw\tight_T_seed3102_hard_callback_off_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,0.600704436685,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
tight_T_seed3102_hard_callback_auto_300s,callback_auto,results\gf_tailored_bc_finalization_round\raw\tight_T_seed3102_hard_callback_auto_300s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,300,0.0,0.0,0.600704436685,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,300,0,0,0,0,0,0,,,False
