leaf,variant,budget,plateau_detected,last_improving_timestamp,suspected_cause,callback_events,callback_cuts,json_path
moderate_low_gini_1,callback_auto_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_callback_auto_gini_branch_60s.json
moderate_low_gini_1,callback_no_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_callback_no_gini_branch_60s.json
moderate_low_gini_1,callback_selector_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_callback_selector_gini_branch_60s.json
moderate_low_gini_1,plain_fixed_interval_mip,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_plain_fixed_interval_mip_60s.json
moderate_low_gini_1,static_tailored_safe,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_static_tailored_safe_60s.json
moderate_low_gini_2,callback_auto_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_callback_auto_gini_branch_60s.json
moderate_low_gini_2,callback_no_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_callback_no_gini_branch_60s.json
moderate_low_gini_2,callback_selector_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_callback_selector_gini_branch_60s.json
moderate_low_gini_2,plain_fixed_interval_mip,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_plain_fixed_interval_mip_60s.json
moderate_low_gini_2,static_tailored_safe,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_static_tailored_safe_60s.json
tight_T_seed3102_hard,callback_auto_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_callback_auto_gini_branch_60s.json
tight_T_seed3102_hard,callback_no_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_callback_no_gini_branch_60s.json
tight_T_seed3102_hard,callback_selector_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_callback_selector_gini_branch_60s.json
tight_T_seed3102_hard,plain_fixed_interval_mip,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_plain_fixed_interval_mip_60s.json
tight_T_seed3102_hard,static_tailored_safe,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_static_tailored_safe_60s.json
