number,id,arm,stage,kind,input_sha256,V,M,Q,T,executable_sha256,cap,wall,internal_wall,certificate,status,UB,LB,signed_absolute_gap,relative_gap,gap_note,hga_seconds,exact_start,initial_objective,initial_route_signature,lp_calls,mip_calls,splits,failure,result_sha256,artifact_dir
11,S12,VD-S,development,performance,060ee6366b2277c8427675e1a1484de7db10d2ef82a64d4e2ffa6e4695b7b626,12,1,30,10800,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,120,39.186999999918044,39.1698433,True,optimal,0.05856397312578515,0.05856397312578488,2.706168622523819e-16,4.620876074632852e-15,within numerical tolerance,37.9111059,37.9158217,0.05856397312578515,694b9360d03a05282af2fb9776ce281e1c97c49c76af1f47c00247c92ed3e45d,3,1,0,False,422cac28e37daeb39ce497d5447a393b50c39c53543e85c508614529a3ff5d73,results\unified_exact_round70\revision2\local_raw\development\S12\VD-S
12,S12,DS,development,performance,060ee6366b2277c8427675e1a1484de7db10d2ef82a64d4e2ffa6e4695b7b626,12,1,30,10800,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,120,2.094000000040978,2.0645709,True,optimal,0.05856397312578515,0.058563973125785096,5.551115123125783e-17,9.478720153093029e-16,within numerical tolerance,0.3413951,0.3443361,0.10798673648880089,cdcf40981a11982af32a491fadd11d796f6f08a33eb8b703933b98bedb8d0602,3,1,0,False,0d396e38e7e5e28dc72693bb11fd50a9c161739173208c357641a0f0b81f10b2,results\unified_exact_round70\revision2\local_raw\development\S12\DS
13,N12,P-GRB,development,performance,cc7bcb904e235fa3f505bef78089d3fc2fa5ce056a453830c01fcaf259cab331,12,1,30,3600,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,120,3.8909999998286366,3.8747675,True,optimal,0.8046255197202796,0.8046255197202797,-1.1102230246251565e-16,-1.3798009103801667e-16,within numerical tolerance,0,,,,0,1,0,False,f5d0b8c83172576f3a9f3974b644cc34b3473e34ecb5a93c706294d385af5557,results\unified_exact_round70\revision2\local_raw\development\N12\P-GRB
14,N12,VD-S,development,performance,cc7bcb904e235fa3f505bef78089d3fc2fa5ce056a453830c01fcaf259cab331,12,1,30,3600,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,120,3.640000000130385,3.6158092,True,optimal,0.8046255197202796,0.8046255197202788,7.771561172376096e-16,9.658606372661167e-16,within numerical tolerance,1.7390122,1.7463271,0.8162382059163058,583b7f0323c3bed2f6aa0d82551d12f8a37d250819247e37b3dcafca19df4998,3,1,0,False,a1055a7443e2c51a710f2c88700c1f695fe9c419846d9a4b8c446cd03f82ab56,results\unified_exact_round70\revision2\local_raw\development\N12\VD-S
15,N12,DS,development,performance,cc7bcb904e235fa3f505bef78089d3fc2fa5ce056a453830c01fcaf259cab331,12,1,30,3600,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,120,1.4530000002123415,1.4212659,True,optimal,0.8046255197202796,0.8046255197202777,1.887379141862766e-15,2.3456615476462833e-15,within numerical tolerance,0.0156976,0.0185265,0.9195880914082921,447f905d673c19f6a9d806e6ebb6dd3f110e76dd9b63c6b20a10549112643aa5,3,1,0,False,526ae328edb209af4e059dfeb61b4accd3b34eb9ef822600cf1ca5e1adb1037a,results\unified_exact_round70\revision2\local_raw\development\N12\DS
16,D3,P-GRB,development,performance,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,12,3,30,2850,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,300,297.06300000008196,297.028279,False,time_limit,0.04505416158053462,0.04157830842097824,0.003475853159556383,0.07714832631705446,open,0,,,,0,1,0,False,4358c77a72fe30d2fdd121a0073df03265b4a81d5b6ff6b34d48821c7e486647,results\unified_exact_round70\revision2\local_raw\development\D3\P-GRB
17,D3,VD-S,development,performance,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,12,3,30,2850,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,300,84.18699999991804,84.15529,True,optimal,0.04500155005562836,0.04500155005562828,7.632783294297951e-17,1.6961156415418443e-15,within numerical tolerance,2.0600967,2.0643224,0.049468682614419446,e50de38f29a2fdcd7aeeb0c8222b5a45764f0b0ede52d661ac6bf7a42b91f10e,3,2,0,False,5e4175613df2fa1a598d1fc85e0de9d9f1e9c98c55216ba1fc24278dfe823fc4,results\unified_exact_round70\revision2\local_raw\development\D3\VD-S
18,D3,DS,development,performance,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,12,3,30,2850,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,300,297.06300000008196,297.0282541,False,round31_c6_external_gini_tree_time_limit,0.04500155005562836,0.04322019484566408,0.0017813552099642804,0.03958430782411429,open,0.0178427,0.0208528,0.16637611211610104,651fd4cb1c8a4b55a89a9950b99fc5546a24898cc2146609cc95aa0884eff619,3,1,0,False,a0cf1b520aadabbbf98015a24196d1b811090470967073d10e4ae454f082c4a4,results\unified_exact_round70\revision2\local_raw\development\D3\DS
19,D3,K1-R,development,performance,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,12,3,30,2850,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,300,297.06300000008196,297.0293246,False,round31_c6_external_gini_tree_time_limit,0.04505416158053462,0.04389384878278519,0.0011603127977494326,0.025753731887238996,open,2.0586058,2.0629949,0.049468682614419446,e50de38f29a2fdcd7aeeb0c8222b5a45764f0b0ede52d661ac6bf7a42b91f10e,3,2,0,False,30448dfd0beb1c78c20b9f53c6e0fc4a4c85d2f2651e597433e0d3280e2a4be5,results\unified_exact_round70\revision2\local_raw\development\D3\K1-R
20,C2,P-GRB,development,performance,1bb4898eef8e5b2535a6d1d609637528875581fa81acf120636941f285f23b60,20,2,30,1800,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,300,297.06300000008196,297.0275124,False,time_limit,0.8299634131717752,0.7714971426033864,0.05846627056838882,0.07044439506671148,open,0,,,,0,1,0,False,e81e0a83b621eae9a98172365d3e49c5cbe8d76429bdbef69924a9482b451706,results\unified_exact_round70\revision2\local_raw\development\C2\P-GRB
21,C2,VD-S,development,performance,1bb4898eef8e5b2535a6d1d609637528875581fa81acf120636941f285f23b60,20,2,30,1800,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,300,124.07799999974668,124.0499818,True,optimal,0.8299634131717752,0.8299633966524623,1.651931291757336e-08,1.9903664011457338e-08,within numerical tolerance,2.6544303,2.6611633,0.8299634131717752,bb2411bbb8c6bfcd3bb9925ce345945beeb56cf7719f56b91abe736ed026d673,5,2,1,False,61f7a226f107f0477185d3a68e7ec478cd2c80ea51ee1ad518193652c4174179,results\unified_exact_round70\revision2\local_raw\development\C2\VD-S
22,C2,DS,development,performance,1bb4898eef8e5b2535a6d1d609637528875581fa81acf120636941f285f23b60,20,2,30,1800,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,300,154.29699999978766,154.2541652,True,optimal,0.8299634131717752,0.8299634131717742,9.992007221626409e-16,1.203909360707975e-15,within numerical tolerance,0.0153882,0.0184411,0.8543436794186281,a54adf6ba664187412d0d01155d9932ad2d1a0f50dcd80d1e7a9744c830fd888,5,2,1,False,1fd6224b5616529f038e8c279d4c88c513772ebb4690f3b38c57de4baa8d12c2,results\unified_exact_round70\revision2\local_raw\development\C2\DS
23,D4,P-GRB,development,performance,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,12,3,30,2400,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,300,297.07800000021234,297.0401619,False,time_limit,0.506343307565206,0.19620001106629795,0.31014329649890804,0.6125158402710168,open,0,,,,0,1,0,False,51d63f50ab083c9c6ca7c9554d8ae16f466e62cb4a7a53fa5433f556cbbabcdc,results\unified_exact_round70\revision2\local_raw\development\D4\P-GRB
24,D4,VD-S,development,performance,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,12,3,30,2400,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,300,54.21900000004098,54.2043407,True,optimal,0.506343307565206,0.5063433075652053,6.661338147750939e-16,1.315577405334444e-15,within numerical tolerance,1.9961662,2.0031646,0.506422789224163,e645b59bd732c01733ee4f89f7072531fd4b221b54fcd3041a1c2f627b194421,3,2,0,False,ad40d9c548e18e85ceeddef247d0748011ad1f93b7ef065207087e7d292f20a6,results\unified_exact_round70\revision2\local_raw\development\D4\VD-S
25,D4,DS,development,performance,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,12,3,30,2400,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,300,53.967999999877065,53.9311022,True,optimal,0.506343307565206,0.5063433075652058,1.1102230246251565e-16,2.1926290088907398e-16,within numerical tolerance,0.0154371,0.0183308,0.7231425401198691,a87c6e8f5bae1f9d295a3232df58301178ac364541af4d6794ea26b06313d0fa,3,2,0,False,ee538e02cae12bf6d3fb8ce6950ba6b8e2febfa53294c1a7d57be9e4f4ff5193,results\unified_exact_round70\revision2\local_raw\development\D4\DS
26,D6,P-GRB,development,performance,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,30,3,30,18000,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,600,597.313000000082,597.298985,False,time_limit,0.1572411758522922,0.14498588325431813,0.01225529259797406,0.07793946166801963,open,0,,,,0,1,0,False,e648ab6a318ce6928f2a1e72115d7b4ce8d7811fbcb8a42a443680d7715674ac,results\unified_exact_round70\revision2\local_raw\development\D6\P-GRB
27,D6,VD-S,development,performance,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,30,3,30,18000,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,600,597.063000000082,597.0266466,False,round31_c6_external_gini_tree_time_limit,0.15708313110317415,0.14568020676209595,0.011402924341078202,0.07259165424700263,open,319.1286111,319.1380683,0.15708313110317415,c892307ab74bb7cf475095845a04a39505b91e580f6516242ffc1aeb7c6f7fca,5,1,1,False,85248833c30efd2038ae9a37bb511448772c7654cc588713ebfcdd0fd2ade1fa,results\unified_exact_round70\revision2\local_raw\development\D6\VD-S
28,D6,DS,development,performance,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,30,3,30,18000,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,600,597.063000000082,597.0292543,False,round31_c6_external_gini_tree_time_limit,0.15708313110317415,0.15008706391847396,0.006996067184700194,0.044537355065230336,open,5.510879,5.5141361,0.16002728060440277,47e5af8f669b1ae950f0771cfeb18b9ea30d495c253294bb90b17c42b0073937,5,1,1,False,f33d429dbc6d469bcf66c1a55fd3d05cdf3d94cfea7df012f134467ba62da152,results\unified_exact_round70\revision2\local_raw\development\D6\DS
29,D6,K1-R,development,performance,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,30,3,30,18000,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,600,597.0779999997467,597.0496807,False,round31_c6_external_gini_tree_time_limit,0.15708313110317415,0.14334096616313421,0.013742164940039936,0.08748339075959666,open,318.5083117,318.5158111,0.15708313110317415,c892307ab74bb7cf475095845a04a39505b91e580f6516242ffc1aeb7c6f7fca,5,2,1,False,7fea9ddefd37f9961e0754c798423ee0aa60757b40d9bbea0aa208d874a175a3,results\unified_exact_round70\revision2\local_raw\development\D6\K1-R
30,D7,P-GRB,development,performance,d7dbd018331b9d5f3d84c0fd6c907560ef1fa92a2f8c153ac7d81e46a6cd4e9c,50,4,30,18000,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,600,597.0779999997467,597.0516349,False,time_limit,0.29018624629581247,0.19695492691463842,0.09323131938117404,0.3212809723798389,open,0,,,,0,1,0,False,b1c73d43df4e6668ca61be356f1d1dd6fd6a78cf568ffbe8ecd3b9fa9fa629c5,results\unified_exact_round70\revision2\local_raw\development\D7\P-GRB
31,D7,VD-S,development,performance,d7dbd018331b9d5f3d84c0fd6c907560ef1fa92a2f8c153ac7d81e46a6cd4e9c,50,4,30,18000,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,600,597.094000000041,597.0700602,False,paper_hga_global_deadline,0.21564407531579505,0.0,0.21564407531579505,1.0,open,597.0584006,,,,0,0,0,False,bc0fdbb0937ae41b982306480a05a53c60d00d1576057376b2c05d086c709e8a,results\unified_exact_round70\revision2\local_raw\development\D7\VD-S
32,D7,DS,development,performance,d7dbd018331b9d5f3d84c0fd6c907560ef1fa92a2f8c153ac7d81e46a6cd4e9c,50,4,30,18000,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,600,597.094000000041,597.0612769,False,round31_c6_external_gini_tree_time_limit,0.33196578761179407,0.20407715858329653,0.12788862902849754,0.38524641333839044,open,2.7994762,2.8032208,0.6945633798694341,515a182b0db3453b0bfbf9020c45d5dafd7d09a55431e29fed6c56b4019e91f7,3,1,0,False,30955ba4178462ba409f73d98d3d79dae2228c7449de6a32e1eeb64064570f37,results\unified_exact_round70\revision2\local_raw\development\D7\DS
33,D7,K1-R,development,performance,d7dbd018331b9d5f3d84c0fd6c907560ef1fa92a2f8c153ac7d81e46a6cd4e9c,50,4,30,18000,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,600,597.2039999999106,597.1738393,False,paper_hga_global_deadline,0.21564407531579505,0.0,0.21564407531579505,1.0,open,597.1629035,,,,0,0,0,False,ccc20ac457c51a25f5f85264e979f940e2b7e3a69b4e90f93cd8b9efbb54bdce,results\unified_exact_round70\revision2\local_raw\development\D7\K1-R
