run_id,parent_uid,parent_parent_uid,parent_native_depth,parent_gini_generation,child_gini_generation,parent_gamma_L,parent_gamma_U,split,parent_relaxation,lower_uid,lower_gamma_L,lower_gamma_U,lower_estimate,lower_gamma_floor,lower_weighted_penalty_lb,lower_domain_estimate,lower_lift,lower_station_deviation_lbs,upper_uid,upper_gamma_L,upper_gamma_U,upper_estimate,upper_gamma_floor,upper_weighted_penalty_lb,upper_domain_estimate,upper_lift,upper_station_deviation_lbs,estimate_mode,sibling_discriminated,creation_time,creation_node_count,open_nodes,simplex_iterations,validity_status,failure_reason
forensic__moderate_seed3302__baseline__300s,19,16,6,6,7,0.01834089436396991,0.021397710091298226,0.01986930222763407,0.13923717625578916,21,0.01834089436396991,0.01986930222763407,0.13923717625578916,0.01834089436396991,0,0.01834089436396991,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,22,0.01986930222763407,0.021397710091298226,0.13923717625578916,0.01986930222763407,0,0.01986930222763407,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,3.9334986000000001,10,11,9019,passed,
forensic__moderate_seed3302__baseline__300s,20,16,6,6,7,0.021397710091298226,0.024454525818626546,0.022926117954962386,0.13901380497739116,23,0.021397710091298226,0.022926117954962386,0.13901380497739116,0.021397710091298226,0,0.021397710091298226,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0.022926117954962386,0.024454525818626546,0.13901380497739116,0.022926117954962386,0,0.022926117954962386,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,4.0224827000000003,11,12,9974,passed,
forensic__moderate_seed3302__baseline__300s,23,20,7,7,8,0.021397710091298226,0.022926117954962386,0.022161914023130308,0.13962224520260902,25,0.021397710091298226,0.022161914023130308,0.13962224520260902,0.021397710091298226,0,0.021397710091298226,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,26,0.022161914023130308,0.022926117954962386,0.13962224520260902,0.022161914023130308,0,0.022161914023130308,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,4.1018223999999996,12,13,10121,passed,
forensic__moderate_seed3302__baseline__300s,24,20,7,7,8,0.022926117954962386,0.024454525818626546,0.023690321886794465,0.13950563402655847,27,0.022926117954962386,0.023690321886794465,0.13950563402655847,0.022926117954962386,0,0.022926117954962386,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,28,0.023690321886794465,0.024454525818626546,0.13950563402655847,0.023690321886794465,0,0.023690321886794465,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,4.1926759000000002,13,14,10242,passed,
forensic__moderate_seed3302__baseline__300s,27,24,8,8,9,0.022926117954962386,0.023690321886794465,0.023308219920878427,0.13981087322022212,29,0.022926117954962386,0.023308219920878427,0.13981087322022212,0.022926117954962386,0,0.022926117954962386,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,30,0.023308219920878427,0.023690321886794465,0.13981087322022212,0.023308219920878427,0,0.023308219920878427,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,4.2709168999999996,14,15,10359,passed,
forensic__moderate_seed3302__baseline__300s,28,24,8,8,9,0.023690321886794465,0.024454525818626546,0.024072423852710505,0.13975135612817413,31,0.023690321886794465,0.024072423852710505,0.13975135612817413,0.023690321886794465,0,0.023690321886794465,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,32,0.024072423852710505,0.024454525818626546,0.13975135612817413,0.024072423852710505,0,0.024072423852710505,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,4.3587484999999999,15,16,10468,passed,
forensic__moderate_seed3302__baseline__300s,29,27,9,9,10,0.022926117954962386,0.023308219920878427,0.023117168937920408,0.139963604406073,33,0.022926117954962386,0.023117168937920408,0.139963604406073,0.022926117954962386,0,0.022926117954962386,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,34,0.023117168937920408,0.023308219920878427,0.139963604406073,0.023117168937920408,0,0.023117168937920408,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,4.454078,16,17,10567,passed,
forensic__moderate_seed3302__baseline__300s,30,27,9,9,10,0.023308219920878427,0.023690321886794465,0.023499270903836446,0.13993406177085402,35,0.023308219920878427,0.023499270903836446,0.13993406177085402,0.023308219920878427,0,0.023308219920878427,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0.023499270903836446,0.023690321886794465,0.13993406177085402,0.023499270903836446,0,0.023499270903836446,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,4.5494029999999999,17,18,10689,passed,
forensic__moderate_seed3302__baseline__300s,2,0,1,1,2,0.097818103274506185,0.19563620654899999,0.14672715491175928,0.16864570557070446,91,0.097818103274506185,0.14672715491175928,0.16864570557070446,0.097818103274506185,0,0.097818103274506185,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,92,0.14672715491175928,0.19563620654899999,0.16864570557070446,0.14672715491175928,0,0.14672715491175928,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,12.5171159,50,41,27159,passed,
forensic__moderate_seed3302__baseline__300s,91,2,2,2,3,0.097818103274506185,0.14672715491175928,0.12227262909313273,0.16864570557070446,93,0.097818103274506185,0.12227262909313273,0.16864570557070446,0.097818103274506185,0,0.097818103274506185,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,94,0.12227262909313273,0.14672715491175928,0.16864570557070446,0.12227262909313273,0,0.12227262909313273,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,12.843681500000001,51,42,29548,passed,
