instance_id,diagnostic_role,candidate,p_grb_seconds,k4_seconds,candidate_seconds,candidate_over_p_grb_time_ratio,candidate_over_k4_time_ratio,k4_work,candidate_work,candidate_over_k4_work_ratio,k4_integer_jobs,candidate_integer_jobs,k4_split_count,candidate_split_count,candidate_strict_certificate,candidate_expected_unresolved_endpoint
round39_small_hard_V10_M1_Q20_slot01_seed561355351,round39_hard_p_grb_win,C6-K1-ADAPTIVE,0.5189224,1.6887786,1.6362723,3.153211925328334,0.9689087130781974,0.989274344317732,1.134686710044508,1.1469889182530675,3,3,3,2,True,False
round39_small_hard_V10_M1_Q20_slot01_seed561355351,round39_hard_p_grb_win,C6-K1-ADAPTIVE-DECISIVE,0.5189224,1.6887786,1.4410074,2.7769227152267852,0.8532837874662789,0.989274344317732,0.9263477926315654,0.9363912022508126,3,1,3,0,True,False
round39_small_hard_V12_M3_Q20_slot07_seed621538683,round39_unresolved_endpoint_witness,C6-K1-SINGLE,2278.1262339,79.7295563,101.7787313,0.04467651080324975,1.276549576132534,138.4451303784979,187.35975806230462,1.3533141797770571,7,1,0,0,False,True
round39_small_hard_V12_M3_Q20_slot07_seed621538683,round39_unresolved_endpoint_witness,C6-K1-ADAPTIVE,2278.1262339,79.7295563,98.0948285,0.04305943500420879,1.230344593050244,138.4451303784979,188.18035718118418,1.3592414313650045,7,1,0,0,False,True
round39_small_hard_V12_M3_Q20_slot07_seed621538683,round39_unresolved_endpoint_witness,C6-K1-ADAPTIVE-DECISIVE,2278.1262339,79.7295563,97.5527487,0.042821485152293864,1.2235456112779095,138.4451303784979,188.18035718118418,1.3592414313650045,7,1,0,0,False,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strong_round39_c6_positive_control,C6-K1-SINGLE,6327.6113147,82.5178879,432.4003684,0.06833548188958263,5.240080416551718,133.73490192498448,739.7839003001452,5.531719017636174,7,1,0,0,True,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strong_round39_c6_positive_control,C6-K1-ADAPTIVE,6327.6113147,82.5178879,431.5390163,0.06819935593981089,5.229642048315199,133.73490192498448,740.6340681077912,5.538076130068371,7,1,0,0,True,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strong_round39_c6_positive_control,C6-K1-ADAPTIVE-DECISIVE,6327.6113147,82.5178879,432.3282312,0.06832408150539146,5.239206215795545,133.73490192498448,740.6340681077912,5.538076130068371,7,1,0,0,True,False
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,additional_hard_c6_win,C6-K1-SINGLE,59.3698132,9.0603292,6.6204256,0.11151164612389246,0.7307047518759031,10.503884558425527,8.672767368804703,0.8256723805906623,7,1,6,0,True,False
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,additional_hard_c6_win,C6-K1-ADAPTIVE,59.3698132,9.0603292,6.8261027,0.11497598412521196,0.7534055936952048,10.503884558425527,8.991485297269257,0.8560152434326668,7,1,6,0,True,False
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,additional_hard_c6_win,C6-K1-ADAPTIVE-DECISIVE,59.3698132,9.0603292,6.8787068,0.11586202531625954,0.7592115747847219,10.503884558425527,8.991485297269257,0.8560152434326668,7,1,6,0,True,False
