instance_id,hga_full_proof_upper,hga_light_proof_upper,ub_values_differ,weaker_proof_upper,stronger_proof_upper,legacy_weaker_endpoints,legacy_stronger_endpoints,legacy_relevant_boundaries_preserved,nested_weaker_level,nested_stronger_level,nested_weaker_endpoints,nested_stronger_endpoints,nested_relevant_boundaries_preserved,interpretation
round39_small_medium_V12_M1_Q30_slot07_seed907224013,0.2669019748781391,0.2669019748781391,False,0.2669019748781391,0.2669019748781391,0;0.066725493719534776;0.13345098743906955;0.20017648115860431;0.2669019748781391,0;0.066725493719534776;0.13345098743906955;0.20017648115860431;0.2669019748781391,True,3,3,0;0.11458333333333333;0.22916666666666666;0.2669019748781391,0;0.11458333333333333;0.22916666666666666;0.2669019748781391,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,0.049468682614419446,0.049468682614419446,False,0.049468682614419446,0.049468682614419446,0;0.012367170653604861;0.024734341307209723;0.037101511960814584;0.049468682614419446,0;0.012367170653604861;0.024734341307209723;0.037101511960814584;0.049468682614419446,True,6,6,0;0.014322916666666666;0.028645833333333332;0.04296875;0.049468682614419446,0;0.014322916666666666;0.028645833333333332;0.04296875;0.049468682614419446,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_hard_V10_M1_Q20_slot01_seed561355351,0.8585174613256055,0.8585174613256055,False,0.8585174613256055,0.8585174613256055,0;0.21462936533140137;0.42925873066280273;0.64388809599420416;0.85851746132560547,0;0.21462936533140137;0.42925873066280273;0.64388809599420416;0.85851746132560547,True,2,2,0;0.22500000000000001;0.45000000000000001;0.67500000000000004;0.85851746132560547,0;0.22500000000000001;0.45000000000000001;0.67500000000000004;0.85851746132560547,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,0.9,0.9,False,0.9,0.9,0;0.22500000000000001;0.45000000000000001;0.67500000000000004;0.90000000000000002,0;0.22500000000000001;0.45000000000000001;0.67500000000000004;0.90000000000000002,True,2,2,0;0.22500000000000001;0.45000000000000001;0.67500000000000004;0.90000000000000002,0;0.22500000000000001;0.45000000000000001;0.67500000000000004;0.90000000000000002,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_hard_V10_M2_Q20_slot03_seed490008310,0.5465174758659196,0.5465174758659196,False,0.5465174758659196,0.5465174758659196,0;0.1366293689664799;0.27325873793295979;0.40988810689943966;0.54651747586591959,0;0.1366293689664799;0.27325873793295979;0.40988810689943966;0.54651747586591959,True,2,2,0;0.22500000000000001;0.45000000000000001;0.54651747586591959,0;0.22500000000000001;0.45000000000000001;0.54651747586591959,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,0.5045438521642074,0.5045438521642074,False,0.5045438521642074,0.5045438521642074,0;0.12613596304105185;0.25227192608210369;0.37840788912315554;0.50454385216420738,0;0.12613596304105185;0.25227192608210369;0.37840788912315554;0.50454385216420738,True,2,2,0;0.22500000000000001;0.45000000000000001;0.50454385216420738,0;0.22500000000000001;0.45000000000000001;0.50454385216420738,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_hard_V12_M1_Q20_slot05_seed180890838,0.756075507946318,0.756075507946318,False,0.756075507946318,0.756075507946318,0;0.18901887698657949;0.37803775397315897;0.56705663095973846;0.75607550794631795,0;0.18901887698657949;0.37803775397315897;0.56705663095973846;0.75607550794631795,True,2,2,0;0.22916666666666666;0.45833333333333331;0.6875;0.75607550794631795,0;0.22916666666666666;0.45833333333333331;0.6875;0.75607550794631795,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_hard_V12_M2_Q20_slot06_seed258908503,0.7062530985290749,0.7062530985290749,False,0.7062530985290749,0.7062530985290749,0;0.17656327463226873;0.35312654926453746;0.52968982389680619;0.70625309852907492,0;0.17656327463226873;0.35312654926453746;0.52968982389680619;0.70625309852907492,True,2,2,0;0.22916666666666666;0.45833333333333331;0.6875;0.70625309852907492,0;0.22916666666666666;0.45833333333333331;0.6875;0.70625309852907492,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_hard_V12_M3_Q20_slot07_seed621538683,0.6471164334555021,0.6471164334555021,False,0.6471164334555021,0.6471164334555021,0;0.16177910836387552;0.32355821672775104;0.48533732509162653;0.64711643345550207,0;0.16177910836387552;0.32355821672775104;0.48533732509162653;0.64711643345550207,True,2,2,0;0.22916666666666666;0.45833333333333331;0.64711643345550207,0;0.22916666666666666;0.45833333333333331;0.64711643345550207,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,0.506422789224163,0.506422789224163,False,0.506422789224163,0.506422789224163,0;0.12660569730604074;0.25321139461208148;0.37981709191812218;0.50642278922416295,0;0.12660569730604074;0.25321139461208148;0.37981709191812218;0.50642278922416295,True,2,2,0;0.22916666666666666;0.45833333333333331;0.50642278922416295,0;0.22916666666666666;0.45833333333333331;0.50642278922416295,True,geometry_projection_only_no_runtime_monotonicity_claim
