instance_id,diagnostic_role,candidate,k4_seconds,candidate_seconds,candidate_over_k4_time_ratio,k4_work,candidate_work,candidate_over_k4_work_ratio,k4_integer_jobs,candidate_integer_jobs,k4_terminal_work,candidate_terminal_work,k4_split_count,candidate_split_count,same_objective,both_exact,expected_unresolved
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,additional_medium_c6_win,C6-K1-ADAPTIVE,3.8686028,3.3782874,0.8732577560043124,3.407074912530055,2.9338241260959674,0.8610976281461752,6,4,1.8790767224958826,2.1911684073479463,1,1,True,True,False
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,additional_medium_c6_win,C6-K1-ADAPTIVE-DECISIVE,3.8686028,2.8534963,0.737603844985068,3.407074912530055,2.3515125227806797,0.6901851538786605,6,1,1.8790767224958826,2.235030638017564,1,0,True,True,False
round39_small_medium_V10_M2_Q20_slot05_seed968549317,additional_medium_c6_win,C6-K1-SINGLE,65.3808308,22.3720539,0.34218063041193414,109.91515934198168,37.11258637258066,0.3376475692230166,7,1,100.16358914004867,37.02608306798709,0,0,True,True,False
round39_small_medium_V10_M2_Q20_slot05_seed968549317,additional_medium_c6_win,C6-K1-ADAPTIVE,65.3808308,23.6559916,0.36181846132184664,109.91515934198168,41.00785229828848,0.3730864108625796,7,4,100.16358914004867,10.573331348523052,0,1,True,True,False
round39_small_medium_V10_M2_Q20_slot05_seed968549317,additional_medium_c6_win,C6-K1-ADAPTIVE-DECISIVE,65.3808308,22.3569545,0.34194968504438156,109.91515934198168,37.3005140975814,0.33935732178240685,7,1,100.16358914004867,37.02608306798709,0,0,True,True,False
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,round39_hard_p_grb_win,C6-K1-SINGLE,1.6598264,1.3734665,0.827475993875022,1.1499275494877275,1.0575616258379967,0.9196767451211356,3,1,0.593165494521529,1.0177071873732404,2,0,True,True,False
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,round39_hard_p_grb_win,C6-K1-ADAPTIVE,1.6598264,1.4115948,0.8504472515920942,1.1499275494877275,1.066432914018878,0.9273913947830497,3,2,0.593165494521529,0.8509406463828739,2,0,True,True,False
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,round39_hard_p_grb_win,C6-K1-ADAPTIVE-DECISIVE,1.6598264,1.5038354,0.9060196897699663,1.1499275494877275,1.1378014614477294,0.9894549112721058,3,1,0.593165494521529,1.0177071873732404,2,0,True,True,False
round39_small_hard_V10_M1_Q20_slot01_seed561355351,round39_hard_p_grb_win,C6-K1-SINGLE,1.6887786,1.3068472,0.7738416391586203,0.989274344317732,0.849163151506068,0.8583697296746396,3,1,0.3581108687022848,0.8106516932988456,3,0,True,True,False
round39_small_hard_V10_M1_Q20_slot01_seed561355351,round39_hard_p_grb_win,C6-K1-ADAPTIVE,1.6887786,1.6362723,0.9689087130781974,0.989274344317732,1.134686710044508,1.1469889182530675,3,3,0.3581108687022848,0.4058627174838369,3,2,True,True,False
round39_small_hard_V10_M1_Q20_slot01_seed561355351,round39_hard_p_grb_win,C6-K1-ADAPTIVE-DECISIVE,1.6887786,1.4410074,0.8532837874662789,0.989274344317732,0.9263477926315654,0.9363912022508126,3,1,0.3581108687022848,0.8106516932988456,3,0,True,True,False
round39_small_hard_V12_M3_Q20_slot07_seed621538683,round39_unresolved_endpoint_witness,C6-K1-SINGLE,79.7295563,101.7787313,1.276549576132534,138.4451303784979,187.35975806230462,1.3533141797770571,7,1,129.12648008711673,186.8902489346772,0,0,True,False,True
round39_small_hard_V12_M3_Q20_slot07_seed621538683,round39_unresolved_endpoint_witness,C6-K1-ADAPTIVE,79.7295563,98.0948285,1.230344593050244,138.4451303784979,188.18035718118418,1.3592414313650045,7,1,129.12648008711673,186.8902489346772,0,0,True,False,True
round39_small_hard_V12_M3_Q20_slot07_seed621538683,round39_unresolved_endpoint_witness,C6-K1-ADAPTIVE-DECISIVE,79.7295563,97.5527487,1.2235456112779095,138.4451303784979,188.18035718118418,1.3592414313650045,7,1,129.12648008711673,186.8902489346772,0,0,True,False,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strong_round39_c6_positive_control,C6-K1-SINGLE,82.5178879,432.4003684,5.240080416551718,133.73490192498448,739.7839003001452,5.531719017636174,7,1,123.3032719806294,739.3880081292715,0,0,True,True,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strong_round39_c6_positive_control,C6-K1-ADAPTIVE,82.5178879,431.5390163,5.229642048315199,133.73490192498448,740.6340681077912,5.538076130068371,7,1,123.3032719806294,739.3880081292715,0,0,True,True,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strong_round39_c6_positive_control,C6-K1-ADAPTIVE-DECISIVE,82.5178879,432.3282312,5.239206215795545,133.73490192498448,740.6340681077912,5.538076130068371,7,1,123.3032719806294,739.3880081292715,0,0,True,True,False
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,additional_hard_c6_win,C6-K1-SINGLE,9.0603292,6.6204256,0.7307047518759031,10.503884558425527,8.672767368804703,0.8256723805906623,7,1,6.864614536157338,8.515959916551468,6,0,True,True,False
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,additional_hard_c6_win,C6-K1-ADAPTIVE,9.0603292,6.8261027,0.7534055936952048,10.503884558425527,8.991485297269257,0.8560152434326668,7,1,6.864614536157338,8.515959916551468,6,0,True,True,False
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,additional_hard_c6_win,C6-K1-ADAPTIVE-DECISIVE,9.0603292,6.8787068,0.7592115747847219,10.503884558425527,8.991485297269257,0.8560152434326668,7,1,6.864614536157338,8.515959916551468,6,0,True,True,False
