stage,instance,arm,budget_seconds,repetition,conditional,serial_order,frozen_before_official_results
3,round31_sealed_tight_T_V20_seed2113109204,C6-CANDIDATE,300,0,False,67,True
3,round31_sealed_tight_T_V50_seed1973327304,P-GRB,300,0,False,68,True
3,round31_sealed_tight_T_V50_seed1973327304,C5-CANDIDATE,300,0,False,69,True
3,round31_sealed_tight_T_V50_seed1973327304,C6-CANDIDATE,300,0,False,70,True
4,V12_M1,S0-CPLEX,300,0,False,71,True
4,V12_M1,P-GRB,300,0,False,72,True
4,V12_M1,P-GRB-HGA,300,0,False,73,True
4,V12_M1,C5-CANDIDATE,300,0,False,74,True
4,V12_M1,C6-CANDIDATE,300,0,False,75,True
4,V12_M2,S0-CPLEX,300,0,False,76,True
4,V12_M2,P-GRB,300,0,False,77,True
4,V12_M2,P-GRB-HGA,300,0,False,78,True
4,V12_M2,C5-CANDIDATE,300,0,False,79,True
4,V12_M2,C6-CANDIDATE,300,0,False,80,True
4,high_imbalance_seed3202,S0-CPLEX,300,0,False,81,True
4,high_imbalance_seed3202,P-GRB,300,0,False,82,True
4,high_imbalance_seed3202,P-GRB-HGA,300,0,False,83,True
4,high_imbalance_seed3202,C5-CANDIDATE,300,0,False,84,True
4,high_imbalance_seed3202,C6-CANDIDATE,300,0,False,85,True
4,moderate_seed3302,S0-CPLEX,300,0,False,86,True
4,moderate_seed3302,P-GRB,300,0,False,87,True
4,moderate_seed3302,P-GRB-HGA,300,0,False,88,True
4,moderate_seed3302,C5-CANDIDATE,300,0,False,89,True
4,moderate_seed3302,C6-CANDIDATE,300,0,False,90,True
4,tight_T_seed3101,S0-CPLEX,300,0,False,91,True
4,tight_T_seed3101,P-GRB,300,0,False,92,True
4,tight_T_seed3101,P-GRB-HGA,300,0,False,93,True
4,tight_T_seed3101,C5-CANDIDATE,300,0,False,94,True
4,tight_T_seed3101,C6-CANDIDATE,300,0,False,95,True
4,high_imbalance_seed6202,S0-CPLEX,300,0,False,96,True
4,high_imbalance_seed6202,P-GRB,300,0,False,97,True
4,high_imbalance_seed6202,P-GRB-HGA,300,0,False,98,True
4,high_imbalance_seed6202,C5-CANDIDATE,300,0,False,99,True
4,high_imbalance_seed6202,C6-CANDIDATE,300,0,False,100,True
4,moderate_seed6301,S0-CPLEX,300,0,False,101,True
4,moderate_seed6301,P-GRB,300,0,False,102,True
4,moderate_seed6301,P-GRB-HGA,300,0,False,103,True
4,moderate_seed6301,C5-CANDIDATE,300,0,False,104,True
4,moderate_seed6301,C6-CANDIDATE,300,0,False,105,True
5,V12_M2,C6-CANDIDATE,300,1,False,106,True
5,high_imbalance_seed3202,C6-CANDIDATE,300,1,False,107,True
5,tight_T_seed4101,C6-CANDIDATE,300,1,False,108,True
5,tight_T_seed5102,C6-CANDIDATE,300,1,False,109,True
5,high_imbalance_seed6202,C6-CANDIDATE,300,1,False,110,True
5,moderate_seed6301,C6-CANDIDATE,300,1,False,111,True
5,round31_sealed_high_imbalance_V20_seed1968399862,C6-CANDIDATE,300,1,False,112,True
5,round31_sealed_high_imbalance_V50_seed802548647,C6-CANDIDATE,300,1,False,113,True
5,V12_M2,C6-CANDIDATE,300,2,False,114,True
5,high_imbalance_seed3202,C6-CANDIDATE,300,2,False,115,True
5,tight_T_seed4101,C6-CANDIDATE,300,2,False,116,True
5,tight_T_seed5102,C6-CANDIDATE,300,2,False,117,True
5,high_imbalance_seed6202,C6-CANDIDATE,300,2,False,118,True
5,moderate_seed6301,C6-CANDIDATE,300,2,False,119,True
5,round31_sealed_high_imbalance_V20_seed1968399862,C6-CANDIDATE,300,2,False,120,True
5,round31_sealed_high_imbalance_V50_seed802548647,C6-CANDIDATE,300,2,False,121,True
6,V12_M2,P-GRB,1200,0,True,122,True
6,V12_M2,C5-CANDIDATE,1200,0,True,123,True
6,V12_M2,C6-CANDIDATE,1200,0,True,124,True
6,high_imbalance_seed3202,P-GRB,1200,0,True,125,True
6,high_imbalance_seed3202,C5-CANDIDATE,1200,0,True,126,True
6,high_imbalance_seed3202,C6-CANDIDATE,1200,0,True,127,True
6,moderate_seed3302,P-GRB,1200,0,True,128,True
6,moderate_seed3302,C5-CANDIDATE,1200,0,True,129,True
6,moderate_seed3302,C6-CANDIDATE,1200,0,True,130,True
6,tight_T_seed3101,P-GRB,1200,0,True,131,True
6,tight_T_seed3101,C5-CANDIDATE,1200,0,True,132,True
6,tight_T_seed3101,C6-CANDIDATE,1200,0,True,133,True
6,tight_T_seed5102,P-GRB,1200,0,True,134,True
6,tight_T_seed5102,C5-CANDIDATE,1200,0,True,135,True
6,tight_T_seed5102,C6-CANDIDATE,1200,0,True,136,True
6,high_imbalance_seed6202,P-GRB,1200,0,True,137,True
6,high_imbalance_seed6202,C5-CANDIDATE,1200,0,True,138,True
6,high_imbalance_seed6202,C6-CANDIDATE,1200,0,True,139,True
6,moderate_seed6301,P-GRB,1200,0,True,140,True
6,moderate_seed6301,C5-CANDIDATE,1200,0,True,141,True
6,moderate_seed6301,C6-CANDIDATE,1200,0,True,142,True
6,round31_sealed_high_imbalance_V20_seed1968399862,P-GRB,1200,0,True,143,True
6,round31_sealed_high_imbalance_V20_seed1968399862,C5-CANDIDATE,1200,0,True,144,True
6,round31_sealed_high_imbalance_V20_seed1968399862,C6-CANDIDATE,1200,0,True,145,True
6,round31_sealed_high_imbalance_V50_seed802548647,P-GRB,1200,0,True,146,True
6,round31_sealed_high_imbalance_V50_seed802548647,C5-CANDIDATE,1200,0,True,147,True
6,round31_sealed_high_imbalance_V50_seed802548647,C6-CANDIDATE,1200,0,True,148,True
