instance,run_id,arm,leaf_id,depth,status,ledger_work,ledger_runtime,log_available,log_path,model_rows,model_columns,model_nonzeros,presolve_removed_rows,presolve_removed_columns,presolved_rows,presolved_columns,presolved_nonzeros,lp_iterations,lp_seconds,lp_work,matrix_range_min,matrix_range_max,objective_range_min,objective_range_max,bounds_range_min,bounds_range_max,rhs_range_min,rhs_range_max,reported_cut_families,reported_cut_count,cut_summary,primal_dual_vector_export_available,binding_row_family_counts_available,fractional_pattern_export_available,lp_objective
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.1.0,5,OPTIMAL,0.193037,0.0569999,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.1.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,666,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3030881185
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.1.1,5,OPTIMAL,0.190801,0.0580001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.1.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,685,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.303634991
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.0.1.0,6,OPTIMAL,0.176999,0.0550001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.0.1.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,693,0.06,0.18,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3031391147
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.0.1.1,6,OPTIMAL,0.206463,0.0670002,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.0.1.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,793,0.07,0.21,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3032543765
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.1.0.0,6,OPTIMAL,0.182307,0.0570002,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.1.0.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,651,0.06,0.18,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.303457319
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.1.0.1,6,OPTIMAL,0.188481,0.056,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.1.0.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,666,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3037225117
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.0.0.0,6,OPTIMAL,0.201663,0.059,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.0.0.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,786,0.06,0.2,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3054548549
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.0.0.1,6,OPTIMAL,0.194397,0.0570002,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.0.0.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,695,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3037314193
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.0,4,OPTIMAL,0.183534,0.0550001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.0_lp.gurobi.log,6225,648,59365,251,38,5974,611,58572,734,0.06,0.18,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3038321331
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.1,4,OPTIMAL,0.175654,0.053,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.1_lp.gurobi.log,6225,648,59365,252,38,5973,611,58560,651,0.05,0.18,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.306098756
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.1.1.0,6,OPTIMAL,0.189102,0.0570002,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.1.1.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,664,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3039932964
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.1.1.1,6,OPTIMAL,0.1874,0.056,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.1.1.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,673,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3042701001
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.0.0,5,OPTIMAL,0.193856,0.056,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.0.0_lp.gurobi.log,6225,648,59365,251,38,5974,611,58572,778,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3042044526
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.0.1,5,OPTIMAL,0.178728,0.0539999,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.0.1_lp.gurobi.log,6225,648,59365,251,38,5974,611,58572,604,0.05,0.18,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3052296573
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1.1.0,4,INFEASIBLE,0.157492,0.046,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1.1.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,556,0.05,0.16,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1.1.1,4,OPTIMAL,0.178656,0.0519998,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1.1.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,700,0.05,0.18,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3067412657
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.1.0,5,OPTIMAL,0.199036,0.059,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.1.0_lp.gurobi.log,6225,648,59365,251,38,5974,611,58572,643,0.06,0.2,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3063575738
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.1.1,5,OPTIMAL,0.182142,0.0539999,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.1.1_lp.gurobi.log,6225,648,59365,252,38,5973,611,58560,637,0.05,0.18,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3074997725
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1.1.1.0,5,INFEASIBLE,0.163427,0.0439999,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1.1.1.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,592,0.04,0.16,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1.1.1.1,5,OPTIMAL,0.187338,0.0540001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1.1.1.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,738,0.05,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3077260069
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1.1.1.1.0,6,INFEASIBLE,0.176753,0.049,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1.1.1.1.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,607,0.05,0.18,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1.1.1.1.1,6,OPTIMAL,0.197478,0.0570002,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1.1.1.1.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,771,0.06,0.2,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3082187639
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1.1.1.1.1.0,7,INFEASIBLE,0.181139,0.052,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1.1.1.1.1.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,661,0.05,0.18,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1.1.1.1.1.1,7,OPTIMAL,0.197231,0.0550001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1.1.1.1.1.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,761,0.06,0.2,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3084647667
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1.1.1.1.1.1.0,8,OPTIMAL,0.196261,0.0540001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1.1.1.1.1.1.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,755,0.05,0.2,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3092834509
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1.1.1.1.1.1.1,8,OPTIMAL,0.18304,0.052,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1.1.1.1.1.1.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,716,0.05,0.18,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3085879121
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0,3,OPTIMAL,0.174246,0.0540001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.1.0_lp.gurobi.log,6225,648,59365,256,38,5969,611,58512,613,0.05,0.17,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3084825288
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.1.1,3,OPTIMAL,0.166767,0.049,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.1.1_lp.gurobi.log,6225,648,59365,257,38,5968,611,58500,615,0.05,0.17,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3157203053
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.0.0.0,6,OPTIMAL,0.204138,0.0580001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.0.0.0_lp.gurobi.log,6225,648,59365,251,38,5974,611,58572,781,0.06,0.2,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3045514413
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.0.0.1,6,OPTIMAL,0.189647,0.0539999,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.0.0.1_lp.gurobi.log,6225,648,59365,251,38,5974,611,58572,652,0.05,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3048396734
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.0.1.0,6,OPTIMAL,0.188909,0.0540001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.0.1.0_lp.gurobi.log,6225,648,59365,251,38,5974,611,58572,660,0.05,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3053706436
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.0.1.1,6,OPTIMAL,0.19192,0.0569999,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.0.1.1_lp.gurobi.log,6225,648,59365,251,38,5974,611,58572,685,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3059274622
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.1.0.0,6,OPTIMAL,0.189703,0.056,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.1.0.0_lp.gurobi.log,6225,648,59365,251,38,5974,611,58572,654,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3064903133
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.1.0.1,6,OPTIMAL,0.218,0.0640001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.1.0.1_lp.gurobi.log,6225,648,59365,251,38,5974,611,58572,733,0.06,0.22,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3070570995
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.1.1.0,6,OPTIMAL,0.182638,0.052,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.1.1.0_lp.gurobi.log,6225,648,59365,251,38,5974,611,58572,634,0.05,0.18,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3076269981
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.1.1.1,6,OPTIMAL,0.189588,0.0550001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.1.1.1_lp.gurobi.log,6225,648,59365,252,38,5973,611,58560,636,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3081993989
