instance,run_id,arm,leaf_id,solve_kind,log_available,log_path,model_rows,model_columns,model_nonzeros,continuous_variables,integer_variables,binary_variables,presolve_removed_rows,presolve_removed_columns,presolved_rows,presolved_columns,presolved_nonzeros,root_relaxation_objective,root_iterations,root_seconds,root_work,explored_nodes,total_simplex_iterations,native_seconds,native_work,matrix_range_min,matrix_range_max,objective_range_min,objective_range_max,bounds_range_min,bounds_range_max,rhs_range_min,rhs_range_max,reported_cut_families,reported_cut_count,cut_summary,depth,native_status,ledger_work,ledger_runtime,ledger_nodes
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.1.0.1,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.1.0.1_terminal_mip.gurobi.log,6225,648,59365,347,301,253,736,27,5489,621,58793,0.3245608,827,0.05,0.14,1,999,0.47,0.7,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,15,288,BQP=1;Clique=23;Cover=23;Flow cover=38;GUB cover=9;Gomory=20;Implied bound=47;Learned=1;MIR=97;Network=1;PSD=3;RLT=7;Relax-and-lift=8;StrongCG=6;Zero half=4,6,INFEASIBLE,0.696092,0.471,1.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L3.0.0.0.0,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L3.0.0.0.0_terminal_mip.gurobi.log,6225,648,59365,347,301,253,772,28,5453,620,58399,,,,,1,595,0.21,0.4,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,4,INFEASIBLE,0.401421,0.208,1.0
V12_M2,stage2__V12_M2__p_grb__300s,P-GRB,complete_original_model,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage2__V12_M2__p_grb__300s/native.log,1551,719,6504,201,518,434,88,28,1463,691,7888,0.3003901,741,0.01,0.03,85427,3353916,169.13,282.1,2e-02,6e+02,5e-05,1e+00,1e+00,9e+01,1e+00,4e+03,15,932,BQP=14;Clique=22;Cover=145;Flow cover=173;GUB cover=2;Gomory=13;Implied bound=297;Inf proof=24;Learned=41;MIR=108;Projected implied bound=39;RLT=16;Relax-and-lift=10;StrongCG=17;Zero half=11,,,,,
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.0.1.1.0,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.0.1.1.0_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,134230,,,,,1,1157,0.45,0.95,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,7,INFEASIBLE,0.953155,0.448,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.0.1.1.1,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.0.1.1.1_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,134230,0.6515438,1237,0.14,0.41,1,1237,0.45,0.95,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,7,INTERRUPTED,0.950512,0.446,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.1.0.0.0,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.1.0.0.0_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,136271,0.6515729,1411,0.15,0.46,1,1411,0.49,1.05,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,7,INTERRUPTED,1.04912,0.494,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.1.0.0.1,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.1.0.0.1_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,136115,0.6515922,1359,0.15,0.46,1,1359,0.49,1.05,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,7,INTERRUPTED,1.04812,0.49,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.1.0.1.0,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.1.0.1.0_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,134232,0.6516294,1466,0.16,0.5,1,1466,0.48,1.05,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,7,INTERRUPTED,1.04608,0.475,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.1.0.1.1,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.1.0.1.1_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,134230,0.6516718,1217,0.15,0.43,1,1217,0.46,0.98,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,7,INTERRUPTED,0.97723,0.457,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.1.1.0.0,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.1.1.0.0_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,134230,0.6517174,1318,0.15,0.44,1,1318,0.45,0.98,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,7,INTERRUPTED,0.981218,0.454,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.0.1.0.1.1,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.0.1.0.1.1_terminal_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,134199,,,,,1,1415,0.47,1.03,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,8,INFEASIBLE,1.03466,0.471,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.1.1.0.1,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.1.1.0.1_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,134255,0.6517739,1198,0.14,0.42,1,1198,0.45,0.96,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,7,INTERRUPTED,0.958995,0.446,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.1.1.1.0,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.1.1.1.0_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,136014,0.6518222,1393,0.15,0.46,1,1393,0.49,1.04,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,7,INTERRUPTED,1.04304,0.486,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.1.0.0.1,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.1.0.0.1_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1185,33,10166,1001,134213,0.6516408,1336,0.15,0.46,1,1336,0.46,1.0,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,6,INTERRUPTED,0.996863,0.457,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.1.1.1.1,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.1.1.1.1_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1185,33,10166,1001,135983,0.6518816,1579,0.17,0.5,1,1579,0.5,1.09,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,7,INTERRUPTED,1.09035,0.504,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.1.0.0.0.0,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.1.0.0.0.0_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1185,33,10166,1001,136490,0.6519633,1780,0.2,0.59,1,1780,0.53,1.18,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,7,INTERRUPTED,1.17673,0.535,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.1.0.0.0.1,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.1.0.0.0.1_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1185,33,10166,1001,134213,0.6521055,1681,0.17,0.51,1,1681,0.48,1.05,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,7,INTERRUPTED,1.0546,0.477,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.1.0.1.0,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.1.0.1.0_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1185,33,10166,1001,136490,0.6522935,1444,0.16,0.5,1,1444,0.49,1.08,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,6,INTERRUPTED,1.07763,0.49,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.1.0.1.1,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.1.0.1.1_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1185,33,10166,1001,134207,0.6530985,1306,0.14,0.44,1,1306,0.45,0.97,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,6,INTERRUPTED,0.970896,0.447,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.1.1,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.1.1_partial_target_mip.gurobi.log,11351,1034,113600,516,518,434,1193,33,10158,1001,134089,0.6528158,1531,0.17,0.52,1,1531,0.47,1.06,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,4,INTERRUPTED,1.05719,0.47,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.0.1.1.1.0,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.0.1.1.1.0_terminal_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,134230,,,,,1,1151,0.44,0.94,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,0,0,,8,INFEASIBLE,0.944453,0.438,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.0.1.1.1.1,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.0.1.1.1.1_terminal_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,134230,0.6519273,1377,0.16,0.48,1,1734,0.89,1.64,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,15,318,BQP=17;Clique=5;Cover=14;Flow cover=21;GUB cover=1;Gomory=7;Implied bound=82;Learned=2;MIR=110;Network=8;PSD=1;RLT=15;Relax-and-lift=17;StrongCG=4;Zero half=14,8,INFEASIBLE,1.6371,0.89,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.1.0.0.0.0,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.1.0.0.0.0_terminal_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,136271,0.6519247,1266,0.13,0.4,1,1688,0.91,1.61,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,15,290,BQP=23;Clique=7;Cover=10;Flow cover=19;GUB cover=1;Gomory=7;Implied bound=81;Learned=2;MIR=86;Network=8;PSD=1;RLT=16;Relax-and-lift=17;StrongCG=7;Zero half=5,8,INFEASIBLE,1.60941,0.908,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.1.0.0.0.1,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.1.0.0.0.1_terminal_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,136271,0.6519346,1193,0.14,0.41,1,1485,0.9,1.58,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,14,275,BQP=19;Clique=5;Cover=14;Flow cover=21;GUB cover=1;Gomory=5;Implied bound=80;Learned=2;MIR=84;Network=8;RLT=16;Relax-and-lift=14;StrongCG=3;Zero half=3,8,INFEASIBLE,1.5808,0.903,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.1.0.0.1.0,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.1.0.0.1.0_terminal_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,136115,0.6519527,1503,0.16,0.48,1,1836,0.93,1.68,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,15,288,BQP=16;Clique=7;Cover=12;Flow cover=22;GUB cover=5;Gomory=12;Implied bound=80;Learned=1;MIR=89;Network=7;PSD=1;RLT=15;Relax-and-lift=16;StrongCG=4;Zero half=1,8,INFEASIBLE,1.67992,0.935,1.0
V12_M2,stage1__V12_M2__c5_candidate__300s,C5-CANDIDATE,L2.0.1.0.1.0.0.1.1,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s/external/native_logs/L2.0.1.0.1.0.0.1.1_terminal_mip.gurobi.log,11351,1034,113600,516,518,434,1183,33,10168,1001,136115,0.6519702,1393,0.16,0.48,1,3385,1.12,2.22,5e-05,1e+05,5e-05,1e+00,4e-01,3e+02,2e-01,1e+06,14,295,BQP=19;Clique=4;Cover=15;Flow cover=26;GUB cover=1;Gomory=24;Implied bound=85;Learned=2;MIR=78;Network=7;RLT=14;Relax-and-lift=15;StrongCG=4;Zero half=1,8,INFEASIBLE,2.21908,1.115,1.0
