run_id,instance,arm,models,model_frees,environments,environment_frees,optimize_calls,lp_calls,partial_target_calls,terminal_calls,model_reuses,integer_domain_restores,fresh_restarts,child_restarts,reset_calls,lifecycle_complete,basis_reuse_claimed,native_tree_continuation_claimed
stage1__tight_T_seed5102__c6_candidate__300s,tight_T_seed5102,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage1__V12_M1__c5_candidate__300s,V12_M1,C5-CANDIDATE,76,76,1,1,94,76,7,11,18,76,0,0,0,True,False,False
stage1__V12_M1__c6_candidate__300s,V12_M1,C6-CANDIDATE,6,6,1,1,10,6,3,1,4,6,0,0,0,True,False,False
stage1__V12_M2__c5_candidate__300s,V12_M2,C5-CANDIDATE,100,100,1,1,150,100,17,33,50,100,0,0,0,True,False,False
stage1__V12_M2__c6_candidate__300s,V12_M2,C6-CANDIDATE,12,12,1,1,17,12,3,2,5,12,0,0,0,True,False,False
stage2__high_imbalance_seed3202__c6_candidate__300s,high_imbalance_seed3202,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage2__high_imbalance_seed4201__c6_candidate__300s,high_imbalance_seed4201,C6-CANDIDATE,8,8,1,1,12,8,3,1,4,8,0,0,0,True,False,False
stage2__high_imbalance_seed5202__c6_candidate__300s,high_imbalance_seed5202,C6-CANDIDATE,4,4,1,1,5,4,1,0,1,4,0,0,0,True,False,False
stage2__high_imbalance_seed5203__c6_candidate__300s,high_imbalance_seed5203,C6-CANDIDATE,20,20,1,1,26,20,3,3,6,20,0,0,0,True,False,False
stage2__high_imbalance_seed6202__c6_candidate__300s,high_imbalance_seed6202,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage2__moderate_seed3302__c6_candidate__300s,moderate_seed3302,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage2__moderate_seed4302__c6_candidate__300s,moderate_seed4302,C6-CANDIDATE,6,6,1,1,10,6,2,2,4,6,0,0,0,True,False,False
stage2__moderate_seed5301__c6_candidate__300s,moderate_seed5301,C6-CANDIDATE,5,5,1,1,8,5,2,1,3,5,0,0,0,True,False,False
stage2__moderate_seed5302__c6_candidate__300s,moderate_seed5302,C6-CANDIDATE,4,4,1,1,6,4,1,1,2,4,0,0,0,True,False,False
stage2__moderate_seed6301__c6_candidate__300s,moderate_seed6301,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage2__tight_T_seed3101__c6_candidate__300s,tight_T_seed3101,C6-CANDIDATE,5,5,1,1,8,5,2,1,3,5,0,0,0,True,False,False
stage2__tight_T_seed4101__c6_candidate__300s,tight_T_seed4101,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage2__tight_T_seed5102__c6_candidate__300s,tight_T_seed5102,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage2__tight_T_seed5103__c6_candidate__300s,tight_T_seed5103,C6-CANDIDATE,8,8,1,1,12,8,2,2,4,8,0,0,0,True,False,False
stage2__tight_T_seed6102__c6_candidate__300s,tight_T_seed6102,C6-CANDIDATE,6,6,1,1,8,6,2,0,2,6,0,0,0,True,False,False
stage2__V12_M1__c6_candidate__300s,V12_M1,C6-CANDIDATE,6,6,1,1,10,6,3,1,4,6,0,0,0,True,False,False
stage2__V12_M2__c6_candidate__300s,V12_M2,C6-CANDIDATE,12,12,1,1,17,12,3,2,5,12,0,0,0,True,False,False
stage3__round31_sealed_high_imbalance_V20_seed1968399862__c5_candidate__300s,round31_sealed_high_imbalance_V20_seed1968399862,C5-CANDIDATE,10,10,1,1,13,10,1,2,3,10,0,0,0,True,False,False
stage3__round31_sealed_high_imbalance_V20_seed1968399862__c6_candidate__300s,round31_sealed_high_imbalance_V20_seed1968399862,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage3__round31_sealed_high_imbalance_V50_seed802548647__c5_candidate__300s,round31_sealed_high_imbalance_V50_seed802548647,C5-CANDIDATE,8,8,1,1,9,8,0,1,1,8,0,0,0,True,False,False
stage3__round31_sealed_high_imbalance_V50_seed802548647__c6_candidate__300s,round31_sealed_high_imbalance_V50_seed802548647,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage3__round31_sealed_moderate_V20_seed311185674__c5_candidate__300s,round31_sealed_moderate_V20_seed311185674,C5-CANDIDATE,24,24,1,1,26,24,1,1,2,24,0,0,0,True,False,False
stage3__round31_sealed_moderate_V20_seed311185674__c6_candidate__300s,round31_sealed_moderate_V20_seed311185674,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage3__round31_sealed_moderate_V50_seed1112848618__c5_candidate__300s,round31_sealed_moderate_V50_seed1112848618,C5-CANDIDATE,9,9,1,1,11,9,1,1,2,9,0,0,0,True,False,False
stage3__round31_sealed_moderate_V50_seed1112848618__c6_candidate__300s,round31_sealed_moderate_V50_seed1112848618,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage3__round31_sealed_tight_T_V20_seed2113109204__c5_candidate__300s,round31_sealed_tight_T_V20_seed2113109204,C5-CANDIDATE,7,7,1,1,9,7,1,1,2,7,0,0,0,True,False,False
stage3__round31_sealed_tight_T_V20_seed2113109204__c6_candidate__300s,round31_sealed_tight_T_V20_seed2113109204,C6-CANDIDATE,8,8,1,1,12,8,2,2,4,8,0,0,0,True,False,False
stage3__round31_sealed_tight_T_V50_seed1973327304__c5_candidate__300s,round31_sealed_tight_T_V50_seed1973327304,C5-CANDIDATE,6,6,1,1,7,6,0,1,1,6,0,0,0,True,False,False
stage3__round31_sealed_tight_T_V50_seed1973327304__c6_candidate__300s,round31_sealed_tight_T_V50_seed1973327304,C6-CANDIDATE,7,7,1,1,11,7,3,1,4,7,0,0,0,True,False,False
stage4__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,40,40,1,1,56,40,5,11,16,40,0,0,0,True,False,False
stage4__high_imbalance_seed3202__c6_candidate__300s,high_imbalance_seed3202,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage4__high_imbalance_seed6202__c5_candidate__300s,high_imbalance_seed6202,C5-CANDIDATE,8,8,1,1,9,8,0,1,1,8,0,0,0,True,False,False
stage4__high_imbalance_seed6202__c6_candidate__300s,high_imbalance_seed6202,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage4__moderate_seed3302__c5_candidate__300s,moderate_seed3302,C5-CANDIDATE,107,107,1,1,137,107,22,8,30,107,0,0,0,True,False,False
stage4__moderate_seed3302__c6_candidate__300s,moderate_seed3302,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage4__moderate_seed6301__c5_candidate__300s,moderate_seed6301,C5-CANDIDATE,18,18,1,1,21,18,1,2,3,18,0,0,0,True,False,False
stage4__moderate_seed6301__c6_candidate__300s,moderate_seed6301,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage4__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,C5-CANDIDATE,10,10,1,1,14,10,1,3,4,10,0,0,0,True,False,False
stage4__tight_T_seed3101__c6_candidate__300s,tight_T_seed3101,C6-CANDIDATE,5,5,1,1,8,5,2,1,3,5,0,0,0,True,False,False
stage4__V12_M1__c5_candidate__300s,V12_M1,C5-CANDIDATE,76,76,1,1,94,76,7,11,18,76,0,0,0,True,False,False
stage4__V12_M1__c6_candidate__300s,V12_M1,C6-CANDIDATE,6,6,1,1,10,6,3,1,4,6,0,0,0,True,False,False
stage4__V12_M2__c5_candidate__300s,V12_M2,C5-CANDIDATE,100,100,1,1,150,100,17,33,50,100,0,0,0,True,False,False
stage4__V12_M2__c6_candidate__300s,V12_M2,C6-CANDIDATE,12,12,1,1,17,12,3,2,5,12,0,0,0,True,False,False
stage5__high_imbalance_seed3202__c6_candidate__rep1__300s,high_imbalance_seed3202,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage5__high_imbalance_seed3202__c6_candidate__rep2__300s,high_imbalance_seed3202,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage5__high_imbalance_seed6202__c6_candidate__rep1__300s,high_imbalance_seed6202,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage5__high_imbalance_seed6202__c6_candidate__rep2__300s,high_imbalance_seed6202,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage5__moderate_seed6301__c6_candidate__rep1__300s,moderate_seed6301,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage5__moderate_seed6301__c6_candidate__rep2__300s,moderate_seed6301,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage5__round31_sealed_high_imbalance_V20_seed1968399862__c6_candidate__rep1__300s,round31_sealed_high_imbalance_V20_seed1968399862,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage5__round31_sealed_high_imbalance_V20_seed1968399862__c6_candidate__rep2__300s,round31_sealed_high_imbalance_V20_seed1968399862,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage5__round31_sealed_high_imbalance_V50_seed802548647__c6_candidate__rep1__300s,round31_sealed_high_imbalance_V50_seed802548647,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage5__round31_sealed_high_imbalance_V50_seed802548647__c6_candidate__rep2__300s,round31_sealed_high_imbalance_V50_seed802548647,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage5__tight_T_seed4101__c6_candidate__rep1__300s,tight_T_seed4101,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage5__tight_T_seed4101__c6_candidate__rep2__300s,tight_T_seed4101,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage5__tight_T_seed5102__c6_candidate__rep1__300s,tight_T_seed5102,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage5__tight_T_seed5102__c6_candidate__rep2__300s,tight_T_seed5102,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage5__V12_M2__c6_candidate__rep1__300s,V12_M2,C6-CANDIDATE,12,12,1,1,17,12,3,2,5,12,0,0,0,True,False,False
stage5__V12_M2__c6_candidate__rep2__300s,V12_M2,C6-CANDIDATE,12,12,1,1,17,12,3,2,5,12,0,0,0,True,False,False
stage6__high_imbalance_seed3202__c5_candidate__1200s,high_imbalance_seed3202,C5-CANDIDATE,40,40,1,1,56,40,5,11,16,40,0,0,0,True,False,False
stage6__high_imbalance_seed3202__c6_candidate__1200s,high_imbalance_seed3202,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage6__high_imbalance_seed6202__c5_candidate__1200s,high_imbalance_seed6202,C5-CANDIDATE,8,8,1,1,9,8,0,1,1,8,0,0,0,True,False,False
stage6__high_imbalance_seed6202__c6_candidate__1200s,high_imbalance_seed6202,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage6__moderate_seed3302__c5_candidate__1200s,moderate_seed3302,C5-CANDIDATE,119,119,1,1,158,119,23,16,39,119,0,0,0,True,False,False
stage6__moderate_seed3302__c6_candidate__1200s,moderate_seed3302,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage6__moderate_seed6301__c5_candidate__1200s,moderate_seed6301,C5-CANDIDATE,20,20,1,1,24,20,1,3,4,20,0,0,0,True,False,False
stage6__moderate_seed6301__c6_candidate__1200s,moderate_seed6301,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage6__round31_sealed_high_imbalance_V20_seed1968399862__c5_candidate__1200s,round31_sealed_high_imbalance_V20_seed1968399862,C5-CANDIDATE,10,10,1,1,13,10,1,2,3,10,0,0,0,True,False,False
stage6__round31_sealed_high_imbalance_V20_seed1968399862__c6_candidate__1200s,round31_sealed_high_imbalance_V20_seed1968399862,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage6__round31_sealed_high_imbalance_V50_seed802548647__c5_candidate__1200s,round31_sealed_high_imbalance_V50_seed802548647,C5-CANDIDATE,18,18,1,1,22,18,2,2,4,18,0,0,0,True,False,False
stage6__round31_sealed_high_imbalance_V50_seed802548647__c6_candidate__1200s,round31_sealed_high_imbalance_V50_seed802548647,C6-CANDIDATE,8,8,1,1,12,8,2,2,4,8,0,0,0,True,False,False
stage6__tight_T_seed3101__c5_candidate__1200s,tight_T_seed3101,C5-CANDIDATE,13,13,1,1,18,13,1,4,5,13,0,0,0,True,False,False
stage6__tight_T_seed3101__c6_candidate__1200s,tight_T_seed3101,C6-CANDIDATE,5,5,1,1,9,5,3,1,4,5,0,0,0,True,False,False
stage6__tight_T_seed5102__c5_candidate__1200s,tight_T_seed5102,C5-CANDIDATE,35,35,1,1,46,35,3,8,11,35,0,0,0,True,False,False
stage6__tight_T_seed5102__c6_candidate__1200s,tight_T_seed5102,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage6__V12_M2__c5_candidate__1200s,V12_M2,C5-CANDIDATE,100,100,1,1,150,100,17,33,50,100,0,0,0,True,False,False
stage6__V12_M2__c6_candidate__1200s,V12_M2,C6-CANDIDATE,12,12,1,1,17,12,3,2,5,12,0,0,0,True,False,False
