run_id,instance,family,V,arm,terminal_mip_calls,terminal_mip_work_ledger,terminal_mip_work_result,partial_target_work_ledger,total_external_work,terminal_work_share,final_stagnation_seconds,lp_cutoff_prunes
stage4__high_imbalance_seed6202__c6_candidate__300s,high_imbalance_seed6202,high_imbalance,50,C6-CANDIDATE,1,593.635,593.6354904819599,64.1477,725.9799022550425,0.8177016996697125,273.42259,0
stage4__moderate_seed3302__c5_candidate__300s,moderate_seed3302,moderate,20,C5-CANDIDATE,8,397.3478,397.3476430228522,0.0,542.4844381693663,0.7324593519048487,93.76467779999999,0
stage4__moderate_seed3302__c6_candidate__300s,moderate_seed3302,moderate,20,C6-CANDIDATE,1,434.322,434.32239931486697,13.4268,455.3611033092193,0.9537968808571416,274.8470008,0
stage4__moderate_seed6301__c5_candidate__300s,moderate_seed6301,moderate,50,C5-CANDIDATE,2,288.31899999999996,288.31820898224447,0.0,629.1180315370755,0.45829079051441657,73.04816359999998,0
stage4__moderate_seed6301__c6_candidate__300s,moderate_seed6301,moderate,50,C6-CANDIDATE,1,477.383,477.38254616571453,58.5648,692.8701899014693,0.6889934174652355,244.2063338,0
stage4__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,tight_T,20,C5-CANDIDATE,3,532.484696,532.4843649705609,0.0,541.5631528593627,0.9832365684197124,274.3294625,0
stage4__tight_T_seed3101__c6_candidate__300s,tight_T_seed3101,tight_T,20,C6-CANDIDATE,1,272.18,272.179981387764,259.35107000000005,535.7926809512887,0.5079949944757552,279.9901755,0
stage4__V12_M1__c5_candidate__300s,V12_M1,v12,12,C5-CANDIDATE,11,52.439825000000006,52.43983484872625,0.0,69.36952658211288,0.7559490108084687,0.0018835999999993192,0
stage4__V12_M1__c6_candidate__300s,V12_M1,v12,12,C6-CANDIDATE,1,1.5805,1.5804979237797714,32.75174,35.46318543974309,0.044567344427800776,0.0016398999999971409,0
stage4__V12_M2__c5_candidate__300s,V12_M2,v12,12,C5-CANDIDATE,33,336.0127530000001,336.01289071946064,0.0,381.21074053776647,0.8814356923049794,0.0020584000000098968,0
stage4__V12_M2__c6_candidate__300s,V12_M2,v12,12,C6-CANDIDATE,2,207.0923,207.09264442368894,8.7226,219.71345731112058,0.9425562846009534,0.0019776999999976397,0
stage5__high_imbalance_seed3202__c6_candidate__rep1__300s,high_imbalance_seed3202,high_imbalance,20,C6-CANDIDATE,1,401.455,401.454739117622,4.10281,408.74551643281535,0.9821636785243767,0.0016294000000129927,0
stage5__high_imbalance_seed3202__c6_candidate__rep2__300s,high_imbalance_seed3202,high_imbalance,20,C6-CANDIDATE,1,401.455,401.454739117622,4.10281,408.74551643281535,0.9821636785243767,0.001679700000011053,0
stage5__high_imbalance_seed6202__c6_candidate__rep1__300s,high_imbalance_seed6202,high_imbalance,50,C6-CANDIDATE,1,588.667,588.667253796857,64.1477,721.0116655699396,0.8164458747483304,273.375235,0
stage5__high_imbalance_seed6202__c6_candidate__rep2__300s,high_imbalance_seed6202,high_imbalance,50,C6-CANDIDATE,1,591.168,591.16795646526,64.1477,723.5123682383426,0.8170807106441267,273.265308,0
stage5__moderate_seed6301__c6_candidate__rep1__300s,moderate_seed6301,moderate,50,C6-CANDIDATE,1,476.438,476.43837603286613,58.5648,691.9260197686209,0.6885678329589632,244.0263385,0
stage5__moderate_seed6301__c6_candidate__rep2__300s,moderate_seed6301,moderate,50,C6-CANDIDATE,1,479.659,479.65877644318334,58.5648,695.1464201789381,0.6900114653205445,244.0949771,0
stage5__round31_sealed_high_imbalance_V20_seed1968399862__c6_candidate__rep1__300s,round31_sealed_high_imbalance_V20_seed1968399862,high_imbalance,20,C6-CANDIDATE,1,255.033,255.03314689187516,1.07952,258.74278964595294,0.9856622491740574,0.0023363999999901353,0
stage5__round31_sealed_high_imbalance_V20_seed1968399862__c6_candidate__rep2__300s,round31_sealed_high_imbalance_V20_seed1968399862,high_imbalance,20,C6-CANDIDATE,1,255.033,255.03314689187516,1.07952,258.74278964595294,0.9856622491740574,0.0016840000000115651,0
stage5__round31_sealed_high_imbalance_V50_seed802548647__c6_candidate__rep1__300s,round31_sealed_high_imbalance_V50_seed802548647,high_imbalance,50,C6-CANDIDATE,1,450.705,450.70491625523454,53.924800000000005,586.8353554643654,0.7680263225506498,236.7494327,0
stage5__round31_sealed_high_imbalance_V50_seed802548647__c6_candidate__rep2__300s,round31_sealed_high_imbalance_V50_seed802548647,high_imbalance,50,C6-CANDIDATE,1,464.003,464.00277434155663,53.924800000000005,600.1332135506875,0.7731666728703894,237.7113969,0
stage5__tight_T_seed4101__c6_candidate__rep1__300s,tight_T_seed4101,tight_T,20,C6-CANDIDATE,1,557.937,557.9372017719132,5.76148,566.6723621331172,0.9845848099945536,285.0950664,0
stage5__tight_T_seed4101__c6_candidate__rep2__300s,tight_T_seed4101,tight_T,20,C6-CANDIDATE,1,552.919,552.9185340076529,5.76148,561.6536943688568,0.9844482561827138,285.0881413,0
stage5__tight_T_seed5102__c6_candidate__rep1__300s,tight_T_seed5102,tight_T,20,C6-CANDIDATE,1,538.321,538.3212939376433,2.59606,545.1181572178281,0.987530855232342,277.4776739,0
stage5__tight_T_seed5102__c6_candidate__rep2__300s,tight_T_seed5102,tight_T,20,C6-CANDIDATE,1,538.489,538.4887879110083,2.59606,545.2856511911931,0.9875356133499101,277.2559982,0
stage5__V12_M2__c6_candidate__rep1__300s,V12_M2,v12,12,C6-CANDIDATE,2,207.0923,207.09264442368894,8.7226,219.71345731112058,0.9425562846009534,0.0018786999999917953,0
stage5__V12_M2__c6_candidate__rep2__300s,V12_M2,v12,12,C6-CANDIDATE,2,207.0923,207.09264442368894,8.7226,219.71345731112058,0.9425562846009534,0.0019824999999968895,0
stage6__high_imbalance_seed3202__c5_candidate__1200s,high_imbalance_seed3202,high_imbalance,20,C5-CANDIDATE,11,355.065559,355.06568576953225,0.0,384.14279335048934,0.9243061828730977,0.003257499999989477,0
stage6__high_imbalance_seed3202__c6_candidate__1200s,high_imbalance_seed3202,high_imbalance,20,C6-CANDIDATE,1,401.455,401.454739117622,4.10281,408.74551643281535,0.9821636785243767,0.0018455000000017208,0
stage6__high_imbalance_seed6202__c5_candidate__1200s,high_imbalance_seed6202,high_imbalance,50,C5-CANDIDATE,1,2589.72,2589.721810522913,0.0,2667.2014001388575,0.9709503001405053,1173.4265857,0
stage6__high_imbalance_seed6202__c6_candidate__1200s,high_imbalance_seed6202,high_imbalance,50,C6-CANDIDATE,1,2803.18,2803.1829128194677,64.1477,2935.5273245925505,0.9549153150495984,1173.5291005,0
stage6__moderate_seed3302__c5_candidate__1200s,moderate_seed3302,moderate,20,C5-CANDIDATE,16,2038.9186,2038.9182283514367,0.0,2198.285125115347,0.9275041607230159,135.37041940000017,0
stage6__moderate_seed3302__c6_candidate__1200s,moderate_seed3302,moderate,20,C6-CANDIDATE,1,2272.16,2272.15815636707,13.4268,2293.1968603614228,0.9908264045163103,1174.8154192,0
stage6__moderate_seed6301__c5_candidate__1200s,moderate_seed6301,moderate,50,C5-CANDIDATE,3,2999.131,2999.1257510478017,0.0,3363.9643895546496,0.8915465958297646,863.5282758,0
stage6__moderate_seed6301__c6_candidate__1200s,moderate_seed6301,moderate,50,C6-CANDIDATE,1,3356.07,3356.066132789296,58.5648,3571.5537765250506,0.9396666577047299,1143.7843993,0
stage6__round31_sealed_high_imbalance_V20_seed1968399862__c5_candidate__1200s,round31_sealed_high_imbalance_V20_seed1968399862,high_imbalance,20,C5-CANDIDATE,2,103.1977,103.19770893636425,0.0,109.583510721926,0.9417265364117569,0.001712099999998884,0
stage6__round31_sealed_high_imbalance_V20_seed1968399862__c6_candidate__1200s,round31_sealed_high_imbalance_V20_seed1968399862,high_imbalance,20,C6-CANDIDATE,1,255.033,255.03314689187516,1.07952,258.74278964595294,0.9856622491740574,0.0016850000000090404,0
stage6__round31_sealed_high_imbalance_V50_seed802548647__c5_candidate__1200s,round31_sealed_high_imbalance_V50_seed802548647,high_imbalance,50,C5-CANDIDATE,2,2583.449,2583.4438536138073,0.0,2789.737113095838,0.9260546407303177,893.9919798000001,0
stage6__round31_sealed_high_imbalance_V50_seed802548647__c6_candidate__1200s,round31_sealed_high_imbalance_V50_seed802548647,high_imbalance,50,C6-CANDIDATE,2,2218.477,2218.4754058840713,53.924800000000005,2363.033871096728,0.9388257304032478,0.0017129999999951906,0
stage6__tight_T_seed3101__c5_candidate__1200s,tight_T_seed3101,tight_T,20,C5-CANDIDATE,4,2357.661696,2357.661826287075,0.0,2369.179300705573,0.9951385677301238,335.7793683,0
stage6__tight_T_seed3101__c6_candidate__1200s,tight_T_seed3101,tight_T,20,C6-CANDIDATE,1,1525.55,1525.5450978830406,838.3410700000001,2368.147884861786,0.6441954110011321,283.02503619999993,0
stage6__tight_T_seed5102__c5_candidate__1200s,tight_T_seed5102,tight_T,20,C5-CANDIDATE,8,2191.56938,2191.5676441118367,0.0,2217.9662892151923,0.988098597646165,553.3470291,0
stage6__tight_T_seed5102__c6_candidate__1200s,tight_T_seed5102,tight_T,20,C6-CANDIDATE,1,2418.89,2418.89473613854,2.59606,2425.6915994187248,0.9971960164184289,1177.4398386,0
stage6__V12_M2__c5_candidate__1200s,V12_M2,v12,12,C5-CANDIDATE,33,336.0127530000001,336.01289071946064,0.0,381.21074053776647,0.8814356923049794,0.0023957999999879576,0
stage6__V12_M2__c6_candidate__1200s,V12_M2,v12,12,C6-CANDIDATE,2,207.0923,207.09264442368894,8.7226,219.71345731112058,0.9425562846009534,0.0019356000000101403,0
