instance,critical_instance,run_id,parent_id,depth,parent_bound,child_disjunction_bound,other_open_leaf_min_at_decline,parent_noncontrolling_after_lp,finite_next_leaf_target_available,next_leaf_target,terminal_mip_launched,terminal_status,terminal_runtime,terminal_work,terminal_nodes,deadline_remaining_at_launch,deadline_blocking,c6_nonblocking_opportunity
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.1.0.1,7,0.652294,0.649629,0.6528158024488137,False,False,nan,True,INFEASIBLE,8.722,14.4749,3.0,199.588,False,False
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.1.0,5,0.652816,0.650361,0.6530984844259969,False,False,nan,True,INFEASIBLE,8.147,13.6789,31.0,190.315,False,False
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.1.1.0,7,0.653098,0.649977,0.6530984844259969,False,False,nan,True,INFEASIBLE,8.145,13.7764,15.0,181.618,False,False
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.1.1.1,7,0.653098,0.650369,0.6541252128853197,False,False,nan,True,INFEASIBLE,8.432,14.9054,27.0,172.921,False,False
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.1.1.0,6,0.656758,0.654281,0.6567579998388479,False,False,nan,True,INFEASIBLE,12.374,23.1931,115.0,162.927,False,False
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.1.1.1,6,0.656758,0.656219,0.6572034511656039,False,False,nan,True,INFEASIBLE,9.385,16.419,43.0,149.989,False,False
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.1,1,0.657203,0.657203,nan,False,False,nan,True,OPTIMAL,73.218,142.942,1430.0,140.003,False,False
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L2.0,1,1.59108,1.58838,1.6626217178809841,False,False,nan,True,OPTIMAL,171.027,339.07,2096.0,274.852,False,False
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L2.1,1,1.68721,1.68721,1.6976986439507982,False,False,nan,True,INFEASIBLE,2.127,4.24638,1.0,98.4735,False,False
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L1.1.1.1.1.1.1.1,7,1.6977,1.68667,1.6982714821825653,False,False,nan,True,INFEASIBLE,0.658,1.42918,1.0,95.5583,False,False
high_imbalance_seed4201,False,stage2__high_imbalance_seed4201__c5_candidate__300s,L2.0.0.1.0.0.0.0,7,2.69074,2.68957,2.6907403542385055,False,False,nan,True,INFEASIBLE,228.813,425.802,5177.0,257.748,False,False
high_imbalance_seed4201,False,stage2__high_imbalance_seed4201__c5_candidate__300s,L2.0.0.1.0.0.0.1,7,2.69074,2.68976,2.690845603962983,False,False,nan,True,TIME_LIMIT,28.136,52.8647,640.0,28.1271,True,False
high_imbalance_seed5202,False,stage2__high_imbalance_seed5202__c5_candidate__300s,L1.1.0.0.1.1.0,6,1.01595,1.01512,1.0159527187400632,False,False,nan,True,TIME_LIMIT,268.627,507.204,1967.0,268.625,True,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L3,0,2.19766,2.19766,1.9883255556665396,True,False,nan,True,INFEASIBLE,0.712,1.36211,1.0,277.385,False,True
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.1.1.0,5,2.02702,2.02235,2.0270190747035444,False,False,nan,True,INFEASIBLE,4.611,6.98433,1.0,271.104,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.1.1.1,5,2.02702,2.02004,2.029888770198569,False,False,nan,True,INFEASIBLE,16.645,30.4148,109.0,265.748,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.1.0,3,2.02989,2.02263,2.0404274493562506,False,False,nan,True,INFEASIBLE,90.01,160.077,1067.0,248.343,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.1.1,3,2.04922,2.04922,2.058158209417756,False,False,nan,True,OPTIMAL,48.009,84.3452,748.0,156.442,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.1.0.1,5,2.05816,2.04325,2.078911521356742,False,False,nan,True,INFEASIBLE,2.114,3.79059,1.0,107.638,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.1,1,2.07891,2.07891,2.083095268364166,False,False,nan,True,INFEASIBLE,20.99,39.2044,960.0,104.825,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.1.0.0.1,6,2.09945,2.08442,2.1049380195951084,False,False,nan,True,INFEASIBLE,1.181,2.2059,1.0,81.9357,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.1.0.0.0.0,7,2.12058,2.11621,2.120579546296672,False,False,nan,True,INFEASIBLE,0.877,1.73042,1.0,78.0391,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.1.0.0.0.1,7,2.12058,2.1056,2.1235935955543437,False,False,nan,True,INFEASIBLE,1.038,2.10591,1.0,76.3778,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.1.1,5,2.14197,2.12623,2.1685886174684956,False,False,nan,True,INFEASIBLE,0.867,1.74308,1.0,73.3579,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.1.0.1,6,2.18542,2.1699,2.1914180085135553,False,False,nan,True,INFEASIBLE,0.821,1.59296,1.0,70.514,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.1.0.0.0,7,2.20748,2.20314,2.2074801594834974,False,False,nan,True,INFEASIBLE,0.703,1.54864,1.0,67.8159,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.1.0.0.1,7,2.20748,2.19207,2.2115687897072083,False,False,nan,True,INFEASIBLE,0.643,1.4721,1.0,66.329,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.0.1.1,6,2.23119,2.21459,2.2383768742724603,False,False,nan,True,INFEASIBLE,0.465,1.00532,1.0,63.0082,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.0.1.0.0,7,2.25607,2.25122,2.2560694472092755,False,False,nan,True,INFEASIBLE,0.512,1.10753,1.0,60.5998,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.0.1.0.1,7,2.25607,2.23902,2.261970100465126,False,False,nan,True,INFEASIBLE,0.5,1.09314,1.0,59.3538,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.0.0.1,6,2.28119,2.26326,2.286031789431858,False,False,nan,True,INFEASIBLE,0.768,1.7425,1.0,56.9647,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.0.0.0.0,7,2.30656,2.30063,2.3065601856644604,False,False,nan,True,INFEASIBLE,0.486,1.05304,1.0,52.1005,False,False
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.0.0.0.1,7,2.30656,2.28816,2.3099349047443254,False,False,nan,True,INFEASIBLE,0.605,1.29562,1.0,50.8449,False,False
high_imbalance_seed6202,True,stage2__high_imbalance_seed6202__c5_candidate__300s,L3,0,7.55572,7.55572,7.461555638889693,True,False,nan,True,TIME_LIMIT,238.322,603.148,700.0,238.265,True,True
moderate_seed3302,True,stage1__moderate_seed3302__c5_candidate__300s,L0.1.0.1.0.1.0.0,7,0.13961,0.139521,0.13961043665978445,False,False,nan,True,INFEASIBLE,21.779,44.3564,11.0,216.329,False,False
moderate_seed3302,True,stage1__moderate_seed3302__c5_candidate__300s,L0.1.0.1.0.1.0.1,7,0.13961,0.139545,0.13963071096698773,False,False,nan,True,INFEASIBLE,16.852,34.474,5.0,193.722,False,False
moderate_seed3302,True,stage1__moderate_seed3302__c5_candidate__300s,L0.1.0.1.0.1.1.0,7,0.139681,0.139567,0.13968075620360912,False,False,nan,True,INFEASIBLE,19.048,37.2641,5.0,174.695,False,False
moderate_seed3302,True,stage1__moderate_seed3302__c5_candidate__300s,L0.1.0.1.0.1.1.1,7,0.139681,0.13959,0.13972944547488678,False,False,nan,True,INFEASIBLE,20.572,40.455,13.0,154.853,False,False
moderate_seed3302,True,stage1__moderate_seed3302__c5_candidate__300s,L0.1.0.1.1.0.0,6,0.139729,0.139518,0.13972944547488678,False,False,nan,True,INFEASIBLE,21.631,43.863,3.0,133.556,False,False
moderate_seed3302,True,stage1__moderate_seed3302__c5_candidate__300s,L0.1.0.1.1.0.1,6,0.139729,0.139562,0.1397339045972756,False,False,nan,True,INFEASIBLE,16.234,31.0698,3.0,111.142,False,False
moderate_seed3302,True,stage1__moderate_seed3302__c5_candidate__300s,L0.1.1.0.0.1.0,6,0.139834,0.139774,0.13983359037217039,False,False,nan,True,INFEASIBLE,58.0,109.213,173.0,89.9975,False,False
moderate_seed4302,False,stage2__moderate_seed4302__c5_candidate__300s,L0,0,0.0,0.0,0.012135714717816735,False,True,0.012135714717816735,True,INFEASIBLE,21.687,42.5997,373.0,275.074,False,True
moderate_seed4302,False,stage2__moderate_seed4302__c5_candidate__300s,L1,0,0.0121357,0.0121357,0.02427142943563347,False,True,0.02427142943563347,True,TIME_LIMIT,252.643,493.552,3653.0,252.639,True,True
moderate_seed5301,False,stage2__moderate_seed5301__c5_candidate__300s,L0.1.0.1.0,4,0.0783212,0.0780772,0.0783873150406018,False,False,nan,True,INFEASIBLE,0.969,2.23775,1.0,257.038,False,False
moderate_seed5301,False,stage2__moderate_seed5301__c5_candidate__300s,L0.1.0.1.1.0,5,0.0792088,0.0790556,0.07920883117255498,False,False,nan,True,INFEASIBLE,1.308,3.12655,1.0,252.155,False,False
moderate_seed5301,False,stage2__moderate_seed5301__c5_candidate__300s,L0.1.0.1.1.1.0,6,0.0796526,0.0795447,0.07965258214453855,False,False,nan,True,INFEASIBLE,1.074,2.60609,1.0,248.705,False,False
moderate_seed5301,False,stage2__moderate_seed5301__c5_candidate__300s,L0.1.1.0,3,0.0797462,0.0791314,0.07988328114418436,False,False,nan,True,INFEASIBLE,1.167,2.83802,1.0,245.459,False,False
moderate_seed5301,False,stage2__moderate_seed5301__c5_candidate__300s,L0.1.0.1.1.1.1.0,7,0.0798833,0.0797884,0.07988328114418436,False,False,nan,True,INFEASIBLE,1.021,2.47966,1.0,243.492,False,False
moderate_seed5301,False,stage2__moderate_seed5301__c5_candidate__300s,L0.1.0.1.1.1.1.1,7,0.0798833,0.0798825,0.08136815107172503,False,False,nan,True,INFEASIBLE,1.072,2.5641,1.0,241.703,False,False
moderate_seed5301,False,stage2__moderate_seed5301__c5_candidate__300s,L0.1.0.0.1.0,5,0.0821326,0.0778369,0.08213264711811497,False,False,nan,True,INFEASIBLE,0.791,1.72276,1.0,237.634,False,False
moderate_seed5301,False,stage2__moderate_seed5301__c5_candidate__300s,L0.1.0.0.1.1,5,0.0821326,0.07804,0.08217480676880479,False,False,nan,True,INFEASIBLE,0.887,2.00808,1.0,235.773,False,False
moderate_seed5301,False,stage2__moderate_seed5301__c5_candidate__300s,L0.1.1.1.0,4,0.0821748,0.0819758,0.08314527730604851,False,False,nan,True,INFEASIBLE,2.124,4.17301,1.0,234.21,False,False
moderate_seed5301,False,stage2__moderate_seed5301__c5_candidate__300s,L0.1.1.1.1.0,5,0.0835222,0.0834224,0.08404950964918612,False,False,nan,True,INFEASIBLE,1.006,1.9974,1.0,228.711,False,False
moderate_seed5301,False,stage2__moderate_seed5301__c5_candidate__300s,L0.1.1.1.1.1.0,6,0.0841939,0.0841521,0.08442866829846334,False,False,nan,True,INFEASIBLE,1.205,2.44867,1.0,225.867,False,False
moderate_seed5301,False,stage2__moderate_seed5301__c5_candidate__300s,L2,0,0.118315,0.118312,0.08450251911563354,True,False,nan,True,TIME_LIMIT,223.283,416.447,690.0,223.279,True,True
moderate_seed5302,True,stage2__moderate_seed5302__c5_candidate__300s,L0.0,1,0.0148327,0.0136921,0.01936273307789035,False,False,nan,True,INFEASIBLE,91.25,181.945,677.0,272.386,False,False
moderate_seed5302,True,stage2__moderate_seed5302__c5_candidate__300s,L0.1,1,0.0193627,0.0193627,0.02742039834230075,False,False,nan,True,TIME_LIMIT,180.331,367.662,591.0,180.328,True,False
moderate_seed6301,True,stage1__moderate_seed6301__c5_candidate__300s,L1.0.1.1.0,4,0.480618,0.479796,0.4855055051138082,False,False,nan,True,INFEASIBLE,49.34,147.498,1.0,122.465,False,False
moderate_seed6301,True,stage1__moderate_seed6301__c5_candidate__300s,L1.0.1.1.1,4,0.485506,0.485506,0.4949981501640891,False,False,nan,True,TIME_LIMIT,62.368,142.671,1.0,62.3576,True,False
tight_T_seed3101,False,stage1__tight_T_seed3101__c5_candidate__300s,L0.0,1,0.00804897,0.00203919,0.014528421384587114,False,False,nan,True,INFEASIBLE,0.601,0.984536,1.0,277.458,False,False
tight_T_seed3101,False,stage1__tight_T_seed3101__c5_candidate__300s,L0.1,1,0.0145284,0.0145284,0.02681318353348536,False,False,nan,True,INFEASIBLE,1.59,3.16616,1.0,276.048,False,False
tight_T_seed3101,False,stage1__tight_T_seed3101__c5_candidate__300s,L1,0,0.027935,0.027935,0.05362636706697072,False,True,0.05362636706697072,True,TIME_LIMIT,273.195,532.106,1106.0,273.19,True,True
tight_T_seed4101,True,stage2__tight_T_seed4101__c5_candidate__300s,L1,0,0.387125,0.387125,0.3022442685314236,True,False,nan,True,TIME_LIMIT,283.155,590.957,2803.0,283.152,True,True
tight_T_seed5102,True,stage1__tight_T_seed5102__c5_candidate__300s,L2,0,0.289176,0.289176,0.20843292656852036,True,False,nan,True,TIME_LIMIT,275.039,476.049,3502.0,275.037,True,True
tight_T_seed5103,True,stage2__tight_T_seed5103__c5_candidate__300s,L2,0,0.197004,0.197004,0.14558766572211784,True,False,nan,True,TIME_LIMIT,262.226,482.104,2755.0,262.223,True,True
tight_T_seed6102,True,stage2__tight_T_seed6102__c5_candidate__300s,L1.1.0.0.1.0,5,0.552509,0.552203,0.5536563779344199,False,False,nan,True,INFEASIBLE,8.474,21.6124,1.0,102.63,False,False
tight_T_seed6102,True,stage2__tight_T_seed6102__c5_candidate__300s,L1.1.0.0.1.1,5,0.553656,0.553656,0.5587798297427379,False,False,nan,True,INFEASIBLE,40.024,112.757,1.0,84.4891,False,False
tight_T_seed6102,True,stage2__tight_T_seed6102__c5_candidate__300s,L1.1.0.1,3,0.55878,0.55878,0.5632890266694838,False,False,nan,True,TIME_LIMIT,34.766,88.5632,1.0,34.7597,True,False
