instance,critical_instance,run_id,leaf_id,depth,gamma_L,gamma_U,interval_width,split_reason,native_status,runtime,work,nodes,deadline_remaining_at_launch,deadline_blocking,safe_requeue_available_after_parent_lp,next_leaf_target_available,no_gain_parent,root_work,root_work_share,reported_cut_count,model_rows,model_columns,model_nonzeros,expensive_work_threshold,expensive_leaf,classification
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.0.0.1.1,8,0.41749015830000746,0.41819182243160413,0.0007016641315966687,structurally_terminal,INFEASIBLE,1.115,2.21908,1.0,254.049,False,False,False,False,0.48,0.21630585648106423,295,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.0.1.0.0,8,0.41819182243160413,0.4188934865632008,0.0007016641315966687,structurally_terminal,INFEASIBLE,0.906,1.60011,1.0,252.918,False,False,False,False,0.41,0.2562323840235984,294,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.0.1.0.1,8,0.4188934865632008,0.4195951506947974,0.0007016641315966132,structurally_terminal,INFEASIBLE,0.878,1.58783,1.0,251.995,False,False,False,False,0.44,0.27710775082974876,284,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.0.1.0,7,0.42941844853715055,0.43082177680034384,0.001403328263193282,no_strict_child_disjunction_gain,INFEASIBLE,8.921,14.7404,7.0,250.575,False,False,False,True,0.44,0.029849936229681694,259,11351,1034,113600,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.0.1.1,7,0.43082177680034384,0.4322251050635372,0.0014033282631933375,no_strict_child_disjunction_gain,INFEASIBLE,6.022,10.8884,3.0,241.116,False,False,False,True,0.63,0.05785974064141655,232,11351,1034,113600,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.0.1.1.0,8,0.4195951506947974,0.420296814826394,0.0007016641315966132,structurally_terminal,INFEASIBLE,0.981,1.68058,1.0,235.077,False,False,False,False,0.48,0.2856156803008485,274,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.0.1.1.1,8,0.420296814826394,0.4209984789579907,0.0007016641315966687,structurally_terminal,INFEASIBLE,0.866,1.57257,1.0,234.081,False,False,False,False,0.45,0.28615578320837864,272,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.1.0.0.0,8,0.4209984789579907,0.42170014308958736,0.0007016641315966687,structurally_terminal,INFEASIBLE,0.868,1.5752,1.0,233.196,False,False,False,False,0.43,0.27298120873539866,278,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.1.0.0.1,8,0.42170014308958736,0.42240180722118403,0.0007016641315966687,structurally_terminal,INFEASIBLE,0.897,1.63397,1.0,232.313,False,False,False,False,0.47,0.2876429799812726,301,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.1.0.1.0,8,0.42240180722118403,0.4231034713527807,0.0007016641315966687,structurally_terminal,INFEASIBLE,0.898,1.64732,1.0,231.399,False,False,False,False,0.51,0.3095937644173567,294,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.1.0.1.1,8,0.4231034713527807,0.4238051354843773,0.0007016641315966132,structurally_terminal,INFEASIBLE,0.849,1.58964,1.0,230.486,False,False,False,False,0.37,0.23275710223698448,275,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.1.1.0.0,8,0.4238051354843773,0.42450679961597393,0.0007016641315966132,structurally_terminal,INFEASIBLE,1.488,2.80581,1.0,229.619,False,False,False,False,0.58,0.20671392574693223,305,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.1.1.0.1,8,0.42450679961597393,0.4252084637475706,0.0007016641315966687,structurally_terminal,INFEASIBLE,1.998,3.56803,1.0,228.116,False,False,False,False,0.49,0.13733068387877906,386,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.1.1.1.0,8,0.4252084637475706,0.42591012787916727,0.0007016641315966687,structurally_terminal,INFEASIBLE,1.824,2.84653,1.0,226.1,False,False,False,False,0.52,0.1826785595092973,341,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.1.1.1.1,8,0.42591012787916727,0.42661179201076393,0.0007016641315966687,structurally_terminal,INFEASIBLE,1.743,2.89381,1.0,224.262,False,False,False,False,0.48,0.165871290789651,340,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.0.0.0.0,8,0.42661179201076393,0.4273134561423606,0.0007016641315966687,structurally_terminal,INFEASIBLE,2.402,4.20392,1.0,222.501,False,False,False,False,0.57,0.1355877371596034,361,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.0.0.0.1,8,0.4273134561423606,0.4280151202739573,0.0007016641315966687,structurally_terminal,INFEASIBLE,2.253,3.66458,1.0,220.082,False,False,False,False,0.55,0.15008541224369507,229,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.0.0.1.0,8,0.4280151202739573,0.42871678440555394,0.0007016641315966687,structurally_terminal,INFEASIBLE,3.561,6.10588,1.0,217.812,False,False,False,False,0.66,0.10809252720328602,299,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.0.0.1.1,8,0.42871678440555394,0.42941844853715055,0.0007016641315966132,structurally_terminal,INFEASIBLE,6.008,8.67095,1.0,214.235,False,False,False,False,0.42,0.0484375991096708,324,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.1.0.0,7,0.4322251050635372,0.43362843332673046,0.001403328263193282,no_strict_child_disjunction_gain,INFEASIBLE,7.536,12.6421,5.0,207.669,False,False,False,True,0.44,0.03480434421496429,253,11351,1034,113600,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.1.0.1,7,0.43362843332673046,0.43503176158992374,0.001403328263193282,no_strict_child_disjunction_gain,INFEASIBLE,8.722,14.4749,3.0,199.588,False,False,False,True,0.5,0.03454255297100498,278,11351,1034,113600,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.1.0,5,0.43783841811631036,0.44345173116908354,0.005613313052773183,no_strict_child_disjunction_gain,INFEASIBLE,8.147,13.6789,31.0,190.315,False,False,False,True,0.53,0.03874580558378232,234,11351,1034,113600,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.1.1.0,7,0.43503176158992374,0.4364350898531171,0.0014033282631933375,no_strict_child_disjunction_gain,INFEASIBLE,8.145,13.7764,15.0,181.618,False,False,False,True,0.46,0.03339043581777532,277,11351,1034,113600,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.1.1.1,7,0.4364350898531171,0.43783841811631036,0.001403328263193282,no_strict_child_disjunction_gain,INFEASIBLE,8.432,14.9054,27.0,172.921,False,False,False,True,0.55,0.03689937874864144,258,11351,1034,113600,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.1.1.0,6,0.44345173116908354,0.44625838769547016,0.0028066565263866194,no_strict_child_disjunction_gain,INFEASIBLE,12.374,23.1931,115.0,162.927,False,False,False,True,0.58,0.02500743755685958,382,11351,1034,113600,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.1.1.1,6,0.44625838769547016,0.4490650442218568,0.0028066565263866194,no_strict_child_disjunction_gain,INFEASIBLE,9.385,16.419,43.0,149.989,False,False,False,True,0.43,0.02618917108228272,305,11351,1034,113600,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.1,1,0.4490650442218568,0.5388780530662282,0.08981300884437138,no_strict_child_disjunction_gain,OPTIMAL,73.218,142.942,1430.0,140.003,False,False,False,True,0.48,0.0033580053448251735,317,11351,1034,113600,30.57855,True,no-gain parent blocking;expensive branch-and-bound continuation;top-quartile terminal Work
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L2.0,1,0.475,0.59375,0.11875000000000002,no_strict_child_disjunction_gain,OPTIMAL,171.027,339.07,2096.0,274.852,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,True,no-gain parent blocking;expensive branch-and-bound continuation;top-quartile terminal Work
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L2.1,1,0.59375,0.7124999999999999,0.11874999999999991,no_strict_child_disjunction_gain,INFEASIBLE,2.127,4.24638,1.0,98.4735,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L1.1.1.1.1.1.1.1,7,0.47314453125,0.475,0.0018554687499999778,no_strict_child_disjunction_gain,INFEASIBLE,0.658,1.42918,1.0,95.5583,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L1.1.1.1.1.1.1.0.0,8,0.47128906249999997,0.47221679687499996,0.0009277343749999889,structurally_terminal,INFEASIBLE,0.558,1.20203,1.0,93.6468,False,False,False,False,0.0,0.0,0,0,0,0,30.57855,False,interval geometry mismatch
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L1.1.1.1.1.1.1.0.1,8,0.47221679687499996,0.47314453125,0.0009277343750000444,structurally_terminal,INFEASIBLE,0.659,1.46559,1.0,93.0759,False,False,False,False,0.0,0.0,0,0,0,0,30.57855,False,interval geometry mismatch
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L1.1.1.1.1.1.0.1.0,8,0.46943359374999993,0.470361328125,0.0009277343750000444,structurally_terminal,INFEASIBLE,0.608,1.28138,1.0,90.2991,False,False,False,False,0.0,0.0,0,0,0,0,30.57855,False,interval geometry mismatch
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L1.1.1.1.1.1.0.1.1,8,0.470361328125,0.47128906249999997,0.0009277343749999889,structurally_terminal,INFEASIBLE,0.596,1.33526,1.0,89.677,False,False,False,False,0.0,0.0,0,0,0,0,30.57855,False,interval geometry mismatch
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L1.1.1.1.1.1.0.0.0,8,0.46757812499999996,0.46850585937499994,0.0009277343749999889,structurally_terminal,INFEASIBLE,0.567,1.25144,1.0,87.8526,False,False,False,False,0.0,0.0,0,0,0,0,30.57855,False,interval geometry mismatch
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L1.1.1.1.1.1.0.0.1,8,0.46850585937499994,0.46943359374999993,0.0009277343749999889,structurally_terminal,INFEASIBLE,0.624,1.41469,1.0,87.2721,False,False,False,False,0.0,0.0,0,0,0,0,30.57855,False,interval geometry mismatch
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L1.1.1.1.1.0.1.1.1,8,0.46665039062499997,0.46757812499999996,0.0009277343749999889,structurally_terminal,INFEASIBLE,0.431,0.915899,1.0,84.491,False,False,False,False,0.0,0.0,0,0,0,0,30.57855,False,interval geometry mismatch
high_imbalance_seed3202,False,stage1__high_imbalance_seed3202__c5_candidate__300s,L1.1.1.1.1.0.1.1.0,8,0.46572265625,0.46665039062499997,0.0009277343749999889,structurally_terminal,INFEASIBLE,0.66,1.45371,1.0,84.0475,False,False,False,False,0.0,0.0,0,0,0,0,30.57855,False,interval geometry mismatch
high_imbalance_seed4201,False,stage2__high_imbalance_seed4201__c5_candidate__300s,L2.0.0.1.0.0.0.0,7,0.5046875,0.5065429687499999,0.0018554687499999778,no_strict_child_disjunction_gain,INFEASIBLE,228.813,425.802,5177.0,257.748,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,True,no-gain parent blocking;expensive branch-and-bound continuation;top-quartile terminal Work
high_imbalance_seed4201,False,stage2__high_imbalance_seed4201__c5_candidate__300s,L2.0.0.1.0.0.0.1,7,0.5065429687499999,0.5083984374999999,0.0018554687499999778,no_strict_child_disjunction_gain,TIME_LIMIT,28.136,52.8647,640.0,28.1271,True,False,False,True,0.0,0.0,0,0,0,0,30.57855,True,no-gain parent blocking;expensive branch-and-bound continuation;deadline-blocking leaf;top-quartile terminal Work
high_imbalance_seed5202,False,stage2__high_imbalance_seed5202__c5_candidate__300s,L1.1.0.0.1.1.0,6,0.3785156249999999,0.3822265624999999,0.003710937500000011,no_strict_child_disjunction_gain,TIME_LIMIT,268.627,507.204,1967.0,268.625,True,False,False,True,0.0,0.0,0,0,0,0,30.57855,True,no-gain parent blocking;expensive branch-and-bound continuation;deadline-blocking leaf;top-quartile terminal Work
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L3,0,0.7124999999999999,0.95,0.23750000000000004,no_strict_child_disjunction_gain,INFEASIBLE,0.712,1.36211,1.0,277.385,False,True,False,True,0.0,0.0,0,0,0,0,30.57855,False,insufficient_interleaving;child-lookahead dominated;no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.1.1.0,5,0.51953125,0.526953125,0.007421875000000022,no_strict_child_disjunction_gain,INFEASIBLE,4.611,6.98433,1.0,271.104,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.1.1.1,5,0.526953125,0.534375,0.007421875000000022,no_strict_child_disjunction_gain,INFEASIBLE,16.645,30.4148,109.0,265.748,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.1.0,3,0.534375,0.5640625,0.029687499999999978,no_strict_child_disjunction_gain,INFEASIBLE,90.01,160.077,1067.0,248.343,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,True,no-gain parent blocking;expensive branch-and-bound continuation;top-quartile terminal Work
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.1.1,3,0.5640625,0.59375,0.029687499999999978,no_strict_child_disjunction_gain,OPTIMAL,48.009,84.3452,748.0,156.442,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,True,no-gain parent blocking;expensive branch-and-bound continuation;top-quartile terminal Work
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.1.0.1,5,0.512109375,0.51953125,0.007421875000000022,no_strict_child_disjunction_gain,INFEASIBLE,2.114,3.79059,1.0,107.638,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.1,1,0.59375,0.7124999999999999,0.11874999999999991,no_strict_child_disjunction_gain,INFEASIBLE,20.99,39.2044,960.0,104.825,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,True,no-gain parent blocking;expensive branch-and-bound continuation;top-quartile terminal Work
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.1.0.0.1,6,0.5083984374999999,0.512109375,0.0037109375000000666,no_strict_child_disjunction_gain,INFEASIBLE,1.181,2.2059,1.0,81.9357,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.1.0.0.0.0,7,0.5046875,0.5065429687499999,0.0018554687499999778,no_strict_child_disjunction_gain,INFEASIBLE,0.877,1.73042,1.0,78.0391,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.1.0.0.0.1,7,0.5065429687499999,0.5083984374999999,0.0018554687499999778,no_strict_child_disjunction_gain,INFEASIBLE,1.038,2.10591,1.0,76.3778,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.1.1,5,0.49726562499999993,0.5046875,0.007421875000000022,no_strict_child_disjunction_gain,INFEASIBLE,0.867,1.74308,1.0,73.3579,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.1.0.1,6,0.4935546875,0.49726562499999993,0.0037109374999999556,no_strict_child_disjunction_gain,INFEASIBLE,0.821,1.59296,1.0,70.514,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.1.0.0.0,7,0.48984374999999997,0.49169921875,0.0018554687500000333,no_strict_child_disjunction_gain,INFEASIBLE,0.703,1.54864,1.0,67.8159,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.1.0.0.1,7,0.49169921875,0.4935546875,0.0018554687499999778,no_strict_child_disjunction_gain,INFEASIBLE,0.643,1.4721,1.0,66.329,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.0.1.1,6,0.48613281249999996,0.48984374999999997,0.003710937500000011,no_strict_child_disjunction_gain,INFEASIBLE,0.465,1.00532,1.0,63.0082,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.0.1.0.0,7,0.482421875,0.48427734375,0.0018554687499999778,no_strict_child_disjunction_gain,INFEASIBLE,0.512,1.10753,1.0,60.5998,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.0.1.0.1,7,0.48427734375,0.48613281249999996,0.0018554687499999778,no_strict_child_disjunction_gain,INFEASIBLE,0.5,1.09314,1.0,59.3538,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.0.0.1,6,0.4787109375,0.482421875,0.003710937500000011,no_strict_child_disjunction_gain,INFEASIBLE,0.768,1.7425,1.0,56.9647,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.0.0.0.0,7,0.475,0.47685546874999996,0.0018554687499999778,no_strict_child_disjunction_gain,INFEASIBLE,0.486,1.05304,1.0,52.1005,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L2.0.0.0.0.0.0.1,7,0.47685546874999996,0.4787109375,0.0018554687500000333,no_strict_child_disjunction_gain,INFEASIBLE,0.605,1.29562,1.0,50.8449,False,False,False,True,0.0,0.0,0,0,0,0,30.57855,False,no-gain parent blocking
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L1.1.1.1.1.1.1.1.0,8,0.47314453125,0.474072265625,0.0009277343749999889,structurally_terminal,INFEASIBLE,0.512,1.13169,1.0,45.6389,False,False,False,False,0.0,0.0,0,0,0,0,30.57855,False,interval geometry mismatch
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L1.1.1.1.1.1.1.1.1,8,0.474072265625,0.475,0.0009277343749999889,structurally_terminal,INFEASIBLE,0.47,1.02727,1.0,45.1139,False,False,False,False,0.0,0.0,0,0,0,0,30.57855,False,interval geometry mismatch
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L1.1.1.1.1.1.0.1.1,8,0.470361328125,0.47128906249999997,0.0009277343749999889,structurally_terminal,INFEASIBLE,0.37,0.808705,1.0,43.1288,False,False,False,False,0.0,0.0,0,0,0,0,30.57855,False,interval geometry mismatch
high_imbalance_seed5203,False,stage2__high_imbalance_seed5203__c5_candidate__300s,L1.1.1.1.1.1.1.0.0,8,0.47128906249999997,0.47221679687499996,0.0009277343749999889,structurally_terminal,INFEASIBLE,0.499,1.09566,1.0,42.745,False,False,False,False,0.0,0.0,0,0,0,0,30.57855,False,interval geometry mismatch
