number,id,arm,path,bytes,sha256
3,D7,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\03_D7_ENS-C\phases.csv,3221,bbbffbc3dce9680b9c70e96c128b9389f1d3ce334179526056a0b6127cfc9d79
4,D7,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\04_D7_P-GRB\launch.json,2871,da8f720596246c793617b0c4b99dfe9989a96516093173f0972bd0fe5d8545c0
4,D7,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\04_D7_P-GRB\completion.json,274,eceb9a63f75aec07e7429afc82c60d38266fbac9986ad6780925fddab3e5de2a
4,D7,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\04_D7_P-GRB\observations.json,2719111,5975b559515fe2c00c2eb7f289c783db372ad00b7ce255ae9d998a950d0e21e5
4,D7,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\04_D7_P-GRB\audit.json,105373,84ab0619986e4e21e2de8d31bfb137bfba9ce244ad98b53263ff2dce7ba14fd2
4,D7,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\04_D7_P-GRB\native.log,1076554,c3d047dc59641d408b7c516eb6ac37e5e7eba6ca4bc4ff5a57c6b23d0ca74ed6
4,D7,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\04_D7_P-GRB\phases.csv,683,bf6610eefb4ba58687cef59c99fa5c15618516fd8c265db1bb8a40a63fe8c90b
4,D7,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\04_D7_P-GRB\compact.lp,3117154,4cd7967ea4d65804e6ab7ae8913033454ba495766ff9eb03529bd935f6e0bace
5,U6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\05_U6_P-GRB\launch.json,2760,d1eb8ff2b5066afabce40e045b7b8b1acb8d1806245defb76e55b757e257c748
5,U6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\05_U6_P-GRB\completion.json,267,cb1670431818c880e5e709a386d70ac3df416611fdcf62cba1f7bb2ab9470eaf
5,U6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\05_U6_P-GRB\observations.json,2116602,14881ef0d644c94db5e451681e9c1440b4910bfe3433d7c65365dcce206b9f53
5,U6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\05_U6_P-GRB\audit.json,71502,185eac1ef05deae37cf59408a64d8b70dc24b29a251e160f447cfeb4b029709e
5,U6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\05_U6_P-GRB\result.json,90473,c278c896837172695b25ae9ad2e9ae6e96267503374c67e2e7c09048b3ab8e4d
5,U6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\05_U6_P-GRB\native.log,825873,81dd5d4844bf953ad2d945f3f71592f6e1de8ba8f4e04668e818ca2f64441832
5,U6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\05_U6_P-GRB\phases.csv,926,32963d476fc37b93c1eedbdfccb45b141424c339a03af0208906d3ece2ee668f
5,U6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\05_U6_P-GRB\compact.lp,3114478,5979ffe9f6524c2dcddb705910e1e8b6002382b3fb1ddeb8712ebfb852082998
6,U6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\06_U6_ENS-C\launch.json,2488,504f51890fab015c7e9a4567452327d00b4fc9bfa35fc18f7c0c719e39f20179
6,U6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\06_U6_ENS-C\completion.json,265,1eb3fd6d2beb8349f8735c70964c611e0b46574cae388653085d68f1374eeeff
6,U6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\06_U6_ENS-C\observations.json,377712,c9095ac2dde03549c665192c2028d643ab4efd827656299ed358591e1575a0d1
6,U6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\06_U6_ENS-C\audit.json,45549,78012521429166c3054ffb8ec8aa3fecc1cd7bd8d8191dfacf78de9f0a8578f5
6,U6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\06_U6_ENS-C\native.log,2266,412f03c14e402b0cb264a993b32260a863242620f8cb20edfa1762d78ed45d6d
6,U6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\06_U6_ENS-C\progress.csv,710,604b77a2bdc06fb05bea22eff92dba19e506701cf39aef70550690f7a0cdd0e7
6,U6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\06_U6_ENS-C\phases.csv,2829,434251139eede0741708e2a60db376f9623fd892f9b9d74ea7c0d266574f6b6a
7,F2,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\07_F2_ENS-C\launch.json,2487,de45d94197a0db15f762102cb768ebe31b6b5c65614bee998c7b9420ada44464
7,F2,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\07_F2_ENS-C\completion.json,268,240ef4431b8ff5b89e28276b363fd16e2acbb4df5cdd9c620a117c673d13f354
7,F2,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\07_F2_ENS-C\observations.json,3540499,efc17e795f4878074769a1fbb28b6318c65942f2e220dad440c1fa7f53d27395
7,F2,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\07_F2_ENS-C\audit.json,7066,714ee33f6e66286dc390087f837264d69b86cc93c3d9e9b0c1861088f11aef57
7,F2,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\07_F2_ENS-C\result.json,94889,dd8fea501d55d7cdd6759d2741fe0cba4871834b379211b918e20704aa9655a5
7,F2,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\07_F2_ENS-C\native.log,1478,7e16f2ff2e31067ac8bb92cea42387a8724f930993c5f4296536dea1f0cb1064
7,F2,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\07_F2_ENS-C\progress.csv,710,d7a230ba050a3c6f0719ffb56cca22a0e1c40f2d8b2082e8de6eb2538bcf2e22
7,F2,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\07_F2_ENS-C\phases.csv,3156,13f42270adf17f9aafa9d174172ee1be9d701cc7d7c13a9293f0bc1986ffef82
8,F2,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\08_F2_P-GRB\launch.json,2758,8276ef4bca404018b3dea02c2df184993d96373b1930b10323c1109e83d8dbe9
8,F2,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\08_F2_P-GRB\completion.json,301,886b335f4d5c0b55e6626e1766ee9352d5a8c7c3b8180b25a951993f462faa58
8,F2,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\08_F2_P-GRB\observations.json,404822614,7c7fe5629a517dc85b84f3a057474ecf9d57976cf0568644144cbb571aa32492
8,F2,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\08_F2_P-GRB\audit.json,6971,12e25648702dd72906e313a33c7d07f3030ab7f0abbc7ca829d7a7c7cf070e79
8,F2,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\08_F2_P-GRB\native.log,1124871,41bda5bdb9314a408228713ade45203c1105e1ba2c4a623d837399e7f25621af
8,F2,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\08_F2_P-GRB\phases.csv,610,4d7bc9ab4b2e5961bfc32589584bab29965cf45046079edcc73d6ffc16c570aa
8,F2,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\08_F2_P-GRB\compact.lp,288481,ad2ac9af96e732b9407acc39dc7a21922e092e7dd9c7d05d32513ac1ac52a23d
9,F5,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\09_F5_P-GRB\launch.json,2779,3af66d6a86d802fd3e7beb6f0b7758051fdcbdf3d0ef30c586f1790b40299b63
9,F5,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\09_F5_P-GRB\completion.json,273,6c2ce3c44ec087323718228b925ad3a25b82ff86f92787da33b00d0d09b63005
9,F5,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\09_F5_P-GRB\observations.json,2026629,a1a2471b3903c8deeedf3d59aff6d2400311ba6f594351b73a3c04cac17cfd0f
9,F5,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\09_F5_P-GRB\audit.json,107895,a6a1d26cc163a27b59c8b76767be4ab7feb8cbcb9040f1f96e160a105cec5ea2
9,F5,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\09_F5_P-GRB\native.log,1210901,eba63b65b014f81678d69b4092ab71c1e5b869b3a99c930b98e0cf1f31bc50e5
9,F5,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\09_F5_P-GRB\phases.csv,603,73caa3bad107e987e084a00d54801f466ac1c69e167be40675369b6b86e3fc3c
9,F5,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\09_F5_P-GRB\compact.lp,3121652,15fb6806659b221df87b5b31520fd7dc127825e4e89101732f69b316924d98fb
10,F5,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\10_F5_ENS-C\launch.json,2507,f84a146de8a574ab3e05906885194d365b5b990226ef44dd596e418ba65b011a
10,F5,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\10_F5_ENS-C\completion.json,273,8c479dc61c1ccba427fbcb55513452a6be33289e607f1a187271bcb7cba3fb08
10,F5,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\10_F5_ENS-C\observations.json,594340,bce68f240b27a021b98cadf04bba2d2dea5c2a7667919c4fb39e3c61f0c8d684
10,F5,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\10_F5_ENS-C\audit.json,33767,5999dcb53b7c7be1bd27c1de0eff3dd1f58e156aa228a1b11334ea56083c5d85
10,F5,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\10_F5_ENS-C\native.log,2265,238daa210e93226107595b6268d6bd928597b76dcd3e5672216b1a39490c19e2
10,F5,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\10_F5_ENS-C\progress.csv,707,5a5a0d859b48fad6bdfe2d039755f376af1a96072e9287e8d248048a98f49b88
10,F5,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\10_F5_ENS-C\phases.csv,2826,a0f141e52d59fecedbe00c18c09884590049a95c86556bec5eee206e7d8433b0
