event_sequence,elapsed_runtime_seconds,work,incumbent_available,incumbent,best_bound_available,best_bound,processed_nodes,open_nodes,solution_count,callback_where,phase,context
1073,139.19599986076355,257.97400336280072,true,2.7841075712429038,true,1.9664463565736279,6477,3535,1.0276565433497928e-321,3,1,MIP
1074,139.26399993896484,258.10512645841396,true,2.7841075712429038,true,1.9664811357739036,6479,3537,1.0276565433497928e-321,3,1,MIP
1075,139.39599990844727,258.37835547246493,true,2.7841075712429038,true,1.9664811357739036,6481,3539,1.0276565433497928e-321,3,1,MIP
1076,139.5239999294281,258.63459340325568,true,2.7841075712429038,true,1.9664811357739036,6490,3548,1.0276565433497928e-321,3,1,MIP
1077,139.6340000629425,258.85547751694395,true,2.7841075712429038,true,1.9664811357739036,6500,3554,1.0276565433497928e-321,3,1,MIP
1078,139.73499989509583,259.03877259817097,true,2.7841075712429038,true,1.9664811357739036,6519,3557,1.0276565433497928e-321,3,1,MIP
1079,139.86299991607666,259.31483533055308,true,2.7841075712429038,true,1.9664811357739036,6535,3555,1.0276565433497928e-321,3,1,MIP
1080,139.89400005340576,259.37143660688781,true,2.7841075712429038,true,1.9667504788216796,6536,3556,1.0276565433497928e-321,3,1,MIP
1081,140,259.58246009989409,true,2.7841075712429038,true,1.9667504788216796,6541,3561,1.0276565433497928e-321,3,1,MIP
1082,140.10500001907349,259.79539300712412,true,2.7841075712429038,true,1.9667504788216796,6546,3564,1.0276565433497928e-321,3,1,MIP
1083,140.20599985122681,260.01041344653379,true,2.7841075712429038,true,1.9667504788216796,6555,3565,1.0276565433497928e-321,3,1,MIP
1084,140.35199999809265,260.28256697881665,true,2.7841075712429038,true,1.966767328568003,6562,3565,1.0276565433497928e-321,3,1,MIP
1085,140.46799993515015,260.51100814456032,true,2.7841075712429038,true,1.966767328568003,6566,3569,1.0276565433497928e-321,3,1,MIP
1086,140.58399987220764,260.73367448675742,true,2.7841075712429038,true,1.966767328568003,6572,3575,1.0276565433497928e-321,3,1,MIP
1087,140.70000004768372,260.97755858528836,true,2.7841075712429038,true,1.966767328568003,6581,3580,1.0276565433497928e-321,3,1,MIP
1088,140.83999991416931,261.27222522247689,true,2.7841075712429038,true,1.966767328568003,6595,3586,1.0276565433497928e-321,3,1,MIP
1089,140.91299986839294,261.41344555182178,true,2.7841075712429038,true,1.9670318875504076,6596,3587,1.0276565433497928e-321,3,1,MIP
1090,141.11699986457825,261.75602574931196,true,2.7841075712429038,true,1.9670318875504076,6599,3588,1.0276565433497928e-321,3,1,MIP
1091,141.34099984169006,262.14264116270471,true,2.7841075712429038,true,1.9670318875504076,6601,3588,1.0276565433497928e-321,3,1,MIP
1092,141.45199990272522,262.35155076271383,true,2.7841075712429038,true,1.9670318875504076,6607,3594,1.0276565433497928e-321,3,1,MIP
1093,141.55499982833862,262.54613828899511,true,2.7841075712429038,true,1.9670318875504076,6615,3602,1.0276565433497928e-321,3,1,MIP
1094,141.65499997138977,262.74009834989806,true,2.7841075712429038,true,1.9670318875504076,6639,3626,1.0276565433497928e-321,3,1,MIP
1095,141.75999999046326,262.94191911917744,true,2.7841075712429038,true,1.9672340966798663,6654,3631,1.0276565433497928e-321,3,1,MIP
1096,141.86399984359741,263.14638663960687,true,2.7841075712429038,true,1.9672340966798663,6658,3635,1.0276565433497928e-321,3,1,MIP
1097,141.98899984359741,263.37824537072805,true,2.7841075712429038,true,1.9672340966798663,6660,3635,1.0276565433497928e-321,3,1,MIP
1098,142.15599989891052,263.72620930650754,true,2.7841075712429038,true,1.9674923357515348,6665,3634,1.0276565433497928e-321,3,1,MIP
1099,142.44599986076355,264.10811056812349,true,2.7841075712429038,true,1.9674923357515348,6669,3638,1.0276565433497928e-321,3,1,MIP
