state_id,arm,variant,cap_seconds,executable_sha256,engineering_valid,closure_valid,closure_converged,fallback_required,certificate,false_certificate,native_status,lower_bound,verified_upper_bound,gap,normalized_gap_integral,total_work,closure_work,terminal_work,process_time_seconds,closure_solver_time_seconds,terminal_solver_time_seconds,nodes,simplex_iterations,first_incumbent_work,first_incumbent_time_seconds,peak_memory_gb,root_lp_objective,root_closure_bound,root_bound_gain,closure_rounds,cuts_generated,cuts_added,model_rows,model_columns,model_nonzeros,subset_duration_rows,artifact_dir
D11,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,0,False,TIME_LIMIT,0.5911523683312501,0.6007044366851081,0.015901444654828244,0.04316074252159056,627.2007715123038,0.6584463794857671,626.5423251328181,298.0492977,0.24199986457824707,297.63899993896484,4167,1846657.0,214.12840823610614,107.1802075,0.154516007,0.5083293653137351,0.5083293653137351,0,1,0,0,10870,3372,53705,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D11
D12,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,0.6471164334555012,0.6471164334555021,1.3725171758618295e-15,0.05063133775542828,115.94703441534723,0.12247836379573888,115.8245560515515,67.370405,0.04799985885620117,67.23899984359741,8854,675988.0,7.8811039245944245,5.1332558,0.056999905,0.051828010205628126,0.051828010205628126,0,1,0,0,3757,1402,16028,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D12
D13,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,2.4434031919432027,2.4434031919432,0,0.018536759225193673,470.5120101353637,0.673935076271633,469.8380750590921,244.1010011,0.2390000820159912,243.68800020217896,14010,1338538.0,177.7935774430082,97.9782793,0.139302481,2.266258441484437,2.266258441484437,0,1,0,0,10884,3376,53713,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D13
D14,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,0,False,TIME_LIMIT,0.0483881628339312,0.04915255266474515,0.015551376060316213,0.08249536738612254,641.5341129189554,0.39434259560512314,641.1397703233503,298.0501151,0.1419999599456787,297.7430000305176,6528,2790588.0,310.603686107071,150.9463643,0.143398389,0.03318151554899494,0.03318151554899494,0,1,0,0,10891,3378,53488,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D14
D1,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,0,False,TIME_LIMIT,0.043095395781067164,0.04810636583651505,0.10416438590429374,0.1296398304779672,459.6508028211179,0.747220739926454,458.9035820811915,298.0403039,0.3040006160736084,297.4720001220703,34018,5418526.0,147.3587197661438,97.6415422,0.077264601,0.020977495607439202,0.020977495607439202,0,12,24,13,3764,1404,16888,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D1
D2,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,0.5045438521642687,0.5045438521642074,0,0.0057929294880829695,8.581773129056884,0.15978042879059773,8.421992700266287,5.6732815,0.07700014114379883,5.503000020980835,1021,80197.0,3.5661502454150367,2.6520945,0.018234723,0.1585879001582244,0.1585879001582244,0,4,8,5,2650,1037,10431,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D2
D3,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,0.506343307565206,0.506343307565206,0,0.07401143754011909,241.2976723061349,0.7757346769244582,240.52193762921044,149.8642419,0.3149998188018799,149.34500002861023,37321,1372227.0,8.005506409183006,5.5112812,0.092905667,0.09394825539359326,0.09394825539359326,0,7,14,9,3757,1402,16319,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D3
D4,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,0.5063433075652058,0.506343307565206,2.1926290088907398e-16,0.02265354982363662,59.10790912739958,0.8131940286452908,58.29471509875429,37.9852158,0.321000337600708,37.49300003051758,8022,336950.0,5.868114692216908,4.2120795,0.057596971,0.09394825539359326,0.09394825539359326,0,7,14,10,3757,1402,16319,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D4
D5,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,INFEASIBLE,1e+100,0.506422789224163,0,0.0009656867387702634,3.337295162128172,0.43628642699582887,2.901008735132343,2.26361,0.17799997329711914,1.9850001335144043,87,16249.0,-1,-1,0.031442927,0.32496933294190866,0.32556100225407497,0.0005916693121663097,3,6,4,3757,1402,16465,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D5
D6,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,0.7062530985290748,0.7062530985290749,1.5719903062194508e-16,0.002807659864682551,7.33146763372842,0.2909504622766325,7.040517171451787,5.1533726,0.13400006294250488,4.921000003814697,1403,71744.0,1.945884696036757,1.4330056,0.025289068,0.2092648777189227,0.2176128528915958,0.008347975172673106,4,8,4,2731,1014,11129,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D6
D7,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,0.7062530985290789,0.7062530985290749,0,0.002158923207262936,5.143469399351202,0.315804766991602,4.827664632359601,3.5480645,0.13899993896484375,3.310999870300293,616,40339.0,3.5265302091945268,2.5378804,0.020558435,0.20926487771892258,0.2176128528915958,0.008347975172673217,4,8,4,2731,1014,11129,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D7
D8,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,INFEASIBLE,1e+100,0.7062530985290749,0,0.00045823942496743016,0.7359141454551568,0.47546435770312706,0.26044978775202976,0.5372997,0.21700000762939453,0.18900012969970703,1,8498.0,-1,-1,0.012301922,0.5280661958710967,0.536344890032733,0.00827869416163629,7,14,7,2731,1014,11271,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D8
D9,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,0,False,TIME_LIMIT,0.5319673884073557,0.6007044366851081,0.11442740236291057,0.13518695522983498,625.1063705475397,30.29974957048549,594.8066209770542,298.0449092,11.255999565124512,285.7090001106262,1147,1045415.0,-1,-1,0.144558225,0.407329005858862,0.4217409205240223,0.014411914665160286,28,56,49,10870,3372,53465,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D9
D10,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,INFEASIBLE,1e+100,0.6007044366851081,0,0.02198106513749483,190.54043367247385,26.22740757914379,164.31302609333005,91.5157895,9.433000326156616,81.27099990844727,637,382925.0,-1,-1,0.149401421,0.436990114912075,0.457388918453029,0.02039880354095397,20,40,35,10870,3372,53465,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D10
D11,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,0,False,TIME_LIMIT,0.5792624417506186,0.6007044366851081,0.03569475040473106,0.058219233595303996,620.8958978086636,25.943264741747488,594.9526330669161,298.0506831,9.457001209259033,287.52099990844727,1589,1095364.0,451.2840760035864,226.337197,0.179197839,0.5083293653137351,0.5200715605101414,0.011742195196406291,27,54,43,10870,3372,53705,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D11
D12,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,0.6471163626043435,0.6471164334555021,1.094874970619854e-07,0.06200851795813919,130.2806475067114,1.271266814469763,129.00938069224165,74.2016636,0.5430002212524414,73.48600006103516,7399,760617.0,6.09482177818679,3.831291,0.057057693,0.051828010205628126,0.1924276012618652,0.14059959105623707,7,14,11,3757,1402,16028,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D12
D13,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,0,False,TIME_LIMIT,2.412542445038848,2.4434031919432,0.012630231067107981,0.024121796860806278,604.9965440861225,5.133822045166232,599.8627220409563,298.0549045,1.9809999465942383,295.72699999809265,4376,1376153.0,25.880502371557533,12.5701653,0.188807778,2.266258441484437,2.3363101863830495,0.07005174489861243,6,12,10,10884,3376,53713,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D13
D14,IR1,IR1-mixed-full-closure,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,0,False,TIME_LIMIT,0.04766961116616099,0.04915255266474515,0.030170182791906287,0.08341677259915646,598.7562578941067,3.197175558813429,595.5590823352933,298.0527612,1.1620004177093506,296.4830000400543,7189,1532382.0,-1,-1,0.139592951,0.03318151554899494,0.033181515548994914,-2.7755575615628914e-17,8,16,13,10891,3378,53488,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/IR1/D14
