interval_id,gamma_L,gamma_U,interval_lower_bound,incumbent_upper_bound,interval_status,reason,certificate_basis,requires_pricing_closure,pricing_closure_available,interval_bound_valid,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,focused_update_available,focused_safe_to_merge,focused_merge_reason
10,0.59375,0.633333333333,1.74931345205,1.74931345205,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,17.2085733,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,false,false,no_safe_full_coverage_merge_performed
11,0.475,0.494791666667,1.74931345205,1.74931345205,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,19.154405,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,false,false,no_safe_full_coverage_merge_performed
12,0.494791666667,0.514583333333,1.65415045452,1.74931345205,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,88.8976692,adaptive_split_inherited_adaptive_split_inherited_adaptive_split_inherited_inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb,false,false,no_safe_full_coverage_merge_performed
13,0.554166666667,0.573958333333,1.73333384706,1.74931345205,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,88.2934404,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,false,false,no_safe_full_coverage_merge_performed
14,0.573958333333,0.59375,1.74931345205,1.74931345205,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,18.3893946,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,false,false,no_safe_full_coverage_merge_performed
15,0.494791666667,0.5046875,1.74931345205,1.74931345205,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,18.9227581,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,false,false,no_safe_full_coverage_merge_performed
16,0.5046875,0.514583333333,1.74931345205,1.74931345205,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,44.4332843,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,false,false,no_safe_full_coverage_merge_performed
17,0.514583333333,0.534375,1.69375051373,1.74931345205,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,177.5671898,adaptive_split_inherited_inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb,false,false,no_safe_full_coverage_merge_performed
18,0.534375,0.554166666667,1.71354218039,1.74931345205,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,88.1002403,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,false,false,no_safe_full_coverage_merge_performed
19,0.514583333333,0.524479166667,1.69375051373,1.74931345205,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,88.3873173,focused_split_inherited_parent_lb,gamma_floor|focused_split_inherited_parent_lb,false,false,no_safe_full_coverage_merge_performed
20,0.524479166667,0.534375,1.69375051373,1.74931345205,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,0,focused_split_inherited_parent_lb,gamma_floor|focused_split_inherited_parent_lb,false,false,no_safe_full_coverage_merge_performed
