id,stage,scope,baseline,candidate,baseline_number,candidate_number,cap,baseline_certified,candidate_certified,baseline_wall,candidate_wall,baseline_UB,candidate_UB,baseline_LB,candidate_LB,baseline_absolute_gap,candidate_absolute_gap,baseline_relative_gap,candidate_relative_gap,baseline_Work,candidate_Work,exe_sha256,certification_seconds_saved,certification_fraction_saved,decision,absolute_gap_saved,gap_fraction_saved,link_reason
D7,screen_v1,fixed_F0_improving_domain,off,cuts,12,17,120,False,False,118.43699999991804,118.45300000021234,0.6712367708118434,0.5593890348003981,0.1950760955582813,0.19513103324437314,0.4761606752535621,0.364258001556025,0.7093781150839787,0.6511711508360187,285.72782825290034,286.9010828044359,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,,,gap_gain,0.11190267369753709,0.2350103221731769,
D7,screen_v1,fixed_F0_improving_domain,precrush,dry,15,16,120,False,False,118.43800000008196,118.43800000008196,0.5063391537494674,0.5063391537494674,0.19521824512405528,0.19521824512405528,0.3111209086254121,0.3111209086254121,0.6144516107860627,0.6144516107860627,287.36774033169047,286.80440253285843,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,,,below_gap_threshold,0.0,0.0,
D7,screen_v1,fixed_F0_improving_domain,dry,cuts,16,17,120,False,False,118.43800000008196,118.45300000021234,0.5063391537494674,0.5593890348003981,0.19521824512405528,0.19513103324437314,0.3111209086254121,0.364258001556025,0.6144516107860627,0.6511711508360187,286.80440253285843,286.9010828044359,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,,,gap_loss,-0.05313709293061292,-0.17079242010889628,
D7,screen_v1,fixed_F0_improving_domain,simple,explicit,14,13,120,False,False,118.45300000021234,118.5,0.7097967772864036,0.3650270765535112,0.19450636751996944,0.19550134131574382,0.5152904097664341,0.16952573523776737,0.7259689340044919,0.46441961741135585,289.4820709759513,268.23645275254694,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,,,gap_gain,0.34576467452866677,0.6710093337180322,
D4,screen_root_v2,fixed_F0_improving_domain,off,root-dry,21,22,120,True,True,90.15599999995902,90.125,0.506343307565206,0.506343307565206,0.5063433072459947,0.5063433072459947,3.1921121301792255e-10,3.1921121301792255e-10,6.304244733733646e-10,6.304244733733646e-10,140.87267731766892,140.98719433074365,9ffec24fbe865e4350e360f7f354b8f8b4e378ebf57b02d99a3cfbddb1beab4a,0.030999999959021807,0.000343848440026575,below_time_threshold,,,
D4,screen_root_v2,fixed_F0_improving_domain,off,root,21,23,120,True,False,90.15599999995902,118.09299999987707,0.506343307565206,0.506343307565206,0.5063433072459947,0.4910864907954285,3.1921121301792255e-10,0.01525681676977747,6.304244733733646e-10,0.030131368464493283,140.87267731766892,187.56106273828794,9ffec24fbe865e4350e360f7f354b8f8b4e378ebf57b02d99a3cfbddb1beab4a,,,certificate_loss,,,
D4,screen_root_v2,fixed_F0_improving_domain,root-dry,root,22,23,120,True,False,90.125,118.09299999987707,0.506343307565206,0.506343307565206,0.5063433072459947,0.4910864907954285,3.1921121301792255e-10,0.01525681676977747,6.304244733733646e-10,0.030131368464493283,140.98719433074365,187.56106273828794,9ffec24fbe865e4350e360f7f354b8f8b4e378ebf57b02d99a3cfbddb1beab4a,,,certificate_loss,,,
D7,screen_root_v2,fixed_F0_improving_domain,off,root-dry,24,25,120,False,False,118.42199999978766,118.43800000008196,0.6712367708118434,0.6712367708118434,0.1950760955582813,0.1950760955582813,0.4761606752535621,0.4761606752535621,0.7093781150839787,0.7093781150839787,284.5460090972208,285.56870637335214,9ffec24fbe865e4350e360f7f354b8f8b4e378ebf57b02d99a3cfbddb1beab4a,,,below_gap_threshold,0.0,0.0,
D7,screen_root_v2,fixed_F0_improving_domain,off,root,24,26,120,False,False,118.42199999978766,118.43699999991804,0.6712367708118434,0.6325702270928297,0.1950760955582813,0.19513801869982386,0.4761606752535621,0.4374322083930059,0.7093781150839787,0.691515644679263,284.5460090972208,283.77771854430574,9ffec24fbe865e4350e360f7f354b8f8b4e378ebf57b02d99a3cfbddb1beab4a,,,gap_gain,0.0387284668605562,0.08133487050339207,
D7,screen_root_v2,fixed_F0_improving_domain,root-dry,root,25,26,120,False,False,118.43800000008196,118.43699999991804,0.6712367708118434,0.6325702270928297,0.1950760955582813,0.19513801869982386,0.4761606752535621,0.4374322083930059,0.7093781150839787,0.691515644679263,285.56870637335214,283.77771854430574,9ffec24fbe865e4350e360f7f354b8f8b4e378ebf57b02d99a3cfbddb1beab4a,,,gap_gain,0.0387284668605562,0.08133487050339207,
D4,screen_v1,fixed_F0_improving_domain,off,explicit,6,18,120,True,False,90.125,118.09400000004098,0.506343307565206,0.506343307565206,0.5063433072459947,0.48339915833208114,3.1921121301792255e-10,0.022944149233124822,6.304244733733646e-10,0.04531342448951024,140.87267731766892,181.35117217135277,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,,,certificate_loss,,,Clean exact-build/cap D4 explicit repeat replaces timing-ineligible launch 7; unchanged F0 lifecycle.
