number,id,arm,path,sha256,F,G,P,stations,pickup,drop,maximum_duration,original_T_feasible
16,D7,dry,results\gf_cumulative_time_resource_round63\local_raw\screen_v1\D7\dry\native_witness.json,131cb92831dd164d787ae383e7ab021bebe33053ca62c36cfb01b72a5385504e,0.5063391537494681,0.19796120509029197,2.0558529910611747,46,189,172,17983.313563644486,True
17,D7,cuts,results\gf_cumulative_time_resource_round63\local_raw\screen_v1\D7\cuts\native_witness.json,bfb039d58e6e554bb5114f221f43a7e796ce6ab6e58f62891b7dc87dff2a67c1,0.559389034800398,0.22581648592610548,2.223816992495284,38,182,167,17907.759070882814,True
18,D4,explicit,results\gf_cumulative_time_resource_round63\local_raw\repeat_v1\D4\explicit\native_witness.json,b93b287642701c604b9651835a7c1bca08d1e55bc2a27465cec7bbedf72c3764,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
19,micro-root,root,results\gf_cumulative_time_resource_round63\local_raw\micro_root_v2\native_witness.json,ea0a4194d445f5f07d56e1eadf8c44ec808132fd64127637a4397e2892e9913e,0.32499999999999996,0.09999999999999998,1.5,2,4,4,11.414213562373096,True
20,D7,cuts,results\gf_cumulative_time_resource_round63\local_raw\failure_diagnostic_v2\D7\cuts\native_witness.json,bfb039d58e6e554bb5114f221f43a7e796ce6ab6e58f62891b7dc87dff2a67c1,0.559389034800398,0.22581648592610548,2.223816992495284,38,182,167,17907.759070882814,True
21,D4,off,results\gf_cumulative_time_resource_round63\local_raw\screen_root_v2\D4\off\native_witness.json,77227b8c60896e2364ef79f1b85a31fca85c07ad65e200205f1b6b11125559ac,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
22,D4,root-dry,results\gf_cumulative_time_resource_round63\local_raw\screen_root_v2\D4\root-dry\native_witness.json,77227b8c60896e2364ef79f1b85a31fca85c07ad65e200205f1b6b11125559ac,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
23,D4,root,results\gf_cumulative_time_resource_round63\local_raw\screen_root_v2\D4\root\native_witness.json,6ca63eaf257257c9990f32ef9802408eb49000cd1105066c4f83426d349589a5,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
24,D7,off,results\gf_cumulative_time_resource_round63\local_raw\screen_root_v2\D7\off\native_witness.json,ee51ee59272e0347bdfbfb9113bb507e81e9ee22e4179e14acf3745cfe345c1c,0.6712367708118442,0.2800466442302305,2.607934177210758,33,172,149,16734.492570533075,True
25,D7,root-dry,results\gf_cumulative_time_resource_round63\local_raw\screen_root_v2\D7\root-dry\native_witness.json,ee51ee59272e0347bdfbfb9113bb507e81e9ee22e4179e14acf3745cfe345c1c,0.6712367708118442,0.2800466442302305,2.607934177210758,33,172,149,16734.492570533075,True
26,D7,root,results\gf_cumulative_time_resource_round63\local_raw\screen_root_v2\D7\root\native_witness.json,011e4354307accc248f426af7f3e0b5909f33bd41eaec9715815c186b094de9c,0.63257022709283,0.24930905764376893,2.55507446299374,35,163,158,17573.526199432672,True
27,micro-full-root,K1-off-root,results\gf_cumulative_time_resource_round63\local_raw\micro_full_root_v2\result.json,b3be489535123f07735f0fcf105473622473f5976afbcf72641c71d4826c6653,0.725,0.5,1.5,0,0,0,0.0,True
28,micro-full-root,K1-off-root,results\gf_cumulative_time_resource_round63\local_raw\micro_full_root_v3\result.json,ab646756dc962ab91c3da786b21e5d56694c625f5dc2fd16152e6c08e1aba8b8,0.32499999999999996,0.09999999999999998,1.5,2,4,4,11.414213562373096,True
29,D3,Single-off-off,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v3\D3\Single-off-off\result.json,51ac9287b166f55e794ea339c3e210ab6d6bbae737716b7f77e617dc2a131b66,0.04500155005562836,0.01922309854047684,0.17185634343434344,11,29,29,2784.4272564574003,True
30,D3,Single-projection-off,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v3\D3\Single-projection-off\result.json,892deec83d33dcb9226dba5d9a4761272a39d9a1a19d4be6b7a630b142ba12aa,0.04500155005562836,0.01922309854047684,0.17185634343434344,11,29,29,2784.4272564574003,True
31,D3,Single-projection-service-off,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v3\D3\Single-projection-service-off\result.json,9b35e6616b72ae6ab7433b435ca47052c40c529027bc9eeb6a489c8bc04f8526,0.04500155005562836,0.01922309854047684,0.17185634343434344,11,29,29,2784.780856205036,True
32,D4,Single-off-off,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v3\D4\Single-off-off\result.json,d49005c4251338fafdd3b3d49a9ca9da5c0b0e7262b3e0a0018d308731ff3d1d,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
33,D4,Single-projection-off,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v3\D4\Single-projection-off\result.json,398d6c6ee73d8ce9c330a828851aebbb392a97680936f277c83d1fcdb1d1fdb6,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
34,D4,Single-projection-service-off,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v3\D4\Single-projection-service-off\result.json,baeddc336e58dd21568992f19b6d6fd2f446ed1be576e692b8bd0b8611c48dbe,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
35,C3,K1-off-off,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v3\C3\K1-off-off\result.json,3b942102ef6acc0688a5be3ccec1543d3ff20981e9aef3409b0eac38e3553cdf,0.817995541205776,0.16825067959738446,4.3316324107226105,12,20,19,1794.0812252063472,True
36,C3,K1-projection-off,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v3\C3\K1-projection-off\result.json,d14bf5b1767b54f2e6baa5e2dfaef194b40e6c6675f219178e7f8a431d34a051,0.8230855227563119,0.1679835170919762,4.367346704428904,12,20,18,1772.426345403305,True
37,C3,K1-projection-service-off,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v3\C3\K1-projection-service-off\result.json,1132aaafd8356639978899b144b94a9527ba457ace2f917ffa4395ad43eeff16,0.8289165955816514,0.17304929568654656,4.372448665967366,11,19,18,1790.7176152038603,True
40,D7,explicit,results\gf_cumulative_time_resource_round63\local_raw\screen_coupled_v4\D7\explicit\native_witness.json,c89c9788ede3a289cef1f4d74149b9b3b631ca42ba5324777bc9c47a192e10df,0.36502707655351097,0.14661122287073222,1.456105691218525,44,208,199,17847.107915353088,True
41,D7,coupled,results\gf_cumulative_time_resource_round63\local_raw\screen_coupled_v4\D7\coupled\native_witness.json,3fee1218252077f108c3738393c6460bcbcd40286131bca62babc839b3341fd9,0.7774662748723831,0.28060631512959616,3.312399731618579,32,151,131,12469.896428762208,True
42,D4,Single-off-off,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\D4\Single-off-off\result.json,51810d67bdca85c2df05aa3bc5f3dc76e0b3ca2e4042d8e1c52ed06af61a7f16,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
43,D4,Single-off-explicit,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\D4\Single-off-explicit\result.json,224aa11c57cc2c46ef9fa20ee001c56cfba90c47a319e174d44ccadb2a4b8a3e,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
44,D4,Single-off-root,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\D4\Single-off-root\result.json,17acef0f561493db09c3bddf93faddb672a7d8caaf4de45c34864f1a41020220,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
45,C2,K1-off-off,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\C2\K1-off-off\result.json,531f04b8b69fd4e0dc9eeb49f88c8f60b3355f77a11ba52554d2dc5159cbd51c,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
46,C2,K1-off-explicit,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\C2\K1-off-explicit\result.json,70ec5ee7b4b7ebaf269cc4ed61abe07c8e6b1ee0d80516e7cc8377376ec4b597,0.8302484864888535,0.2673734864888535,3.7525,4,17,17,1785.7310100703473,True
47,C2,K1-off-root-dry,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\C2\K1-off-root-dry\result.json,b3f9909f924347a17feb3046b317f70e86fa15dff2b7b9f5a106191b4e0db0d9,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
48,C2,K1-off-root,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\C2\K1-off-root\result.json,75295214f7896c6b9dfa182e41910b812d24575d8ca0eb6fb064ffb068be2508,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
49,D7,K1-off-off,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\D7\K1-off-off\result.json,a3002fdb6f096ebd86c11cd35297d9da6a0ea5adce33f0180a57e72dbda49e0d,0.3718940096799278,0.1612660468263147,1.4041864190240874,46,208,208,17853.69434182693,True
50,D7,K1-off-explicit,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\D7\K1-off-explicit\result.json,410eafe11f3b01d2f84d4837e2196027821fa1d2164fe340d68bcb0fa9f3f630,0.3068318134180721,0.1105547296057415,1.308513892082204,47,206,204,17972.465681465623,True
51,D7,K1-off-root,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\D7\K1-off-root\result.json,534c6ea927dcdef0da8c71ea0dce99939976fb0116ea0115ed85cece873bc73b,0.35384046108943845,0.12429648683681498,1.5302931616841564,48,206,204,17937.568537959938,True
52,D7,K1-off-root-dry,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\D7\K1-off-root-dry\result.json,c31ca5de163a37317e93a0fbcccb4343017288296a7d522d9dcbcbf0de230c52,0.3718940096799278,0.1612660468263147,1.4041864190240874,46,208,208,17853.69434182693,True
53,C3,K1-off-off,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\C3\K1-off-off\result.json,0191badc8d50e19710b2ca80dc7a8dc9c80e0dfd5d2906a61e8350f812da0d72,0.817995541205776,0.16825067959738446,4.3316324107226105,12,20,19,1794.0812252063472,True
54,C3,K1-off-root,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\C3\K1-off-root\result.json,a241f781c425ed90ddb8a5ec0d9982eb9a26b32b7ae8d07d329385bfc1acc4b2,0.817995541205776,0.16825067959738446,4.3316324107226105,12,20,19,1794.0812252063472,True
55,C2,P-GRB,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\C2\P-GRB\result.json,467007b5bdb954c95fd8a1bff4d0aa7c476c3e8d5acc1ae3b162415b62e3fcdf,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
56,C2,K1-H,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\C2\K1-H\result.json,9f76288edd7ee05f320cf1d4f0aad86266b4a949419bce8261a0885c0f313e62,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
57,D7,P-GRB,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\D7\P-GRB\result.json,355c3b2a562f0119c1d4b4541d79b052d7f88e5ba8a8bc548fbd5647d56b152b,0.29018624629581224,0.10862437500380963,1.2104124752800176,48,213,209,17990.773714950832,True
58,D7,K1-H,results\gf_cumulative_time_resource_round63\local_raw\full_dev_v4\D7\K1-H\result.json,46a91b6b3acbe482c47f57d5bab52e9161f5f1f8224c05b42077364f681a070e,0.21564407531579494,0.03872267378877319,1.179476010180145,50,228,228,17975.490961810894,True
59,C4,K1-off-off,results\gf_cumulative_time_resource_round63\local_raw\confirmation_v4\C4\K1-off-off\result.json,5894d08eb6c7779ae15b11ccb5c8621570532e02668d92bebf930bf718da23cf,0.0,0.0,0.0,20,44,44,6331.083412299529,True
60,C4,K1-off-root,results\gf_cumulative_time_resource_round63\local_raw\confirmation_v4\C4\K1-off-root\result.json,6cbcfb245f2c75b4723c05525816451da1bf1184f48d3580dedfd7d68fc6844a,0.0,0.0,0.0,20,44,44,6331.083412299529,True
61,C4,P-GRB,results\gf_cumulative_time_resource_round63\local_raw\confirmation_v4\C4\P-GRB\result.json,05af460abf9dbe6a5f3b09f5f5dda197f63e4f17ef1dde69bedda16bed18709e,0.0,0.0,0.0,20,44,44,5767.331272296395,True
62,C4,K1-H,results\gf_cumulative_time_resource_round63\local_raw\confirmation_v4\C4\K1-H\result.json,39519954c18d5e58d7409beab85b8e5f616a83bd00239449c2eefd8842e53aa6,0.0,0.0,0.0,20,44,44,11275.685472712747,True
63,C5,K1-off-off,results\gf_cumulative_time_resource_round63\local_raw\confirmation_v4\C5\K1-off-off\result.json,adf66cbed876da09bd06f52e41a0f8bd3b93702e41772ecd683bae7f6431014c,0.0,0.0,0.0,50,225,150,17956.919102623026,True
64,C5,K1-off-root,results\gf_cumulative_time_resource_round63\local_raw\confirmation_v4\C5\K1-off-root\result.json,32c8d009b00c972042ab142731bf03afd2942fec7867113e5c185dd76a957477,0.0,0.0,0.0,50,225,150,17911.36765930277,True
65,C5,P-GRB,results\gf_cumulative_time_resource_round63\local_raw\confirmation_v4\C5\P-GRB\result.json,4a2be1bedf78a64c6473350bd1df49d9ffd4dcf656040f9d1637ea9ea0bdbfc8,0.0,0.0,0.0,50,225,150,17370.7894717013,True
66,C5,K1-H,results\gf_cumulative_time_resource_round63\local_raw\confirmation_v4\C5\K1-H\result.json,660f99dfda96672e890303028613f3c5eb716bc3055a69046fb49f83cf31594e,0.0,0.0,0.0,50,225,150,17222.582857437577,True
