instance,algorithm,evidence_timing,process_cap_seconds,certificate,work,time_seconds,lower_bound,verified_upper_bound,gap,gi_300,split_count,source_path,artifact_sha256,executable_sha256
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K4-AMC,historical_same_machine_solver,1800,True,133.73490192498448,76.7515995,0.5063433075652044,0.506343307565206,3.0696806124470356e-15,,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-AMC/result.json,59d757fe5d90c9c214573d872b2fe7b2854760b5f089d16e79a72f818ead0df2,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K4-r001,historical_same_machine_solver_context,1800.0,True,133.73490192498448,78.8809124,0.5063433075652044,0.506343307565206,3.0696806124470356e-15,0.07099692172749544,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-r001/result.json,fe097625806217b22595e23bdc4d3967c85a20d8db33dfdf6d03140c3e0b72c9,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,P-GRB,historical_same_machine_solver_context,1800.0,True,3152.2339036687963,1739.1272517,0.5063433046784893,0.506343307565206,5.701105555009818e-09,0.6509596068347505,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__P-GRB/result.json,bc98bf3645e857968a00eee72e23e3b18e59f5d3397bfdd2a1faec5a80130c09,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K1-AM,historical_exact_common_horizon_300s,300.0,False,501.34679704778335,280.0504799,0.4252011336837254,0.506343307565206,0.16025130118073339,0.21114161523865324,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM/result.json,2fea402ffa8374f845d9fb5f8bca78bf4089895f45a7611dbfc74694f4478653,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K4-AMC,historical_exact_common_horizon_300s,300.0,True,133.73490192498448,78.8355763,0.5063433075652044,0.506343307565206,3.0696806124470356e-15,0.071174922644545,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-AMC/result.json,fceffaeb000889941bb87d6a75fc86d7beca8e1de4c4ad6b45d71a05b7dbc569,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K1-AMF,contemporaneous_300s,300,True,8.991485297269257,6.8888414,0.5045438521642072,0.5045438521642074,4.400898038348613e-16,0.00945410539712101,0,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF/result.json,989f0e311a37dbee2578d03ba77722b7c5c5a3d905c8e3fcf684da09655e561b,bff4943b82d10c4fc082e5ae9add1970d46a1277ab1b398dc77410d94b4cbe34
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K1-AM,historical_same_machine_solver,1800,True,8.991485297269257,6.8371267,0.5045438521642072,0.5045438521642074,4.400898038348613e-16,,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM/result.json,cb378516982e27d3f497e3c16eb9303288ee63da185a18195739d71dca5c2c18,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K1-r015,historical_same_machine_solver_context,1800.0,True,8.991485297269257,6.9889521,0.5045438521642072,0.5045438521642074,4.400898038348613e-16,0.009797599889910344,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-r015/result.json,32faa57fc95f6ef5901c495ee24e7221d29052074f3ed57495faa0c689c76ee9,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K4-AMC,historical_same_machine_solver,1800,True,10.503884558425527,9.0619342,0.5045438521642075,0.5045438521642074,0,,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AMC/result.json,533d9f41989eed06a156054aeb126df7cf34f28db863a1a3dbaf18c9fda69b31,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K4-r001,historical_same_machine_solver_context,1800.0,True,10.503884558425527,9.3577064,0.5045438521642074,0.5045438521642074,0.0,0.011454996271531638,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-r001/result.json,270331857b04945380370130c5ebdf217a13d8261f420b87c48f113c457a1a15,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,P-GRB,historical_same_machine_solver_context,1800.0,True,247.29863210454607,159.6051278,0.5045438474568696,0.5045438521642074,9.329888218111024e-09,0.23155178664399556,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__P-GRB/result.json,44059a6b88a670a37b90a40855afd4a2f7b3e15b282404a5905b9bfb9ddfc2c2,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K1-AM,historical_exact_common_horizon_300s,300.0,True,8.991485297269257,6.8933373,0.5045438521642072,0.5045438521642074,4.400898038348613e-16,0.009645113894413103,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM/result.json,e06e6d70e454f57310eb73ec43d1e6aa0db53fb836f2bdae370ee0e717ace114,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K4-AMC,historical_exact_common_horizon_300s,300.0,True,10.503884558425527,9.2542616,0.5045438521642075,0.5045438521642074,0.0,0.011419629207557855,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AMC/result.json,759f4fcf6cfc1c7c2869729d9d45f9ec95d0305720a5ac5ee8804ffd1f244329,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V12_M3_Q20_slot07_seed621538683,K1-AMF,contemporaneous_300s,300,False,188.18035718118418,98.6550938,0.6471163029866588,0.6471164334555021,2.0161571633704306e-07,0.09913982702427734,0,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AMF/result.json,dc8fe349be375b7e8f7fb850016a4e5b992cfa4073c7dcb440aaf2a368c3896e,bff4943b82d10c4fc082e5ae9add1970d46a1277ab1b398dc77410d94b4cbe34
round39_small_hard_V12_M3_Q20_slot07_seed621538683,K1-AM,historical_same_machine_solver,1800,False,188.18035718118418,98.5344708,0.6471163029866588,0.6471164334555021,2.0161571633704306e-07,,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM/result.json,e0fb5d4371ad8c6db7a9d93e7095ac1075c32e1a7478a65626e52ddea3e0659b,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V12_M3_Q20_slot07_seed621538683,K1-r015,historical_same_machine_solver_context,1200.0,False,188.18035718118418,100.9722467,0.6471163029866588,0.6471164334555021,2.0161571633704306e-07,0.10144025925506517,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage4_1200s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-r015/result.json,73f83c70c4b60f393016df86d909ac12c6ec04ec97aa300b9b93f4e313f1b883,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
round39_small_hard_V12_M3_Q20_slot07_seed621538683,K4-AMC,historical_same_machine_solver,1800,False,138.4451303784979,76.3208237,0.6471162753807069,0.6471164334555021,2.442756619520684e-07,,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AMC/result.json,f4b197cf849695accf6e74dfe96ae9b944a42b1af03211215aa3a15c2e07e041,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V12_M3_Q20_slot07_seed621538683,K4-r001,historical_same_machine_solver_context,1200.0,False,138.4451303784979,76.5872622,0.6471162753807069,0.6471164334555021,2.442756619520684e-07,0.10084791210393389,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage4_1200s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-r001/result.json,a8d5477b2a0a444b7399e2d5e09c6516089892912b7383056c7faf2f1eddd74c,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
round39_small_hard_V12_M3_Q20_slot07_seed621538683,P-GRB,historical_same_machine_solver_context,1200.0,False,2015.1128413729014,1180.2499285,0.5094943354610906,0.6471164334555021,0.2126697621624762,0.5210896187500655,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage4_1200s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__P-GRB/result.json,213cbff55eab6f4cafc008c331ef4d64ffda3f1628fa8bc5fe6f67f82fafe850,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
round39_small_hard_V12_M3_Q20_slot07_seed621538683,K1-AM,historical_exact_common_horizon_300s,300.0,False,188.18035718118418,98.6401641,0.6471163029866588,0.6471164334555021,2.0161571633704306e-07,0.0993144608421157,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM/result.json,cb23855a654ea3fed52487431bf746ab8dc3169669b04f62fe34205ebf4d8be0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V12_M3_Q20_slot07_seed621538683,K4-AMC,historical_exact_common_horizon_300s,300.0,False,138.4451303784979,78.1421533,0.6471162753807069,0.6471164334555021,2.442756619520684e-07,0.10280998159608025,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AMC/result.json,41851db3b92dfad418e7abb9a380f7b7a40cbd1113ffd9eac8a687d0ac476730,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V12_M2_Q20_slot06_seed258908503,K1-AMF,contemporaneous_300s,300,True,38.80867136188028,24.4513781,0.7062530985290736,0.7062530985290749,1.886388367463341e-15,0.013005771775391726,0,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AMF/result.json,4712db3838f46c78b50979916904b0e68e6cf8677688731de3aa210cd2becb7f,bff4943b82d10c4fc082e5ae9add1970d46a1277ab1b398dc77410d94b4cbe34
round39_small_hard_V12_M2_Q20_slot06_seed258908503,K1-AM,historical_same_machine_solver,1800,True,38.80867136188028,24.3114296,0.7062530985290736,0.7062530985290749,1.886388367463341e-15,,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM/result.json,4755720f42bf4cf3659f30e76212154d920d5d9690a6f06dd1c663b33cdddc86,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V12_M2_Q20_slot06_seed258908503,K1-r015,historical_same_machine_solver_context,1800.0,True,38.80867136188028,24.4948463,0.7062530985290736,0.7062530985290749,1.886388367463341e-15,0.013328019394555003,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-r015/result.json,76272bd4aaa3ea920a907500c014a853d7ba4a2d7ca4a59f4357141eb3204954,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
round39_small_hard_V12_M2_Q20_slot06_seed258908503,K4-AMC,historical_same_machine_solver,1800,True,12.770682545305828,11.3940177,0.7062530985290749,0.7062530985290749,0,,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K4-AMC/result.json,b78c662cda35b165a1cb81d294472b57387de6e7d7d712224255563f19db3e2b,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V12_M2_Q20_slot06_seed258908503,K4-r001,historical_same_machine_solver_context,1800.0,True,12.770682545305828,11.6839557,0.7062530985290749,0.7062530985290749,0.0,0.010373199219834173,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K4-r001/result.json,4df98deb67b45288b7a476c85395e1985f522850bacd45953acd4f77ecd6305e,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
round39_small_hard_V12_M2_Q20_slot06_seed258908503,P-GRB,historical_same_machine_solver_context,1800.0,True,66.468393110745,41.6932403,0.706253098529075,0.7062530985290749,0.0,0.038441743021260355,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__P-GRB/result.json,1e182e5c9da03364557ca4112aeed603f3a484447b9bac3e557cb4805a1c9d0c,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
high_imbalance_seed3201,K1-AMF,contemporaneous_300s,300,False,496.39875876404045,280.1753366,2.3545030031536247,2.4434031919432,0.03638375732777625,0.07381236380519535,4,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__high_imbalance_seed3201__K1-AMF/result.json,5bf34d9da2642029a2022eccd635c2314e0a1f6c4baad8fda335e41a868ce44c,bff4943b82d10c4fc082e5ae9add1970d46a1277ab1b398dc77410d94b4cbe34
high_imbalance_seed3201,K1-AM,historical_same_machine_solver,1800,True,970.6039194826874,522.3557284,2.443403191943199,2.4434031919432,3.635005563669461e-16,,4,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__high_imbalance_seed3201__K1-AM/result.json,0ffa0155ab920b34d07df34ee74d1d1810faf47e8b4f4bd388c360af6bfd48ba,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
high_imbalance_seed3201,K1-r015,historical_same_machine_solver_context,1800.0,True,970.6039194826874,539.8320984,2.443403191943199,2.4434031919432,3.635005563669461e-16,0.0757419473252554,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3201__K1-r015/result.json,fb216b8fe539b5635ef636f149426705b8693d498fd1e49799b57c25f1f89fdc,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
high_imbalance_seed3201,K4-AMC,historical_same_machine_solver,1800,True,710.8503886196801,380.8227237,2.4434031905083478,2.4434031919432,5.872351488108015e-10,,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__high_imbalance_seed3201__K4-AMC/result.json,91f2a24058fcc16eab3ed8f4ecc03416daf39a116b03db1b2f3da48ff9f36a45,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
high_imbalance_seed3201,K4-r001,historical_same_machine_solver_context,1800.0,True,710.8503886196801,390.3545002,2.4434031905083478,2.4434031919432,5.872351488108015e-10,0.10199468378173344,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3201__K4-r001/result.json,8b5453cbbed54d6bfa85fae76945645a272549da09302d3c9c2aa1b7aa4c3e1d,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
high_imbalance_seed3201,P-GRB,historical_same_machine_solver_context,1800.0,False,3581.442796133532,1780.0888304,2.1626879532523016,2.4434031919432,0.1148869902505325,0.16842320217850698,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3201__P-GRB/result.json,ede9a8fa1e7c00d307b3ec38d68d706ab50df85e13a898afb7aefc4d564d829a,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
high_imbalance_seed3201,K1-AM,historical_exact_common_horizon_300s,300.0,False,502.64096437477366,280.0372721,2.3545030031536247,2.4434031919432,0.03638375732777625,0.07520018302548359,4,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__high_imbalance_seed3201__K1-AM/result.json,883a5384ef66ae8d7deac246ec0989401fdc96f999d7ddd171d972de713cc3fb,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
high_imbalance_seed3201,K4-AMC,historical_exact_common_horizon_300s,300.0,False,501.89931598601044,280.0409792,2.2866395288965413,2.4434031919432,0.06415791857994055,0.10286339664051085,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__high_imbalance_seed3201__K4-AMC/result.json,557c7f178a17f833b81575864d41e48f0ef36745d3709972290c0bb226845242,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
moderate_seed3301,K1-AMF,contemporaneous_300s,300,False,452.5965038170597,280.1338084,0.04681148403522328,0.04915255266474515,0.04762862766232296,0.2144466732900576,1,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__moderate_seed3301__K1-AMF/result.json,bcfa22f5b047fbd6a317970251f4f2b60f3c2044423b630f7964448e42900b72,bff4943b82d10c4fc082e5ae9add1970d46a1277ab1b398dc77410d94b4cbe34
moderate_seed3301,K1-AM,historical_same_machine_solver,1800,False,3348.952552261385,1780.0458299,0.04796472692368177,0.04915255266474515,0.024166104844344193,,1,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__moderate_seed3301__K1-AM/result.json,7c311f0ffc8500a20e10b90a262cdafccd66e06cb6657f40f21b9d52d6403fbc,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
moderate_seed3301,K1-r015,historical_same_machine_solver_context,1800.0,False,3161.8223178799535,1780.0381542,0.04796472692368177,0.04915255266474515,0.024166104844344193,0.2195435687832397,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__moderate_seed3301__K1-r015/result.json,4a01dd5f74a7a241cb9278bf3ac6c10d73bc44fcca15286a23043843a6688dbb,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
moderate_seed3301,K4-AMC,historical_same_machine_solver,1800,False,3078.1796242999217,1780.0328244,0.04363065333581688,0.04915255266474515,0.1123420662725595,,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__moderate_seed3301__K4-AMC/result.json,30020b93abbaca3a38339dd8876d52f60d009ec900e4a61c7d839ecd9baa74d8,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
moderate_seed3301,K4-r001,historical_same_machine_solver_context,1800.0,False,2911.2260925812884,1780.0343577,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.24072587091960349,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__moderate_seed3301__K4-r001/result.json,1b71e0a049a837d9feb6a9fe31d669f33e99bbb868e180838e1f8086d784dda3,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
moderate_seed3301,P-GRB,historical_same_machine_solver_context,1800.0,False,2813.2073928664922,1780.1102671,0.048388162833931464,0.04952337284115889,0.02292271188532521,0.055935779911182544,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__moderate_seed3301__P-GRB/result.json,e4bd0db47251ca7f7166481ceef43ee1e45473e23b44daf8683080137a4e929d,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
moderate_seed3301,K1-AM,historical_exact_common_horizon_300s,300.0,False,459.67628913859846,280.0315481,0.046916027599814655,0.04915255266474515,0.04550170731081176,0.21686006576328115,1,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__moderate_seed3301__K1-AM/result.json,c47070c1c9a841945493c82af69d1a810da2a3408583e8dbd3960240bed10e9c,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
moderate_seed3301,K4-AMC,historical_exact_common_horizon_300s,300.0,False,435.848125135358,280.0286353,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.24345957055455358,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__moderate_seed3301__K4-AMC/result.json,a29e43a0272e6e729fac87fc915a85fbd9b33196b560f374b3c0a313e62741c6,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
tight_T_seed3102,K1-AMF,contemporaneous_300s,300,False,534.3143530811973,280.1377518,0.5416172848295904,0.6007044366851081,0.09836310212986069,0.19948422116092715,1,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__tight_T_seed3102__K1-AMF/result.json,b82568a2701eec616e73f4fa2e8974f257aa7d1c534c83a4bac56218676308f0,bff4943b82d10c4fc082e5ae9add1970d46a1277ab1b398dc77410d94b4cbe34
