instance,interval_id,gamma_L,gamma_U,objective_lb,source_lp,copied_directory,lp_sha256,status
V12_M2,4,0.359252,0.449065,0.718504,results/bound_work/regen_candidate_V12_M2_average_1784143703155393600_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/V12_M2/interval_4,1b3ad54dd8c7d7ec32086a156dad187d7fd6739b75ffa68c676a702105f9f020,copied
V12_M2,9,0.471518,0.493972,0.718504,results/bound_work/regen_candidate_V12_M2_average_1784143803359831500_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/V12_M2/interval_9,2cf930e30bf68334840ca5311b9555698be2053340975583591bcac1cd706566,copied
V12_M2,10,0.449065,0.460292,0.718504,results/bound_work/regen_candidate_V12_M2_average_1784143814367373700_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/V12_M2/interval_10,4ae6beab1ef10fa85ec10e7740929e2790045f5f4f2e41069505f630f751353c,copied
V12_M2,13,0.516425,0.538878,0.718504,results/bound_work/regen_candidate_V12_M2_average_1784143866653380100_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/V12_M2/interval_13,a3527d95918b4e3864e9f01a2fd508323c442a928af5731bb01577df4066ea72,copied
V12_M2,14,0.460292,0.465905,0.718504,results/bound_work/regen_candidate_V12_M2_average_1784143871307200100_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/V12_M2/interval_14,d69c74ae94a9efadefa65d4e530b254712a0ac1270e736f7be23e2f4e6c5a7c3,copied
V12_M2,15,0.465905,0.471518,0.718504,results/bound_work/regen_candidate_V12_M2_average_1784143880367039700_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/V12_M2/interval_15,d2601d1338bd78f64e4c162c781bb8a9828ef8b2f9312e626a5e19fb6db83018,copied
V12_M2,17,0.505198,0.516425,0.718504,results/bound_work/regen_candidate_V12_M2_average_1784143911937520600_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/V12_M2/interval_17,90389792d4a91673510e6de7cd05c377e0faa39e4e6e8631bc8a96b3b2ed9c2d,copied
V12_M2,18,0.493972,0.499585,0.718504,results/bound_work/regen_candidate_V12_M2_average_1784143917412762600_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/V12_M2/interval_18,cb368652551c5e5c13db1e8bf7f52eade2fff644c810016f1b76db8672370f3c,copied
V12_M2,19,0.499585,0.505198,0.718504,results/bound_work/regen_candidate_V12_M2_average_1784143925179752100_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/V12_M2/interval_19,82e09992979169dc8275c22705b8d8823472bc7278809d3cbb2d99d28d0f50f0,copied
moderate_seed3302,3,0.146727,0.195636,0.195636,results/bound_work/moderate_seed3302_1784144049608223000_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/moderate_seed3302/interval_3,d4510cad479e5cf9cc9c4de55eee0e5d987e3fbf21495ac101fdedb1146e6cd1,copied
moderate_seed3302,4,0,0.0244545,0.195636,results/bound_work/moderate_seed3302_1784144060205123700_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/moderate_seed3302/interval_4,e776f8481cdaa9119e73f25455650be4b7f40a4dcf3254f3751a4256012103cd,copied
moderate_seed3302,8,0.0244545,0.0305682,0.195636,results/bound_work/moderate_seed3302_1784144173091135200_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/moderate_seed3302/interval_8,4ba2d660435b6e0dbafa654680e7907098f94334666fb67a35b4a29c235f865b,copied
