instance_id,arm,coverage_valid,lifecycle_complete,sibling_pairs_considered,sibling_pairs_coalesced,sibling_replaced_leaf_count,sibling_atomic_coverage_events,sibling_fallback_events,sibling_unresolved_union_count
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,ST-K4-P-CORE-HIERARCHICAL,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,PAIRED-K4,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,PAIRED-K4-FACTORED,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-SIBLING-CORE,True,True,1,1,2,1,0,0
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-SIBLING-CORE-FACTORED,True,True,1,1,2,1,0,0
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-HGA-FULL-K4,True,True,0,0,0,0,0,0
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-K1-SINGLE,True,True,0,0,0,0,0,0
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,EXTERNAL-K2-FIXED,True,True,0,0,0,0,0,0
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,ST-K2-P-CORE,True,True,0,0,0,0,0,0
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,ST-K4-P-CORE,True,True,0,0,0,0,0,0
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,ST-K4-P-CORE-HIERARCHICAL,True,True,0,0,0,0,0,0
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,PAIRED-K4,True,True,0,0,0,0,0,0
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,PAIRED-K4-FACTORED,True,True,0,0,0,0,0,0
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-SIBLING-CORE,True,True,2,0,0,0,0,0
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-SIBLING-CORE-FACTORED,True,True,2,0,0,0,0,0
