instance_id,arm,model_sha256,model_variables,model_binary_variables,model_integer_variables,model_continuous_variables,model_build_seconds,model_read_seconds,model_linear_constraints,model_nonzeros,model_general_constraints,selector_variables,perspective_variables,presolved_rows,presolved_columns,presolved_nonzeros
round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-K1-SINGLE,,0,,,,0.0466497,0.0101817,0,0,0,0,0,,,
round39_small_medium_V10_M2_Q20_slot05_seed968549317,EXTERNAL-K2-FIXED,4565d86401f012142cc196918e52fbde9d28d65df91364cdb1a52d4fe77d055d;a3ce6808ad7208a3e0eb7067ecbd974c44336c9fdc492f8e19c8df6f17fd9ba4,1774,640,140,994,0.1154988,0.0263283,9703,63978,493,,,,,
round39_small_medium_V10_M2_Q20_slot05_seed968549317,ST-K2-P-CORE,5c1b2a412c3ba8e69c40e9de2d5d986a454946769adcf8bc92c4c4c02be3616e,1007,321,70,616,0.0812622,0.0117473,5265,33098,493,2,238,4469,903,40780
round39_small_medium_V10_M2_Q20_slot05_seed968549317,ST-K4-P-CORE,99a16ce5d46e4eb60656b05adb938693d6effd7027f18c7863396ce81515c954,1247,323,70,854,0.0765077,0.0136787,6095,35637,988,4,476,5687,1181,48662
round39_small_medium_V10_M2_Q20_slot05_seed968549317,ST-K4-P-CORE-HIERARCHICAL,8ec255c3093321b134d97901aa5cadeb4ffab19bc0e9e989e8c556add33807bb,1249,325,70,854,0.0859641,0.0139449,6098,35645,988,4,476,0,0,0
round39_small_medium_V10_M2_Q20_slot05_seed968549317,PAIRED-K4,d73f8a52988f28a639e175d92714f6d9329f1733d8a454e96acb47ff0c81d7b1;b114e11f5fdb6437a046866c0bbc1bc53a02f91f6a644ba8df79642b4f3d6f80,2014,642,140,1232,0.13621250000000001,0.039353799999999994,10533,66517,988,,,,,
round39_small_medium_V10_M2_Q20_slot05_seed968549317,PAIRED-K4-FACTORED,c5bbba5973ba043f9bcd47cc3372ad2d2858a33e16cb24aab79310cb12a2baf4;37af7d6b7d601ca7856b690ba718af0d0cefd087cec6b552f178b72cdac5227f,2014,642,140,1232,0.13101449999999998,0.0239954,10742,67469,570,,,,,
round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-SIBLING-CORE,d73f8a52988f28a639e175d92714f6d9329f1733d8a454e96acb47ff0c81d7b1;d0f8f990d493272fafe35e94c434c2ba037426194185c4bab28d02d173a560af,2014,,,,0.6863623000000001,0.12396029999999998,11522,75096,989,4,476,,,
round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-SIBLING-CORE-FACTORED,c5bbba5973ba043f9bcd47cc3372ad2d2858a33e16cb24aab79310cb12a2baf4;cbac98117b445b46b8dbf3f2dc384670f8ccfe26391661e5d699fb5138a465bb,2014,,,,0.7275421,0.14709090000000002,11313,74538,571,4,476,,,
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-HGA-FULL-K4,,0,,,,0.37444079999999996,0.0630626,0,0,0,0,0,,,
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-K1-SINGLE,,0,,,,0.0286797,0.0048026,0,0,0,0,0,,,
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,EXTERNAL-K2-FIXED,6563f32ec80684db019911ac2adc6bde82a8a2955c898180ebfc8dc8b499705c;407b9b8eecd847de90dff9e695e653dacec1471e93bfe43129e032daf9662969,1190,374,80,736,0.0710252,0.0127218,6156,35844,490,,,,,
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,ST-K2-P-CORE,d67c8271129f33d3dc16bc1adf2817363c8779841c2545d337cccc0d40bbec83,709,188,40,481,0.0424872,0.0076712,3472,18934,490,2,226,1315,493,6670
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,ST-K4-P-CORE,c552fb83a691b641da212b2993b6b7804cd3a4c195c13cfc0dcf85f5750bc2c5,937,190,40,707,0.0520725,0.0088475,4260,21340,980,4,452,1764,618,9019
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,ST-K4-P-CORE-HIERARCHICAL,a0bbf90917f19b98414c6be0c6ee745d0656f86ed4b352a00ff250c53601143a,939,192,40,707,0.0524535,0.0092164,4263,21348,980,4,452,0,0,0
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,PAIRED-K4,6e7cb4de925aae2935ded791996b7ff6f385c415b9f30d4e4a11ee855e9df650;9f567f7db38ab4b55d6e299e21298b059ba7b96ea2ece4f4f94ad64c6b865e02,1418,376,80,962,0.0875697,0.0172918,6944,38250,980,,,,,
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,PAIRED-K4-FACTORED,9646f15d2df1084f5e63d2bba515a09fca60882c8a191ddec21201b491581fc6;911c7e9a4ca07bc763dd3ab3491824b2b2a44bc61ab69f3d5c0f53baf0b11edc,1418,376,80,962,0.0907696,0.0141457,7160,39462,548,,,,,
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-SIBLING-CORE,,0,,,,0.3439009,0.06958120000000001,0,0,0,0,0,,,
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-SIBLING-CORE-FACTORED,,0,,,,0.3869370000000001,0.06246790000000001,0,0,0,0,0,,,
round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-HGA-FULL-K4,,0,,,,0.4421596,0.0731409,0,0,0,0,0,,,
round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-K1-SINGLE,,0,,,,0.0403004,0.0052,0,0,0,0,0,,,
