leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,iterations,telemetry_seconds
R.1.0.0.1.1.0.0.0.1.1,"R.1.0.0.1.1.0.0.0.1",10,0.42871678440555394,0.42941844853715055,1,1,0,1,0.64850958059608377,"OPTIMAL",0.2674746605436481,838,46.592879600000003
R.1.0.0.1.1.0.0.0.1.0,"R.1.0.0.1.1.0.0.0.1",10,0.42801512027395727,0.42871678440555394,1,1,0,1,0.64843308276899758,"OPTIMAL",0.25939149543023454,776,52.968867099999997
R.1.0.0.1.1.0.0.1.0.0,"R.1.0.0.1.1.0.0.1.0",10,0.42941844853715055,0.43012011266874717,1,1,0,1,0.64864788609702828,"OPTIMAL",0.25204191361979528,782,56.811753400000001
R.1.0.0.1.1.0.0.1.0.1,"R.1.0.0.1.1.0.0.1.0",10,0.43012011266874717,0.43082177680034384,1,1,0,1,0.64880769879847322,"OPTIMAL",0.24500713135346139,762,65.086110300000001
R.1.0.0.1.1.0.1.0.0,"R.1.0.0.1.1.0.1.0",9,0.43222510506353717,0.43362843332673046,1,1,0,1,0.64898992101842867,"OPTIMAL",0.23559253691580906,780,72.853462500000006
R.1.0.0.1.1.0.1.0.1,"R.1.0.0.1.1.0.1.0",9,0.43362843332673046,0.43503176158992374,1,1,0,1,0.64933501079459166,"OPTIMAL",0.25091778793462022,820,73.116933299999999
R.1.0.0.1.1.0.0.1.1.0,"R.1.0.0.1.1.0.0.1.1",10,0.43082177680034384,0.43152344093194051,1,1,0,1,0.64896793594753921,"OPTIMAL",0.25733398117827683,766,73.381993199999997
R.1.0.0.1.1.0.0.1.1.1,"R.1.0.0.1.1.0.0.1.1",10,0.43152344093194051,0.43222510506353717,1,1,0,1,0.64912859704569936,"OPTIMAL",0.23340505435182998,726,82.089747299999999
R.1.0.0.1.1.0.1.0.0.1,"R.1.0.0.1.1.0.1.0.0",10,0.43292676919513384,0.43362843332673046,1,1,0,1,0.64945785985143367,"OPTIMAL",0.28465537085876735,898,89.881327400000004
R.1.0.0.1.1.0.1.0.0.0,"R.1.0.0.1.1.0.1.0.0",10,0.43222510506353717,0.43292676919513384,1,1,0,1,0.64928968159520595,"OPTIMAL",0.24563053938568613,760,96.918666900000005
R.1.0.0.1.1.0.1.1.1,"R.1.0.0.1.1.0.1.1",9,0.43643508985311708,0.43783841811631036,1,1,0,1,0.65009898893804818,"OPTIMAL",0.23888526207329133,774,106.1363415
R.1.0.0.1.1.0.1.1.0,"R.1.0.0.1.1.0.1.1",9,0.43503176158992374,0.43643508985311708,1,1,0,1,0.64970181346327949,"OPTIMAL",0.24378673538652063,737,106.41661430000001
R.1.0.0.1.1.0.1.0.1.0,"R.1.0.0.1.1.0.1.0.1",10,0.43362843332673046,0.43433009745832707,1,1,0,1,0.64962927885498933,"OPTIMAL",0.24398305712114216,778,106.6783923
R.1.0.0.1.1.0.1.0.1.1,"R.1.0.0.1.1.0.1.0.1",10,0.43433009745832707,0.43503176158992374,1,1,0,1,0.64980261833585184,"OPTIMAL",0.2628213210890743,843,117.7560742
R.1.0.0.1.1.0.1.1.0.0,"R.1.0.0.1.1.0.1.1.0",10,0.43503176158992374,0.43573342572152041,1,1,0,1,0.64997748578180403,"OPTIMAL",0.24321826517374784,712,125.97569799999999
R.1.0.0.1.1.0.1.1.0.1,"R.1.0.0.1.1.0.1.1.0",10,0.43573342572152041,0.43643508985311708,1,1,0,1,0.65017037594022187,"OPTIMAL",0.26397707169267998,795,136.4264201
R.1.0.0.1.1.1.0,"R.1.0.0.1.1.1",7,0.43783841811631036,0.44345173116908354,1,1,0,1,0.65025457838000689,"OPTIMAL",0.27527850740531773,996,144.6633109
