stage,instance_id,V,M,scenario,comparator,historical_source_round,historical_run_id,historical_executable_sha256,comparison_compatibility,common_verified_ub,auc_status,auc_convention,common_window_start_seconds,common_window_end_seconds,common_window_seconds,comparator_normalized_proof_auc,simple_normalized_proof_auc,simple_minus_comparator_proof_auc
matrix1800,round31_sealed_tight_T_V20_seed2113109204,20,3,tight_T,C6-HGA-FULL,32,stage1__round31_sealed_tight_T_V20_seed2113109204__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.40134426587847294,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,17.9015959,1785.0750022,1767.1734063,0.9429387969891997,0.8625061308263698,-0.08043266616282979
matrix1800,round31_sealed_tight_T_V50_seed1973327304,50,3,tight_T,C6-HGA-FULL,32,stage1__round31_sealed_tight_T_V50_seed1973327304__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.8327916409630631,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,39.6786704,1785.1287879,1745.4501174999998,0.7582354235625934,0.7633579515286623,0.005122527966068929
matrix1800,round32_multi_m_high_imbalance_V20_M2_seed1052706459,20,2,high_imbalance,C6-HGA-FULL,32,stage2__round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,4.356924112605589,unavailable_no_common_observed_window,,,,,,,
matrix1800,round32_multi_m_high_imbalance_V20_M4_seed2081968251,20,4,high_imbalance,C6-HGA-FULL,32,stage2__round32_multi_m_high_imbalance_V20_M4_seed2081968251__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,1.9079421509022063,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,24.4670591,1785.0425506,1760.5754915,0.8910654179717272,0.8736290741319015,-0.017436343839825723
matrix1800,round32_multi_m_high_imbalance_V50_M2_seed910922492,50,2,high_imbalance,C6-HGA-FULL,32,stage2__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,4.8899440450913,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,22.1939195,222.6938635,200.499944,0.8681885784365873,0.9761754023783509,0.10798682394176355
matrix1800,round32_multi_m_high_imbalance_V50_M4_seed163456187,50,4,high_imbalance,C6-HGA-FULL,32,stage2__round32_multi_m_high_imbalance_V50_M4_seed163456187__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,7.255855961366769,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,46.2487093,1785.133074,1738.8843647,0.9518353583198997,0.9664221001766536,0.014586741856753913
matrix1800,round32_multi_m_moderate_V20_M2_seed479269984,20,2,moderate,C6-HGA-FULL,32,stage2__round32_multi_m_moderate_V20_M2_seed479269984__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.5393140900933879,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,22.3537788,109.8458952,87.4921164,0.8145102510338735,0.856934102003182,0.04242385096930847
matrix1800,round32_multi_m_moderate_V20_M4_seed822125155,20,4,moderate,C6-HGA-FULL,32,stage2__round32_multi_m_moderate_V20_M4_seed822125155__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.1256317204608936,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,11.5106814,1785.0411768,1773.5304953999998,0.30489060346534236,0.38055828068707775,0.07566767722173535
matrix1800,round32_multi_m_moderate_V50_M2_seed254020866,50,2,moderate,C6-HGA-FULL,32,stage2__round32_multi_m_moderate_V50_M2_seed254020866__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.8492232749999897,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,13.9415105,1785.10787,1771.1663595,0.9387607317502389,0.9448180213549006,0.006057289604661574
matrix1800,round32_multi_m_moderate_V50_M4_seed721910669,50,4,moderate,C6-HGA-FULL,32,stage2__round32_multi_m_moderate_V50_M4_seed721910669__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.40669239072992647,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,339.908306,1785.1180482,1445.2097422,0.7790213939359816,0.7752235123293273,-0.003797881606654337
matrix1800,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,C6-HGA-FULL,32,stage2__round32_multi_m_tight_T_V20_M2_seed89001413__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.33993609699240646,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,4.7146543,135.5201285,130.8054742,0.9142451128782566,0.7943841946995398,-0.11986091817871673
matrix1800,round32_multi_m_tight_T_V20_M4_seed2095231402,20,4,tight_T,C6-HGA-FULL,32,stage2__round32_multi_m_tight_T_V20_M4_seed2095231402__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.9547387631169927,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,13.782414,1785.0421275,1771.2597135,0.9429957844481789,0.9506916542013567,0.007695869753177796
matrix1800,round32_multi_m_tight_T_V50_M2_seed104207248,50,2,tight_T,C6-HGA-FULL,32,stage2__round32_multi_m_tight_T_V50_M2_seed104207248__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,4.578118917160246,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,5.9502991,94.1292463,88.17894720000001,0.8692414842432185,0.9352919429234425,0.06605045868022404
matrix1800,round32_multi_m_tight_T_V50_M4_seed1562257203,50,4,tight_T,C6-HGA-FULL,32,stage2__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,5.485350829690545,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,31.4239949,1785.1289217,1753.7049268,0.9655926080640684,0.983089496385831,0.01749688832176258
matrix1800,tight_T_seed3101,20,3,tight_T,C6-HGA-FULL,32,stage1__tight_T_seed3101__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.10725273413394144,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,14.7805204,1785.0359433,1770.2554229000002,0.5818879948488965,0.602299103771803,0.020411108922906436
matrix1800,tight_T_seed4101,20,3,tight_T,C6-HGA-FULL,32,stage1__tight_T_seed4101__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.562981400559009,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,9.7613984,335.241135,325.47973659999997,0.9059927385221344,0.9254405360421294,0.01944779751999509
matrix1800,tight_T_seed5102,20,3,tight_T,C6-HGA-FULL,32,stage1__tight_T_seed5102__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.3623546627845846,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,17.7367185,1751.5533943,1733.8166758,0.8114879573341751,0.9070034737786487,0.09551551644447356
matrix1800,tight_T_seed5103,20,3,tight_T,C6-HGA-FULL,32,stage1__tight_T_seed5103__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.2843258683938499,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,28.673502,385.5437131,356.8702111,0.8681246959115023,0.9084748455244792,0.040350149612976935
matrix1800,tight_T_seed6102,50,3,tight_T,C6-HGA-FULL,32,stage1__tight_T_seed6102__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.6752533843666184,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,90.1512916,1785.109214,1694.9579224000001,0.8981375300898826,0.8890075476395439,-0.009129982450338765
matrix1800,V12_M1,12,1,v12,P-GRB,32,stage1__V12_M1__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.3572005832084155,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.0612077,21.863196,21.801988299999998,0.8949154027387983,0.887745323397689,-0.007170079341109375
matrix1800,V12_M2,12,2,v12,P-GRB,32,stage1__V12_M2__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.7185040707549709,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.0561882,82.3188105,82.2626223,0.9237386908276455,0.9495270133742683,0.025788322546622843
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,P-GRB,32,stage1__high_imbalance_seed3202__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,1.7493134520506337,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.1339306,252.8522625,252.71833189999998,0.6035212371125415,0.9729909866172252,0.3694697495046837
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,P-GRB,32,stage1__high_imbalance_seed4201__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,2.7832961908951837,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.13303310000000002,235.1470486,235.0140155,0.7057593811591085,0.9785230052336492,0.27276362407454074
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,P-GRB,32,stage1__high_imbalance_seed5202__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,1.149509246006453,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.1432139,1785.0430707,1784.8998568,0.8147349753642238,0.9443465211259928,0.12961154576176911
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,P-GRB,32,stage1__high_imbalance_seed5203__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,2.3524097575828193,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.1770695,101.0490818,100.8720123,0.8198802480733279,0.9297513704768271,0.10987112240349917
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,P-GRB,32,stage1__high_imbalance_seed6202__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,9.730396463005972,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.5977855000000001,1785.0626999,1784.4649144,0.8083955399072807,0.7907401001579336,-0.01765543974934712
matrix1800,moderate_seed3302,20,3,moderate,P-GRB,32,stage1__moderate_seed3302__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.19563620654901237,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.1291543,1785.046087,1784.9169327,0.6602463215935312,0.770347440526345,0.11010111893281371
matrix1800,moderate_seed4302,20,3,moderate,P-GRB,32,stage1__moderate_seed4302__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.0298198766247978,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.1281089,755.9906679,755.8625589999999,2.9013538665010225e-06,0.5823277315221452,0.5823248301682787
matrix1800,moderate_seed5301,20,3,moderate,P-GRB,32,stage1__moderate_seed5301__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.16885733659692667,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.1252463,1785.0424104,1784.9171641,0.43787242779548247,0.6915508929455798,0.25367846515009734
matrix1800,moderate_seed5302,20,3,moderate,P-GRB,32,stage1__moderate_seed5302__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.10524336655802605,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.14738489999999999,1785.1039602,1784.9565753000002,0.3259769232930108,0.5096545810414581,0.18367765774844733
matrix1800,moderate_seed6301,50,3,moderate,P-GRB,32,stage1__moderate_seed6301__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.5804785297747187,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.5653291,1785.0681034,1784.5027742999998,0.7457864907012858,0.8806088145684055,0.1348223238671197
matrix1800,round31_sealed_high_imbalance_V20_seed1968399862,20,3,high_imbalance,P-GRB,32,stage1__round31_sealed_high_imbalance_V20_seed1968399862__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,2.0874707775727215,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.1493549,80.6880996,80.5387447,0.52167451434821,0.9692926874331873,0.4476181730849773
matrix1800,round31_sealed_high_imbalance_V50_seed802548647,50,3,high_imbalance,P-GRB,32,stage1__round31_sealed_high_imbalance_V50_seed802548647__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,8.771979091147195,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.5927542,1580.7603058,1580.1675516,0.9207321455710779,0.9316464701197796,0.010914324548701799
matrix1800,round31_sealed_moderate_V20_seed311185674,20,3,moderate,P-GRB,32,stage1__round31_sealed_moderate_V20_seed311185674__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.08376681238398306,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.1423346,1785.0424004,1784.9000658,0.7156042354440402,0.7499980847679207,0.03439384932388052
matrix1800,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,P-GRB,32,stage1__round31_sealed_moderate_V50_seed1112848618__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.6618393814171221,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.5442169,1785.127302,1784.5830851,0.6824719280310816,0.8013963925972786,0.11892446456619696
matrix1800,round31_sealed_tight_T_V20_seed2113109204,20,3,tight_T,P-GRB,32,stage1__round31_sealed_tight_T_V20_seed2113109204__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.40807397411130053,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.1461498,1785.0750022,1784.9288523999999,0.32391311897833597,0.8462089305511122,0.5222958115727763
matrix1800,round31_sealed_tight_T_V50_seed1973327304,50,3,tight_T,P-GRB,32,stage1__round31_sealed_tight_T_V50_seed1973327304__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.8327916409630631,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.5781482,1785.1287879,1784.5506397,0.6716615609397486,0.7584929058172368,0.08683134487748818
matrix1800,round32_multi_m_high_imbalance_V20_M2_seed1052706459,20,2,high_imbalance,P-GRB,32,stage2__round32_multi_m_high_imbalance_V20_M2_seed1052706459__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,4.356924112605589,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.11940239999999999,3.9202777,3.8008753000000004,0.806893304907298,0.8267814169540282,0.019888112046730053
matrix1800,round32_multi_m_high_imbalance_V20_M4_seed2081968251,20,4,high_imbalance,P-GRB,32,stage2__round32_multi_m_high_imbalance_V20_M4_seed2081968251__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,1.9131917906119615,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.2032214,1785.0477699,1784.8445485,0.65802265894619,0.87039071509759,0.21236805615140003
matrix1800,round32_multi_m_high_imbalance_V50_M2_seed910922492,50,2,high_imbalance,P-GRB,32,stage2__round32_multi_m_high_imbalance_V50_M2_seed910922492__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,4.8899440450913,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.4653778,358.0264104,357.5610326,0.9100943101421057,0.9300316345159304,0.01993732437382468
matrix1800,round32_multi_m_high_imbalance_V50_M4_seed163456187,50,4,high_imbalance,P-GRB,32,stage2__round32_multi_m_high_imbalance_V50_M4_seed163456187__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,7.255855961366769,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.7649199,1785.0675249,1784.302605,0.8040224875307833,0.9526657987244853,0.148643311193702
matrix1800,round32_multi_m_moderate_V20_M2_seed479269984,20,2,moderate,P-GRB,32,stage2__round32_multi_m_moderate_V20_M2_seed479269984__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.5393140900933879,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.1090702,109.8458952,109.736825,0.6627101022597788,0.8441862836243104,0.1814761813645316
matrix1800,round32_multi_m_moderate_V20_M4_seed822125155,20,4,moderate,P-GRB,32,stage2__round32_multi_m_moderate_V20_M4_seed822125155__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.1191244020794297,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.1550721,1785.0411768,1784.8861046999998,0.054466497360566954,0.40035762001807684,0.34589112265750993
matrix1800,round32_multi_m_moderate_V50_M2_seed254020866,50,2,moderate,P-GRB,32,stage2__round32_multi_m_moderate_V50_M2_seed254020866__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.8492232749999897,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.40229329999999996,1785.0773301,1784.6750367999998,0.7977612023747424,0.9409077151121173,0.143146512737375
matrix1800,round32_multi_m_moderate_V50_M4_seed721910669,50,4,moderate,P-GRB,32,stage2__round32_multi_m_moderate_V50_M4_seed721910669__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.5166093984417295,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.7352941,1785.0780922,1784.3427981,0.5086774382615131,0.5978166755706243,0.08913923730911127
matrix1800,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,P-GRB,32,stage2__round32_multi_m_tight_T_V20_M2_seed89001413__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.33993609699240646,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.10405539999999999,333.2279252,333.1238698,0.6061881620086557,0.8100329021827758,0.2038447401741201
matrix1800,round32_multi_m_tight_T_V20_M4_seed2095231402,20,4,tight_T,P-GRB,32,stage2__round32_multi_m_tight_T_V20_M4_seed2095231402__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.9557576964875585,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.19528790000000001,1785.04418,1784.8488921,0.7214838548339099,0.9488933285689536,0.22740947373504375
matrix1800,round32_multi_m_tight_T_V50_M2_seed104207248,50,2,tight_T,P-GRB,32,stage2__round32_multi_m_tight_T_V50_M2_seed104207248__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,4.578118917160246,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.5010686,94.1292463,93.62817770000001,0.789429829109761,0.8834288242174121,0.09399899510765114
matrix1800,round32_multi_m_tight_T_V50_M4_seed1562257203,50,4,tight_T,P-GRB,32,stage2__round32_multi_m_tight_T_V50_M4_seed1562257203__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,5.485350829690545,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.7908969,1785.0649769,1784.27408,0.7723814365994931,0.9740203475420105,0.20163891094251732
matrix1800,tight_T_seed3101,20,3,tight_T,P-GRB,32,stage1__tight_T_seed3101__p_grb__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.10725273413394144,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,0.13369920000000002,1785.0441042,1784.910405,0.21207619150973872,0.5999113082981533,0.38783511678841465
