run_id,stage,instance_id,trace_event_count,trace_audit_reason,trace_audit_passed
matrix1800__round32_multi_m_tight_T_V20_M4_seed2095231402__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V20_M4_seed2095231402,349,complete_monotone_observed_trace,True
matrix1800__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V50_M2_seed910922492,1016,complete_monotone_observed_trace,True
matrix1800__round32_multi_m_high_imbalance_V50_M4_seed163456187__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V50_M4_seed163456187,141,complete_monotone_observed_trace,True
matrix1800__round32_multi_m_moderate_V50_M2_seed254020866__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V50_M2_seed254020866,157,complete_monotone_observed_trace,True
matrix1800__round32_multi_m_moderate_V50_M4_seed721910669__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V50_M4_seed721910669,115,complete_monotone_observed_trace,True
matrix1800__round32_multi_m_tight_T_V50_M2_seed104207248__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V50_M2_seed104207248,127,complete_monotone_observed_trace,True
matrix1800__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V50_M4_seed1562257203,127,complete_monotone_observed_trace,True
v50_3600__high_imbalance_seed6202__c6_simple_start__3600s,v50_3600,high_imbalance_seed6202,607,complete_monotone_observed_trace,True
v50_3600__moderate_seed6301__c6_simple_start__3600s,v50_3600,moderate_seed6301,217,complete_monotone_observed_trace,True
v50_3600__tight_T_seed6102__c6_simple_start__3600s,v50_3600,tight_T_seed6102,120,complete_monotone_observed_trace,True
v50_3600__round31_sealed_high_imbalance_V50_seed802548647__c6_simple_start__3600s,v50_3600,round31_sealed_high_imbalance_V50_seed802548647,842,complete_monotone_observed_trace,True
v50_3600__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__3600s,v50_3600,round31_sealed_moderate_V50_seed1112848618,125,complete_monotone_observed_trace,True
v50_3600__round31_sealed_tight_T_V50_seed1973327304__c6_simple_start__3600s,v50_3600,round31_sealed_tight_T_V50_seed1973327304,263,complete_monotone_observed_trace,True
v50_3600__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__3600s,v50_3600,round32_multi_m_high_imbalance_V50_M2_seed910922492,1016,complete_monotone_observed_trace,True
v50_3600__round32_multi_m_high_imbalance_V50_M4_seed163456187__c6_simple_start__3600s,v50_3600,round32_multi_m_high_imbalance_V50_M4_seed163456187,326,complete_monotone_observed_trace,True
v50_3600__round32_multi_m_moderate_V50_M2_seed254020866__c6_simple_start__3600s,v50_3600,round32_multi_m_moderate_V50_M2_seed254020866,196,complete_monotone_observed_trace,True
v50_3600__round32_multi_m_moderate_V50_M4_seed721910669__c6_simple_start__3600s,v50_3600,round32_multi_m_moderate_V50_M4_seed721910669,128,complete_monotone_observed_trace,True
v50_3600__round32_multi_m_tight_T_V50_M2_seed104207248__c6_simple_start__3600s,v50_3600,round32_multi_m_tight_T_V50_M2_seed104207248,127,complete_monotone_observed_trace,True
v50_3600__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__3600s,v50_3600,round32_multi_m_tight_T_V50_M4_seed1562257203,146,complete_monotone_observed_trace,True
repeat__round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6_simple_start__repeat1__1800s,repeat,round32_multi_m_high_imbalance_V20_M2_seed1052706459,33,complete_monotone_observed_trace,True
repeat__tight_T_seed4101__c6_simple_start__repeat1__1800s,repeat,tight_T_seed4101,854,complete_monotone_observed_trace,True
repeat__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__repeat1__3600s,repeat,round32_multi_m_high_imbalance_V50_M2_seed910922492,1016,complete_monotone_observed_trace,True
repeat__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__repeat1__3600s,repeat,round31_sealed_moderate_V50_seed1112848618,125,complete_monotone_observed_trace,True
repeat__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__repeat1__3600s,repeat,round32_multi_m_tight_T_V50_M4_seed1562257203,146,complete_monotone_observed_trace,True
