stage,instance_id,V,M,scenario,comparison,arm,common_verified_ub,gap_threshold,reached,first_observed_process_seconds,no_interpolation,no_post_last_extension
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.7185040707549709,0.2,True,7.8665368,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.7185040707549709,0.1,True,9.9968563,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.7185040707549709,0.05,True,119.31660919999999,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.7185040707549709,0.02,True,121.4394852,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.7185040707549709,0.01,True,121.46034119999999,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.7185040707549709,0.005,True,121.46034119999999,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.7185040707549709,0.001,True,121.46034119999999,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.7185040707549709,0.5,True,0.6813116,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.7185040707549709,0.25,True,0.9545177,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.7185040707549709,0.2,True,0.9545177,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.7185040707549709,0.1,True,3.2743116,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.7185040707549709,0.05,True,25.0449511,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.7185040707549709,0.02,True,70.77230510000001,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.7185040707549709,0.01,True,77.4054962,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.7185040707549709,0.005,True,79.7981687,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.7185040707549709,0.001,True,81.578756,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.7493134520506337,0.5,True,16.9933887,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.7493134520506337,0.25,True,16.9933887,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.7493134520506337,0.2,True,16.9933887,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.7493134520506337,0.1,True,16.9933887,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.7493134520506337,0.05,True,20.701308,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.7493134520506337,0.02,True,203.347676,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.7493134520506337,0.01,True,212.4815479,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.7493134520506337,0.005,True,221.73816530000002,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.7493134520506337,0.001,True,228.8067861,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.7493134520506337,0.5,True,1.1972083,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.7493134520506337,0.25,True,1.1972083,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.7493134520506337,0.2,True,1.1972083,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.7493134520506337,0.1,True,1.1972083,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.7493134520506337,0.05,True,5.1888182,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.7493134520506337,0.02,True,179.1276952,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.7493134520506337,0.01,True,219.9188314,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.7493134520506337,0.005,True,238.2280717,True,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.7493134520506337,0.001,True,251.0592887,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.7832961908951837,0.5,True,17.635189,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.7832961908951837,0.25,True,17.635189,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.7832961908951837,0.2,True,17.635189,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.7832961908951837,0.1,True,17.635189,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.7832961908951837,0.05,True,17.635189,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.7832961908951837,0.02,True,20.8578,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.7832961908951837,0.01,True,414.3286785,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.7832961908951837,0.005,True,414.3286785,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.7832961908951837,0.001,True,414.3286785,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.7832961908951837,0.5,True,1.2615201,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.7832961908951837,0.25,True,1.2615201,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.7832961908951837,0.2,True,1.2615201,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.7832961908951837,0.1,True,1.2615201,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.7832961908951837,0.05,True,1.2615201,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.7832961908951837,0.02,True,4.9153825,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.7832961908951837,0.01,True,234.6922544,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.7832961908951837,0.005,True,234.6922544,True,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.7832961908951837,0.001,True,234.6922544,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.149509246006453,0.5,True,14.6267613,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.149509246006453,0.25,True,14.8269857,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.149509246006453,0.2,True,14.8269857,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.149509246006453,0.1,True,22.4556859,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.149509246006453,0.05,True,1635.3242445,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.149509246006453,0.02,False,,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.149509246006453,0.01,False,,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.149509246006453,0.005,False,,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,1.149509246006453,0.001,False,,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.149509246006453,0.5,True,1.0511541,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.149509246006453,0.25,True,1.2479621,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.149509246006453,0.2,True,1.2479621,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.149509246006453,0.1,True,11.036353,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.149509246006453,0.05,True,806.4819163,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.149509246006453,0.02,False,,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.149509246006453,0.01,False,,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.149509246006453,0.005,False,,True,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,1.149509246006453,0.001,False,,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.3524097575828193,0.5,True,15.5615389,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.3524097575828193,0.25,True,15.5615389,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.3524097575828193,0.2,True,15.5615389,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.3524097575828193,0.1,True,16.5401727,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.3524097575828193,0.05,True,19.386353800000002,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.3524097575828193,0.02,True,150.1815937,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.3524097575828193,0.01,True,155.8518036,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.3524097575828193,0.005,True,155.9732266,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,2.3524097575828193,0.001,True,155.9732266,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.3524097575828193,0.5,True,1.4694546,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.3524097575828193,0.25,True,1.4694546,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.3524097575828193,0.2,True,1.4694546,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.3524097575828193,0.1,True,2.4575084,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.3524097575828193,0.05,True,93.5321136,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.3524097575828193,0.02,True,95.7394315,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.3524097575828193,0.01,True,98.377114,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.3524097575828193,0.005,True,100.4137994,True,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,2.3524097575828193,0.001,True,101.0365907,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,9.729609677413569,0.5,True,42.8532718,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,9.729609677413569,0.25,True,42.8532718,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,9.729609677413569,0.2,True,69.4003463,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,9.729609677413569,0.1,False,,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,9.729609677413569,0.05,False,,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,9.729609677413569,0.02,False,,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,9.729609677413569,0.01,False,,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,9.729609677413569,0.005,False,,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,9.729609677413569,0.001,False,,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,9.729609677413569,0.5,True,29.3251998,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,9.729609677413569,0.25,True,29.3251998,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,9.729609677413569,0.2,True,54.0505981,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,9.729609677413569,0.1,False,,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,9.729609677413569,0.05,False,,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,9.729609677413569,0.02,False,,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,9.729609677413569,0.01,False,,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,9.729609677413569,0.005,False,,True,True
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,9.729609677413569,0.001,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.19563620654901237,0.5,True,21.0557895,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.19563620654901237,0.25,True,27.8128373,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.19563620654901237,0.2,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.19563620654901237,0.1,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.19563620654901237,0.05,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.19563620654901237,0.02,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.19563620654901237,0.01,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.19563620654901237,0.005,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.19563620654901237,0.001,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.19563620654901237,0.5,True,1.0379641,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.19563620654901237,0.25,True,120.68530969999999,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.19563620654901237,0.2,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.19563620654901237,0.1,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.19563620654901237,0.05,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.19563620654901237,0.02,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.19563620654901237,0.01,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.19563620654901237,0.005,False,,True,True
matrix1800,moderate_seed3302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.19563620654901237,0.001,False,,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.0298198766247978,0.5,True,247.38397429999998,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.0298198766247978,0.25,True,394.5247766,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.0298198766247978,0.2,True,405.8493645,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.0298198766247978,0.1,True,618.25227,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.0298198766247978,0.05,True,633.8540994,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.0298198766247978,0.02,True,640.5635774,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.0298198766247978,0.01,True,641.7657008,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.0298198766247978,0.005,True,646.8294976,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.0298198766247978,0.001,True,647.5332158,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.0298198766247978,0.5,True,111.1771687,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.0298198766247978,0.25,True,630.0872988,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.0298198766247978,0.2,True,648.3316037,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.0298198766247978,0.1,True,743.8896064,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.0298198766247978,0.05,True,752.393039,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.0298198766247978,0.02,True,755.1598111999999,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.0298198766247978,0.01,True,755.5457944,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.0298198766247978,0.005,True,755.8619676000001,True,True
matrix1800,moderate_seed4302,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.0298198766247978,0.001,True,755.9401814,True,True
matrix1800,moderate_seed5301,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.16885733659692667,0.5,True,23.9830795,True,True
matrix1800,moderate_seed5301,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.16885733659692667,0.25,False,,True,True
matrix1800,moderate_seed5301,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.16885733659692667,0.2,False,,True,True
matrix1800,moderate_seed5301,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.16885733659692667,0.1,False,,True,True
matrix1800,moderate_seed5301,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.16885733659692667,0.05,False,,True,True
matrix1800,moderate_seed5301,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.16885733659692667,0.02,False,,True,True
matrix1800,moderate_seed5301,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.16885733659692667,0.01,False,,True,True
matrix1800,moderate_seed5301,20,3,moderate,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.16885733659692667,0.005,False,,True,True
