run_id,stage,instance_id,reported_threads,command_thread_flags,one_thread_command_verified,single_thread_audit_passed
v50_3600__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__3600s,v50_3600,round31_sealed_moderate_V50_seed1112848618,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
v50_3600__round31_sealed_tight_T_V50_seed1973327304__c6_simple_start__3600s,v50_3600,round31_sealed_tight_T_V50_seed1973327304,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
v50_3600__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__3600s,v50_3600,round32_multi_m_high_imbalance_V50_M2_seed910922492,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
v50_3600__round32_multi_m_high_imbalance_V50_M4_seed163456187__c6_simple_start__3600s,v50_3600,round32_multi_m_high_imbalance_V50_M4_seed163456187,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
v50_3600__round32_multi_m_moderate_V50_M2_seed254020866__c6_simple_start__3600s,v50_3600,round32_multi_m_moderate_V50_M2_seed254020866,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
v50_3600__round32_multi_m_moderate_V50_M4_seed721910669__c6_simple_start__3600s,v50_3600,round32_multi_m_moderate_V50_M4_seed721910669,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
v50_3600__round32_multi_m_tight_T_V50_M2_seed104207248__c6_simple_start__3600s,v50_3600,round32_multi_m_tight_T_V50_M2_seed104207248,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
v50_3600__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__3600s,v50_3600,round32_multi_m_tight_T_V50_M4_seed1562257203,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
repeat__round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6_simple_start__repeat1__1800s,repeat,round32_multi_m_high_imbalance_V20_M2_seed1052706459,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
repeat__tight_T_seed4101__c6_simple_start__repeat1__1800s,repeat,tight_T_seed4101,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
repeat__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__repeat1__3600s,repeat,round32_multi_m_high_imbalance_V50_M2_seed910922492,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
repeat__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__repeat1__3600s,repeat,round31_sealed_moderate_V50_seed1112848618,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
repeat__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__repeat1__3600s,repeat,round32_multi_m_tight_T_V50_M4_seed1562257203,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
