run_id,stage,instance_id,run_path,historical_comparator_process_launched,result_separation_audit_passed
v50_3600__tight_T_seed6102__c6_simple_start__3600s,v50_3600,tight_T_seed6102,results/gf_simple_start_qualification_round35/runs/v50_3600__tight_T_seed6102__c6_simple_start__3600s,False,True
v50_3600__round31_sealed_high_imbalance_V50_seed802548647__c6_simple_start__3600s,v50_3600,round31_sealed_high_imbalance_V50_seed802548647,results/gf_simple_start_qualification_round35/runs/v50_3600__round31_sealed_high_imbalance_V50_seed802548647__c6_simple_start__3600s,False,True
v50_3600__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__3600s,v50_3600,round31_sealed_moderate_V50_seed1112848618,results/gf_simple_start_qualification_round35/runs/v50_3600__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__3600s,False,True
v50_3600__round31_sealed_tight_T_V50_seed1973327304__c6_simple_start__3600s,v50_3600,round31_sealed_tight_T_V50_seed1973327304,results/gf_simple_start_qualification_round35/runs/v50_3600__round31_sealed_tight_T_V50_seed1973327304__c6_simple_start__3600s,False,True
v50_3600__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__3600s,v50_3600,round32_multi_m_high_imbalance_V50_M2_seed910922492,results/gf_simple_start_qualification_round35/runs/v50_3600__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__3600s,False,True
v50_3600__round32_multi_m_high_imbalance_V50_M4_seed163456187__c6_simple_start__3600s,v50_3600,round32_multi_m_high_imbalance_V50_M4_seed163456187,results/gf_simple_start_qualification_round35/runs/v50_3600__round32_multi_m_high_imbalance_V50_M4_seed163456187__c6_simple_start__3600s,False,True
v50_3600__round32_multi_m_moderate_V50_M2_seed254020866__c6_simple_start__3600s,v50_3600,round32_multi_m_moderate_V50_M2_seed254020866,results/gf_simple_start_qualification_round35/runs/v50_3600__round32_multi_m_moderate_V50_M2_seed254020866__c6_simple_start__3600s,False,True
v50_3600__round32_multi_m_moderate_V50_M4_seed721910669__c6_simple_start__3600s,v50_3600,round32_multi_m_moderate_V50_M4_seed721910669,results/gf_simple_start_qualification_round35/runs/v50_3600__round32_multi_m_moderate_V50_M4_seed721910669__c6_simple_start__3600s,False,True
v50_3600__round32_multi_m_tight_T_V50_M2_seed104207248__c6_simple_start__3600s,v50_3600,round32_multi_m_tight_T_V50_M2_seed104207248,results/gf_simple_start_qualification_round35/runs/v50_3600__round32_multi_m_tight_T_V50_M2_seed104207248__c6_simple_start__3600s,False,True
v50_3600__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__3600s,v50_3600,round32_multi_m_tight_T_V50_M4_seed1562257203,results/gf_simple_start_qualification_round35/runs/v50_3600__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__3600s,False,True
repeat__round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6_simple_start__repeat1__1800s,repeat,round32_multi_m_high_imbalance_V20_M2_seed1052706459,results/gf_simple_start_qualification_round35/runs/repeat__round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6_simple_start__repeat1__1800s,False,True
repeat__tight_T_seed4101__c6_simple_start__repeat1__1800s,repeat,tight_T_seed4101,results/gf_simple_start_qualification_round35/runs/repeat__tight_T_seed4101__c6_simple_start__repeat1__1800s,False,True
repeat__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__repeat1__3600s,repeat,round32_multi_m_high_imbalance_V50_M2_seed910922492,results/gf_simple_start_qualification_round35/runs/repeat__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__repeat1__3600s,False,True
repeat__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__repeat1__3600s,repeat,round31_sealed_moderate_V50_seed1112848618,results/gf_simple_start_qualification_round35/runs/repeat__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__repeat1__3600s,False,True
repeat__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__repeat1__3600s,repeat,round32_multi_m_tight_T_V50_M4_seed1562257203,results/gf_simple_start_qualification_round35/runs/repeat__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__repeat1__3600s,False,True
