run_id,stage,instance_id,strict_certificate,certificate_class,certificate_rejection_reason,valid_lower_bound,verified_upper_bound,strict_bound_equality_within_tolerance,false_certificate,certificate_audit_passed
matrix1800__round31_sealed_tight_T_V50_seed1973327304__c6_simple_start__1800s,matrix1800,round31_sealed_tight_T_V50_seed1973327304,False,certificate_rejected,relevant_leaf_open,0.6364864116876978,0.8327916409630631,False,False,True
matrix1800__round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V20_M2_seed1052706459,True,engineering_exact_original_problem_optimal,none,4.356924112605589,4.356924112605589,True,False,True
matrix1800__round32_multi_m_high_imbalance_V20_M4_seed2081968251__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V20_M4_seed2081968251,False,certificate_rejected,relevant_leaf_open,1.6668337347899238,1.9131917906119615,False,False,True
matrix1800__round32_multi_m_moderate_V20_M2_seed479269984__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V20_M2_seed479269984,True,engineering_exact_original_problem_optimal,none,0.5393140900933848,0.5393140900933879,True,False,True
matrix1800__round32_multi_m_moderate_V20_M4_seed822125155__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V20_M4_seed822125155,False,certificate_rejected,relevant_leaf_open,0.049265452900537,0.23154005200496314,False,False,True
matrix1800__round32_multi_m_tight_T_V20_M2_seed89001413__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V20_M2_seed89001413,True,engineering_exact_original_problem_optimal,none,0.3399360969924045,0.33993609699240646,True,False,True
matrix1800__round32_multi_m_tight_T_V20_M4_seed2095231402__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V20_M4_seed2095231402,False,certificate_rejected,relevant_leaf_open,0.9130313945966042,0.9557576964875585,False,False,True
matrix1800__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V50_M2_seed910922492,True,engineering_exact_original_problem_optimal,none,4.889944045091299,4.8899440450913,True,False,True
matrix1800__round32_multi_m_high_imbalance_V50_M4_seed163456187__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V50_M4_seed163456187,False,certificate_rejected,relevant_leaf_open,7.0156896784720235,7.255855961366769,False,False,True
matrix1800__round32_multi_m_moderate_V50_M2_seed254020866__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V50_M2_seed254020866,False,certificate_rejected,relevant_leaf_open,0.8136845897746547,0.8492232749999897,False,False,True
matrix1800__round32_multi_m_moderate_V50_M4_seed721910669__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V50_M4_seed721910669,False,certificate_rejected,relevant_leaf_open,0.31696267645303844,0.6327934627353216,False,False,True
matrix1800__round32_multi_m_tight_T_V50_M2_seed104207248__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V50_M2_seed104207248,True,engineering_exact_original_problem_optimal,none,4.578118917160243,4.578118917160246,True,False,True
matrix1800__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V50_M4_seed1562257203,False,certificate_rejected,relevant_leaf_open,5.430565728239701,5.485350829690545,False,False,True
v50_3600__high_imbalance_seed6202__c6_simple_start__3600s,v50_3600,high_imbalance_seed6202,False,certificate_rejected,relevant_leaf_open,7.820469192436284,9.729486272278969,False,False,True
v50_3600__moderate_seed6301__c6_simple_start__3600s,v50_3600,moderate_seed6301,False,certificate_rejected,relevant_leaf_open,0.5155109078263094,0.5804785297747187,False,False,True
v50_3600__tight_T_seed6102__c6_simple_start__3600s,v50_3600,tight_T_seed6102,False,certificate_rejected,relevant_leaf_open,0.6143208925554493,0.6704145308677993,False,False,True
v50_3600__round31_sealed_high_imbalance_V50_seed802548647__c6_simple_start__3600s,v50_3600,round31_sealed_high_imbalance_V50_seed802548647,True,engineering_exact_original_problem_optimal,none,8.771979091147193,8.771979091147195,True,False,True
v50_3600__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__3600s,v50_3600,round31_sealed_moderate_V50_seed1112848618,False,certificate_rejected,relevant_leaf_open,0.5360052362487707,0.6616459775575555,False,False,True
v50_3600__round31_sealed_tight_T_V50_seed1973327304__c6_simple_start__3600s,v50_3600,round31_sealed_tight_T_V50_seed1973327304,False,certificate_rejected,relevant_leaf_open,0.6364864116876978,0.8327916409630631,False,False,True
v50_3600__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__3600s,v50_3600,round32_multi_m_high_imbalance_V50_M2_seed910922492,True,engineering_exact_original_problem_optimal,none,4.889944045091299,4.8899440450913,True,False,True
v50_3600__round32_multi_m_high_imbalance_V50_M4_seed163456187__c6_simple_start__3600s,v50_3600,round32_multi_m_high_imbalance_V50_M4_seed163456187,False,certificate_rejected,relevant_leaf_open,7.0156896784720235,7.255830940545673,False,False,True
v50_3600__round32_multi_m_moderate_V50_M2_seed254020866__c6_simple_start__3600s,v50_3600,round32_multi_m_moderate_V50_M2_seed254020866,False,certificate_rejected,relevant_leaf_open,0.8200410383554302,0.8492232749999897,False,False,True
v50_3600__round32_multi_m_moderate_V50_M4_seed721910669__c6_simple_start__3600s,v50_3600,round32_multi_m_moderate_V50_M4_seed721910669,False,certificate_rejected,relevant_leaf_open,0.31696267645303844,0.4013966618426952,False,False,True
v50_3600__round32_multi_m_tight_T_V50_M2_seed104207248__c6_simple_start__3600s,v50_3600,round32_multi_m_tight_T_V50_M2_seed104207248,True,engineering_exact_original_problem_optimal,none,4.578118917160243,4.578118917160246,True,False,True
v50_3600__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__3600s,v50_3600,round32_multi_m_tight_T_V50_M4_seed1562257203,False,certificate_rejected,relevant_leaf_open,5.437203116479591,5.485350829690545,False,False,True
repeat__round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6_simple_start__repeat1__1800s,repeat,round32_multi_m_high_imbalance_V20_M2_seed1052706459,True,engineering_exact_original_problem_optimal,none,4.356924112605589,4.356924112605589,True,False,True
repeat__tight_T_seed4101__c6_simple_start__repeat1__1800s,repeat,tight_T_seed4101,True,engineering_exact_original_problem_optimal,none,0.562981400559008,0.562981400559009,True,False,True
repeat__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__repeat1__3600s,repeat,round32_multi_m_high_imbalance_V50_M2_seed910922492,True,engineering_exact_original_problem_optimal,none,4.889944045091299,4.8899440450913,True,False,True
repeat__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__repeat1__3600s,repeat,round31_sealed_moderate_V50_seed1112848618,False,certificate_rejected,relevant_leaf_open,0.5360052362487707,0.6616459775575555,False,False,True
repeat__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__repeat1__3600s,repeat,round32_multi_m_tight_T_V50_M4_seed1562257203,False,certificate_rejected,relevant_leaf_open,5.437203116479591,5.485350829690545,False,False,True
