stage,instance_id,V,M,scenario,full_startup_ub,simple_startup_ub,simple_relative_ub_degradation,full_exact_phase_seconds,simple_exact_phase_seconds,full_common_ub_gap,simple_common_ub_gap,full_strict_certificate,simple_strict_certificate,pattern
matrix1800,moderate_seed5301,20,3,moderate,0.16885733659692667,0.24325805444040238,0.4406128827027221,1764.3694622,1785.0384923000001,0.4906119438406776,0.19399678610256396,False,False,3_simple_ub_weaker_exact_phase_faster
matrix1800,moderate_seed5302,20,3,moderate,0.109681593369203,0.1921650330086186,0.7520262708234484,1764.9935585,1788.3588398,0.44846415215985397,0.5104575844539916,False,False,5_simple_certification_or_final_gap_regression
matrix1800,tight_T_seed5102,20,3,tight_T,0.3623546627845846,0.440522065322945,0.215720702854126,1767.3034506000001,1751.5480327,0.051030081769333435,6.7060963142732255e-09,False,True,3_simple_ub_weaker_exact_phase_faster
matrix1800,tight_T_seed5103,20,3,tight_T,0.2849628509699851,0.47493373175620823,0.6666513903113379,356.87945179999997,415.29698080000003,1.3666644572788014e-15,8.980937862117839e-15,True,True,4_simple_ub_weaker_exact_phase_slower
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,9.820664665302525,10.82672037080388,0.10244273068969141,1763.8010248,1785.1227351,0.15806489674137436,0.19621963760881242,False,False,5_simple_certification_or_final_gap_regression
matrix1800,moderate_seed6301,50,3,moderate,0.6075292832179728,1.3124247509563882,1.1602658294999566,1734.6615641,1785.1433915999999,0.07905019640809799,0.11192080088409642,False,False,5_simple_certification_or_final_gap_regression
matrix1800,tight_T_seed6102,50,3,tight_T,0.6855974831044359,0.8431367355053666,0.2297838838141315,1694.9661858,1785.1067289,0.0802714150000018,0.09485676962827003,False,False,5_simple_certification_or_final_gap_regression
matrix1800,round31_sealed_high_imbalance_V20_seed1968399862,20,3,high_imbalance,2.0874707775727215,2.1210198459628056,0.016071634990308427,133.009305,80.6827361,2.1614438206484313e-10,7.989550096546982e-10,True,True,3_simple_ub_weaker_exact_phase_faster
matrix1800,round31_sealed_high_imbalance_V50_seed802548647,50,3,high_imbalance,8.833146456637262,8.778082265416142,-0.006233813906679316,975.3765182000001,1580.7455602,0.0,2.0250354235260032e-16,True,True,6_other
matrix1800,round31_sealed_moderate_V20_seed311185674,20,3,moderate,0.07675263690685412,0.15892098625487477,1.0705606042921882,1769.2542334,1785.0383774,0.22070627668332013,0.18117867960329528,False,False,3_simple_ub_weaker_exact_phase_faster
matrix1800,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,0.6874838397370203,0.7588125173791058,0.10375324264984977,1630.8069363,1785.1093753,0.11775276362969075,0.14382182172056515,False,False,5_simple_certification_or_final_gap_regression
matrix1800,round31_sealed_tight_T_V20_seed2113109204,20,3,tight_T,0.40134426587847294,0.4704434489259324,0.17216935414839754,1767.2074478000002,1785.0710697,0.02901326002516884,0.10930112520555542,False,False,5_simple_certification_or_final_gap_regression
matrix1800,round31_sealed_tight_T_V50_seed1973327304,50,3,tight_T,0.895923434379984,1.174452788893665,0.3108852205729329,1745.4621868000002,1785.115251,0.23549186499321495,0.23571950007609652,False,False,5_simple_certification_or_final_gap_regression
matrix1800,round32_multi_m_high_imbalance_V20_M2_seed1052706459,20,2,high_imbalance,4.356924112605589,4.356924112605589,0.0,3.8164603,3.9162165,0.0,0.0,True,True,1_simple_ub_not_weaker_simple_faster
matrix1800,round32_multi_m_high_imbalance_V20_M4_seed2081968251,20,4,high_imbalance,1.9105128200497403,1.9627887165897784,0.02736223279500268,1760.5840617,1785.0439195000001,0.1079364741652824,0.12637092586809817,False,False,5_simple_certification_or_final_gap_regression
matrix1800,round32_multi_m_moderate_V20_M2_seed479269984,20,2,moderate,0.5573119255965047,0.6217535390592063,0.115629345978427,184.8438992,109.841077,4.117166768006783e-15,5.764033475209496e-15,True,True,3_simple_ub_weaker_exact_phase_faster
matrix1800,round32_multi_m_moderate_V20_M4_seed822125155,20,4,moderate,0.1256317204608936,0.23154005200496314,0.8430062977370152,1773.5438127,1785.0335817999999,0.694362276507308,0.6078581689417184,False,False,3_simple_ub_weaker_exact_phase_faster
matrix1800,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,0.35363892908469974,0.42185791230189496,0.19290575105450608,130.8148751,333.2240239,1.9280586165897106e-09,5.715457435335043e-15,True,True,4_simple_ub_weaker_exact_phase_slower
matrix1800,round32_multi_m_tight_T_V20_M4_seed2095231402,20,4,tight_T,0.9547387631169927,0.9992141480748833,0.0465838265670592,1771.2678985,1785.0400234,0.04564196498312182,0.04368458695887024,False,False,3_simple_ub_weaker_exact_phase_faster
matrix1800,round32_multi_m_high_imbalance_V50_M2_seed910922492,50,2,high_imbalance,5.0519601822823,4.8975868030757725,-0.03055712508343378,200.5077231,358.01665629999997,5.449009711624678e-16,1.8163365705415592e-16,True,True,6_other
matrix1800,round32_multi_m_high_imbalance_V50_M4_seed163456187,50,4,high_imbalance,7.383573549912558,7.288187392462815,-0.012918698080941182,1738.9334435,1785.1218660000002,0.0330987527741425,0.03309964863876732,False,False,5_simple_certification_or_final_gap_regression
matrix1800,round32_multi_m_moderate_V50_M2_seed254020866,50,2,moderate,0.9269409695906828,0.961759740400111,0.03756309403909874,1771.1750127,1785.1094183999999,0.043431007512374165,0.04184845878763205,False,False,3_simple_ub_weaker_exact_phase_faster
matrix1800,round32_multi_m_moderate_V50_M4_seed721910669,50,4,moderate,0.40669239072992647,0.6327934627353216,0.5559510754543298,1445.219914,1785.111325,0.1946414580085029,0.22063288205575288,False,False,5_simple_certification_or_final_gap_regression
matrix1800,round32_multi_m_tight_T_V50_M2_seed104207248,50,2,tight_T,4.578833560654546,4.578833560654546,0.0,98.9673725,94.12133730000001,7.760204011922451e-16,7.760204011922451e-16,True,True,1_simple_ub_not_weaker_simple_faster
matrix1800,round32_multi_m_tight_T_V50_M4_seed1562257203,50,4,tight_T,5.485350829690545,6.183808117000585,0.1273313793403153,1753.7243986,1785.1159715000001,0.010879898834581056,0.00998752917576554,False,False,3_simple_ub_weaker_exact_phase_faster
v50_3600,high_imbalance_seed6202,50,3,high_imbalance,9.820664665302525,10.82672037080388,0.10244273068969141,3563.8182118,3585.1091932,0.1580542179540433,0.19620944276182525,False,False,5_simple_certification_or_final_gap_regression
v50_3600,moderate_seed6301,50,3,moderate,0.6075292832179728,1.3124247509563882,1.1602658294999566,3534.7594996000003,3585.1480332,0.06814733872600846,0.11192080088409642,False,False,5_simple_certification_or_final_gap_regression
v50_3600,tight_T_seed6102,50,3,tight_T,0.6855974831044359,0.8431367355053666,0.2297838838141315,3495.0293506999997,3585.1527169,0.06949686269252923,0.0836700813148265,False,False,5_simple_certification_or_final_gap_regression
v50_3600,round31_sealed_high_imbalance_V50_seed802548647,50,3,high_imbalance,8.833146456637262,8.778082265416142,-0.006233813906679316,974.3451157000001,1580.3847077,0.0,2.0250354235260032e-16,True,True,6_other
v50_3600,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,0.6874838397370203,0.7588125173791058,0.10375324264984977,3433.2862742999996,3585.1238867999996,0.09485643214030799,0.1413095479256156,False,False,5_simple_certification_or_final_gap_regression
v50_3600,round31_sealed_tight_T_V50_seed1973327304,50,3,tight_T,0.895923434379984,1.174452788893665,0.3108852205729329,3545.2954783,3585.1267055,0.23549186499321495,0.23571950007609652,False,False,5_simple_certification_or_final_gap_regression
v50_3600,round32_multi_m_high_imbalance_V50_M2_seed910922492,50,2,high_imbalance,5.0519601822823,4.8975868030757725,-0.03055712508343378,201.48566620000003,359.2802246,5.449009711624678e-16,1.8163365705415592e-16,True,True,6_other
v50_3600,round32_multi_m_high_imbalance_V50_M4_seed163456187,50,4,high_imbalance,7.383573549912558,7.288187392462815,-0.012918698080941182,3537.153616,3585.120917,0.033095418536710226,0.033096314404424315,False,False,5_simple_certification_or_final_gap_regression
v50_3600,round32_multi_m_moderate_V50_M2_seed254020866,50,2,moderate,0.9269409695906828,0.961759740400111,0.03756309403909874,3570.8140536,3585.1314287,0.03224655355546065,0.03436344422444133,False,False,5_simple_certification_or_final_gap_regression
v50_3600,round32_multi_m_moderate_V50_M4_seed721910669,50,4,moderate,0.40669239072992647,0.6327934627353216,0.5559510754543298,3261.9141013,3585.1191348,0.18401615665242374,0.21035049220899074,False,False,5_simple_certification_or_final_gap_regression
v50_3600,round32_multi_m_tight_T_V50_M2_seed104207248,50,2,tight_T,4.578833560654546,4.578833560654546,0.0,178.80320519999998,94.50656079999999,7.760204011922451e-16,7.760204011922451e-16,True,True,1_simple_ub_not_weaker_simple_faster
v50_3600,round32_multi_m_tight_T_V50_M4_seed1562257203,50,4,tight_T,5.485350829690545,6.183808117000585,0.1273313793403153,3531.5030702,3585.1371705,0.009896184484197847,0.008777508441273335,False,False,3_simple_ub_weaker_exact_phase_faster
